file_name	Δos_genes	Δtotal_maps	Δavg_maps/gene
osat_pper_mapping.txt	173	754	+0.47091334789166783
osat_vvin_mapping.txt	150	441	+0.1862307160948653
osat_atha_mapping.txt	131	398	+0.1538147221910009
osat_oglu_mapping.txt	83	81	-0.002373460428685581
osat_opun_mapping.txt	97	106	+0.005164420807524328
osat_macu_mapping.txt	113	211	-0.050144472504721094
osat_atau_mapping.txt	69	88	-0.010314799879020065
osat_ppat_mapping.txt	45	20	-0.1320134228187917
osat_olon_mapping.txt	57	54	-0.005460905421872164
osat_stub_mapping.txt	122	407	+0.18525021949078124
osat_oniv_mapping.txt	79	74	-0.004982765718432258
osat_lper_mapping.txt	101	109	+0.001491321080741459
osat_obra_mapping.txt	100	107	+0.002298263534218581
osat_tcac_mapping.txt	149	363	+0.13732519312784475
osat_alyr_mapping.txt	131	436	+0.19255171225418288
osat_osai_mapping.txt	89	95	+0.00391844870422875
osat_atri_mapping.txt	125	196	+0.0511357509092869
osat_bole_mapping.txt	146	556	+0.12690112816886057
osat_oluc_mapping.txt	43	51	+0.010002278423330901
osat_sbic_mapping.txt	120	116	-0.022042510556072425
osat_brap_mapping.txt	130	567	+0.19260535345301522
osat_bdis_mapping.txt	91	103	-0.0005268213762070761
osat_tpra_mapping.txt	92	111	-0.0774498988784702
osat_tura_mapping.txt	80	86	-0.023488168273444243
osat_taes_mapping.txt	99	366	-0.015173681626995617
osat_mtru_mapping.txt	143	650	+0.334065246122099
osat_oruf_mapping.txt	78	80	+0.0015815463535386876
osat_sita_mapping.txt	94	101	-0.013412494178196566
osat_slyc_mapping.txt	142	422	+0.1552021901265206
osat_bvul_mapping.txt	73	84	-0.02579079593468081
osat_omer_mapping.txt	53	56	+0.0021825976809901615
osat_bnap_mapping.txt	67	303	-0.10342502820557531
osat_hvul_mapping.txt	109	300	+0.19339141168371832
osat_zmay_mapping.txt	96	159	+0.015563745627831693
osat_crei_mapping.txt	58	90	+0.06507515473032721
osat_ptri_mapping.txt	140	706	+0.37933700068313403
osat_gmax_mapping.txt	147	746	+0.23672244202659654
osat_smoe_mapping.txt	97	335	+0.06636741234955501
osat_obar_mapping.txt	82	80	-0.002599966119421815
osat_ogla_mapping.txt	79	83	+0.0011211404144879644
