A0A0P0VEU3	Phytozome_Mg:Migut.N02573.1
A0A0P0WKK9	Phytozome_Mg:Migut.F01222.1
A0A0P0XBM6	Phytozome_Mg:Migut.H00794.1
A2X747	Phytozome_Mg:Migut.I00679.1 Phytozome_Mg:Migut.I00683.1
A2Y626	Phytozome_Mg:Migut.N01865.1 Phytozome_Mg:Migut.N01866.1 Phytozome_Mg:Migut.N01863.1 Phytozome_Mg:Migut.N01864.1
A2Y8A8	Phytozome_Mg:Migut.E01675.1 Phytozome_Mg:Migut.E01051.1
A2ZW27	Phytozome_Mg:Migut.F01859.1
A2ZWY7	Phytozome_Mg:Migut.A00238.1 Phytozome_Mg:Migut.A00123.1
A3AAR2	Phytozome_Mg:Migut.C00979.1
A3AC56	Phytozome_Mg:Migut.J01432.1
A3AQC6	Phytozome_Mg:Migut.F01717.1
A3AZW5	Phytozome_Mg:Migut.J00731.1
A3B7R7	Phytozome_Mg:Migut.D00816.1 Phytozome_Mg:Migut.N00724.1
A3B9A0	Phytozome_Mg:Migut.J00900.1
B7E8M5	Phytozome_Mg:Migut.B01743.1
B7EA04	Phytozome_Mg:Migut.M01998.1
B7EJ81	Phytozome_Mg:Migut.D01611.1
B7F4K3	Phytozome_Mg:Migut.J00988.1
B7F8T0	Phytozome_Mg:Migut.C01187.1
B7F956	Phytozome_Mg:Migut.D02013.1 Phytozome_Mg:Migut.K01191.1 Phytozome_Mg:Migut.O00176.1 Phytozome_Mg:Migut.D02012.1 Phytozome_Mg:Migut.O00178.1 Phytozome_Mg:Migut.D02020.1 Phytozome_Mg:Migut.D01710.1 Phytozome_Mg:Migut.D02015.1 Phytozome_Mg:Migut.D02014.1 Phytozome_Mg:Migut.O00175.1 Phytozome_Mg:Migut.O00177.1 Phytozome_Mg:Migut.O00174.1 Phytozome_Mg:Migut.M00573.1 Phytozome_Mg:Migut.K01193.1 Phytozome_Mg:Migut.O00173.1
B7F9K3	Phytozome_Mg:Migut.J00988.1
B7FA34	Phytozome_Mg:Migut.D01552.1 Phytozome_Mg:Migut.I00307.1
B7FA90	Phytozome_Mg:Migut.K00231.1
B7FAE9	Phytozome_Mg:Migut.E01452.1
B7FAP2	Phytozome_Mg:Migut.G00803.1 Phytozome_Mg:Migut.G00802.1 Phytozome_Mg:Migut.N00429.1 Phytozome_Mg:Migut.M01763.1 Phytozome_Mg:Migut.G00805.1 Phytozome_Mg:Migut.G00804.1
B8AHI9	Phytozome_Mg:Migut.N00707.1
B8AZ97	Phytozome_Mg:Migut.D00838.1
B8B8K7	Phytozome_Mg:Migut.I01131.1 Phytozome_Mg:Migut.D00911.1
B8BB38	Phytozome_Mg:Migut.D01122.1
B8BF84	Phytozome_Mg:Migut.E00494.1
B9EXM2	Phytozome_Mg:Migut.N03234.1
B9EZJ8	Phytozome_Mg:Migut.A00240.1
B9FML1	Phytozome_Mg:Migut.N00020.1 Phytozome_Mg:Migut.G00021.1
B9FRT6	Phytozome_Mg:Migut.K00129.1
B9FYX6	Phytozome_Mg:Migut.M01865.1
B9G3A7	Phytozome_Mg:Migut.E00153.1 Phytozome_Mg:Migut.L01427.1
C7J5F5	Phytozome_Mg:Migut.L01718.1 Phytozome_Mg:Migut.J00449.1
C7J5T9	Phytozome_Mg:Migut.L01718.1 Phytozome_Mg:Migut.J00449.1
H6TFZ4	Phytozome_Mg:Migut.D02053.1
I1QJ08	Phytozome_Mg:Migut.K00333.1
I1QQP8	Phytozome_Mg:Migut.I00003.1
I3QK18	Phytozome_Mg:Migut.A01144.1
O04226	Phytozome_Mg:Migut.F01286.1 Phytozome_Mg:Migut.F00741.1
O04882	Phytozome_Mg:Migut.H01742.1
O22105	Phytozome_Mg:Migut.N01273.1 Phytozome_Mg:Migut.B00185.1
O22567	Phytozome_Mg:Migut.G00229.1
O24174	Phytozome_Mg:Migut.D01906.1
O24210	Phytozome_Mg:Migut.I00044.1 Phytozome_Mg:Migut.D00523.1
O64422	Phytozome_Mg:Migut.J00245.1
O64437	Phytozome_Mg:Migut.H02384.1
O82427	Phytozome_Mg:Migut.B00053.1 Phytozome_Mg:Migut.N01335.1
P0C0X5	Phytozome_Mg:Migut.J01639.1
P0C132	Phytozome_Mg:Migut.D00373.1 Phytozome_Mg:Migut.N01915.1
P0C587	Phytozome_Mg:Migut.N02831.1 Phytozome_Mg:Migut.B00512.1
P0C5A4	Phytozome_Mg:Migut.I00802.1
P0C5B2	Phytozome_Mg:Migut.B01668.1
P14654	Phytozome_Mg:Migut.H02226.1 Phytozome_Mg:Migut.K00920.1
P14655	Phytozome_Mg:Migut.N00140.1
P14656	Phytozome_Mg:Migut.D01194.1
P15280	Phytozome_Mg:Migut.M00521.1
P16081	Phytozome_Mg:Migut.C01185.1
P17784	Phytozome_Mg:Migut.L01757.1
P18566	Phytozome_Mg:Migut.D01473.1 Phytozome_Mg:Migut.I00348.1 Phytozome_Mg:Migut.D01471.1
P30298	Phytozome_Mg:Migut.J00882.1
P31924	Phytozome_Mg:Migut.J00882.1
P37833	Phytozome_Mg:Migut.E01514.1
P42862	Phytozome_Mg:Migut.C00716.1
P42863	Phytozome_Mg:Migut.C00716.1
P48642	Phytozome_Mg:Migut.G00658.1 Phytozome_Mg:Migut.N00369.1
P93438	Phytozome_Mg:Migut.B00863.1
Q01KF3	Phytozome_Mg:Migut.J01255.1
Q05JG2	Phytozome_Mg:Migut.A00521.1 Phytozome_Mg:Migut.E01376.1
Q0D3B6	Phytozome_Mg:Migut.J00402.1 Phytozome_Mg:Migut.L01650.1
Q0D7I3	Phytozome_Mg:Migut.B00222.1 Phytozome_Mg:Migut.J00613.1
Q0D7J0	Phytozome_Mg:Migut.N00902.1
Q0D7J3	Phytozome_Mg:Migut.N00902.1
Q0D7W4	Phytozome_Mg:Migut.B01073.1
Q0D8I9	Phytozome_Mg:Migut.J00540.1
Q0D980	Phytozome_Mg:Migut.H01815.1
Q0DA35	Phytozome_Mg:Migut.M00413.1
Q0DAA4	Phytozome_Mg:Migut.M02001.1
Q0DBD3	Phytozome_Mg:Migut.L01369.1 Phytozome_Mg:Migut.E00127.1
Q0DBF4	Phytozome_Mg:Migut.C00648.1
Q0DBN4	Phytozome_Mg:Migut.H02142.1
Q0DCE9	Phytozome_Mg:Migut.G00315.1
Q0DDS1	Phytozome_Mg:Migut.L01127.1
Q0DEC8	Phytozome_Mg:Migut.F00206.1
Q0DG35	Phytozome_Mg:Migut.F00228.1
