A2X747	Ensembl:ORUFI02G25250
A2XPN8	Ensembl:ORUFI04G00650
A2Y626	Ensembl:ORUFI05G22590
A2Y8A8	Ensembl:ORUFI06G00260
A2ZRY8	Ensembl:ORUFI01G12900
A2ZW27	Ensembl:ORUFI01G27720
A2ZWY7	Ensembl:ORUFI01G30880
A3AAR2	Ensembl:ORUFI02G31980
A3AC56	Ensembl:ORUFI02G36950
A3BZ14	Ensembl:ORUFI09G11780
A3C4N5	Ensembl:ORUFI10G10140
A3CDR8	Ensembl:ORUFI11G24100
A4LBC0	Ensembl:ORUFI01G31760
A9CM06	Ensembl:ORUFI02G13810
B1B534	Ensembl:ORUFI10G10700
B7E8M5	Ensembl:ORUFI04G03510
B7EA04	Ensembl:ORUFI04G26770
B7EJ81	Ensembl:ORUFI09G14830
B7EM10	Ensembl:ORUFI09G16040
B7ERE7	Ensembl:ORUFI09G20760
B7F409	Ensembl:ORUFI05G19620
B7F4K3	Ensembl:ORUFI01G16510
B7F7B9	Ensembl:ORUFI02G06520
B7F8P7	Ensembl:ORUFI09G22040
B7F924	Ensembl:ORUFI01G19240
B7F9K3	Ensembl:ORUFI09G21440
B7FA34	Ensembl:ORUFI05G26520
B7FA99	Ensembl:ORUFI02G13550
B7FAE9	Ensembl:ORUFI06G05720
B7FAP2	Ensembl:ORUFI01G05480
B8ACC6	Ensembl:ORUFI01G27050
B8AHI9	Ensembl:ORUFI02G16720
B8AT82	Ensembl:ORUFI04G11750
B8AZ97	Ensembl:ORUFI05G21300
B8B8K7	Ensembl:ORUFI07G23360
B8BB38	Ensembl:ORUFI08G18100
B8BF84	Ensembl:ORUFI09G10040
B9EUK4	Ensembl:ORUFI01G09450
B9EZJ8	Ensembl:ORUFI01G33000
B9F8T8	Ensembl:ORUFI03G20750
B9FRT6	Ensembl:ORUFI06G05030
B9FYX6	Ensembl:ORUFI08G02190
B9FZ46	Ensembl:ORUFI08G03600
B9G3A7	Ensembl:ORUFI09G08850
B9G4Z8	Ensembl:ORUFI09G20690
B9G6J6	Ensembl:ORUFI10G16220
C7IWK8	Ensembl:ORUFI01G37800
C7IXG8	Ensembl:ORUFI01G37340
C7J0P3	Ensembl:ORUFI03G15190
C7J5F5	Ensembl:ORUFI08G19870
C7J5T9	Ensembl:ORUFI08G19890
C7J732	Ensembl:ORUFI09G08090
D5A7I6	Ensembl:ORUFI11G02180
D5A7J1	Ensembl:ORUFI05G28800
I1QJ08	Ensembl:ORUFI08G18050
I1QQP8	Ensembl:ORUFI09G18910
O04226	Ensembl:ORUFI05G20150
O04882	Ensembl:ORUFI01G30970
O22105	Ensembl:ORUFI03G39610
O22567	Ensembl:ORUFI05G17360
O24174	Ensembl:ORUFI04G16580
O24210	Ensembl:ORUFI03G42990
O64422	Ensembl:ORUFI03G12170
O64437	Ensembl:ORUFI03G06660
O82427	Ensembl:ORUFI03G02570
P0C128	Ensembl:ORUFI08G00710
P0C129	Ensembl:ORUFI11G07310
P0C587	Ensembl:ORUFI10G15830
P0C5A4	Ensembl:ORUFI05G26030
P0C5B2	Ensembl:ORUFI10G17990
P14654	Ensembl:ORUFI03G09030
P14655	Ensembl:ORUFI04G29820
P14656	Ensembl:ORUFI02G33310
P14717	Ensembl:ORUFI02G26080
P15280	Ensembl:ORUFI08G13010
P16081	Ensembl:ORUFI08G19760
P17784	Ensembl:ORUFI05G16970
P17814	Ensembl:ORUFI08G08590
P18566	Ensembl:ORUFI12G10060
P30298	Ensembl:ORUFI06G06310
P31924	Ensembl:ORUFI03G21310
P37833	Ensembl:ORUFI01G34940
