Gene stable ID	Leersia perrieri gene stable ID	%id. target Leersia perrieri gene identical to query gene	%id. query gene identical to target Leersia perrieri gene
CAA33932	LPERR12G08220	86.1789	47.3214
CAA34007	LPERR07G06600	13.3144	18.5039
Os01g0100400	LPERR01G00020	89.7133	40.6107
Os01g0100500	LPERR01G00030	92.7481	92.7481
Os01g0100600	LPERR01G00040	74.9296	81.0976
Os01g0100700	LPERR11G10750	93.5	93.0348
Os01g0100900	LPERR01G00060	94.2486	53.5865
Os01g0101150	LPERR01G28760	87.284	86.6422
Os01g0101200	LPERR01G00070	66.343	68.5619
Os01g0101300	LPERR01G00080	90.172	79.6095
Os01g0101600	LPERR01G00090	74.9489	84.2529
Os01g0101800	LPERR01G00100	72.929	73.2541
Os01g0101900	LPERR01G00110	86.1111	86.1111
Os01g0102000	LPERR01G00120	79.7348	79.1353
Os01g0102300	LPERR01G00130	67.7043	73.1092
Os01g0102400	LPERR06G10620	60.095	59.5294
Os01g0102400	LPERR12G06110	59.3824	59.6659
Os01g0102400	LPERR12G06220	53.4442	62.6741
Os01g0102500	LPERR01G00140	88.5542	86.9822
Os01g0102700	LPERR05G00210	55.6098	45.7831
Os01g0102800	LPERR01G00150	65.3217	62.7225
Os01g0102900	LPERR01G00160	88.2812	71.9745
Os01g0103000	LPERR01G00170	90.0862	95.8716
Os01g0103100	LPERR01G00180	85.3135	81.0345
Os01g0103600	LPERR01G00200	87.6712	88.0734
Os01g0103600	LPERR01G36290	89.0411	57.8635
Os01g0103700	LPERR01G00210	76.1905	11.2875
Os01g0103800	LPERR03G10700	85.8546	83.5564
Os01g0103900	LPERR01G00220	91.4226	64.8368
Os01g0104000	LPERR01G00230	90.6306	90.6306
Os01g0104100	LPERR01G00240	75.3588	82.2454
Os01g0104200	LPERR01G00250	44.2478	48.0769
Os01g0104400	LPERR01G00260	69.7761	58.6207
Os01g0104500	LPERR01G00270	67.1875	68.9103
Os01g0104600	LPERR01G00290	86.8885	84.0909
Os01g0104800	LPERR01G09360	72.5581	66.383
Os01g0104900	LPERR01G00300	71.1538	68.6598
Os01g0105700	LPERR01G00310	70.8763	71.8016
Os01g0105800	LPERR01G00320	86.2319	88.806
Os01g0105900	LPERR01G00330	88.3905	89.8123
Os01g0106200	LPERR01G00350	28.0612	87.3016
Os01g0106300	LPERR01G00380	61.9497	63.5484
Os01g0106400	LPERR01G00360	74.8408	76.5472
Os01g0106400	LPERR01G00370	86.3057	85.489
Os01g0106500	LPERR01G00390	50.9346	58.2888
Os01g0106600	LPERR01G00410	51.3699	51.3699
Os01g0106700	LPERR01G00420	85.7727	78.9612
Os01g0106900	LPERR01G00440	93.8689	93.6709
Os01g0107000	LPERR01G00450	80.2661	79.0393
Os01g0107700	LPERR01G00490	64	80
Os01g0107900	LPERR01G00500	87.7193	88.5668
Os01g0108000	LPERR01G00510	51.715	87.8924
Os01g0108200	LPERR09G00030	91.7808	89.4526
Os01g0108400	LPERR01G00520	54.1485	59.0476
Os01g0108600	LPERR01G00530	63.3929	64.5455
Os01g0108800	LPERR01G00540	80.0866	32.9768
Os01g0109300	LPERR01G00550	84.6774	92.7152
Os01g0109700	LPERR01G00560	88.3861	82.1879
Os01g0109750	LPERR01G00570	91.2409	49.6032
Os01g0110100	LPERR01G00580	87.7347	87.5156
Os01g0110400	LPERR01G00610	93.5096	93.9613
Os01g0110500	LPERR01G00620	64.6132	92.6078
Os01g0110700	LPERR01G00630	86.8599	93.0642
Os01g0110800	LPERR01G00640	83.5556	75.9596
Os01g0111000	LPERR01G00650	55.7823	45.3039
Os01g0111100	LPERR01G00660	78.2313	74.9186
Os01g0111200	LPERR01G00670	89.0323	49.3739
Os01g0111500	LPERR01G00690	72.5424	76.7025
Os01g0111600	LPERR01G00700	93.1034	93.1034
Os01g0111700	LPERR01G00710	65.1429	70.8075
Os01g0111900	LPERR01G00730	79.1908	80.5882
Os01g0112000	LPERR01G00740	77.9874	81.5789
Os01g0112100	LPERR01G00750	82.1809	82.4
Os01g0112400	LPERR01G00760	72.3776	72.6316
Os01g0112500	LPERR01G00770	92.6966	88.2353
Os01g0112800	LPERR01G00810	38.0744	74.5182
Os01g0113150	LPERR01G00810	50.8744	68.5225
Os01g0113200	LPERR01G00840	90.9548	42.4385
Os01g0113300	LPERR01G00790	61.6085	60.5067
Os01g0113350	LPERR01G00820	82.9755	23.9487
Os01g0113400	LPERR01G00910	61.8907	62.9129
Os01g0113500	LPERR01G00920	80.9748	22.5482
Os01g0113650	LPERR01G00820	75.4573	21.9123
Os01g0113700	LPERR01G00910	57.3723	59.009
Os01g0113800	LPERR01G00920	73.0159	20.1401
Os01g0113900	LPERR01G01010	30.5882	49.6183
Os01g0114100	LPERR01G00950	43.7026	84.9557
Os01g0114400	LPERR01G01030	81.0651	39.3678
Os01g0114600	LPERR01G01070	40.4317	81.2139
Os01g0115566	LPERR01G01010	49.4024	47.3282
Os01g0115700	LPERR01G00980	69.7452	46.5957
Os01g0115750	LPERR01G00950	42.4779	84.9557
Os01g0115800	LPERR01G01010	42.4749	48.4733
Os01g0115900	LPERR01G00990	41.1321	60.5556
Os01g0116200	LPERR01G01030	72.3944	73.8506
Os01g0116400	LPERR01G01070	39.5864	77.4566
Os01g0116600	LPERR04G19480	81.0687	48.0108
Os01g0116800	LPERR01G01060	87.234	46.1972
Os01g0116900	LPERR01G01000	77.0874	24.9843
Os01g0117100	LPERR01G01000	85.989	19.6979
Os01g0117200	LPERR01G01030	57.8147	60.0575
Os01g0117300	LPERR01G01090	78.8413	49.1366
Os01g0117500	LPERR01G01000	72.8814	21.6488
Os01g0117700	LPERR01G01000	70.451	28.5085
Os01g0117900	LPERR01G01140	96.7914	97.0509
Os01g0118000	LPERR01G01150	95.8763	94.898
Os01g0118100	LPERR01G01160	97.3105	66.8908
Os01g0118300	LPERR01G01170	65.8824	86.6873
Os01g0118400	LPERR01G01180	79.6928	76.8092
Os01g0118700	LPERR01G01190	80.888	25.4248
Os01g0119100	LPERR01G01200	78.6575	66.136
Os01g0119500	LPERR01G00870	43.5622	45.7207
Os01g0119500	LPERR01G00890	48.2833	51.0204
Os01g0119500	LPERR01G01120	40.7725	48.1013
Os01g0120300	LPERR01G01240	87.7834	57.3663
Os01g0120500	LPERR01G01250	78.3465	78.0392
Os01g0120600	LPERR01G01260	71.9858	74.9077
Os01g0120800	LPERR01G01270	91.0751	90.5242
Os01g0121000	LPERR01G01280	73.1343	72.7723
Os01g0121100	LPERR01G01290	88.0117	86.7435
Os01g0121200	LPERR01G01300	93.3085	89.6429
Os01g0121300	LPERR01G01310	86.4815	82.2183
Os01g0121500	LPERR01G01320	68.3333	53.9474
Os01g0121600	LPERR01G01330	56.4626	65.873
Os01g0121700	LPERR01G01340	93.1138	84.9727
Os01g0121800	LPERR01G01350	94.0299	95.4545
Os01g0121950	LPERR01G01360	49.8638	53.8235
Os01g0122200	LPERR01G01370	57.27	62.0579
Os01g0123700	LPERR01G01400	44.702	44.1176
Os01g0123800	LPERR01G01410	63.4715	62.982
Os01g0123900	LPERR01G01430	48.1865	55.0296
Os01g0123900	LPERR01G01460	47.6684	54.7619
Os01g0124600	LPERR01G01430	55.7895	62.7219
Os01g0124600	LPERR01G01460	52.1053	58.9286
Os01g0124650	LPERR01G01430	61.0811	66.8639
Os01g0124650	LPERR01G01460	58.3784	64.2857
Os01g0124900	LPERR01G01490	70.202	47.4403
Os01g0125500	LPERR01G01520	49.8221	48.951
Os01g0125600	LPERR01G01540	89.5238	91.2621
Os01g0125700	LPERR01G01560	90.1587	84.5238
Os01g0125800	LPERR01G01570	95.4098	95.4098
Os01g0125900	LPERR01G01580	89.2756	88.6916
