Gene stable ID	Sorghum bicolor gene stable ID	%id. target Sorghum bicolor gene identical to query gene	%id. query gene identical to target Sorghum bicolor gene
BAC19859	SORBI_3003G056900	18.6047	19.3548
BAC19859	SORBI_3010G112900	16.2791	28.7671
BAC19862	SORBI_3009G095720	37.561	25.3289
BAC19862	SORBI_3010G098800	47.3171	69.7842
BAC19862	SORBI_3K031300	38.0488	34.8214
BAC19875	SORBI_3003G173200	15.1515	81.5217
BAC19883	SORBI_3006G035350	24.1477	63.9098
BAC19887	SORBI_3001G178500	73.1183	47.2222
BAC19896	SORBI_3002G149500	21.4789	46.2121
BAC19898	SORBI_3002G027800	75.5319	52.9851
BAC19903	SORBI_3001G506200	45.6311	95.9184
CAA33909	SORBI_3001G230050	37.0787	80.4878
CAA33912	SORBI_3003G173266	54.4444	84.4828
CAA33913	SORBI_3005G110493	79.3651	79.3651
CAA33918	SORBI_3002G086400	51.1628	61.9718
CAA33918	SORBI_3004G303433	62.7907	69.2308
CAA33921	SORBI_3003G172701	33.3333	100
CAA33923	SORBI_3010G052866	74.1936	78.4091
CAA33926	SORBI_3009G087360	46.3415	82.6087
CAA33931	SORBI_3006G124700	72.7941	84.6154
CAA33934	SORBI_3007G207100	37.2385	62.6761
CAA33936	SORBI_3009G087360	46.3415	82.6087
CAA33938	SORBI_3010G052866	74.1936	78.4091
CAA33940	SORBI_3003G172701	33.3333	100
CAA33947	SORBI_3005G110493	79.3651	79.3651
CAA33948	SORBI_3003G173266	54.4444	84.4828
CAA33951	SORBI_3002G148166	38.0952	72.7273
CAA33951	SORBI_3003G166400	63.4921	62.5
CAA33952	SORBI_3002G150200	28.972	92.0792
CAA33954	SORBI_3009G174150	51.8519	85.7143
CAA33955	SORBI_3007G133500	48.5149	73.1343
CAA33955	SORBI_3008G160300	100	100
CAA33961	SORBI_3005G116400	15.625	62.5
CAA33962	SORBI_3002G288700	97.5	97.5
CAA33966	SORBI_3004G337850	90.3226	90.3226
CAA33970	SORBI_3003G168425	68.0982	94.0678
CAA33971	SORBI_3003G168500	78.1513	91.1765
CAA33971	SORBI_3010G208750	47.8992	34.3373
CAA33973	SORBI_3003G169100	93.5039	98.1405
CAA33974	SORBI_3003G169000	94.2857	100
CAA33974	SORBI_3003G255266	82.8571	90.625
CAA33974	SORBI_3008G102200	80	84.8485
CAA33974	SORBI_3008G102400	77.1429	81.8182
CAA33975	SORBI_3001G231300	100	100
CAA33975	SORBI_3003G168900	100	100
CAA33976	SORBI_3003G168800	89.0411	89.0411
CAA33976	SORBI_3003G171950	76.7123	86.1538
CAA33976	SORBI_3008G102100	86.3014	85.1351
CAA33976	SORBI_3008G102300	82.1918	81.0811
CAA33977	SORBI_3003G168700	98.1395	90.9483
CAA33980	SORBI_3006G124850	65.7343	85.4545
CAA33982	SORBI_3010G107601	40.4494	52.9412
CAA33983	SORBI_3003G168350	52.8571	34.9057
CAA33983	SORBI_3003G172400	67.1429	56.6265
CAA33985	SORBI_3003G171900	100	78.3784
CAA33986	SORBI_3002G149966	6.88372	92.5
CAA33986	SORBI_3002G150032	4.65116	70.4225
CAA33986	SORBI_3004G115100	21.0233	68.9024
CAA33988	SORBI_3003G169400	84.1375	83.75
CAA33989	SORBI_3003G169300	97.0339	97.0339
CAA33990	SORBI_3003G142900	45.3441	82.963
CAA33990	SORBI_3003G169200	98.7854	98.7854
CAA33991	SORBI_3001G394532	72.8395	59.596
CAA33996	SORBI_3008G120266	11.3333	71.4286
CAA33999	SORBI_3003G172900	89.3082	89.3082
CAA34000	SORBI_3003G172966	86.9919	94.2731
CAA34001	SORBI_3003G168300	85.8333	95.3704
CAA34002	SORBI_3007G109200	48.9051	77.907
CAA34009	SORBI_3002G044500	82.2581	60.7143
CAA34010	SORBI_3007G145801	72.1311	86.2745
CAA34011	SORBI_3009G123100	88.8889	88.8889
CAA34014	SORBI_3001G276500	14.7992	86.4198
CAA34015	SORBI_3003G173116	98.3871	98.3871
Os01g0100100	SORBI_3003G110000	77.208	78.6647
Os01g0100400	SORBI_3001G369800	79.5953	80
Os01g0100500	SORBI_3003G109700	79.5802	77.5093
Os01g0100600	SORBI_3001G370100	48.169	51.6616
Os01g0100700	SORBI_3003G109600	92	82.1429
Os01g0100800	SORBI_3003G109500	59.8315	60.3399
Os01g0100900	SORBI_3003G109100	86.0853	87.0544
Os01g0101150	SORBI_3003G109000	70	70.1733
Os01g0101200	SORBI_3003G108800	57.9288	63.4752
Os01g0101300	SORBI_3009G033900	85.258	82.4228
Os01g0101600	SORBI_3003G108700	58.4867	72.2222
Os01g0101700	SORBI_3003G108600	59.0426	52.3585
Os01g0101800	SORBI_3003G108300	38.4615	44.6735
Os01g0101900	SORBI_3003G108100	76.3889	78.5714
Os01g0102000	SORBI_3003G107900	74.2424	65.1163
Os01g0102300	SORBI_3003G107800	48.249	50.8197
Os01g0102400	SORBI_3007G054700	32.0665	29.2842
Os01g0102400	SORBI_3008G043000	30.8789	28.0172
Os01g0102400	SORBI_3008G071900	28.9786	30.1235
Os01g0102500	SORBI_3003G107700	82.2289	77.3371
Os01g0102600	SORBI_3008G134800	76.9517	75.8242
Os01g0102700	SORBI_3008G134900	68.2927	71.4286
Os01g0102800	SORBI_3003G107500	84.7328	64.3212
Os01g0102900	SORBI_3003G107300	54.6875	51.0949
Os01g0103000	SORBI_3003G107200	90.0862	90.8696
Os01g0103100	SORBI_3003G107100	74.0924	67.3163
