Gene stable ID	Trifolium pratense gene stable ID	%id. target Trifolium pratense gene identical to query gene	%id. query gene identical to target Trifolium pratense gene
BAC19852	Tp57577_TGAC_v2_gene74	38.1538	93.9394
BAC19853	Tp57577_TGAC_v2_gene25412	18.9286	41.7323
BAC19854	Tp57577_TGAC_v2_gene21214	42.132	69.7479
BAC19854	Tp57577_TGAC_v2_gene39970	30.4569	80
BAC19858	Tp57577_TGAC_v2_gene676	23.6735	32.6761
BAC19860	Tp57577_TGAC_v2_gene7050	74.8387	66.2857
BAC19862	Tp57577_TGAC_v2_gene40594	55.6098	82.0144
BAC19863	Tp57577_TGAC_v2_gene39619	73.75	86.7647
BAC19865	Tp57577_TGAC_v2_gene17000	76.9517	87.7119
BAC19867	Tp57577_TGAC_v2_gene28262	31.5972	38.5593
BAC19875	Tp57577_TGAC_v2_gene32909	10.7071	53.5354
BAC19875	Tp57577_TGAC_v2_gene36115	26.6667	75.4286
BAC19876	Tp57577_TGAC_v2_gene581	83.4615	88.5714
BAC19883	Tp57577_TGAC_v2_gene20538	44.8864	39.4015
BAC19883	Tp57577_TGAC_v2_gene31549	19.6023	55.6452
BAC19887	Tp57577_TGAC_v2_gene25660	58.0645	42.8571
BAC19887	Tp57577_TGAC_v2_gene34443	58.0645	42.8571
BAC19888	Tp57577_TGAC_v2_gene39971	95	79.1667
BAC19889	Tp57577_TGAC_v2_gene37412	70.5394	15.0177
BAC19889	Tp57577_TGAC_v2_gene8157	2.48963	0.931677
BAC19890	Tp57577_TGAC_v2_gene36555	64.9874	94.8529
BAC19891	Tp57577_TGAC_v2_gene162	42.9204	81.5126
BAC19892	Tp57577_TGAC_v2_gene22447	63.9535	53.6585
BAC19892	Tp57577_TGAC_v2_gene32363	63.3721	53.1707
BAC19894	Tp57577_TGAC_v2_gene24362	10.3211	34.3511
BAC19899	Tp57577_TGAC_v2_gene18523	41.8468	96.3801
BAC19903	Tp57577_TGAC_v2_gene21718	84.9515	53.0303
CAA33909	Tp57577_TGAC_v2_gene38950	60.1124	74.3056
CAA33910	Tp57577_TGAC_v2_gene31189	21.8232	62.2047
CAA33910	Tp57577_TGAC_v2_gene37210	16.8508	39.8693
CAA33910	Tp57577_TGAC_v2_gene39966	8.83978	80
CAA33910	Tp57577_TGAC_v2_gene9467	10.7735	49.3671
CAA33911	Tp57577_TGAC_v2_gene20526	11.9593	60.2564
CAA33911	Tp57577_TGAC_v2_gene9361	14.2494	48.2759
CAA33918	Tp57577_TGAC_v2_gene37274	45.3488	54.1667
CAA33919	Tp57577_TGAC_v2_gene15893	34.6154	57.4468
CAA33924	Tp57577_TGAC_v2_gene24812	26.3736	43.3735
