Gene stable ID	Oryza punctata gene stable ID	% identity	Oryza punctata % identity	Orthology confidence [0 low, 1 high]
OS01G0100100	OPUNC01G00010	88	75	0
OS01G0100400	OPUNC01G00020	96	97	1
OS01G0100500	OPUNC01G00030	97	97	1
OS01G0100600	OPUNC01G00040	86	92	1
OS01G0100700	OPUNC01G00050	99	99	1
OS01G0100800	OPUNC01G00060	81	42	0
OS01G0100900	OPUNC01G00070	83	92	1
OS01G0101150	OPUNC01G00080	92	68	1
OS01G0101300	OPUNC01G00090	96	67	1
OS01G0101600	OPUNC01G00100	95	95	1
OS01G0101700	OPUNC01G00110	84	84	1
OS01G0101800	OPUNC01G00130	91	93	1
OS01G0101900	OPUNC01G00140	96	96	1
OS01G0102000	OPUNC01G00150	88	87	1
OS01G0102300	OPUNC01G00160	76	81	1
OS01G0102400	OPUNC01G14340	74	71	1
OS01G0102600	OPUNC01G00180	78	70	1
OS01G0102700	OPUNC05G00170	55	58	0
OS01G0102800	OPUNC01G00200	90	64	0
OS01G0102900	OPUNC01G00210	91	89	1
OS01G0103000	OPUNC01G00220	97	89	1
OS01G0103100	OPUNC01G00230	88	90	1
OS01G0103600	OPUNC01G00240	90	73	1
OS01G0103700	OPUNC01G00250	83	11	0
OS01G0103800	OPUNC01G00260	97	96	1
OS01G0103900	OPUNC01G00270	96	74	1
OS01G0104000	OPUNC01G00280	94	94	1
OS01G0104100	OPUNC01G00290	77	81	1
OS01G0104200	OPUNC01G00300	47	53	1
OS01G0104400	OPUNC01G00310	78	77	1
OS01G0104500	OPUNC01G00320	65	65	1
OS01G0104600	OPUNC01G00330	96	96	1
OS01G0104800	OPUNC01G00340	85	86	1
OS01G0104900	OPUNC01G00350	78	79	1
OS01G0105700	OPUNC01G00360	57	60	1
OS01G0105800	OPUNC01G00370	83	79	1
OS01G0105900	OPUNC01G00380	86	88	1
OS01G0106200	OPUNC01G00390	92	93	1
OS01G0106300	OPUNC01G00400	84	85	1
OS01G0106400	OPUNC11G17220	85	85	1
OS01G0106500	OPUNC01G00410	87	37	1
OS01G0106700	OPUNC01G00420	82	73	1
OS01G0106800	OPUNC01G00430	79	73	1
OS01G0106900	OPUNC01G00440	87	68	1
OS01G0107000	OPUNC01G00450	91	92	1
OS01G0107700	OPUNC01G00490	81	86	1
OS01G0107900	OPUNC01G00500	99	99	1
OS01G0108000	OPUNC01G00510	83	91	1
OS01G0108200	OPUNC09G01380	96	91	1
OS01G0108400	OPUNC01G00520	64	72	1
