A2X747	Ensembl:Si016926m.g
A2XPN8	Ensembl:Si009985m.g
A2Y626	Ensembl:Si021789m.g
A2Y8A8	Ensembl:Si006118m.g
A2ZRY8	Ensembl:Si003010m.g
A2ZW27	Ensembl:Si000752m.g
A2ZWY7	Ensembl:Si000975m.g Ensembl:Si004997m.g
A3AAR2	Ensembl:Si018531m.g
A3AC56	Ensembl:Si016303m.g Ensembl:Si013282m.g
A3AQC6	Ensembl:Si001473m.g Ensembl:Si001533m.g
A3BZ14	Ensembl:Si019524m.g
A3C4N5	Ensembl:Si036703m.g
A4LBC0	Ensembl:Si004459m.g
A9CM06	Ensembl:Si017185m.g
B1B534	Ensembl:Si036003m.g
B7E8M5	Ensembl:Si036098m.g
B7EA04	Ensembl:Si010650m.g
B7EJ81	Ensembl:Si029604m.g
B7EM10	Ensembl:Si029973m.g Ensembl:Si032149m.g
B7F409	Ensembl:Si021880m.g
B7F4K3	Ensembl:Si030203m.g
B7F7B9	Ensembl:Si016229m.g
B7F8T0	Ensembl:Si022608m.g
B7F956	Ensembl:Si004014m.g Ensembl:Si004115m.g
B7F9K3	Ensembl:Si030203m.g
B7FA24	Ensembl:Si001050m.g Ensembl:Si001087m.g
B7FA34	Ensembl:Si021841m.g
B7FA90	Ensembl:Si006528m.g
B7FAE9	Ensembl:Si007214m.g
B7FAP2	Ensembl:Si004704m.g
B8ACC6	Ensembl:Si004162m.g
B8AG62	Ensembl:Si022131m.g
B8AHI9	Ensembl:Si020486m.g
B8AT82	Ensembl:Si009245m.g
B8AY22	Ensembl:Si022755m.g
B8AZ97	Ensembl:Si021883m.g
B8B8K7	Ensembl:Si032667m.g
B8BB38	Ensembl:Si013961m.g
B8BF84	Ensembl:Si029154m.g
B9EUK4	Ensembl:Si000540m.g
B9EZJ8	Ensembl:Si003842m.g
B9F8T8	Ensembl:Si034266m.g
B9FRT6	Ensembl:Si006353m.g
B9FYX6	Ensembl:Si013323m.g
B9FZ46	Ensembl:Si013462m.g
B9G3A7	Ensembl:Si028904m.g
B9G4Z8	Ensembl:Si029957m.g
B9G6J6	Ensembl:Si034798m.g
C7IWK8	Ensembl:Si001292m.g
C7IXG8	Ensembl:Si001253m.g
C7J0P3	Ensembl:Si038774m.g
C7J5F5	Ensembl:Si014128m.g Ensembl:Si014238m.g Ensembl:Si014124m.g Ensembl:Si015229m.g Ensembl:Si014201m.g
