Gene stable ID	Physcomitrella patens gene stable ID	%id. target Physcomitrella patens gene identical to query gene	%id. query gene identical to target Physcomitrella patens gene
BAC19852	PP1S39_108V6	16	59.7701
BAC19862	PP1S352_57V6	56.0976	66.092
BAC19875	PP1S22_10V6	14.1414	84.3373
BAC19889	PP1S199_13V6	68.8797	8.56995
BAC19891	PP1S133_77V6	11.5044	20.8556
BAC19891	PP1S371_16V6	11.2094	22.7545
BAC19893	PP1S247_16V6	34.1751	27.3217
CAA33909	PP1S24_200V6	23.0337	18.1416
CAA33909	PP1S83_83V6	23.0337	18.2222
CAA33910	PP1S39_108V6	8.83978	36.7816
CAA33933	PP1S135_91V6	42.6471	10.3387
CAA33952	PP1S456_23V6	45.7944	28.215
CAA33953	PP1S84_200V6	7.6	52.7778
CAA33973	PP1S27_263V6	34.252	75.6522
CAA33976	PP1S27_266V6	67.1233	66.2162
CAA33977	PP1S27_267V6	70.6977	93.8272
CAA33978	PP1S27_268V6	55.625	91.7526
CAA33979	PP1S169_65V6	27.5964	20.6667
CAA33984	PP1S2377_1V6	76.4706	66.6667
CAA33986	PP1S20_365V6	4.27907	54.1176
CAA33987	PP1S997_1V6	20.6745	63.8009
CAA33988	PP1S207_89V6	6.67548	48.5577
CAA33989	PP1S207_90V6	62.2881	62.2881
CAA34000	PP1S104_73V6	28.8618	35.3234
CAA34000	PP1S224_39V6	28.8618	35.3234
CAA34015	PP1S2168_2V6	75.8064	75.8064
Os01g0100100	PP1S346_15V6	37.1795	36.4525
Os01g0100400	PP1S136_116V6	48.0607	48.3871
Os01g0100600	PP1S533_4V6	30.1408	29.235
Os01g0100700	PP1S101_208V6	87.5	89.2857
Os01g0100700	PP1S10_385V6	87.5	89.2857
Os01g0100700	PP1S114_143V6	87.5	89.2857
Os01g0100700	PP1S114_146V6	87.5	89.2857
Os01g0100700	PP1S400_33V6	87.5	89.2857
Os01g0100800	PP1S129_157V6	21.0674	23.2919
Os01g0100800	PP1S257_33V6	20.2247	20.339
Os01g0100800	PP1S51_73V6	17.6966	19.7492
