Gene stable ID	Arabidopsis lyrata gene stable ID	%id. target Arabidopsis lyrata gene identical to query gene	%id. query gene identical to target Arabidopsis lyrata gene
BAC19853	fgenesh2_kg.5__730__AT2G07687.1	89.6429	94.717
BAC19854	scaffold_603092.1	70.5584	72.3958
BAC19854	scaffold_900012.1	70.0508	69
BAC19857	fgenesh2_kg.6__2836__AT2G07696.1	89.1892	89.1892
BAC19863	fgenesh2_kg.3__2967__ATMG00900.1	77.9167	83.1111
BAC19865	fgenesh1_pm.C_scaffold_3002395	33.0855	74.7899
BAC19867	scaffold_303454.1	29.8611	34.2629
BAC19871	scaffold_303455.1	70.3226	91.5966
BAC19872	scaffold_303456.1	88	88
BAC19874	fgenesh2_kg.3__306__AT3G03600.1	19.2547	42.4658
BAC19875	fgenesh1_pm.C_scaffold_3002392	82.4242	88.3117
BAC19876	fgenesh1_pg.C_scaffold_8000176	56.1538	56.8093
BAC19885	fgenesh2_kg.5__735__AT2G07671.1	86.6667	82.2785
BAC19888	scaffold_603093.1	93	93
BAC19889	scaffold_303571.1	72.1992	9.04836
BAC19899	Al_scaffold_0003_3567	48.5265	88.2143
CAA33908	scaffold_900032.1	75	75
CAA33909	fgenesh1_pm.C_scaffold_9000098	74.7191	77.3256
CAA33910	fgenesh1_pm.C_scaffold_9000099	77.9006	78.1163
CAA33911	scaffold_900034.1	85.4962	85.4962
CAA33912	Al_scaffold_0009_187	67.7778	69.3182
CAA33919	scaffold_104084.1	82.6923	83.2258
CAA33919	scaffold_201137.1	82.6923	83.2258
CAA33919	scaffold_703398.1	82.0513	82.5806
CAA33919	scaffold_900036.1	82.6923	83.2258
CAA33923	Al_scaffold_0002_933	84.9462	84.9462
CAA33923	fgenesh1_pm.C_scaffold_2000598	84.9462	84.9462
CAA33923	fgenesh2_kg.1__3272__ATCG01300.1	70.9677	71.7391
CAA33923	scaffold_401357.1	84.9462	84.9462
CAA33924	Al_scaffold_0002_934	87.5458	87.2263
CAA33924	fgenesh1_pm.C_scaffold_2000597	83.8828	85.1301
CAA33924	fgenesh2_kg.1__3273__ATCG00830.1	76.1905	85.2459
CAA33927	Al_scaffold_0001_3175	33.3333	63.2653
CAA33927	Al_scaffold_0002_935	33.3333	63.2653
CAA33928	Al_scaffold_0002_934	87.5458	87.2263
CAA33928	fgenesh1_pm.C_scaffold_2000597	83.8828	85.1301
CAA33928	fgenesh2_kg.1__3273__ATCG00830.1	76.1905	85.2459
CAA33930	fgenesh1_pm.C_scaffold_6002488	42.9907	32.3944
CAA33931	scaffold_201005.1	76.4706	77.6119
CAA33931	scaffold_201123.1	76.4706	77.6119
CAA33932	scaffold_105686.1	82.1138	82.7869
CAA33932	scaffold_201004.1	83.7398	84.4262
CAA33932	scaffold_201124.1	82.9268	83.6066
CAA33933	Al_scaffold_0001_5263	83.8235	84.4444
CAA33933	Al_scaffold_0002_938	83.8235	84.4444
CAA33933	Al_scaffold_0004_1304	66.9118	31.3793
CAA33933	fgenesh2_kg.2__746__ATCG00790.1	47.0588	78.0488
CAA33934	fgenesh2_kg.1__3276__ATCG00800.1	43.0962	64.375
CAA33934	fgenesh2_kg.2__679__ATCG00800.1	43.5146	65
CAA33934	fgenesh2_kg.2__747__ATCG00800.1	27.1967	59.633
CAA33934	scaffold_500992.1	21.3389	64.557
CAA33935	fgenesh1_pm.C_scaffold_2000530	41.6107	38.75
CAA33935	fgenesh1_pm.C_scaffold_2000596	41.6107	38.75
CAA33935	fgenesh2_kg.1__3275__ATCG00810.1	40.2685	37.9747
CAA33938	Al_scaffold_0002_933	84.9462	84.9462
CAA33938	fgenesh1_pm.C_scaffold_2000598	84.9462	84.9462
CAA33938	fgenesh2_kg.1__3272__ATCG01300.1	70.9677	71.7391
CAA33938	scaffold_401357.1	84.9462	84.9462
CAA33942	scaffold_104084.1	82.6923	83.2258
CAA33942	scaffold_201137.1	82.6923	83.2258
CAA33942	scaffold_703398.1	82.0513	82.5806
CAA33942	scaffold_900036.1	82.6923	83.2258
CAA33948	Al_scaffold_0009_187	67.7778	69.3182
CAA33952	scaffold_900029.1	66.6667	65.2439
CAA33954	fgenesh2_kg.9__98__ATCG01060.1	61.7284	92.5926
