Gene stable ID	Oryza longistaminata gene stable ID	% identity	Oryza longistaminata % identity	Orthology confidence [0 low, 1 high]
OS01G0100100	KN541486.1_FG001	96	97	1
OS01G0100500	KN538826.1_FG004	99	99	1
OS01G0100600	KN538826.1_FG013	90	62	0
OS01G0100800	KN538826.1_FG020	58	66	0
OS01G0100900	KN538826.1_FG012	15	78	1
OS01G0100900	KN538826.1_FG024	69	83	1
OS01G0101150	KN538826.1_FG003	95	72	1
OS01G0101300	KN538826.1_FG019	94	99	1
OS01G0101600	KN538826.1_FG014	99	99	1
OS01G0101800	KN538826.1_FG022	85	81	1
OS01G0101900	KN538826.1_FG001	100	100	1
OS01G0102000	KN538826.1_FG015	68	97	1
OS01G0102300	KN538826.1_FG009	79	65	1
OS01G0102400	KN538826.1_FG018	94	44	1
OS01G0102700	KN538886.1_FG019	57	60	0
OS01G0102800	KN538826.1_FG016	75	61	1
OS01G0102900	KN538826.1_FG010	92	92	1
OS01G0103000	KN538826.1_FG005	99	99	1
OS01G0103100	KN538826.1_FG008	78	33	1
OS01G0103700	KN538826.1_FG053	58	11	1
OS01G0103800	KN538826.1_FG023	98	98	1
OS01G0103900	KN538826.1_FG017	59	58	1
OS01G0104000	KN538826.1_FG002	97	98	1
OS01G0104100	KN538826.1_FG006	80	97	0
OS01G0104200	KN538826.1_FG011	73	91	1
OS01G0104400	KN538826.1_FG021	91	89	1
OS01G0104500	KN538826.1_FG063	96	95	1
OS01G0104800	KN538826.1_FG049	92	88	1
OS01G0104900	KN538826.1_FG060	37	97	1
OS01G0105400	KN540918.1_FG001	55	19	1
OS01G0105700	KN538826.1_FG062	73	94	1
OS01G0105800	KN538826.1_FG055	97	84	1
OS01G0105900	KN538826.1_FG052	99	99	1
OS01G0106200	KN538826.1_FG054	59	95	1
OS01G0106300	KN546717.1_FG001	53	99	0
OS01G0106400	AMDW01020000.1_FG001	24	99	1
OS01G0106400	KN538831.1_FG056	96	97	1
OS01G0106500	KN538831.1_FG061	96	96	1
OS01G0106600	KN538831.1_FG050	84	87	1
OS01G0106600	KN538831.1_FG055	88	90	1
OS01G0106600	KN538831.1_FG060	85	86	1
OS01G0106700	KN538831.1_FG053	84	76	1
OS01G0106900	KN538831.1_FG021	99	84	1
OS01G0107000	KN538831.1_FG011	84	90	1
OS01G0107700	KN538831.1_FG023	94	99	1
OS01G0107900	KN538831.1_FG008	98	95	1
OS01G0108000	KN538831.1_FG005	94	99	1
OS01G0108200	KN538831.1_FG010	93	98	0
OS01G0108400	KN538831.1_FG016	72	84	1
OS01G0108800	KN538831.1_FG018	52	20	1
OS01G0109300	KN538831.1_FG009	90	94	0
OS01G0109500	KN538831.1_FG001	77	97	1
OS01G0109700	KN538831.1_FG014	99	92	1
OS01G0109750	KN538831.1_FG019	82	78	0
OS01G0110100	KN538831.1_FG024	97	95	1
OS01G0110400	KN538831.1_FG020	91	93	1
OS01G0110500	KN538831.1_FG013	48	100	1
OS01G0110600	KN538831.1_FG004	93	80	1
OS01G0110700	KN539550.1_FG010	57	100	0
OS01G0110800	KN539550.1_FG006	75	85	1
OS01G0111200	KN539550.1_FG009	91	76	0
OS01G0111400	KN539550.1_FG013	98	82	1
OS01G0111500	KN539550.1_FG001	56	99	1
OS01G0111600	KN539550.1_FG004	98	98	1
OS01G0111700	KN539550.1_FG008	42	85	0
OS01G0112100	KN539550.1_FG011	47	99	1
OS01G0112400	KN539550.1_FG007	62	94	0
OS01G0112500	KN539550.1_FG012	77	90	0
OS01G0112800	KN539608.1_FG012	98	63	1
OS01G0113300	KN539608.1_FG003	62	99	1
OS01G0113350	KN539608.1_FG011	75	97	1
OS01G0113400	KN542686.1_FG002	84	97	1
OS01G0113500	KN542686.1_FG003	73	96	1
OS01G0113650	KN542686.1_FG004	96	97	1
OS01G0113700	KN539608.1_FG010	84	96	1
OS01G0113700	KN542686.1_FG001	35	100	1
OS01G0113800	KN539608.1_FG005	94	99	1
OS01G0113900	AMDW01137281.1_FG001	7	21	1
OS01G0114400	KN540443.1_FG006	94	44	1
OS01G0114900	KN539608.1_FG009	93	43	1
OS01G0115200	KN540268.1_FG002	65	63	1
OS01G0115500	KN540443.1_FG007	66	37	1
OS01G0115566	AMDW01137281.1_FG001	3	6	1
OS01G0115600	KN540443.1_FG005	92	98	1
OS01G0115700	KN540443.1_FG002	91	86	1
OS01G0115750	KN540443.1_FG008	87	86	1
OS01G0116400	KN541063.1_FG001	88	97	1
OS01G0116600	KN541063.1_FG002	91	79	1
OS01G0116800	KN541063.1_FG003	95	51	0
OS01G0116900	KN542712.1_FG001	81	66	1
OS01G0116900	KN543972.1_FG001	63	94	1
OS01G0117000	KN542712.1_FG003	69	93	1
OS01G0117100	KN540162.1_FG004	84	50	1
OS01G0117200	KN540162.1_FG007	87	99	1
OS01G0117266	KN544357.1_FG001	50	25	1
OS01G0117300	KN540162.1_FG005	89	56	1
OS01G0117400	KN543972.1_FG002	97	51	0
OS01G0117500	KN541629.1_FG002	65	55	1
OS01G0117600	KN541629.1_FG005	75	85	1
OS01G0117700	KN541629.1_FG001	86	86	1
OS01G0117900	KN541414.1_FG004	99	99	1
OS01G0117900	KN542539.1_FG003	99	98	1
OS01G0118000	AMDW01038289.1_FG001	33	100	1
OS01G0118000	KN541414.1_FG001	38	96	1
OS01G0118100	KN540570.1_FG001	100	74	1
OS01G0118300	AMDW01036627.1_FG001	0	0	0
OS01G0118400	KN540570.1_FG002	61	94	1
OS01G0118600	KN539633.1_FG010	92	97	1
OS01G0118700	KN539633.1_FG010	30	29	1
OS01G0119000	KN539633.1_FG010	0	0	1
OS01G0119100	KN539633.1_FG010	26	28	1
OS01G0120300	KN539633.1_FG008	90	66	1
OS01G0120500	KN539633.1_FG005	56	31	1
OS01G0120800	KN539633.1_FG011	89	87	1
OS01G0121100	KN539633.1_FG002	87	98	1
OS01G0121200	KN539633.1_FG007	65	54	1
OS01G0121300	KN540446.1_FG005	80	76	1
