Gene stable ID	Prunus persica gene stable ID	%id. target Prunus persica gene identical to query gene	%id. query gene identical to target Prunus persica gene
BAC19863	PRUPE_1G175300	70.8333	79.4393
BAC19887	PRUPE_2G123500	55.914	35.1351
BAC19889	PRUPE_4G271000	73.444	9.5315
BAC19894	PRUPE_5G026600	7.56881	45.2055
CAA33918	PRUPE_6G146800	62.7907	81.8182
CAA33919	PRUPE_4G252200	52.5641	81.1881
CAA33927	PRUPE_4G266600	43.0108	55.5556
CAA33930	PRUPE_4G182300	42.9907	30.4636
CAA33930	PRUPE_4G182400	39.2523	24.8521
CAA33932	PRUPE_6G016800	36.5854	52.3256
CAA33942	PRUPE_4G252200	52.5641	81.1881
CAA33952	PRUPE_5G061000	30.2181	73.4848
CAA33960	PRUPE_7G029500	42.1739	61.3924
CAA33973	PRUPE_7G029800	60.0394	74.7549
CAA33976	PRUPE_7G021700	75.3425	74.3243
CAA33977	PRUPE_1G203800	87.907	92.1951
CAA33999	PRUPE_1G270900	48.4277	81.0526
CAA34000	PRUPE_1G414100	30.0813	34.5794
CAA34015	PRUPE_2G104500	85.4839	85.4839
Os01g0100100	PRUPE_1G200000	53.1339	52.983
Os01g0100400	PRUPE_2G278000	60.2024	60.3041
Os01g0100400	PRUPE_5G075700	63.0691	63.2826
Os01g0100400	PRUPE_8G189700	65.43	65.9864
Os01g0100500	PRUPE_6G359100	47.3282	38.8715
Os01g0100600	PRUPE_6G359200	34.9296	38.2716
Os01g0100700	PRUPE_1G502000	86	80
Os01g0100700	PRUPE_7G086600	87	79.8165
Os01g0100700	PRUPE_7G086700	86	80.3738
Os01g0100800	PRUPE_1G223300	26.9663	27.7457
Os01g0100900	PRUPE_1G222900	72.7273	72.5926
Os01g0101150	PRUPE_3G313000	48.8889	48.1166
Os01g0101300	PRUPE_5G151700	66.0934	63.8955
Os01g0101600	PRUPE_1G163200	39.9795	39.2965
Os01g0101700	PRUPE_1G163300	38.2979	34.7826
Os01g0101800	PRUPE_1G169400	18.3432	14.0749
Os01g0102000	PRUPE_5G149800	50.5682	56.5678
Os01g0102300	PRUPE_5G150000	36.1868	40.9692
Os01g0102400	PRUPE_3G149300	8.55107	17.0616
Os01g0102500	PRUPE_1G222300	62.9518	58.5434
Os01g0102600	PRUPE_3G310900	35.6877	32.3232
Os01g0102700	PRUPE_3G311500	43.9024	45.9184
Os01g0102800	PRUPE_8G221300	68.157	51.3136
Os01g0102900	PRUPE_1G216700	45.3125	40.8451
Os01g0103000	PRUPE_1G550400	75.431	73.8397
Os01g0103100	PRUPE_1G213600	64.1914	61.0675
Os01g0103600	PRUPE_1G211800	60.274	58.4071
Os01g0103700	PRUPE_3G104300	29.1667	4.27948
Os01g0103800	PRUPE_5G000400	43.6149	46.3466
Os01g0103900	PRUPE_5G138400	48.1172	35.2761
Os01g0104000	PRUPE_7G025300	63.6036	63.8336
Os01g0104100	PRUPE_2G051700	54.067	64.5714
Os01g0104400	PRUPE_7G001300	45.5224	37.6543
Os01g0104500	PRUPE_7G001400	42.5	29.6296
Os01g0104600	PRUPE_2G049900	65.7534	62.9213
Os01g0104800	PRUPE_1G206800	38.9147	37.6312
Os01g0104900	PRUPE_1G374800	49.5727	49.5727
Os01g0105700	PRUPE_1G375000	26.2887	22.2707
Os01g0105800	PRUPE_7G111000	73.913	75.5556
Os01g0105900	PRUPE_1G376800	68.3377	63.7931
Os01g0106200	PRUPE_1G377000	73.4694	75
Os01g0106200	PRUPE_7G157300	66.8367	65.8291
Os01g0106200	PRUPE_8G094300	69.3878	70.4663
Os01g0106700	PRUPE_5G173600	49.305	39.8546
Os01g0106900	PRUPE_5G174000	82.4524	82.4524
Os01g0107700	PRUPE_5G065600	49.4545	50
Os01g0107900	PRUPE_5G174800	48.9633	46.5152
Os01g0108000	PRUPE_4G196300	46.438	44.2767
Os01g0108000	PRUPE_4G288600	49.3404	48.3829
Os01g0108200	PRUPE_1G357500	70.6849	62.3188
Os01g0108200	PRUPE_1G357700	68.3562	66.8901
Os01g0108400	PRUPE_5G175200	25.3275	31.1828
Os01g0108400	PRUPE_5G175300	24.0175	29.5699
Os01g0108600	PRUPE_5G175200	35.7143	43.0108
