Gene stable ID	Oryza nivara gene stable ID	% identity	Oryza nivara % identity	Orthology confidence [0 low, 1 high]
OS01G0100100	ONIVA01G00100	92	94	0
OS01G0100200	ONIVA02G14150	60	69	0
OS01G0100300	ONIVA01G00110	85	76	1
OS01G0100400	ONIVA01G00120	100	84	0
OS01G0100500	ONIVA01G00130	34	100	1
OS01G0100600	ONIVA01G00140	96	96	0
OS01G0100700	ONIVA01G00150	100	100	1
OS01G0100800	ONIVA01G00160	61	69	1
OS01G0100900	ONIVA01G00170	100	100	1
OS01G0101150	ONIVA09G12830	100	70	0
OS01G0101300	ONIVA09G12820	95	100	1
OS01G0101600	ONIVA09G12790	100	100	1
OS01G0101700	ONIVA09G12770	94	93	1
OS01G0101800	ONIVA09G12760	100	100	0
OS01G0101900	ONIVA09G12750	100	100	1
OS01G0102000	ONIVA09G12740	99	99	0
OS01G0102300	ONIVA09G12730	100	100	1
OS01G0102400	ONIVA09G12720	99	98	0
OS01G0102500	ONIVA07G16830	28	54	0
OS01G0102500	ONIVA09G12710	94	56	0
OS01G0102700	ONIVA09G12700	74	80	0
OS01G0102800	ONIVA09G12690	91	71	0
OS01G0103000	ONIVA09G12680	100	100	0
OS01G0103100	ONIVA09G12670	100	100	1
OS01G0103600	ONIVA01G00190	100	59	0
OS01G0103700	ONIVA01G00180	18	13	1
OS01G0103800	ONIVA01G00210	100	100	1
OS01G0103900	ONIVA01G00220	99	71	0
OS01G0104000	ONIVA01G00230	100	100	1
OS01G0104200	ONIVA01G00250	91	92	0
OS01G0104400	ONIVA01G00270	88	87	1
OS01G0104500	ONIVA01G00280	84	83	0
OS01G0104600	ONIVA01G00290	96	100	1
OS01G0104900	ONIVA01G00310	89	92	0
OS01G0105400	ONIVA01G00320	13	6	0
OS01G0105700	ONIVA01G00330	99	99	1
OS01G0105800	ONIVA01G00350	99	84	1
OS01G0105900	ONIVA01G00360	100	100	1
OS01G0106200	ONIVA01G00390	100	100	0
OS01G0106300	ONIVA01G00400	100	100	0
OS01G0106400	ONIVA01G00410	100	100	1
OS01G0106500	ONIVA01G00420	100	99	1
OS01G0106600	ONIVA01G00430	94	98	1
OS01G0106700	ONIVA01G00440	92	83	1
OS01G0106800	ONIVA01G00450	100	100	1
OS01G0106900	ONIVA01G00460	100	100	1
OS01G0107000	ONIVA01G00470	98	99	1
OS01G0107700	ONIVA01G00520	86	90	0
OS01G0107900	ONIVA01G00530	99	100	1
OS01G0108200	ONIVA01G00540	96	43	0
OS01G0108400	ONIVA01G00550	92	37	1
OS01G0108600	ONIVA01G00560	96	94	1
OS01G0108800	ONIVA01G00580	63	51	0
OS01G0109300	ONIVA01G00610	100	87	0
OS01G0109700	ONIVA01G00640	99	86	1
OS01G0109750	ONIVA01G00650	99	99	1
OS01G0110100	ONIVA01G00670	100	100	1
OS01G0110200	ONIVA01G00680	100	97	1
OS01G0110400	ONIVA01G00690	100	100	1
OS01G0110500	ONIVA01G00700	84	83	1
OS01G0110700	ONIVA01G00710	100	100	1
OS01G0110800	ONIVA01G00720	96	96	1
OS01G0111000	ONIVA01G00730	79	73	1
OS01G0111100	ONIVA01G00740	100	100	1
OS01G0111200	ONIVA01G00750	97	87	0
OS01G0111500	ONIVA01G00780	97	99	1
OS01G0111600	ONIVA01G00790	99	99	1
OS01G0111700	ONIVA01G00800	99	99	1
OS01G0111800	ONIVA01G00830	91	88	0
OS01G0111900	ONIVA01G00840	100	100	1
OS01G0112000	ONIVA01G00850	100	79	1
OS01G0112100	ONIVA01G00860	99	90	0
OS01G0112400	ONIVA01G00880	87	88	1
OS01G0112500	ONIVA01G00890	96	93	0
OS01G0112800	ONIVA01G00920	85	98	1
OS01G0113150	ONIVA01G00920	79	63	1
OS01G0113200	ONIVA01G00950	98	63	0
OS01G0113300	ONIVA01G00960	98	95	0
OS01G0113350	ONIVA01G08800	38	31	0
OS01G0113350	ONIVA01G08810	40	31	0
OS01G0113400	ONIVA01G00990	94	86	0
OS01G0113650	ONIVA01G08800	39	31	0
OS01G0113650	ONIVA01G08810	40	31	0
OS01G0113700	ONIVA01G01000	86	98	0
OS01G0114100	ONIVA01G01040	94	94	0
OS01G0114600	ONIVA07G09320	90	65	1
OS01G0114900	ONIVA07G09300	61	100	1
OS01G0115100	ONIVA07G09240	79	78	1
OS01G0115500	ONIVA01G01120	83	28	1
OS01G0115566	ONIVA01G01210	45	29	0
OS01G0115600	ONIVA01G01100	58	96	0
OS01G0115700	ONIVA01G01090	91	90	0
OS01G0115750	ONIVA01G01080	85	85	1
OS01G0115800	ONIVA01G01210	39	30	0
OS01G0115900	ONIVA01G01190	98	98	1
OS01G0116000	ONIVA01G01160	92	96	1
OS01G0116200	ONIVA01G01140	81	81	1
OS01G0116900	ONIVA01G01280	75	63	1
OS01G0117000	ONIVA01G01320	26	77	0
OS01G0117100	ONIVA01G01290	98	77	1
OS01G0117200	ONIVA01G01260	96	36	1
OS01G0117400	ONIVA01G01330	86	11	1
OS01G0117500	ONIVA01G01300	64	31	1
OS01G0117700	ONIVA01G01340	87	29	0
OS01G0117900	ONIVA01G01360	99	99	0
OS01G0118000	ONIVA01G01370	100	100	1
OS01G0118100	ONIVA01G01380	100	64	0
OS01G0118300	ONIVA01G01390	86	45	1
OS01G0118400	ONIVA01G01400	97	93	0
OS01G0119000	ONIVA01G01410	100	29	1
OS01G0119100	ONIVA01G01420	99	85	1
OS01G0119500	ONIVA01G01440	100	100	1
OS01G0120300	ONIVA01G01490	97	80	0
OS01G0120400	ONIVA01G01500	99	99	0
OS01G0120500	ONIVA01G01510	99	99	0
OS01G0120600	ONIVA01G01520	76	78	0
OS01G0120700	ONIVA01G01530	100	100	1
OS01G0120800	ONIVA01G01540	91	47	0
OS01G0121000	ONIVA01G01550	100	100	1
OS01G0121100	ONIVA01G01560	99	100	1
OS01G0121200	ONIVA01G01570	100	100	1
OS01G0121300	ONIVA01G01580	100	100	1
OS01G0121500	ONIVA01G01590	83	63	0
OS01G0121600	ONIVA01G01600	85	86	0
OS01G0121700	ONIVA01G01610	97	95	0
OS01G0121800	ONIVA01G01620	99	100	1
OS01G0121950	ONIVA01G01630	96	94	1
OS01G0122701	ONIVA01G01670	17	5	0
OS01G0123700	ONIVA01G01710	52	55	0
OS01G0123800	ONIVA01G01760	47	95	1
OS01G0123900	ONIVA01G01770	96	99	1
OS01G0124401	ONIVA02G26920	22	22	0
OS01G0124600	ONIVA01G01800	66	33	0
OS01G0124900	ONIVA01G01820	81	29	0
OS01G0125500	ONIVA01G01830	88	82	0
OS01G0125550	ONIVA01G01840	53	58	0
OS01G0125600	ONIVA01G01850	100	100	1
OS01G0125700	ONIVA01G01860	100	100	0
OS01G0125800	ONIVA01G01870	100	100	0
OS01G0125900	ONIVA01G01880	100	97	1
OS01G0126100	ONIVA01G01890	100	100	1
OS01G0126200	ONIVA01G01900	100	100	0
OS01G0126600	ONIVA01G01910	100	68	0
OS01G0126900	ONIVA01G01920	97	98	1
OS01G0127000	ONIVA01G01930	81	28	0
OS01G0127300	ONIVA01G01940	99	99	0
OS01G0127400	ONIVA01G01950	91	69	0
OS01G0127600	ONIVA01G01960	96	98	0
OS01G0127900	ONIVA01G01980	100	90	1
OS01G0128000	ONIVA01G01990	99	99	1
OS01G0128100	ONIVA01G02000	99	92	0
OS01G0128200	ONIVA01G02010	100	100	0
OS01G0128300	ONIVA01G02020	96	88	0
OS01G0128400	ONIVA01G02030	100	99	1
OS01G0128800	ONIVA01G02060	85	24	0
OS01G0129200	ONIVA01G02080	92	98	0
OS01G0129500	ONIVA01G02100	99	100	1
OS01G0129600	ONIVA01G02110	69	76	0
OS01G0130000	ONIVA01G02120	82	73	0
OS01G0130200	ONIVA01G02140	100	97	1
OS01G0130400	ONIVA01G02150	100	100	1
OS01G0130900	ONIVA01G02180	98	98	1
OS01G0131300	ONIVA01G02200	100	100	0
OS01G0131600	ONIVA01G02210	100	91	1
OS01G0132000	ONIVA01G02230	100	48	1
OS01G0132100	ONIVA01G02240	96	92	1
OS01G0132200	ONIVA01G02270	100	100	1
OS01G0132400	ONIVA01G02280	99	98	1
OS01G0132700	ONIVA01G02300	99	99	0
OS01G0132766	ONIVA01G02310	100	100	0
OS01G0132800	ONIVA01G02320	93	90	0
OS01G0133100	ONIVA01G02330	94	70	1
OS01G0133200	ONIVA01G02340	100	100	0
OS01G0133400	ONIVA01G02350	100	94	1
OS01G0133500	ONIVA01G02360	93	96	1
OS01G0133600	ONIVA01G02370	99	99	1
OS01G0133700	ONIVA01G02380	99	54	1
OS01G0134200	ONIVA05G17330	7	8	0
OS01G0134200	ONIVA07G19330	1	8	0
OS01G0134500	ONIVA01G02420	100	100	1
OS01G0134700	ONIVA01G02440	99	99	0
OS01G0134800	ONIVA01G02450	96	32	0
OS01G0135700	ONIVA01G02470	100	100	1
OS01G0135800	ONIVA01G02480	100	100	1
OS01G0135900	ONIVA01G02490	99	98	1
OS01G0136000	ONIVA01G02500	99	99	1
OS01G0136200	ONIVA01G02670	100	100	1
OS01G0136300	ONIVA01G02680	100	100	1
OS01G0136400	ONIVA01G02700	66	51	0
OS01G0136500	ONIVA01G02710	59	19	0
OS01G0136800	ONIVA01G02720	93	43	0
OS01G0137550	ONIVA01G02780	73	25	1
OS01G0138500	ONIVA01G02820	99	96	1
OS01G0138600	ONIVA01G02830	100	62	1
OS01G0138800	ONIVA01G02850	100	100	1
OS01G0138900	ONIVA01G02860	100	91	1
OS01G0139000	ONIVA01G02870	99	99	0
OS01G0139200	ONIVA01G02880	100	100	1
OS01G0139600	ONIVA01G02890	54	90	0
OS01G0139700	ONIVA01G02900	100	100	0
OS01G0139900	ONIVA01G02910	99	99	0
OS01G0140100	ONIVA01G02930	98	99	0
OS01G0140400	ONIVA01G02940	92	93	0
OS01G0140500	ONIVA01G02950	59	48	1
OS01G0140700	ONIVA01G02970	99	100	1
OS01G0141000	ONIVA01G02990	96	95	0
OS01G0141100	ONIVA01G03000	100	36	0
OS01G0141600	ONIVA01G29460	76	46	0
OS01G0141700	ONIVA01G29450	99	98	0
OS01G0141900	ONIVA01G29440	94	95	0
OS01G0142100	ONIVA01G29430	99	99	1
OS01G0142200	ONIVA01G29420	99	99	1
OS01G0142300	ONIVA01G29410	100	100	1
OS01G0142500	ONIVA01G29400	100	100	1
OS01G0143100	ONIVA01G03060	100	100	1
OS01G0143300	ONIVA01G03080	100	100	1
OS01G0143400	ONIVA01G03090	78	73	1
OS01G0143800	ONIVA01G03110	78	42	0
OS01G0144000	ONIVA01G03120	73	45	1
OS01G0144200	ONIVA01G03140	89	89	0
OS01G0144300	ONIVA01G03150	90	96	0
OS01G0144340	ONIVA01G03160	41	100	0
OS01G0144500	ONIVA01G03170	88	78	1
OS01G0144600	ONIVA01G03180	91	81	0
OS01G0145000	ONIVA01G03200	83	83	0
OS01G0146200	ONIVA01G03230	95	94	1
OS01G0147200	ONIVA01G03300	100	99	1
OS01G0147300	ONIVA01G03320	100	47	1
OS01G0147400	ONIVA01G03310	93	32	1
OS01G0147600	ONIVA01G03330	29	38	0
OS01G0147700	ONIVA01G03350	93	93	0
OS01G0147800	ONIVA01G03370	94	77	0
OS01G0147900	ONIVA01G03380	100	100	0
OS01G0148000	ONIVA01G03390	98	40	1
OS01G0148050	ONIVA01G03390	96	46	1
OS01G0148100	ONIVA01G03400	92	90	0
OS01G0148400	ONIVA01G03410	50	83	1
