Gene stable ID	Arabidopsis thaliana gene stable ID	%id. target Arabidopsis thaliana gene identical to query gene	%id. query gene identical to target Arabidopsis thaliana gene	Arabidopsis thaliana orthology confidence [0 low, 1 high]
BAC19852	AT2G07785	29.2308	95.9596	
BAC19852	ATMG01275	37.8462	95.3488	
BAC19853	AT2G07687	88.9286	93.9623	
BAC19853	ATMG00730	88.9286	93.9623	
BAC19854	ATMG00640	69.0355	70.8333	
BAC19857	AT2G07696	89.1892	89.1892	
BAC19857	ATMG01270	89.1892	89.1892	
BAC19860	AT2G07707	74.1936	72.7848	
BAC19860	ATMG00480	74.1936	72.7848	
BAC19862	ATMG00270	88.7805	88.7805	
BAC19863	AT2G07681	79.1667	25.8152	
BAC19863	AT2G07771	89.5833	83.9844	
BAC19863	ATMG00900	89.5833	83.9844	
BAC19865	ATMG00570	80.2974	75.5245	
BAC19867	AT2G07674	29.5139	26.2346	
BAC19867	ATMG01010	19.7917	48.3051	
BAC19871	AT2G07751	70.3226	92.3729	
BAC19871	ATMG00990	70.3226	91.5966	
BAC19872	AT2G07675	88	88	
BAC19872	ATMG00980	88	88	
BAC19874	AT3G03600	19.0476	42.0091	
BAC19875	ATMG00580	90.303	90.303	
BAC19876	ATMG00160	82.3077	82.3077	
BAC19880	AT2G07741	62.6866	54.5455	
BAC19880	ATMG00410	62.6866	54.5455	
BAC19880	ATMG01170	62.6866	60.1719	
BAC19883	AT2G07734	72.4432	70.442	
BAC19883	ATMG00290	72.4432	70.442	
BAC19885	AT2G07671	86.6667	76.4706	
BAC19885	ATMG01080	86.6667	76.4706	
BAC19887	AT5G47320	56.9892	25	
BAC19888	ATMG00650	93	93	
BAC19889	AT2G13680	72.1992	9.04836	
BAC19890	AT2G07727	92.9471	93.8931	
BAC19890	ATMG00220	92.9471	93.8931	
BAC19891	ATMG00520	83.4808	84.2262	
BAC19893	AT2G07768	19.5286	75.3247	
BAC19893	ATMG00960	31.3131	91.6256	
BAC19894	AT2G07815	7.11009	11.1111	
BAC19898	AT2G07725	77.6596	78.9189	
BAC19898	ATMG00210	77.6596	78.9189	
BAC19899	AT2G07698	87.6228	57.4003	
BAC19899	ATMG01190	88.2122	88.5602	
BAC19903	ATMG00110	87.8641	87.8641	
