Gene stable ID	Oryza glaberrima gene stable ID	% identity	Oryza glaberrima % identity	Orthology confidence [0 low, 1 high]
OS01G0100900	ORGLA01G0000100	74	98	1
OS01G0101150	ORGLA01G0000300	100	100	1
OS01G0101200	ORGLA01G0000400	100	100	1
OS01G0101300	ORGLA01G0000500	100	100	1
OS01G0101600	ORGLA01G0000700	100	100	1
OS01G0101700	ORGLA01G0000800	94	93	1
OS01G0101800	ORGLA01G0000900	100	99	1
OS01G0101900	ORGLA01G0001000	100	100	1
OS01G0102000	ORGLA01G0001100	98	98	1
OS01G0102300	ORGLA01G0001200	100	100	1
OS01G0102400	ORGLA01G0001300	97	96	1
OS01G0102500	ORGLA01G0001400	100	100	1
OS01G0102600	ORGLA01G0001500	100	100	1
OS01G0102700	ORGLA05G0001900	56	60	0
OS01G0102800	ORGLA01G0001700	92	71	0
OS01G0102900	ORGLA01G0001800	100	100	1
OS01G0103000	ORGLA01G0001900	95	94	1
OS01G0103100	ORGLA01G0002000	100	100	1
OS01G0103600	ORGLA01G0002100	99	99	1
OS01G0103700	ORGLA01G0002200	3	1	0
OS01G0103800	ORGLA01G0002300	100	98	1
OS01G0103900	ORGLA01G0002400	100	99	1
OS01G0104000	ORGLA01G0002500	99	99	1
OS01G0104100	ORGLA01G0002600	89	98	1
OS01G0104400	ORGLA01G0002800	100	92	1
OS01G0104500	ORGLA12G0187900	75	73	0
OS01G0104600	ORGLA01G0002900	99	99	1
OS01G0104800	ORGLA01G0003000	99	99	0
OS01G0104900	ORGLA01G0003100	96	96	0
OS01G0105700	ORGLA01G0003200	86	86	1
OS01G0105800	ORGLA01G0003300	95	98	1
OS01G0105900	ORGLA01G0003400	98	98	0
OS01G0106200	ORGLA01G0003500	100	100	1
OS01G0106300	ORGLA01G0003600	100	100	1
OS01G0106400	ORGLA01G0003700	100	100	1
OS01G0106500	ORGLA01G0003800	96	93	0
OS01G0106600	ORGLA01G0003900	98	98	1
OS01G0106700	ORGLA01G0004000	95	80	1
OS01G0106700	ORGLA07G0231400	25	92	1
OS01G0106800	ORGLA01G0004100	100	100	1
OS01G0106800	ORGLA07G0231300	100	100	1
OS01G0106900	ORGLA01G0004200	100	100	1
OS01G0106900	ORGLA07G0231200	97	97	1
OS01G0107000	ORGLA01G0004300	99	99	1
OS01G0107000	ORGLA07G0230200	99	99	1
OS01G0107700	ORGLA01G0004700	94	93	0
OS01G0107700	ORGLA07G0232400	54	89	0
OS01G0107900	ORGLA01G0004800	100	100	1
OS01G0107900	ORGLA07G0229800	95	99	1
OS01G0108000	ORGLA01G0004900	66	99	0
OS01G0108200	ORGLA01G0005000	99	99	0
OS01G0108400	ORGLA07G0232600	94	91	1
OS01G0108500	ORGLA01G0163900	75	84	1
OS01G0108600	ORGLA01G0005200	92	90	1
OS01G0108700	ORGLA01G0005300	96	87	1
OS01G0108800	ORGLA01G0005400	100	100	1
OS01G0108800	ORGLA01G0005500	3	3	1
OS01G0109300	ORGLA01G0005600	41	88	1
OS01G0109500	ORGLA01G0005800	100	100	1
OS01G0109700	ORGLA01G0006000	100	93	1
OS01G0109750	ORGLA01G0006100	99	99	1
OS01G0110100	ORGLA01G0006300	98	98	1
OS01G0110400	ORGLA01G0006500	99	99	1
OS01G0110500	ORGLA01G0006600	98	98	1
OS01G0110700	ORGLA01G0006700	100	100	1
OS01G0110800	ORGLA01G0006800	96	91	1
OS01G0111000	ORGLA01G0006900	73	68	0
OS01G0111100	ORGLA01G0007000	97	95	0
OS01G0111200	ORGLA01G0007100	99	99	0
OS01G0111400	ORGLA01G0007300	100	100	1
OS01G0111500	ORGLA01G0007400	97	100	1
OS01G0111600	ORGLA01G0007500	99	99	1
OS01G0111700	ORGLA01G0007600	99	98	1
OS01G0111800	ORGLA01G0007700	100	100	1
OS01G0111900	ORGLA01G0007800	100	100	1
OS01G0112000	ORGLA01G0007900	99	99	1
OS01G0112100	ORGLA01G0008000	99	98	1
OS01G0112400	ORGLA01G0008200	88	88	1
OS01G0112500	ORGLA01G0008300	99	99	1
OS01G0112600	ORGLA01G0008400	98	94	1
OS01G0112800	ORGLA01G0008500	93	63	1
OS01G0113150	ORGLA01G0008500	94	44	1
OS01G0113200	ORGLA01G0008600	98	63	0
OS01G0113300	ORGLA01G0008700	98	98	1
OS01G0113350	ORGLA01G0008800	78	93	1
OS01G0113400	ORGLA01G0008900	74	99	1
OS01G0113600	ORGLA01G0009000	99	99	1
OS01G0113700	ORGLA01G0009100	87	89	0
OS01G0113800	ORGLA01G0009200	99	99	1
OS01G0114400	ORGLA01G0009600	91	43	0
OS01G0114900	ORGLA01G0009700	79	41	0
OS01G0115100	ORGLA02G0341700	48	70	1
OS01G0115600	ORGLA01G0009300	92	92	0
OS01G0115800	ORGLA01G0009400	95	91	1
OS01G0116200	ORGLA01G0009600	91	90	0
OS01G0116600	ORGLA01G0010000	96	99	1
OS01G0116800	ORGLA01G0010100	96	57	0
OS01G0116900	ORGLA01G0010200	65	83	0
OS01G0117600	ORGLA01G0010300	95	97	1
OS01G0117700	ORGLA01G0010400	97	96	1
