A2XPN8	Ensembl:CCACVL1_09038
A2Y626	Ensembl:CCACVL1_28247
A2Y8A8	Ensembl:CCACVL1_02868 Ensembl:CCACVL1_05706
A2ZRY8	Ensembl:CCACVL1_22020
A2ZW27	Ensembl:CCACVL1_04016 Ensembl:CCACVL1_15804
A2ZWY7	Ensembl:CCACVL1_17171
A3AAR2	Ensembl:CCACVL1_12022
A3AC56	Ensembl:CCACVL1_06139
A3AQC6	Ensembl:CCACVL1_22799 Ensembl:CCACVL1_22798 Ensembl:CCACVL1_22794
A3B7R7	Ensembl:CCACVL1_11618
A3B9A0	Ensembl:CCACVL1_20765
A3BZ14	Ensembl:CCACVL1_06139
A3C6G9	Ensembl:CCACVL1_15148
A9CM06	Ensembl:CCACVL1_04737 Ensembl:CCACVL1_04645 Ensembl:CCACVL1_13206 Ensembl:CCACVL1_08779
B1B534	Ensembl:CCACVL1_14931
B7EA04	Ensembl:CCACVL1_16390
B7EJ81	Ensembl:CCACVL1_02502
B7EM10	Ensembl:CCACVL1_06294
B7ERE7	Ensembl:CCACVL1_23897 Ensembl:CCACVL1_23896
B7F4K3	Ensembl:CCACVL1_12093 Ensembl:CCACVL1_03965
B7F7B9	Ensembl:CCACVL1_17433 Ensembl:CCACVL1_09526
B7F8P7	Ensembl:CCACVL1_02564 Ensembl:CCACVL1_27531 Ensembl:CCACVL1_17981 Ensembl:CCACVL1_17982 Ensembl:CCACVL1_02563
B7F956	Ensembl:CCACVL1_17877 Ensembl:CCACVL1_17878 Ensembl:CCACVL1_01753 Ensembl:CCACVL1_17880 Ensembl:CCACVL1_17879 Ensembl:CCACVL1_02478
B7F9K3	Ensembl:CCACVL1_12093
B7FA90	Ensembl:CCACVL1_11084
B7FA99	Ensembl:CCACVL1_04737 Ensembl:CCACVL1_04645 Ensembl:CCACVL1_13206 Ensembl:CCACVL1_08779
B7FAE9	Ensembl:CCACVL1_23423
B7FAP2	Ensembl:CCACVL1_26888 Ensembl:CCACVL1_26885 Ensembl:CCACVL1_29585 Ensembl:CCACVL1_26887 Ensembl:CCACVL1_26886
B8AG62	Ensembl:CCACVL1_06957
B8AHI9	Ensembl:CCACVL1_02823 Ensembl:CCACVL1_29784
B8AY22	Ensembl:CCACVL1_12017
B8AZ97	Ensembl:CCACVL1_00588
B8B8K7	Ensembl:CCACVL1_18833
B8BB38	Ensembl:CCACVL1_29056
B8BF84	Ensembl:CCACVL1_03984
B9EUK4	Ensembl:CCACVL1_13412 Ensembl:CCACVL1_21900
B9EZJ8	Ensembl:CCACVL1_23192 Ensembl:CCACVL1_02417
B9F3B6	Ensembl:CCACVL1_03447
B9FRT6	Ensembl:CCACVL1_21334
B9FYX6	Ensembl:CCACVL1_18948
B9FZ46	Ensembl:CCACVL1_02868 Ensembl:CCACVL1_05706
B9G3A7	Ensembl:CCACVL1_12369 Ensembl:CCACVL1_14604
B9G4Z8	Ensembl:CCACVL1_27094
B9G6J6	Ensembl:CCACVL1_02868 Ensembl:CCACVL1_05706
B9G942	Ensembl:CCACVL1_24431
C7IWB6	Ensembl:CCACVL1_02196
C7IWK8	Ensembl:CCACVL1_03429
C7IXG8	Ensembl:CCACVL1_10614
C7IY93	Ensembl:CCACVL1_16373
C7J5F5	Ensembl:CCACVL1_20540
C7J5T9	Ensembl:CCACVL1_20540
C7J6Z0	Ensembl:CCACVL1_30739
D5A7J1	Ensembl:CCACVL1_24019
E3WF37	Ensembl:CCACVL1_20805
H6TFZ4	Ensembl:CCACVL1_30752 Ensembl:CCACVL1_24596
I1QJ08	Ensembl:CCACVL1_23279
I1QQP8	Ensembl:CCACVL1_24516
O04226	Ensembl:CCACVL1_25066
O04882	Ensembl:CCACVL1_02021 Ensembl:CCACVL1_11184
O22105	Ensembl:CCACVL1_16773
O22567	Ensembl:CCACVL1_28379
O24174	Ensembl:CCACVL1_14966
O24210	Ensembl:CCACVL1_08124
O64422	Ensembl:CCACVL1_21103 Ensembl:CCACVL1_21102
O64437	Ensembl:CCACVL1_01982
O82117	Ensembl:CCACVL1_29126
O82427	Ensembl:CCACVL1_00038
P0C132	Ensembl:CCACVL1_14423 Ensembl:CCACVL1_27614 Ensembl:CCACVL1_27296
P0C587	Ensembl:CCACVL1_30207
P14654	Ensembl:CCACVL1_31074 Ensembl:CCACVL1_01942
P14655	Ensembl:CCACVL1_27426
P14656	Ensembl:CCACVL1_24387
P14717	Ensembl:CCACVL1_17805 Ensembl:CCACVL1_20537 Ensembl:CCACVL1_05302
P15280	Ensembl:CCACVL1_07769
P16081	Ensembl:CCACVL1_17557
P17784	Ensembl:CCACVL1_12083
P17814	Ensembl:CCACVL1_29084 Ensembl:CCACVL1_18856
P18566	Ensembl:CCACVL1_12486 Ensembl:CCACVL1_13126 Ensembl:CCACVL1_13127 Ensembl:CCACVL1_13125
