A2X747	Ensembl:Zm00001d017186
A2XPN8	Ensembl:Zm00001d004513
A2Y626	Ensembl:Zm00001d038555
A2Y8A8	Ensembl:Zm00001d045599
A2ZRY8	Ensembl:Zm00001d008201 Ensembl:Zm00001d040541
A2ZW27	Ensembl:Zm00001d044035
A2ZWY7	Ensembl:Zm00001d039697
A3AAR2	Ensembl:Zm00001d051663
A3AC56	Ensembl:Zm00001d052060 Ensembl:Zm00001d018342
A3AQC6	Ensembl:Zm00001d006886
A3C4N5	Ensembl:Zm00001d032989
A4LBC0	Ensembl:Zm00001d011712
A9CM06	Ensembl:Zm00001d016441 Ensembl:Zm00001d053281
B1B534	Ensembl:Zm00001d032922
B7E8M5	Ensembl:Zm00001d027367
B7EA04	Ensembl:Zm00001d002338 Ensembl:Zm00001d026287
B7EJ81	Ensembl:Zm00001d005969
B7EM10	Ensembl:Zm00001d020953
B7ERE7	Ensembl:Zm00001d021403
B7F409	Ensembl:Zm00001d038275
B7F4K3	Ensembl:Zm00001d006889
B7F7B9	Ensembl:Zm00001d015570
B7F8P7	Ensembl:Zm00001d019734
B7F8T0	Ensembl:Zm00001d005026 Ensembl:Zm00001d025358 Ensembl:Zm00001d052392
B7F956	Ensembl:Zm00001d008990 Ensembl:Zm00001d008987 Ensembl:Zm00001d008985
B7F9K3	Ensembl:Zm00001d006889
B7FA24	Ensembl:Zm00001d045188
B7FA34	Ensembl:Zm00001d038891
B7FA90	Ensembl:Zm00001d046909
B7FAE9	Ensembl:Zm00001d037079
B7FAP2	Ensembl:Zm00001d039607 Ensembl:Zm00001d008764
B8ACC6	Ensembl:Zm00001d044094
B8AG62	Ensembl:Zm00001d002411
B8AHI9	Ensembl:Zm00001d035298 Ensembl:Zm00001d036437
B8AT82	Ensembl:Zm00001d003947 Ensembl:Zm00001d025240
B8B8K7	Ensembl:Zm00001d006875 Ensembl:Zm00001d022152
B8BB38	Ensembl:Zm00001d050417 Ensembl:Zm00001d032152
B8BF84	Ensembl:Zm00001d020396
B9EUK4	Ensembl:Zm00001d039267
B9EZJ8	Ensembl:Zm00001d011764
B9FRT6	Ensembl:Zm00001d045153
B9FYX6	Ensembl:Zm00001d049617
B9FZ46	Ensembl:Zm00001d024594 Ensembl:Zm00001d024595
B9G3A7	Ensembl:Zm00001d005687
B9G4Z8	Ensembl:Zm00001d025364 Ensembl:Zm00001d021413
B9G6J6	Ensembl:Zm00001d032504
C7IWK8	Ensembl:Zm00001d043153 Ensembl:Zm00001d012553
C7IXG8	Ensembl:Zm00001d043194
C7J0P3	Ensembl:Zm00001d039763
C7J5F5	Ensembl:Zm00001d031779
C7J6Z0	Ensembl:Zm00001d020220
D5A7I6	Ensembl:Zm00001d052442
D5A7J1	Ensembl:Zm00001d045219
E5RQA1	Ensembl:Zm00001d024909
I1QQP8	Ensembl:Zm00001d021297
O04226	Ensembl:Zm00001d038358 Ensembl:Zm00001d010056
O04882	Ensembl:Zm00001d043727 Ensembl:Zm00001d011673
O22105	Ensembl:Zm00001d034516 Ensembl:Zm00001d013048
O22567	Ensembl:Zm00001d038170
O24174	Ensembl:Zm00001d025626
O24210	Ensembl:Zm00001d034866
O64422	Ensembl:Zm00001d028562
O64437	Ensembl:Zm00001d028180 Ensembl:Zm00001d023601 Ensembl:Zm00001d048201 Ensembl:Zm00001d045455
O82427	Ensembl:Zm00001d027548 Ensembl:Zm00001d048356
P0C587	Ensembl:Zm00001d013915 Ensembl:Zm00001d026405 Ensembl:Zm00001d032532
P14654	Ensembl:Zm00001d028260 Ensembl:Zm00001d048050
P14656	Ensembl:Zm00001d051804 Ensembl:Zm00001d017958
P14717	Ensembl:Zm00001d017274 Ensembl:Zm00001d051161
P15280	Ensembl:Zm00001d025723 Ensembl:Zm00001d010157 Ensembl:Zm00001d050032 Ensembl:Zm00001d032385
P16081	Ensembl:Zm00001d031769 Ensembl:Zm00001d017025 Ensembl:Zm00001d049995
P17784	Ensembl:Zm00001d012103 Ensembl:Zm00001d042453
P17814	Ensembl:Zm00001d050224
P18566	Ensembl:Zm00001d004894 Ensembl:Zm00001d052595
P30298	Ensembl:Zm00001d045042
P31924	Ensembl:Zm00001d047253
P37833	Ensembl:Zm00001d043382
P38419	Ensembl:Zm00001d031449
P48642	Ensembl:Zm00001d018454
P93438	Ensembl:Zm00001d040697 Ensembl:Zm00001d009146
P93844	Ensembl:Zm00001d046508
Q01KF3	Ensembl:Zm00001d025644
Q01M39	Ensembl:Zm00001d038512
Q05JG2	Ensembl:Zm00001d017762 Ensembl:Zm00001d051554
Q0D3B6	Ensembl:Zm00001d007240
Q0D3D2	Ensembl:Zm00001d022579
Q0D3H8	Ensembl:Zm00001d022550
Q0D3T5	Ensembl:Zm00001d007107
Q0D4Z4	Ensembl:Zm00001d022021
Q0D7I3	Ensembl:Zm00001d019266
Q0D7J0	Ensembl:Zm00001d019256
Q0D7W4	Ensembl:Zm00001d019124
Q0D8I9	Ensembl:Zm00001d039341
Q0D8J6	Ensembl:Zm00001d007876 Ensembl:Zm00001d018819 Ensembl:Zm00001d042076
Q0DAA4	Ensembl:Zm00001d046953
Q0DAE1	Ensembl:Zm00001d046893
Q0DAJ3	Ensembl:Zm00001d036726 Ensembl:Zm00001d046805
Q0DBD3	Ensembl:Zm00001d046369 Ensembl:Zm00001d036949
Q0DBF4	Ensembl:Zm00001d046342 Ensembl:Zm00001d046344
Q0DDD2	Ensembl:Zm00001d044812
