A2X747	KDRI_Jc:Jcr4S01616.50
A2Y626	KDRI_Jc:Jcr4S13439.20
A2ZW27	KDRI_Jc:Jcr4S01495.10
A2ZWY7	KDRI_Jc:Jcr4S00335.110
A3AAR2	KDRI_Jc:Jcr4S08431.10
A3AQC6	KDRI_Jc:Jcr4S00099.20
A3AZW5	KDRI_Jc:Jcr4S01773.10
A3B7R7	KDRI_Jc:Jcr4S00685.50
A3C4N5	KDRI_Jc:Jcr4S01127.40
B7E8M5	KDRI_Jc:Jcr4S01650.90
B7EA04	KDRI_Jc:Jcr4S01297.30
B7EJ81	KDRI_Jc:Jcr4S02384.70
B7F8T0	KDRI_Jc:Jcr4S00228.80
B7FA34	KDRI_Jc:Jcr4S05986.20 KDRI_Jc:Jcr4S03882.10
B7FAE9	KDRI_Jc:Jcr4S00052.210
B8ACC6	KDRI_Jc:Jcr4S00571.20
B8AG62	KDRI_Jc:Jcr4S01592.30
B8AHI9	KDRI_Jc:Jcr4S00637.40
B8AZ97	KDRI_Jc:Jcr4S00683.20
B8B8K7	KDRI_Jc:Jcr4S00131.20
B8BB38	KDRI_Jc:Jcr4S01052.40
B8BF84	KDRI_Jc:Jcr4S14023.20 KDRI_Jc:Jcr4S01150.20
B9EXM2	KDRI_Jc:Jcr4S02230.40
B9EZJ8	KDRI_Jc:Jcr4S00395.120
B9F2Q1	KDRI_Jc:Jcr4S02560.20
B9FM98	KDRI_Jc:Jcr4S01880.110
B9FML1	KDRI_Jc:Jcr4S00014.100
B9FRT6	KDRI_Jc:Jcr4S00275.110
B9G3A7	KDRI_Jc:Jcr4S01986.10
C7J5F5	KDRI_Jc:Jcr4S05152.20 KDRI_Jc:Jcr4S02194.20
C7J5T9	KDRI_Jc:Jcr4S05152.20 KDRI_Jc:Jcr4S02194.20
H6TFZ4	KDRI_Jc:Jcr4S03359.20
I1QJ08	KDRI_Jc:Jcr4S03452.20
I1QQP8	KDRI_Jc:Jcr4S00700.60
O04226	KDRI_Jc:Jcr4S04565.30
O04882	KDRI_Jc:Jcr4S10167.20
O22567	KDRI_Jc:Jcr4S02245.30
O24174	KDRI_Jc:Jcr4S11660.10
O24210	KDRI_Jc:Jcr4S06703.20 KDRI_Jc:Jcr4U31419.10
O64422	KDRI_Jc:Jcr4S03343.20
O64437	KDRI_Jc:Jcr4S03980.30
O82427	KDRI_Jc:Jcr4S03197.50 KDRI_Jc:Jcr4S00004.100
P0C132	KDRI_Jc:Jcr4S10927.30 KDRI_Jc:Jcr4S00545.10
P0C587	KDRI_Jc:Jcr4S08905.10
P0C5A4	KDRI_Jc:Jcr4S05404.40
P0C5B2	KDRI_Jc:Jcr4S00593.30
P14655	KDRI_Jc:Jcr4S00007.130
P14656	KDRI_Jc:Jcr4S00507.10
P15280	KDRI_Jc:Jcr4S01990.50
P16081	KDRI_Jc:Jcr4S02321.10
P17784	KDRI_Jc:Jcr4S00484.40
P18566	KDRI_Jc:Jcr4S02587.30
P30298	KDRI_Jc:Jcr4S00093.110
P31924	KDRI_Jc:Jcr4S00093.110
P37833	KDRI_Jc:Jcr4S11652.20
P38419	KDRI_Jc:Jcr4S01832.40 KDRI_Jc:Jcr4S01832.30 KDRI_Jc:Jcr4S06599.10
P42862	KDRI_Jc:Jcr4S00182.130
P42863	KDRI_Jc:Jcr4S00182.130
P48642	KDRI_Jc:Jcr4S00410.70
P93438	KDRI_Jc:Jcr4S02833.80
Q01KF3	KDRI_Jc:Jcr4S04633.10
Q05JG2	KDRI_Jc:Jcr4U31037.10 KDRI_Jc:Jcr4S06071.30
Q0D3B6	KDRI_Jc:Jcr4S02163.10
Q0D7J3	KDRI_Jc:Jcr4S14146.50
Q0D7W4	KDRI_Jc:Jcr4S01529.60
Q0D8I9	KDRI_Jc:Jcr4S03599.50
Q0D980	KDRI_Jc:Jcr4S25656.20
Q0DAA4	KDRI_Jc:Jcr4S04126.30 KDRI_Jc:Jcr4S26739.10
Q0DBD3	KDRI_Jc:Jcr4S03557.30
Q0DBF4	KDRI_Jc:Jcr4S00030.70
Q0DBN4	KDRI_Jc:Jcr4S02619.10
Q0DCE9	KDRI_Jc:Jcr4S03279.20 KDRI_Jc:Jcr4S03158.10
Q0DDS1	KDRI_Jc:Jcr4S01903.80
Q0DEC8	KDRI_Jc:Jcr4S02894.20
Q0DG35	KDRI_Jc:Jcr4S00193.50
Q0DGG8	KDRI_Jc:Jcr4S00352.140
Q0DJJ9	KDRI_Jc:Jcr4S00045.50
Q0DKE8	KDRI_Jc:Jcr4S00009.100
Q0DKP3	KDRI_Jc:Jcr4S00260.10
Q0DNU1	KDRI_Jc:Jcr4S00524.100 KDRI_Jc:Jcr4S24993.30
Q0DS76	KDRI_Jc:Jcr4S02042.10
Q0DSM1	KDRI_Jc:Jcr4S01666.60
Q0DV32	KDRI_Jc:Jcr4S01524.30
Q0DWF2	KDRI_Jc:Jcr4S00256.50
Q0DYK7	KDRI_Jc:Jcr4S21938.30
Q0DZE0	KDRI_Jc:Jcr4S00314.30 KDRI_Jc:Jcr4S02803.20
Q0E2P1	KDRI_Jc:Jcr4S01426.30
Q0E3F2	KDRI_Jc:Jcr4S14477.10
Q0E3J1	KDRI_Jc:Jcr4S04126.30 KDRI_Jc:Jcr4S26739.10
Q0E4F0	KDRI_Jc:Jcr4S01796.50 KDRI_Jc:Jcr4S01796.30
Q0E4N2	KDRI_Jc:Jcr4S01592.30
Q0INY7	KDRI_Jc:Jcr4S02587.30
Q0INZ4	KDRI_Jc:Jcr4S09474.10
Q0IPE5	KDRI_Jc:Jcr4S01155.40
Q0IQQ5	KDRI_Jc:Jcr4S04186.10
Q0IRE6	KDRI_Jc:Jcr4S01103.20
Q0ITU1	KDRI_Jc:Jcr4S01752.40
Q0IZS0	KDRI_Jc:Jcr4S00231.40
Q0IZX5	KDRI_Jc:Jcr4S00421.10 KDRI_Jc:Jcr4S00421.20
Q0J0L4	KDRI_Jc:Jcr4S00090.110
Q0J0M8	KDRI_Jc:Jcr4S06919.10 KDRI_Jc:Jcr4S00002.40
Q0J185	KDRI_Jc:Jcr4S00146.120
Q0J1C1	KDRI_Jc:Jcr4S00979.40
Q0J1E1	KDRI_Jc:Jcr4S09269.10
Q0J5Y4	KDRI_Jc:Jcr4S10346.20
Q0J7U6	KDRI_Jc:Jcr4S00139.190
Q0J9K2	KDRI_Jc:Jcr4S00050.170
Q0J9Z0	KDRI_Jc:Jcr4S00295.70
Q0JA82	KDRI_Jc:Jcr4S06457.10
Q0JA83	KDRI_Jc:Jcr4S06457.10
Q0JAI1	KDRI_Jc:Jcr4S02370.80
Q0JB91	KDRI_Jc:Jcr4S00441.50
Q0JB99	KDRI_Jc:Jcr4S01276.100
Q0JC10	KDRI_Jc:Jcr4S00221.80 KDRI_Jc:Jcr4S07436.10
Q0JCU7	KDRI_Jc:Jcr4S05819.20
Q0JCZ4	KDRI_Jc:Jcr4S02513.30
Q0JDD2	KDRI_Jc:Jcr4S04309.20 KDRI_Jc:Jcr4S16853.10
Q0JDF7	KDRI_Jc:Jcr4S10036.10
Q0JDT1	KDRI_Jc:Jcr4S05789.50
Q0JEK1	KDRI_Jc:Jcr4S00194.20
Q0JEP5	KDRI_Jc:Jcr4S00378.100
Q0JEZ8	KDRI_Jc:Jcr4S06457.10
Q0JF25	KDRI_Jc:Jcr4S04476.10
Q0JF26	KDRI_Jc:Jcr4S04476.10
Q0JF30	KDRI_Jc:Jcr4S01759.30
Q0JGK4	KDRI_Jc:Jcr4S00594.90 KDRI_Jc:Jcr4S09034.10
Q0JJI1	KDRI_Jc:Jcr4S07391.20
Q0JK57	KDRI_Jc:Jcr4S05986.20 KDRI_Jc:Jcr4S03882.10
Q0JKD0	KDRI_Jc:Jcr4S00193.50
Q0JKI9	KDRI_Jc:Jcr4S06379.40
Q0JKY8	KDRI_Jc:Jcr4S12250.10 KDRI_Jc:Jcr4S00587.70
Q0JPT4	KDRI_Jc:Jcr4S00197.100
Q0JRG4	KDRI_Jc:Jcr4S04530.10
Q109F2	KDRI_Jc:Jcr4S05588.40
Q109K4	KDRI_Jc:Jcr4S00105.40
Q10A30	KDRI_Jc:Jcr4S00484.40
Q10A97	KDRI_Jc:Jcr4S00154.110 KDRI_Jc:Jcr4S03023.50
Q10BT5	KDRI_Jc:Jcr4S01127.40
Q10BX9	KDRI_Jc:Jcr4S00158.260
Q10CE4	KDRI_Jc:Jcr4S00225.80
Q10CH5	KDRI_Jc:Jcr4S04936.40
Q10CQ1	KDRI_Jc:Jcr4S00593.30
Q10CS9	KDRI_Jc:Jcr4S09122.20
Q10D68	KDRI_Jc:Jcr4S05073.10
Q10D87	KDRI_Jc:Jcr4S04285.20
Q10DK7	KDRI_Jc:Jcr4S07881.10 KDRI_Jc:Jcr4S00070.10
Q10DU0	KDRI_Jc:Jcr4S00027.180
Q10DZ5	KDRI_Jc:Jcr4S00300.150
Q10EG4	KDRI_Jc:Jcr4S03599.50
Q10F25	KDRI_Jc:Jcr4S00524.100 KDRI_Jc:Jcr4S24993.30
Q10G56	KDRI_Jc:Jcr4S00225.10
Q10GJ7	KDRI_Jc:Jcr4S12478.20 KDRI_Jc:Jcr4S16229.20
Q10HZ6	KDRI_Jc:Jcr4S08864.10 KDRI_Jc:Jcr4S08978.10 KDRI_Jc:Jcr4S01000.40 KDRI_Jc:Jcr4S01707.10
Q10J20	KDRI_Jc:Jcr4S00691.50
Q10J32	KDRI_Jc:Jcr4S00114.70
Q10LP5	KDRI_Jc:Jcr4S02947.70
Q10LR4	KDRI_Jc:Jcr4S00683.20
Q10LR5	KDRI_Jc:Jcr4S07026.30
Q10MB0	KDRI_Jc:Jcr4S02696.50 KDRI_Jc:Jcr4S00680.100
Q10MG9	KDRI_Jc:Jcr4S00572.70
Q10MK5	KDRI_Jc:Jcr4S00284.60
Q10MQ2	KDRI_Jc:Jcr4S01179.70
Q10MS2	KDRI_Jc:Jcr4S01692.40 KDRI_Jc:Jcr4S00137.160
Q10MW3	KDRI_Jc:Jcr4S01891.30
Q10MX9	KDRI_Jc:Jcr4S19645.20 KDRI_Jc:Jcr4S04095.40
Q10N34	KDRI_Jc:Jcr4S02163.10
Q10NY2	KDRI_Jc:Jcr4S00299.70
Q10P02	KDRI_Jc:Jcr4S00843.50
Q10P71	KDRI_Jc:Jcr4S04733.10
Q10PY7	KDRI_Jc:Jcr4S00850.10
Q10QA5	KDRI_Jc:Jcr4S04262.40
Q10QN3	KDRI_Jc:Jcr4S01071.20
Q10QR9	KDRI_Jc:Jcr4S04617.20
Q10RP2	KDRI_Jc:Jcr4U35651.20 KDRI_Jc:Jcr4S15863.10
Q10S55	KDRI_Jc:Jcr4S03959.50
Q10S58	KDRI_Jc:Jcr4S08931.30
Q10S72	KDRI_Jc:Jcr4S01519.120 KDRI_Jc:Jcr4S04352.10
Q10SD6	KDRI_Jc:Jcr4S01536.60
Q10SL7	KDRI_Jc:Jcr4S00028.180
Q10SM6	KDRI_Jc:Jcr4S01650.90
Q10SP1	KDRI_Jc:Jcr4S05126.10 KDRI_Jc:Jcr4S00497.20
Q10SU1	KDRI_Jc:Jcr4S02606.20
Q25AR2	KDRI_Jc:Jcr4S00033.170
Q2KNB4	KDRI_Jc:Jcr4S00003.80
Q2MJA7	KDRI_Jc:Jcr4S00057.110
Q2QLJ0	KDRI_Jc:Jcr4S07308.30
Q2QLY5	KDRI_Jc:Jcr4S02120.40
Q2QLY6	KDRI_Jc:Jcr4S00001.10
Q2QM47	KDRI_Jc:Jcr4S00481.70
Q2QMD4	KDRI_Jc:Jcr4S00043.20
Q2QMK8	KDRI_Jc:Jcr4S01709.20
Q2QN06	KDRI_Jc:Jcr4S01525.20 KDRI_Jc:Jcr4S02270.40
Q2QN58	KDRI_Jc:Jcr4S00128.110
Q2QNF7	KDRI_Jc:Jcr4S02113.30
Q2QNS6	KDRI_Jc:Jcr4S02222.30
Q2QPI2	KDRI_Jc:Jcr4S01103.20
Q2QQ60	KDRI_Jc:Jcr4S01880.110
Q2QQJ5	KDRI_Jc:Jcr4S06457.10
Q2QRX6	KDRI_Jc:Jcr4S02937.20
Q2QS13	KDRI_Jc:Jcr4S00282.100
Q2QS14	KDRI_Jc:Jcr4S00282.100
Q2QT32	KDRI_Jc:Jcr4S03304.50
Q2QTJ1	KDRI_Jc:Jcr4S02587.30
Q2QTL0	KDRI_Jc:Jcr4S00320.40
Q2QTQ1	KDRI_Jc:Jcr4S00314.70
Q2QUG4	KDRI_Jc:Jcr4S01005.10
Q2QVC1	KDRI_Jc:Jcr4S05576.10
Q2QWK9	KDRI_Jc:Jcr4S00540.20
Q2QWV7	KDRI_Jc:Jcr4S00228.80
Q2QX58	KDRI_Jc:Jcr4S01110.50
Q2QXY1	KDRI_Jc:Jcr4S00174.110
Q2QXY9	KDRI_Jc:Jcr4S06189.10 KDRI_Jc:Jcr4S01086.110
Q2QXZ1	KDRI_Jc:Jcr4S00275.70
Q2QY63	KDRI_Jc:Jcr4S01232.30
Q2QYB7	KDRI_Jc:Jcr4S00092.100
Q2QZ14	KDRI_Jc:Jcr4S15302.20
Q2R1G8	KDRI_Jc:Jcr4S02191.20
Q2R1L4	KDRI_Jc:Jcr4S14388.10
Q2R2Q2	KDRI_Jc:Jcr4S00148.80
Q2R2W1	KDRI_Jc:Jcr4S03391.30
Q2R2W8	KDRI_Jc:Jcr4S00039.150
Q2R339	KDRI_Jc:Jcr4S00215.140
Q2R3A1	KDRI_Jc:Jcr4S26942.20 KDRI_Jc:Jcr4S01018.20
Q2R3K3	KDRI_Jc:Jcr4S01943.30
Q2R481	KDRI_Jc:Jcr4S02937.20
Q2R8T7	KDRI_Jc:Jcr4S00175.30
Q2RAP0	KDRI_Jc:Jcr4S00174.110
Q2RAP4	KDRI_Jc:Jcr4S01105.50
Q2RAP8	KDRI_Jc:Jcr4S06189.10 KDRI_Jc:Jcr4S01086.110
Q2RAP9	KDRI_Jc:Jcr4S00275.70
Q2RAY0	KDRI_Jc:Jcr4S01232.30
Q2RB02	KDRI_Jc:Jcr4S00172.70
Q2RB23	KDRI_Jc:Jcr4S00092.100
Q2RBP2	KDRI_Jc:Jcr4S01250.20 KDRI_Jc:Jcr4S00909.90
Q336M7	KDRI_Jc:Jcr4S05728.20
Q336P5	KDRI_Jc:Jcr4S03571.20
Q336R6	KDRI_Jc:Jcr4S08310.10
Q336U3	KDRI_Jc:Jcr4S00221.50
Q336X9	KDRI_Jc:Jcr4S00425.140
Q337F3	KDRI_Jc:Jcr4S02606.20
Q338J0	KDRI_Jc:Jcr4S05789.70
Q338N8	KDRI_Jc:Jcr4S00131.20
Q338Z4	KDRI_Jc:Jcr4S01867.10
Q339V1	KDRI_Jc:Jcr4S00099.30
Q33AE4	KDRI_Jc:Jcr4S26247.20
Q42971	KDRI_Jc:Jcr4S00171.20
Q42982	KDRI_Jc:Jcr4S11014.40
Q43007	KDRI_Jc:Jcr4S00086.110
Q43009	KDRI_Jc:Jcr4S00093.110
Q43011	KDRI_Jc:Jcr4S00058.20
Q53JG7	KDRI_Jc:Jcr4S04733.10
Q53JI9	KDRI_Jc:Jcr4S15772.10 KDRI_Jc:Jcr4S26155.20
Q53MS9	KDRI_Jc:Jcr4S11268.10
Q53MU1	KDRI_Jc:Jcr4S08871.10
Q53MU8	KDRI_Jc:Jcr4S08871.20 KDRI_Jc:Jcr4S24373.10 KDRI_Jc:Jcr4S06978.40
Q53Q70	KDRI_Jc:Jcr4S08050.10 KDRI_Jc:Jcr4S11913.10
Q53QJ0	KDRI_Jc:Jcr4S00111.120
Q53RH0	KDRI_Jc:Jcr4S09468.10
Q5CCK1	KDRI_Jc:Jcr4S01105.50
Q5CCK3	KDRI_Jc:Jcr4S03232.20
Q5JK39	KDRI_Jc:Jcr4S01943.30
Q5JLS4	KDRI_Jc:Jcr4S12284.10
Q5JMB6	KDRI_Jc:Jcr4S12073.10
Q5JMM6	KDRI_Jc:Jcr4S02202.20
Q5JMX5	KDRI_Jc:Jcr4S07743.10
Q5JMX9	KDRI_Jc:Jcr4S21288.10 KDRI_Jc:Jcr4S03879.30
Q5JN19	KDRI_Jc:Jcr4S00052.60
Q5JN63	KDRI_Jc:Jcr4S00576.30
Q5JNB0	KDRI_Jc:Jcr4S00703.30
Q5MBR3	KDRI_Jc:Jcr4S15630.10
Q5MBR5	KDRI_Jc:Jcr4S15630.10
Q5N725	KDRI_Jc:Jcr4S00484.40
Q5N7L0	KDRI_Jc:Jcr4U37802.10 KDRI_Jc:Jcr4U31121.10
Q5N892	KDRI_Jc:Jcr4S01082.50
Q5N9N2	KDRI_Jc:Jcr4S01352.10 KDRI_Jc:Jcr4S07634.50
Q5N9Z8	KDRI_Jc:Jcr4S01729.30
Q5NAY4	KDRI_Jc:Jcr4S05297.40
Q5NB25	KDRI_Jc:Jcr4S00458.90
Q5NBQ1	KDRI_Jc:Jcr4S01654.20
Q5NTH3	KDRI_Jc:Jcr4S03996.10
Q5NTH4	KDRI_Jc:Jcr4S03996.10
Q5QN02	KDRI_Jc:Jcr4S00135.50
Q5SMQ9	KDRI_Jc:Jcr4S22672.10
Q5SMY2	KDRI_Jc:Jcr4S06306.20
Q5SND7	KDRI_Jc:Jcr4S02550.50
Q5U9F2	KDRI_Jc:Jcr4S08431.10
Q5VMP0	KDRI_Jc:Jcr4S01087.60 KDRI_Jc:Jcr4S02351.30
Q5VMP2	KDRI_Jc:Jcr4S01479.40
Q5VNP5	KDRI_Jc:Jcr4S06679.30
Q5VNW0	KDRI_Jc:Jcr4S00057.100
Q5VP70	KDRI_Jc:Jcr4S02315.30
Q5VPH2	KDRI_Jc:Jcr4S00402.20
Q5VQG4	KDRI_Jc:Jcr4S04828.20
Q5VQG8	KDRI_Jc:Jcr4S00009.100
Q5VRB9	KDRI_Jc:Jcr4S00673.40
Q5VRM7	KDRI_Jc:Jcr4S14279.10
Q5VSB8	KDRI_Jc:Jcr4S00665.130
Q5W670	KDRI_Jc:Jcr4S04434.10
Q5W6H5	KDRI_Jc:Jcr4S08363.10
Q5W6W7	KDRI_Jc:Jcr4S08407.10
