Gene stable ID	Solanum lycopersicum gene stable ID	%id. target Solanum lycopersicum gene identical to query gene	%id. query gene identical to target Solanum lycopersicum gene
BAC19852	Solyc05g023920.1	24.6154	80.8081
BAC19853	Solyc03g013390.1	28.5714	65.0406
BAC19854	Solyc06g042990.1	17.2589	50
BAC19862	Solyc10g045730.1	34.1463	56.4516
BAC19865	Solyc04g049250.1	24.9071	67.6768
BAC19865	Solyc05g023960.1	19.3309	53.6082
BAC19865	Solyc05g023970.1	27.1375	65.1786
BAC19865	Solyc10g062060.1	24.1636	63.1068
BAC19865	Solyc10g062070.1	19.3309	57.1429
BAC19865	Solyc12g035750.1	37.9182	41.2955
BAC19867	Solyc03g083670.1	10.0694	24.5763
BAC19867	Solyc11g028140.1	9.02778	8.09969
BAC19867	Solyc11g030820.1	5.55556	11.1111
BAC19867	Solyc11g045430.1	14.2361	18.7215
BAC19867	Solyc11g056330.1	28.8194	40.6863
BAC19871	Solyc11g056370.1	69.0323	90.678
BAC19872	Solyc02g010600.1	61.6	54.2254
BAC19872	Solyc11g056360.1	85.6	73.2877
BAC19875	Solyc10g045750.1	10.5051	53.6082
BAC19876	Solyc05g045850.1	16.1538	51.8519
BAC19876	Solyc05g045870.1	16.9231	33.0827
BAC19876	Solyc09g015870.2	40	79.3893
BAC19880	Solyc03g043610.1	31.9403	66.0494
BAC19880	Solyc10g054000.1	18.209	80.2632
BAC19882	Solyc11g056310.1	69.8276	77.8846
BAC19883	Solyc01g017630.1	23.2955	72.5664
BAC19883	Solyc11g030940.1	29.8295	61.0465
BAC19887	Solyc05g045760.1	50.5376	61.8421
BAC19887	Solyc05g045820.1	52.6882	71.0145
BAC19887	Solyc11g056480.1	70.9677	40
BAC19887	Solyc12g035810.1	61.2903	51.3514
BAC19888	Solyc01g056670.1	52	92.8571
BAC19889	Solyc11g005980.1	72.6141	9.06266
BAC19890	Solyc09g050020.1	73.5516	80.2198
BAC19891	Solyc01g011060.1	9.14454	70.4545
BAC19891	Solyc03g013220.1	12.3894	63.6364
BAC19891	Solyc09g056070.1	36.5782	62.7848
BAC19891	Solyc11g030890.1	20.944	62.5551
BAC19891	Solyc11g030900.1	8.40708	63.3333
BAC19891	Solyc11g056270.1	58.7021	75.5218
BAC19891	Solyc12g036720.1	10.472	48.9655
BAC19894	Solyc11g039360.1	41.055	52.0349
BAC19898	Solyc09g050040.1	36.1702	60.7143
BAC19898	Solyc11g043190.1	16.4894	62
BAC19903	Solyc11g028160.1	59.2233	62.2449
CAA33908	Solyc02g011770.1	65.9091	65.9091
CAA33908	Solyc03g013600.1	71.0227	71.0227
CAA33908	Solyc07g026910.1	57.3864	65.1613
CAA33909	Solyc01g086880.1	31.4607	41.791
CAA33910	Solyc02g011790.1	21.8232	61.2403
CAA33910	Solyc02g011800.1	25.6906	67.8832
CAA33910	Solyc02g080280.1	35.6354	68.617
CAA33910	Solyc11g021230.1	37.2928	72.1925
CAA33910	Solyc11g050760.1	22.9282	72.807
CAA33911	Solyc07g032420.1	5.59796	11.828
CAA33911	Solyc10g047400.1	18.5751	63.4783
CAA33911	Solyc12g035590.1	12.9771	75
CAA33915	Solyc01g007720.2	21.0526	33.3333
CAA33917	Solyc01g007680.1	57.7465	31.2977
CAA33917	Solyc06g043000.1	57.7465	30.8271
CAA33917	Solyc09g050100.1	57.7465	31.2977
CAA33917	Solyc11g021140.1	49.2958	29.661
CAA33918	Solyc04g049260.1	67.4419	34.9398
CAA33918	Solyc12g077650.1	74.4186	77.1084
CAA33919	Solyc01g007670.2	83.9744	84.5161
CAA33919	Solyc01g018060.1	23.0769	67.9245
CAA33919	Solyc09g050080.1	80.1282	80.6452
CAA33919	Solyc11g021130.1	73.7179	40.3509
CAA33923	Solyc12g033030.1	74.1936	84.1463
CAA33923	Solyc12g033090.1	74.1936	47.9167
CAA33924	Solyc01g007630.2	84.2491	65.3409
CAA33924	Solyc10g018610.1	27.8388	45.7831
CAA33926	Solyc01g020460.1	19.5122	6.10687
CAA33927	Solyc01g007620.2	36.5591	69.3878
CAA33928	Solyc01g007630.2	84.2491	65.3409
CAA33928	Solyc10g018610.1	27.8388	45.7831
CAA33930	Solyc12g098350.1	46.729	32.0513
CAA33931	Solyc01g007580.2	75	76.1194
CAA33932	Solyc03g058210.1	32.5203	54.0541
CAA33933	Solyc01g007600.2	74.2647	85.5932
CAA33933	Solyc10g006910.1	44.8529	80.2632
CAA33934	Solyc01g007610.2	60.6695	41.1932
CAA33934	Solyc12g035880.1	7.53138	11.9205
CAA33936	Solyc01g020460.1	19.5122	6.10687
CAA33938	Solyc12g033030.1	74.1936	84.1463
CAA33938	Solyc12g033090.1	74.1936	47.9167
CAA33942	Solyc01g007670.2	83.9744	84.5161
CAA33942	Solyc01g018060.1	23.0769	67.9245
CAA33942	Solyc09g050080.1	80.1282	80.6452
CAA33942	Solyc11g021130.1	73.7179	40.3509
CAA33943	Solyc01g007680.1	57.7465	31.2977
CAA33943	Solyc06g043000.1	57.7465	30.8271
CAA33943	Solyc09g050100.1	57.7465	31.2977
CAA33943	Solyc11g021140.1	49.2958	29.661
CAA33945	Solyc01g007720.2	21.0526	33.3333
CAA33950	Solyc02g032320.1	7.62943	81.1594
CAA33952	Solyc01g017340.1	32.7103	45.2586
CAA33953	Solyc01g065600.1	24	55.2995
