Gene stable ID	Oryza glumaepatula gene stable ID	% identity	Oryza glumaepatula % identity	Orthology confidence [0 low, 1 high]
OS01G0100100	OGLUM01G00020	96	99	1
OS01G0100200	OGLUM01G00040	39	53	1
OS01G0100300	OGLUM01G00030	55	71	1
OS01G0100400	OGLUM01G00050	100	100	1
OS01G0100600	OGLUM01G00060	100	100	1
OS01G0100800	OGLUM01G00070	84	91	0
OS01G0100900	OGLUM01G00080	84	92	1
OS01G0101150	OGLUM01G00110	97	67	1
OS01G0101300	OGLUM01G00120	100	99	1
OS01G0101600	OGLUM01G00130	99	99	1
OS01G0101700	OGLUM01G00140	94	93	1
OS01G0101800	OGLUM01G00150	99	99	1
OS01G0101900	OGLUM01G00160	100	100	1
OS01G0102000	OGLUM01G00170	100	100	1
OS01G0102300	OGLUM01G00180	100	100	1
OS01G0102500	OGLUM01G00190	100	100	1
OS01G0102700	OGLUM05G00240	57	61	0
OS01G0102800	OGLUM01G00200	53	51	0
OS01G0102900	OGLUM01G00210	97	99	1
OS01G0103000	OGLUM01G00220	100	100	1
OS01G0103100	OGLUM01G00230	100	99	1
OS01G0103600	OGLUM01G00250	100	50	1
OS01G0103700	OGLUM01G00240	87	13	0
OS01G0103800	OGLUM01G00270	100	100	1
OS01G0103900	OGLUM01G00280	99	72	1
OS01G0104000	OGLUM01G00290	98	99	1
OS01G0104100	OGLUM01G00300	53	96	0
OS01G0104200	OGLUM01G00330	81	82	1
OS01G0104400	OGLUM01G00340	99	94	1
OS01G0104500	OGLUM01G00350	90	89	1
OS01G0104600	OGLUM01G00360	99	92	1
OS01G0104800	OGLUM01G19410	49	88	1
OS01G0104900	OGLUM01G00380	96	96	0
OS01G0105400	OGLUM11G06050	56	19	1
OS01G0105700	OGLUM01G00400	86	86	1
OS01G0105800	OGLUM01G00410	96	97	1
OS01G0105900	OGLUM01G00420	98	98	1
OS01G0106200	OGLUM01G00440	100	100	1
OS01G0106300	OGLUM01G00450	100	100	1
OS01G0106300	OGLUM09G17500	100	100	1
OS01G0106400	OGLUM01G00470	100	100	1
OS01G0106500	OGLUM01G00480	99	97	1
OS01G0106600	OGLUM01G00490	97	98	1
OS01G0106700	OGLUM01G00500	92	86	0
OS01G0106800	OGLUM01G00510	90	92	1
OS01G0106900	OGLUM01G00520	100	100	1
OS01G0107000	OGLUM01G00530	99	99	1
OS01G0107700	OGLUM01G00580	94	86	0
OS01G0107900	OGLUM01G00590	100	100	1
OS01G0108000	OGLUM01G00600	99	99	1
OS01G0108200	OGLUM01G00610	91	68	1
OS01G0108400	OGLUM01G00620	92	39	1
OS01G0108500	OGLUM05G13200	14	32	0
OS01G0108600	OGLUM01G00630	94	95	1
OS01G0108800	OGLUM01G00640	62	51	0
OS01G0109300	OGLUM01G00660	99	86	1
OS01G0109700	OGLUM01G00690	97	84	1
OS01G0109750	OGLUM01G00700	98	98	1
OS01G0110100	OGLUM01G00720	98	98	1
OS01G0110400	OGLUM01G00750	99	99	1
OS01G0110500	OGLUM01G00760	67	87	1
OS01G0110700	OGLUM01G00780	100	100	1
OS01G0110800	OGLUM01G00790	94	89	1
OS01G0111000	OGLUM01G00800	84	69	0
OS01G0111100	OGLUM01G00810	97	97	0
OS01G0111200	OGLUM01G00820	98	95	0
OS01G0111500	OGLUM01G00830	98	100	1
OS01G0111600	OGLUM01G00840	99	99	1
OS01G0111700	OGLUM01G00850	98	98	1
OS01G0111800	OGLUM01G00870	90	94	0
OS01G0111900	OGLUM01G00880	100	100	1
OS01G0112000	OGLUM01G00890	99	98	1
OS01G0112100	OGLUM01G00900	99	93	0
OS01G0112400	OGLUM01G00920	88	88	1
OS01G0112500	OGLUM01G00930	96	93	0
OS01G0112800	OGLUM01G00950	94	60	1
OS01G0113150	OGLUM01G00950	96	42	1
OS01G0113200	OGLUM01G00980	98	63	1
OS01G0113300	OGLUM01G00970	98	75	1
OS01G0113300	OGLUM01G00990	86	99	1
OS01G0113350	OGLUM01G07670	35	16	0
OS01G0113350	OGLUM01G07680	10	52	0
OS01G0113400	OGLUM01G01020	95	99	1
OS01G0113650	OGLUM01G07670	36	16	0
OS01G0113650	OGLUM01G07680	10	51	0
OS01G0113700	OGLUM01G01060	94	95	0
OS01G0113800	OGLUM01G01050	92	78	1
