Gene stable ID	Populus trichocarpa gene stable ID	% identity	Populus trichocarpa % identity	Orthology confidence [0 low, 1 high]
OS01G0100100	POPTR_0007s01560	40	52	1
OS01G0100100	POPTR_0017s05160	48	49	1
OS01G0100400	POPTR_0014s17590	67	67	1
OS01G0100500	POPTR_0013s08560	45	38	1
OS01G0100600	POPTR_0013s08540	17	62	1
OS01G0100600	POPTR_0013s08550	15	26	1
OS01G0100700	POPTR_0006s21210	83	79	0
OS01G0100700	POPTR_0016s06310	84	81	0
OS01G0100800	POPTR_0001s13620	28	30	1
OS01G0100800	POPTR_0003s16760	30	29	1
OS01G0100900	POPTR_0001s13580	25	60	1
OS01G0100900	POPTR_0003s16720	70	70	1
OS01G0101150	POPTR_0002s23820	43	49	1
OS01G0101200	POPTR_0001s40980	55	33	1
OS01G0101200	POPTR_0011s11900	46	28	1
OS01G0101300	POPTR_0015s10740	62	60	1
OS01G0101600	POPTR_0001s32630	32	66	0
OS01G0101600	POPTR_0017s08510	46	47	0
OS01G0101700	POPTR_0001s32650	44	42	0
OS01G0101700	POPTR_0017s08520	41	40	0
OS01G0101800	POPTR_0002s23750	19	15	1
OS01G0102000	POPTR_0012s10110	55	56	1
OS01G0102000	POPTR_0015s10980	57	58	1
OS01G0102300	POPTR_0015s10960	37	44	1
OS01G0102400	POPTR_0005s15090	9	23	0
OS01G0102500	POPTR_0001s13530	63	60	1
OS01G0102500	POPTR_0003s16670	63	61	1
OS01G0102600	POPTR_0017s08970	36	34	1
OS01G0102700	POPTR_0001s33070	46	48	0
OS01G0102700	POPTR_0017s08890	47	49	0
OS01G0102800	POPTR_0005s24820	66	50	1
OS01G0102900	POPTR_0001s13100	43	42	1
OS01G0102900	POPTR_0003s16190	35	37	1
OS01G0102900	POPTR_0014s14250	26	26	1
OS01G0103000	POPTR_0008s01920	74	73	0
OS01G0103000	POPTR_0010s24890	78	76	0
OS01G0103100	POPTR_0001s12890	63	57	0
OS01G0103600	POPTR_0001s12720	47	62	1
OS01G0103600	POPTR_0003s15880	63	63	1
OS01G0103700	POPTR_0025s00450	30	4	1
OS01G0103800	POPTR_0002s00330	45	47	1
OS01G0103800	POPTR_0005s28120	44	49	1
OS01G0103900	POPTR_0015s12120	44	34	0
OS01G0104000	POPTR_0001s16030	65	66	1
OS01G0104100	POPTR_0001s07350	54	63	1
OS01G0104100	POPTR_0003s18860	55	62	1
OS01G0104400	POPTR_0013s05100	20	46	0
OS01G0104400	POPTR_0019s04700	40	33	0
OS01G0104500	POPTR_0013s05110	44	36	1
OS01G0104500	POPTR_0019s04710	44	36	1
OS01G0104600	POPTR_0013s15750	69	67	1
OS01G0104800	POPTR_0013s12950	35	33	1
OS01G0104800	POPTR_0013s12960	15	53	1
OS01G0104900	POPTR_0002s03350	48	51	1
OS01G0104900	POPTR_0005s25250	48	49	1
OS01G0105700	POPTR_0002s03380	24	22	1
OS01G0105700	POPTR_0005s12150	22	22	1
OS01G0105700	POPTR_0005s25240	27	25	1
OS01G0105700	POPTR_0007s13360	21	19	1
OS01G0105800	POPTR_0008s02130	70	69	0
OS01G0105800	POPTR_0010s24530	73	72	0
OS01G0105900	POPTR_0002s03540	68	70	1
OS01G0105900	POPTR_0005s25070	69	71	1
OS01G0106200	POPTR_0004s16410	56	57	1
OS01G0106200	POPTR_0004s16420	69	70	1
OS01G0106200	POPTR_0009s12110	70	71	1
OS01G0106700	POPTR_0009s08780	1	5	1
OS01G0106700	POPTR_0009s08790	10	11	1
OS01G0106700	POPTR_0015s08770	7	84	1
OS01G0106700	POPTR_0015s08780	21	52	1
OS01G0106700	POPTR_0015s08790	11	24	1
OS01G0106800	POPTR_0001s16760	75	86	0
OS01G0106800	POPTR_0006s14360	53	72	0
OS01G0106900	POPTR_0012s08230	84	85	1
OS01G0106900	POPTR_0015s08740	84	84	1
OS01G0107700	POPTR_0003s07660	14	59	1
OS01G0107700	POPTR_0003s07670	28	69	1
OS01G0107900	POPTR_0012s08110	50	48	1
OS01G0107900	POPTR_0015s08620	49	47	1
OS01G0108000	POPTR_0004s14110	44	49	1
OS01G0108200	POPTR_0002s01530	70	70	0
OS01G0108200	POPTR_0002s01540	69	69	0
OS01G0108200	POPTR_0005s26860	70	70	0
OS01G0108200	POPTR_0005s26870	70	70	0
OS01G0108400	POPTR_0012s08050	29	37	0
OS01G0108400	POPTR_0015s08580	27	35	0
OS01G0108600	POPTR_0012s08050	33	41	0
OS01G0108600	POPTR_0015s08580	34	43	0
OS01G0108800	POPTR_0008s19660	39	17	1
OS01G0108800	POPTR_0010s04810	41	16	1
OS01G0109300	POPTR_0008s19450	59	62	0
OS01G0109300	POPTR_0009s15000	62	65	0
OS01G0109700	POPTR_0001s34800	48	47	0
OS01G0109700	POPTR_0008s19650	60	55	0
OS01G0109700	POPTR_0010s04820	58	56	0
OS01G0110100	POPTR_0008s11020	61	62	1
OS01G0110100	POPTR_0010s14230	61	62	1
OS01G0110100	POPTR_0243s00200	61	66	1
OS01G0110400	POPTR_0006s00630	75	76	0
OS01G0110400	POPTR_0014s16670	72	75	0
OS01G0110500	POPTR_0001s21040	6	27	1
OS01G0110500	POPTR_0004s10490	50	48	1
OS01G0110500	POPTR_0008s11080	48	48	1
OS01G0110500	POPTR_0017s14140	49	47	1
OS01G0110700	POPTR_0008s11330	72	74	1
OS01G0110700	POPTR_0010s14170	71	75	1
OS01G0110800	POPTR_0008s11370	49	51	1
OS01G0111100	POPTR_0012s05520	52	46	0
OS01G0111200	POPTR_0004s10380	42	45	0
OS01G0111200	POPTR_0004s24330	32	37	0
OS01G0111200	POPTR_0008s11390	46	45	0
OS01G0111200	POPTR_0010s14130	47	46	0
OS01G0111200	POPTR_0017s14030	29	40	0
OS01G0111200	POPTR_0017s14040	7	58	0
OS01G0111400	POPTR_0012s05580	50	52	1
OS01G0111500	POPTR_0004s08770	36	31	1
OS01G0111500	POPTR_0005s14360	35	32	1
OS01G0111600	POPTR_0015s04310	59	59	1
OS01G0111700	POPTR_0004s08670	24	30	1
OS01G0111700	POPTR_0017s03010	26	31	1
OS01G0112100	POPTR_0015s07560	30	28	1
OS01G0112500	POPTR_0004s08750	38	58	1
OS01G0112500	POPTR_0017s03070	43	56	1
OS01G0113200	POPTR_0007s02200	27	18	0
OS01G0113200	POPTR_0007s02220	27	19	0
OS01G0113200	POPTR_0007s02250	20	17	0
OS01G0113200	POPTR_0007s02290	26	18	0
OS01G0113200	POPTR_0012s01750	29	20	0
OS01G0113200	POPTR_0012s01760	30	20	0
OS01G0113200	POPTR_0015s00220	26	19	0
OS01G0113200	POPTR_0015s00230	21	21	0
OS01G0113200	POPTR_0015s01990	27	18	0
OS01G0113200	POPTR_0015s02000	28	21	0
OS01G0113200	POPTR_0015s02010	29	19	0
OS01G0113200	POPTR_0017s06330	20	17	0
OS01G0113200	POPTR_0017s09520	19	17	0
OS01G0113200	POPTR_0197s00200	24	22	0
OS01G0113200	POPTR_0197s00220	23	25	0
OS01G0113200	POPTR_0197s00240	8	11	0
OS01G0113300	POPTR_0008s12440	38	41	1
OS01G0113300	POPTR_0010s12830	35	39	1
OS01G0113350	POPTR_0004s06050	39	25	0
OS01G0113400	POPTR_0008s12440	35	39	1
OS01G0113400	POPTR_0010s12830	34	39	1
OS01G0113500	POPTR_0007s02200	35	38	0
OS01G0113500	POPTR_0007s02220	33	37	0
OS01G0113500	POPTR_0007s02250	33	43	0
OS01G0113500	POPTR_0007s02290	35	40	0
OS01G0113500	POPTR_0012s01750	35	40	0
OS01G0113500	POPTR_0012s01760	36	38	0
OS01G0113500	POPTR_0015s00220	33	38	0
OS01G0113500	POPTR_0015s00230	32	51	0
OS01G0113500	POPTR_0015s01990	36	38	0
OS01G0113500	POPTR_0015s02000	32	40	0
OS01G0113500	POPTR_0015s02010	37	38	0
OS01G0113500	POPTR_0017s06330	32	43	0
OS01G0113500	POPTR_0017s09520	31	44	0
OS01G0113500	POPTR_0197s00200	28	42	0
OS01G0113500	POPTR_0197s00220	24	41	0
OS01G0113500	POPTR_0197s00240	25	52	0
OS01G0113650	POPTR_0004s06050	40	25	0
OS01G0113700	POPTR_0008s12440	34	38	1
OS01G0113700	POPTR_0010s12830	33	38	1
OS01G0113800	POPTR_0007s02200	35	38	0
OS01G0113800	POPTR_0007s02220	33	36	0
OS01G0113800	POPTR_0007s02250	32	41	0
OS01G0113800	POPTR_0007s02290	35	39	0
OS01G0113800	POPTR_0012s01750	37	41	0
OS01G0113800	POPTR_0012s01760	37	39	0
OS01G0113800	POPTR_0015s00220	33	39	0
OS01G0113800	POPTR_0015s00230	33	52	0
OS01G0113800	POPTR_0015s01990	37	38	0
OS01G0113800	POPTR_0015s02000	32	39	0
OS01G0113800	POPTR_0015s02010	37	39	0
OS01G0113800	POPTR_0017s06330	32	43	0
OS01G0113800	POPTR_0017s09520	31	42	0
OS01G0113800	POPTR_0197s00200	28	42	0
OS01G0113800	POPTR_0197s00220	25	42	0
OS01G0113800	POPTR_0197s00240	25	52	0
OS01G0114100	POPTR_0008s12440	37	40	1
OS01G0114100	POPTR_0010s12830	35	39	1
OS01G0114400	POPTR_0008s12440	49	27	1
OS01G0114400	POPTR_0010s12830	48	28	1
OS01G0114600	POPTR_0008s12440	35	39	1
OS01G0114600	POPTR_0010s12830	33	38	1
OS01G0114700	POPTR_0007s02200	35	38	0
OS01G0114700	POPTR_0007s02220	33	36	0
OS01G0114700	POPTR_0007s02250	32	42	0
OS01G0114700	POPTR_0007s02290	35	39	0
OS01G0114700	POPTR_0012s01750	37	41	0
OS01G0114700	POPTR_0012s01760	38	40	0
OS01G0114700	POPTR_0015s00220	34	39	0
OS01G0114700	POPTR_0015s00230	33	51	0
OS01G0114700	POPTR_0015s01990	37	38	0
OS01G0114700	POPTR_0015s02000	32	38	0
OS01G0114700	POPTR_0015s02010	38	39	0
OS01G0114700	POPTR_0017s06330	33	44	0
OS01G0114700	POPTR_0017s09520	32	44	0
OS01G0114700	POPTR_0197s00200	28	41	0
OS01G0114700	POPTR_0197s00220	25	42	0
OS01G0114700	POPTR_0197s00240	25	51	0
OS01G0114900	POPTR_0007s02200	50	26	0
OS01G0114900	POPTR_0007s02220	44	24	0
OS01G0114900	POPTR_0007s02250	52	33	0
OS01G0114900	POPTR_0007s02290	52	28	0
OS01G0114900	POPTR_0012s01750	51	27	0
OS01G0114900	POPTR_0012s01760	51	26	0
OS01G0114900	POPTR_0015s00220	49	27	0
OS01G0114900	POPTR_0015s00230	51	39	0
OS01G0114900	POPTR_0015s01990	51	26	0
OS01G0114900	POPTR_0015s02000	44	26	0
OS01G0114900	POPTR_0015s02010	52	26	0
OS01G0114900	POPTR_0017s06330	49	32	0
OS01G0114900	POPTR_0017s09520	53	35	0
OS01G0114900	POPTR_0197s00200	39	28	0
OS01G0114900	POPTR_0197s00220	33	27	0
OS01G0114900	POPTR_0197s00240	45	45	0
OS01G0115500	POPTR_0008s12440	51	28	1
OS01G0115500	POPTR_0010s12830	50	29	1
OS01G0115600	POPTR_0007s02200	36	39	0
OS01G0115600	POPTR_0007s02220	35	38	0
OS01G0115600	POPTR_0007s02250	34	43	0
OS01G0115600	POPTR_0007s02290	36	40	0
OS01G0115600	POPTR_0012s01750	39	43	0
OS01G0115600	POPTR_0012s01760	40	42	0
OS01G0115600	POPTR_0015s00220	36	41	0
OS01G0115600	POPTR_0015s00230	36	55	0
OS01G0115600	POPTR_0015s01990	40	41	0
OS01G0115600	POPTR_0015s02000	34	41	0
OS01G0115600	POPTR_0015s02010	40	41	0
OS01G0115600	POPTR_0017s06330	34	45	0
OS01G0115600	POPTR_0017s09520	33	45	0
OS01G0115600	POPTR_0197s00200	29	43	0
OS01G0115600	POPTR_0197s00220	27	45	0
OS01G0115600	POPTR_0197s00240	27	54	0
OS01G0115700	POPTR_0008s12440	37	38	1
OS01G0115700	POPTR_0010s12830	35	37	1
OS01G0115750	POPTR_0008s12440	36	40	1
OS01G0115750	POPTR_0010s12830	34	39	1
OS01G0116000	POPTR_0008s12440	35	39	1
OS01G0116000	POPTR_0010s12830	33	38	1
OS01G0116200	POPTR_0008s12440	34	40	1
OS01G0116200	POPTR_0010s12830	33	40	1
OS01G0116400	POPTR_0008s12440	35	39	1
OS01G0116400	POPTR_0010s12830	34	39	1
OS01G0116600	POPTR_0006s29040	54	54	1
OS01G0116600	POPTR_0018s03650	53	54	1
OS01G0116800	POPTR_0008s12440	51	31	1
OS01G0116800	POPTR_0010s12830	49	31	1
OS01G0116900	POPTR_0007s02200	39	35	0
OS01G0116900	POPTR_0007s02220	37	33	0
OS01G0116900	POPTR_0007s02250	37	40	0
OS01G0116900	POPTR_0007s02290	41	38	0
OS01G0116900	POPTR_0012s01750	42	38	0
OS01G0116900	POPTR_0012s01760	43	37	0
OS01G0116900	POPTR_0015s00220	39	37	0
OS01G0116900	POPTR_0015s00230	40	51	0
OS01G0116900	POPTR_0015s01990	43	36	0
OS01G0116900	POPTR_0015s02000	37	36	0
OS01G0116900	POPTR_0015s02010	43	36	0
OS01G0116900	POPTR_0017s06330	39	44	0
OS01G0116900	POPTR_0017s09520	37	42	0
OS01G0116900	POPTR_0197s00200	32	38	0
OS01G0116900	POPTR_0197s00220	29	41	0
OS01G0116900	POPTR_0197s00240	31	51	0
OS01G0117000	POPTR_0008s12440	30	36	1
OS01G0117000	POPTR_0010s12830	28	35	1
OS01G0117100	POPTR_0007s02200	48	30	0
OS01G0117100	POPTR_0007s02220	44	28	0
OS01G0117100	POPTR_0007s02250	50	38	0
OS01G0117100	POPTR_0007s02290	50	32	0
OS01G0117100	POPTR_0012s01750	50	32	0
OS01G0117100	POPTR_0012s01760	50	31	0
OS01G0117100	POPTR_0015s00220	48	32	0
OS01G0117100	POPTR_0015s00230	51	47	0
OS01G0117100	POPTR_0015s01990	51	31	0
OS01G0117100	POPTR_0015s02000	43	30	0
OS01G0117100	POPTR_0015s02010	51	30	0
OS01G0117100	POPTR_0017s06330	48	38	0
OS01G0117100	POPTR_0017s09520	51	41	0
OS01G0117100	POPTR_0197s00200	40	34	0
OS01G0117100	POPTR_0197s00220	35	34	0
OS01G0117100	POPTR_0197s00240	44	52	0
OS01G0117200	POPTR_0008s12440	34	40	1
OS01G0117200	POPTR_0010s12830	32	39	1
OS01G0117300	POPTR_0007s02200	46	31	0
OS01G0117300	POPTR_0007s02220	42	29	0
OS01G0117300	POPTR_0007s02250	47	39	0
OS01G0117300	POPTR_0007s02290	48	34	0
OS01G0117300	POPTR_0012s01750	48	33	0
OS01G0117300	POPTR_0012s01760	48	32	0
OS01G0117300	POPTR_0015s00220	46	34	0
OS01G0117300	POPTR_0015s00230	49	48	0
OS01G0117300	POPTR_0015s01990	49	32	0
OS01G0117300	POPTR_0015s02000	41	31	0
OS01G0117300	POPTR_0015s02010	48	31	0
OS01G0117300	POPTR_0017s06330	45	39	0
OS01G0117300	POPTR_0017s09520	47	41	0
OS01G0117300	POPTR_0197s00200	39	36	0
OS01G0117300	POPTR_0197s00220	33	35	0
OS01G0117300	POPTR_0197s00240	41	52	0
OS01G0117400	POPTR_0017s04170	44	41	1
OS01G0117400	POPTR_0017s06270	24	38	1
OS01G0117500	POPTR_0007s02200	38	31	0
OS01G0117500	POPTR_0007s02220	36	30	0
OS01G0117500	POPTR_0007s02250	38	37	0
OS01G0117500	POPTR_0007s02290	41	34	0
OS01G0117500	POPTR_0012s01750	42	34	0
OS01G0117500	POPTR_0012s01760	42	33	0
OS01G0117500	POPTR_0015s00220	39	34	0
OS01G0117500	POPTR_0015s00230	42	49	0
OS01G0117500	POPTR_0015s01990	43	33	0
OS01G0117500	POPTR_0015s02000	35	32	0
OS01G0117500	POPTR_0015s02010	41	32	0
OS01G0117500	POPTR_0017s06330	39	40	0
OS01G0117500	POPTR_0017s09520	40	41	0
OS01G0117500	POPTR_0197s00200	32	35	0
OS01G0117500	POPTR_0197s00220	29	37	0
OS01G0117500	POPTR_0197s00240	34	52	0
OS01G0117600	POPTR_0008s12440	34	39	1
OS01G0117600	POPTR_0010s12830	32	39	1
OS01G0117700	POPTR_0007s02200	33	37	0
OS01G0117700	POPTR_0007s02220	32	36	0
OS01G0117700	POPTR_0007s02250	33	43	0
OS01G0117700	POPTR_0007s02290	34	39	0
OS01G0117700	POPTR_0012s01750	35	40	0
OS01G0117700	POPTR_0012s01760	36	39	0
OS01G0117700	POPTR_0015s00220	33	39	0
OS01G0117700	POPTR_0015s00230	31	50	0
OS01G0117700	POPTR_0015s01990	35	37	0
OS01G0117700	POPTR_0015s02000	31	38	0
OS01G0117700	POPTR_0015s02010	35	38	0
OS01G0117700	POPTR_0017s06330	32	44	0
OS01G0117700	POPTR_0017s09520	32	45	0
OS01G0117700	POPTR_0197s00200	28	42	0
OS01G0117700	POPTR_0197s00220	24	41	0
OS01G0117700	POPTR_0197s00240	25	52	0
OS01G0117900	POPTR_0015s04130	57	64	1
OS01G0118000	POPTR_0008s12480	85	84	1
OS01G0118000	POPTR_0010s12790	84	84	1
OS01G0118100	POPTR_0010s12780	73	49	1
OS01G0118100	POPTR_0015s04160	76	52	1
OS01G0118300	POPTR_0008s12500	74	30	1
OS01G0118300	POPTR_0010s12770	73	29	1
OS01G0118400	POPTR_0008s09220	23	29	0
OS01G0118400	POPTR_0010s16950	21	31	0
OS01G0118400	POPTR_0010s16960	22	30	0
OS01G0118600	POPTR_0008s09220	22	27	0
OS01G0118600	POPTR_0010s16950	22	30	0
OS01G0118600	POPTR_0010s16960	21	28	0
OS01G0118700	POPTR_0012s04840	32	30	1
OS01G0118700	POPTR_0015s04170	29	29	1
OS01G0118700	POPTR_0015s04180	28	38	1
OS01G0119000	POPTR_0012s04840	31	27	1
OS01G0119000	POPTR_0015s04170	30	28	1
OS01G0119000	POPTR_0015s04180	27	34	1
OS01G0119100	POPTR_0012s04840	31	33	1
OS01G0119100	POPTR_0015s04170	32	36	1
OS01G0119100	POPTR_0015s04180	27	41	1
OS01G0120300	POPTR_0011s01420	73	59	1
OS01G0120400	POPTR_0010s02570	53	57	1
OS01G0120500	POPTR_0012s04760	54	50	1
OS01G0120600	POPTR_0008s12560	44	45	1
OS01G0120600	POPTR_0010s12670	44	41	1
OS01G0120700	POPTR_0008s12570	46	40	1
OS01G0120800	POPTR_0005s02130	68	69	0
OS01G0120800	POPTR_0013s01330	68	68	0
OS01G0121000	POPTR_0012s04290	31	39	1
OS01G0121000	POPTR_0015s04770	32	40	1
OS01G0121000	POPTR_0520s00220	31	39	1
OS01G0121100	POPTR_0015s07370	54	54	1
OS01G0121200	POPTR_0004s09240	52	52	1
OS01G0121200	POPTR_0005s14860	50	56	1
OS01G0121300	POPTR_0010s12580	43	41	1
OS01G0121500	POPTR_0004s09170	33	27	0
OS01G0121500	POPTR_0004s09190	31	26	0
