A2XPN8	Ensembl:OGLUM04G00560
A2Y626	Ensembl:OGLUM05G22560
A2Y8A8	Ensembl:OGLUM06G00220
A2ZRY8	Ensembl:OGLUM01G13410
A2ZW27	Ensembl:OGLUM01G28640
A2ZWY7	Ensembl:OGLUM01G31780
A3AAR2	Ensembl:OGLUM02G31020
A3AC56	Ensembl:OGLUM02G36670
A3BJI6	Ensembl:OGLUM07G12650
A3BTE7	Ensembl:OGLUM08G16410
A3BZ14	Ensembl:OGLUM09G11370
A3C4N5	Ensembl:OGLUM10G09470
A3CDR8	Ensembl:OGLUM11G21560
A4LBC0	Ensembl:OGLUM01G32660
A9CM06	Ensembl:OGLUM02G13510
B1B534	Ensembl:OGLUM10G10050
B7E8M5	Ensembl:OGLUM04G02440
B7EA04	Ensembl:OGLUM04G25030
B7EJ81	Ensembl:OGLUM09G14430
B7EM10	Ensembl:OGLUM09G15500
B7ERE7	Ensembl:OGLUM09G19710
B7F409	Ensembl:OGLUM05G19530
B7F4K3	Ensembl:OGLUM01G17060
B7F7B9	Ensembl:OGLUM02G06380
B7F8P7	Ensembl:OGLUM09G21150
B7F8T0	Ensembl:OGLUM05G11580
B7F924	Ensembl:OGLUM01G20130
B7F956	Ensembl:OGLUM01G09160
B7F9K3	Ensembl:OGLUM09G20600
B7FA34	Ensembl:OGLUM05G26290
B7FA99	Ensembl:OGLUM02G13360
B7FAP2	Ensembl:OGLUM01G05620
B8ACC6	Ensembl:OGLUM01G27820
B8AHI9	Ensembl:OGLUM02G16300
B8AT82	Ensembl:OGLUM04G10270
B8AZ97	Ensembl:OGLUM05G21160
B8B8K7	Ensembl:OGLUM07G22220
B8BB38	Ensembl:OGLUM08G16990
B8BF84	Ensembl:OGLUM09G09570
B9EUK4	Ensembl:OGLUM01G09880
B9EZJ8	Ensembl:OGLUM01G33960
B9F8T8	Ensembl:OGLUM03G20760
B9FM98	Ensembl:OGLUM12G14790
B9FRT6	Ensembl:OGLUM06G05150
B9FYX6	Ensembl:OGLUM08G02050
B9FZ46	Ensembl:OGLUM08G03260
B9G3A7	Ensembl:OGLUM09G08730
B9G4Z8	Ensembl:OGLUM09G19630
B9G6J6	Ensembl:OGLUM10G15120
C7IWK8	Ensembl:OGLUM01G20660
C7IXG8	Ensembl:OGLUM01G38290
C7J0P3	Ensembl:OGLUM03G14660
C7J5F5	Ensembl:OGLUM08G18550
C7J5T9	Ensembl:OGLUM08G18570
C7J6Z0	Ensembl:OGLUM09G07770
C7J732	Ensembl:OGLUM09G07990
D5A7I6	Ensembl:OGLUM11G01950 Ensembl:OGLUM12G02620
D5A7J1	Ensembl:OGLUM05G28410
E5RQA1	Ensembl:OGLUM01G41660
H6TFZ4	Ensembl:OGLUM04G04410
I1QJ08	Ensembl:OGLUM08G16940
I1QQP8	Ensembl:OGLUM09G18080
O04226	Ensembl:OGLUM05G20000
O04882	Ensembl:OGLUM01G31880
O22105	Ensembl:OGLUM03G37760
O22567	Ensembl:OGLUM05G17130
O24174	Ensembl:OGLUM04G15100
O64422	Ensembl:OGLUM03G11770
O64437	Ensembl:OGLUM03G06840
O82427	Ensembl:OGLUM03G02780
P0C128	Ensembl:OGLUM08G00720
P0C129	Ensembl:OGLUM11G06760
P0C132	Ensembl:OGLUM12G19630
P0C587	Ensembl:OGLUM10G14740
P0C5A4	Ensembl:OGLUM05G25870
P0C5B2	Ensembl:OGLUM10G16960
P14654	Ensembl:OGLUM03G09040
P14655	Ensembl:OGLUM04G28060
P14656	Ensembl:OGLUM02G32290
P14717	Ensembl:OGLUM02G25090
P15280	Ensembl:OGLUM08G12560
P17784	Ensembl:OGLUM05G16720
P17814	Ensembl:OGLUM08G08270
P30298	Ensembl:OGLUM06G06340
P31924	Ensembl:OGLUM03G21460
P37833	Ensembl:OGLUM01G35880
P38419	Ensembl:OGLUM08G21200
P42862	Ensembl:OGLUM03G35680
P42863	Ensembl:OGLUM06G10640
P48642	Ensembl:OGLUM02G38110
P93438	Ensembl:OGLUM01G15200
Q01KF3	Ensembl:OGLUM04G15300
Q01M39	Ensembl:OGLUM04G07450
Q05JG2	Ensembl:OGLUM02G29950
Q06967	Ensembl:OGLUM03G31840
Q0D3B6	Ensembl:OGLUM07G27420
Q0D3D2	Ensembl:OGLUM07G27300
Q0D3H8	Ensembl:OGLUM07G26780
Q0D3T5	Ensembl:OGLUM07G25580
