Gene stable ID	Setaria italica gene stable ID	%id. target Setaria italica gene identical to query gene	%id. query gene identical to target Setaria italica gene
BAC19852	Si011715m.g	38.4615	90.5797
BAC19852	Si020765m.g	39.3846	92.7536
BAC19853	Si020757m.g	94.6429	100
BAC19854	Si020776m.g	96.9543	93.1707
BAC19857	Si020748m.g	98.6487	98.6487
BAC19860	Si020763m.g	83.2258	97.7273
BAC19862	Si020780m.g	93.1707	94.0887
BAC19863	Si020775m.g	100	100
BAC19864	Si019408m.g	31.1475	32.2034
BAC19864	Si020761m.g	31.694	32.7684
BAC19865	Si019094m.g	97.7695	97.048
BAC19865	Si020794m.g	98.8848	98.155
BAC19871	Si020747m.g	72.9032	95.7627
BAC19874	Si020736m.g	36.4389	48.3517
BAC19875	Si020767m.g	62.6263	91.4454
BAC19876	Si020771m.g	95.7692	97.2656
BAC19878	Si019686m.g	71.7105	90.0826
BAC19878	Si020768m.g	71.7105	90.0826
BAC19879	Si020756m.g	52.4064	75.969
BAC19880	Si020755m.g	65.6716	88.7097
BAC19883	Si019505m.g	94.8864	97.3761
BAC19883	Si020737m.g	95.1705	97.6676
BAC19887	Si032619m.g	75.2688	48.951
BAC19888	Si020791m.g	90	100
BAC19888	Si024162m.g	70	100
BAC19890	Si020735m.g	96.7254	98.9691
BAC19891	Si019087m.g	47.7876	96.1424
BAC19891	Si020746m.g	47.9351	98.1873
BAC19892	Si020772m.g	92.4419	72.6027
BAC19893	Si020750m.g	33.8384	97.1014
BAC19893	Si020793m.g	55.0505	97.3214
BAC19894	Si020783m.g	76.3761	72.2343
BAC19895	Si020759m.g	18.1818	90.9091
BAC19896	Si020738m.g	59.1549	66.6667
BAC19898	Si032538m.g	62.234	60.6218
BAC19898	Si036192m.g	77.6596	38.7268
BAC19899	Si020734m.g	98.4283	98.4283
BAC19900	Si020749m.g	99.4737	99.4737
BAC19901	Si020792m.g	87.2832	89.3491
BAC19902	Si020770m.g	38.2716	59.0476
CAA33908	Si020859m.g	60.7955	86.2903
CAA33909	Si015577m.g	24.7191	80
CAA33909	Si020863m.g	27.5281	72.0588
CAA33910	Si020867m.g	47.5138	93.4783
CAA33911	Si020839m.g	81.6794	96.3964
CAA33912	Si020852m.g	51.1111	80.7018
CAA33913	Si038623m.g	92.0635	45.3125
CAA33913	Si039758m.g	82.5397	51.4851
CAA33915	Si008734m.g	57.8947	88.5057
CAA33916	Si008430m.g	74.1176	95.4545
CAA33917	Si008137m.g	60.5634	62.3188
CAA33917	Si020842m.g	64.7887	73.0159
CAA33919	Si003820m.g	27.5641	65.1515
CAA33919	Si032303m.g	52.5641	87.234
CAA33921	Si020877m.g	85.5422	98.6111
CAA33921	Si020884m.g	71.0843	92.6702
CAA33921	Si031936m.g	21.6867	87.0968
CAA33923	Si020879m.g	97.8495	97.8495
CAA33924	Si012211m.g	47.2527	83.2258
CAA33924	Si020739m.g	52.7473	87.2727
CAA33925	Si015470m.g	71.5328	90.7407
CAA33925	Si020850m.g	76.6423	98.1308
CAA33925	Si020886m.g	98.5401	98.5401
CAA33926	Si012260m.g	63.4146	83.871
CAA33928	Si012211m.g	47.2527	83.2258
CAA33928	Si020739m.g	52.7473	87.2727
CAA33932	Si020858m.g	95.1219	98.3193
CAA33934	Si008081m.g	15.0628	70.5882
CAA33936	Si012260m.g	63.4146	83.871
CAA33937	Si015470m.g	71.5328	90.7407
CAA33937	Si020850m.g	76.6423	98.1308
CAA33937	Si020886m.g	98.5401	98.5401
CAA33938	Si020879m.g	97.8495	97.8495
CAA33940	Si020877m.g	85.5422	98.6111
CAA33940	Si020884m.g	71.0843	92.6702
CAA33940	Si031936m.g	21.6867	87.0968
CAA33942	Si003820m.g	27.5641	65.1515
CAA33942	Si032303m.g	52.5641	87.234
CAA33943	Si008137m.g	60.5634	62.3188
CAA33943	Si020842m.g	64.7887	73.0159
CAA33944	Si008430m.g	59.6154	46.9697
CAA33945	Si008734m.g	57.8947	88.5057
CAA33947	Si038623m.g	92.0635	45.3125
CAA33947	Si039758m.g	82.5397	51.4851
CAA33948	Si020852m.g	51.1111	80.7018
CAA33950	Si020872m.g	66.0763	83.6207
CAA33952	Si020837m.g	53.5826	92.4731
CAA33953	Si020851m.g	73.2	94.0874
CAA33954	Si019827m.g	41.9753	45.9459
CAA33957	Si020835m.g	97.2222	97.2222
CAA33957	Si020880m.g	97.2222	97.2222
CAA33958	Si020826m.g	95.1351	95.1351
CAA33958	Si020847m.g	95.1351	95.1351
CAA33960	Si020838m.g	92.1739	92.1739
CAA33960	Si020887m.g	79.5652	91.5
CAA33961	Si020836m.g	93.75	98.0392
CAA33961	Si020868m.g	69.6875	97.807
CAA33962	Si020869m.g	97.5	82.9787
CAA33962	Si020883m.g	97.5	82.9787
CAA33963	Si020865m.g	100	100
CAA33963	Si020866m.g	100	100
CAA33964	Si020849m.g	100	100
CAA33964	Si020873m.g	100	100
CAA33967	Si020874m.g	100	100
CAA33967	Si020885m.g	100	100
CAA33968	Si014853m.g	70.4545	77.5
