Gene stable ID	Sorghum bicolor gene stable ID	% identity	Sorghum bicolor % identity	Orthology confidence [0 low, 1 high]
OS01G0100100	Sb03g009250	73	72	1
OS01G0100400	Sb01g035180	80	80	1
OS01G0100500	Sb03g009220	79	77	1
OS01G0100600	Sb01g035210	48	51	1
OS01G0100700	Sb03g009210	84	83	0
OS01G0100800	Sb03g009200	68	68	1
OS01G0100900	Sb03g009170	77	78	1
OS01G0101150	Sb03g009160	62	66	1
OS01G0101200	Sb03g009140	52	63	1
OS01G0101300	Sb03g009135	19	73	1
OS01G0101300	Sb09g002870	85	82	1
OS01G0101600	Sb03g009130	60	73	1
OS01G0101700	Sb03g009120	64	57	1
OS01G0101800	Sb03g009105	32	45	1
OS01G0101900	Sb03g009090	79	81	1
OS01G0102000	Sb03g009070	74	74	1
OS01G0102300	Sb03g009060	49	52	1
OS01G0102400	Sb07g004410	33	30	1
OS01G0102400	Sb08g003700	31	28	1
OS01G0102400	Sb08g006350	29	30	1
OS01G0102500	Sb03g009050	83	78	1
OS01G0102600	Sb08g018630	74	73	1
OS01G0102700	Sb08g018640	63	67	0
OS01G0102800	Sb03g009030	80	61	1
OS01G0102900	Sb03g009010	55	51	1
OS01G0103000	Sb03g009000	90	90	1
OS01G0103100	Sb02g031360	75	68	1
OS01G0103100	Sb09g004250	22	54	1
OS01G0103600	Sb03g008970	77	75	1
OS01G0103600	Sb03g008980	77	78	1
OS01G0103700	Sb03g008920	16	3	1
OS01G0103800	Sb09g028270	29	75	1
OS01G0103800	Sb09g028275	44	69	1
OS01G0103900	Sb03g008910	70	51	0
OS01G0104000	Sb03g008900	81	81	1
OS01G0104100	Sb03g008890	67	73	0
OS01G0104100	Sb07g001060	69	76	0
OS01G0104400	Sb03g008870	59	56	1
OS01G0104500	Sb02g023960	40	34	1
OS01G0104500	Sb03g008470	26	58	1
OS01G0104500	Sb03g008860	42	34	1
OS01G0104500	Sb05g024550	36	32	1
OS01G0104500	Sb09g008000	42	34	1
OS01G0104600	Sb07g004650	91	91	1
OS01G0104800	Sb07g028350	59	60	1
OS01G0104900	Sb03g008850	66	62	1
OS01G0105700	Sb03g008830	27	58	1
OS01G0105800	Sb03g008820	82	87	1
OS01G0105900	Sb03g008810	84	84	1
OS01G0106200	Sb03g008770	63	67	1
OS01G0106300	Sb03g008750	59	56	1
OS01G0106300	Sb03g008760	64	65	1
OS01G0106300	Sb03g029820	58	65	1
OS01G0106400	Sb03g008750	63	59	1
OS01G0106400	Sb03g008760	70	71	1
OS01G0106400	Sb03g029820	62	69	1
OS01G0106500	Sb03g008730	44	34	1
OS01G0106600	Sb03g008720	38	29	1
OS01G0106700	Sb03g008670	25	85	1
OS01G0106700	Sb03g008680	33	49	1
OS01G0106800	Sb03g008660	90	91	1
OS01G0106900	Sb03g008650	92	92	1
OS01G0107000	Sb03g008640	54	53	1
OS01G0107700	Sb03g008610	66	69	1
OS01G0107900	Sb03g008585	20	75	0
OS01G0107900	Sb03g008590	41	93	0
OS01G0108000	Sb03g008580	70	70	1
OS01G0108200	Sb08g015530	85	81	1
OS01G0108400	Sb01g033530	45	54	1
OS01G0108400	Sb03g008570	46	55	1
OS01G0108600	Sb03g008560	47	46	1
OS01G0108800	Sb03g008530	58	23	1
OS01G0108800	Sb03g008540	9	6	1
OS01G0109300	Sb03g008520	59	88	1
OS01G0109700	Sb03g008490	83	76	1
OS01G0109750	Sb03g008480	83	83	1
OS01G0110100	Sb03g008460	74	66	1
OS01G0110500	Sb03g008430	50	89	1
OS01G0110600	Sb03g008420	56	35	1
OS01G0110700	Sb03g008410	80	79	0
OS01G0110800	Sb03g008360	71	63	1
OS01G0110800	Sb03g008380	71	62	1
OS01G0111100	Sb03g008330	79	78	1
OS01G0111200	Sb03g008320	79	74	1
OS01G0111400	Sb03g008300	75	74	1
OS01G0111500	Sb03g008290	47	48	1
OS01G0111600	Sb03g008270	82	84	1
OS01G0111700	Sb03g008260	49	47	1
OS01G0111800	Sb03g008250	53	53	1
OS01G0112100	Sb03g008220	73	72	1
OS01G0112400	Sb03g008210	58	58	1
OS01G0112500	Sb03g008200	90	87	1
OS01G0112800	Sb04g009750	54	36	1
OS01G0112800	Sb08g002290	46	33	1
OS01G0113150	Sb04g009750	55	25	1
OS01G0113150	Sb08g002290	56	28	1
OS01G0113300	Sb03g008180	59	59	0
OS01G0113350	Sb03g008160	68	69	1
OS01G0113400	Sb03g025630	59	59	1
OS01G0113500	Sb03g008150	65	63	1
OS01G0113650	Sb03g008160	70	71	1
OS01G0113700	Sb03g025630	60	60	1
OS01G0113800	Sb03g008150	67	64	1
OS01G0113900	Sb03g008140	27	31	1
OS01G0114100	Sb03g025630	61	59	1
OS01G0114600	Sb03g008110	58	60	0
OS01G0114700	Sb03g008100	70	72	1
OS01G0114800	Sb08g019085	34	29	1
OS01G0114900	Sb03g008150	82	38	1
OS01G0115500	Sb03g025630	71	35	1
OS01G0115566	Sb03g008140	39	26	1
OS01G0115600	Sb03g008100	71	72	1
OS01G0115750	Sb03g025630	59	59	1
OS01G0115800	Sb03g008140	35	28	1
OS01G0116300	Sb03g025620	38	37	1
OS01G0116400	Sb03g008110	57	57	0
OS01G0116600	Sb06g027260	75	74	1
OS01G0116800	Sb03g008110	76	42	0
OS01G0116900	Sb03g025610	60	81	0
OS01G0117000	Sb03g008110	49	54	0
OS01G0117100	Sb03g025610	82	79	0
OS01G0117266	Sb03g025620	45	21	1
OS01G0117300	Sb03g025610	77	80	0
OS01G0117400	Sb03g006915	33	43	0
OS01G0117500	Sb03g025610	65	81	0
OS01G0117600	Sb03g008110	54	57	0
OS01G0117700	Sb03g025610	48	82	0
OS01G0117900	Sb03g008060	89	89	1
OS01G0118000	Sb03g008050	94	94	1
OS01G0118100	Sb03g008040	88	52	1
OS01G0118300	Sb03g008030	90	36	1
OS01G0118400	Sb03g008020	67	63	1
OS01G0118600	Sb03g008000	60	59	1
OS01G0119000	Sb03g007960	63	60	1
OS01G0119100	Sb03g007370	64	56	1
OS01G0119100	Sb03g007910	66	61	1
