Gene stable ID	Oryza meridionalis gene stable ID	%id. target Oryza meridionalis gene identical to query gene	%id. query gene identical to target Oryza meridionalis gene
BAC19860	OMERI04G06620	76.129	83.6879
BAC19862	OMERI04G06630	96.5854	50.5102
BAC19865	OMERI06G00760	98.513	100
BAC19872	OMERI04G06800	93.6	86.6667
BAC19873	OMERI04G06810	52.2321	100
BAC19878	OMERI01G11920	100	90.4762
BAC19879	OMERI01G11930	51.8717	54.4944
BAC19880	OMERI04G06760	12.2388	53.9474
BAC19889	OMERI06G00730	84.2324	38.7405
BAC19901	OMERI02G06300	88.4393	90.5325
BAC19902	OMERI01G11910	21.6049	35.7143
CAA33909	OMERI08G16320	84.2697	30.8642
CAA33920	OMERI06G03670	64.902	62.1013
CAA33924	OMERI03G24030	45.0549	48.2353
CAA33925	OMERI06G16820	32.8467	61.6438
CAA33928	OMERI03G24030	45.0549	48.2353
CAA33932	OMERI08G16360	90.2439	49.5536
CAA33933	OMERI01G11900	35.2941	36.0902
CAA33934	OMERI01G15510	32.2176	46.6667
CAA33935	OMERI01G15520	75.8389	93.3884
CAA33937	OMERI06G16820	32.8467	61.6438
CAA33941	OMERI06G03670	64.902	62.1013
CAA33950	OMERI08G16350	20.9809	87.5
CAA33953	OMERI08G16340	57	71.9697
CAA33954	OMERI08G16330	86.4198	54.6875
CAA33972	OMERI08G16390	98.1481	92.5764
CAA33977	OMERI03G34680	41.3953	46.3542
CAA33980	OMERI08G16370	44.0559	14.1256
CAA33986	OMERI09G01850	86.4186	61.4012
CAA33990	OMERI09G01870	85.83	40.1515
CAA33993	OMERI03G24070	60.5523	100
CAA33995	OMERI03G24080	70.2997	90.8451
CAA33996	OMERI03G24090	71.4667	81.8321
CAA33999	OMERI08G16440	100	79.1045
CAA34000	OMERI08G16430	72.3577	66.9173
CAA34007	OMERI03G24040	100	100
CAA34008	OMERI03G24050	19.1882	73.2394
CAA34014	OMERI03G24060	95.3488	56.5163
Os01g0100200	OMERI05G17330	68.3099	48.0198
Os01g0100200	OMERI06G01950	58.4507	48.2558
Os01g0100300	OMERI09G10390	46.8401	27.0968
Os01g0100800	OMERI05G20720	78.3708	84.8024
Os01g0102700	OMERI05G00300	56.5854	60.1036
Os01g0104100	OMERI02G33630	82.5359	95.5679
Os01g0104500	OMERI01G15210	97.1875	90.407
Os01g0104600	OMERI09G04430	50.8806	86.0927
Os01g0107700	OMERI01G00030	97.0909	95.6989
Os01g0107900	OMERI01G00040	99.2026	99.52
Os01g0108200	OMERI01G00050	91.0959	38.1307
