Gene stable ID	Brassica oleracea gene stable ID	%id. target Brassica oleracea gene identical to query gene	%id. query gene identical to target Brassica oleracea gene
BAC19852	Bo4g119570	33.5385	54.5
BAC19854	Bo3g091270	33.5025	25
BAC19854	Bo7g023090	54.3147	46.5217
BAC19857	Bo11040s010	3.37838	8.19672
BAC19860	Bo01107s010	47.7419	16.8182
BAC19865	Bo05006s010	28.9963	72.8972
BAC19874	Bo3g057130	18.6335	41.0959
BAC19874	Bo5g148810	18.6335	42.4528
BAC19875	Bo00673s100	6.66667	51.5625
BAC19883	Bo01841s010	71.5909	69.6133
BAC19885	Bo7g023060	88	50.3817
BAC19887	Bo1g101270	60.2151	24.1379
BAC19887	Bo3g081920	55.914	21.3992
BAC19887	Bo7g039000	58.0645	26.2136
BAC19889	Bo2g147960	0	0
BAC19889	Bo9g022500	72.1992	9.76431
BAC19891	Bo3g184800	5.16224	56.4516
BAC19891	Bo7g022990	61.9469	80.6142
BAC19894	Bo00613s200	46.789	55.7377
BAC19894	Bo7g023010	17.4312	36.3636
BAC19899	Bo21226s010	16.8959	93.4783
CAA33911	Bo7g080720	83.4606	86.5435
CAA33915	Bo01499s020	43.609	16.3842
CAA33915	Bo01499s030	42.8571	29.2308
CAA33918	Bo3g127590	82.5581	47.651
CAA33918	Bo9g056100	55.814	40.3361
CAA33919	Bo5g140130	82.6923	83.2258
CAA33919	Bo7g104980	82.6923	83.2258
CAA33919	Bo9g056110	79.4872	80
CAA33924	Bo9g056130	33.3333	68.4211
CAA33928	Bo9g056130	33.3333	68.4211
CAA33930	Bo9g091090	42.0561	31.9149
CAA33933	Bo6g115820	50	18.5286
CAA33942	Bo5g140130	82.6923	83.2258
CAA33942	Bo7g104980	82.6923	83.2258
CAA33942	Bo9g056110	79.4872	80
CAA33945	Bo01499s020	43.609	16.3842
CAA33945	Bo01499s030	42.8571	29.2308
CAA33953	Bo5g136970	21	22.5322
CAA33953	Bo9g097270	76.2	79.375
CAA33957	Bo9g148550	80.5556	78.3784
CAA33961	Bo8g059930	53.75	22.1649
CAA33969	Bo15489s010	72.7273	75
CAA33972	Bo4g133400	27.3148	54.6296
CAA33978	Bo8g030510	91.875	88.0239
CAA33979	Bo5g050720	54.8961	63.7931
CAA33986	Bo7g023050	44.6512	59.5533
CAA33991	Bo04489s010	82.716	69.0722
CAA33993	Bo00673s020	40.2367	56.8245
CAA33998	Bo7g033150	27.8607	25
CAA33999	Bo00434s010	74.8428	47.4104
CAA33999	Bo01256s010	74.2138	47.012
CAA33999	Bo01256s020	74.2138	47.012
CAA33999	Bo5g075180	74.2138	47.012
CAA33999	Bo7g033160	74.8428	47.4104
CAA34000	Bo9g173790	42.6829	80.7692
CAA34001	Bo9g173780	85.8333	85.8333
CAA34003	Bo01256s030	20.8835	52
CAA34003	Bo7g033170	44.1767	62.3229
CAA34013	Bo3g092010	97.7337	96.1003
CAA34014	Bo5g069480	85.8351	74.0876
Os01g0100100	Bo4g019830	46.4387	48.2249
Os01g0100100	Bo4g194370	45.8689	45.1613
Os01g0100100	Bo8g094330	48.433	48.0226
Os01g0100400	Bo1g039930	56.1551	55.5927
Os01g0100400	Bo2g050460	56.661	59.6803
Os01g0100400	Bo2g104970	60.8769	61.6041
Os01g0100400	Bo2g149950	63.2378	63.0252
Os01g0100400	Bo3g023680	54.9747	58.7387
Os01g0100400	Bo3g045700	61.0455	61.8803
Os01g0100400	Bo9g101160	55.8179	55.4439
Os01g0100500	Bo3g012080	42.5573	36.3192
Os01g0100700	Bo3g031660	85	82.1256
