A2X747	Jaiswal:Cc06_g14760 Jaiswal:Cc04_g05230
A2XPN8	Jaiswal:Cc03_g04380
A2Y626	Jaiswal:Cc06_g20390 Jaiswal:Cc00_g08150
A2Y8A8	Jaiswal:Cc08_g12940
A2ZW27	Jaiswal:Cc05_g08250
A2ZWY3	Jaiswal:Cc08_g10820
A2ZWY7	Jaiswal:Cc08_g10820
A3AAR2	Jaiswal:Cc03_g11090
A3AQC6	Jaiswal:Cc00_g15590
A3AZW5	Jaiswal:Cc06_g06940
A3B7R7	Jaiswal:Cc00_g10050 Jaiswal:Cc00_g05190 Jaiswal:Cc01_g15360
A3B9A0	Jaiswal:Cc00_g00210 Jaiswal:Cc06_g12540
A3BI64	Jaiswal:Cc11_g03130 Jaiswal:Cc11_g03080 Jaiswal:Cc01_g06490 Jaiswal:Cc03_g09630 Jaiswal:Cc02_g30770 Jaiswal:Cc03_g09610 Jaiswal:Cc11_g03140 Jaiswal:Cc01_g13570 Jaiswal:Cc11_g03100 Jaiswal:Cc09_g08130
A3BIR7	Jaiswal:Cc04_g11270 Jaiswal:Cc00_g02640 Jaiswal:Cc04_g11210 Jaiswal:Cc00_g02660 Jaiswal:Cc00_g27670 Jaiswal:Cc04_g11250 Jaiswal:Cc06_g22460 Jaiswal:Cc06_g22120 Jaiswal:Cc00_g17240 Jaiswal:Cc05_g06770 Jaiswal:Cc00_g33270 Jaiswal:Cc05_g14770 Jaiswal:Cc08_g07330 Jaiswal:Cc06_g22450 Jaiswal:Cc08_g07950 Jaiswal:Cc00_g18540 Jaiswal:Cc08_g07520 Jaiswal:Cc00_g17250 Jaiswal:Cc06_g22430 Jaiswal:Cc08_g07400 Jaiswal:Cc05_g04010 Jaiswal:Cc03_g15170 Jaiswal:Cc08_g07460 Jaiswal:Cc08_g07370 Jaiswal:Cc05_g05090 Jaiswal:Cc05_g04020 Jaiswal:Cc03_g15150 Jaiswal:Cc06_g22090 Jaiswal:Cc01_g05620 Jaiswal:Cc04_g11300 Jaiswal:Cc00_g02650 Jaiswal:Cc03_g10930 Jaiswal:Cc00_g30530 Jaiswal:Cc08_g07320 Jaiswal:Cc08_g07360 Jaiswal:Cc02_g28250 Jaiswal:Cc08_g07340 Jaiswal:Cc06_g22050 Jaiswal:Cc05_g06760 Jaiswal:Cc06_g22070 Jaiswal:Cc05_g05100 Jaiswal:Cc03_g10990 Jaiswal:Cc00_g06410 Jaiswal:Cc08_g07410 Jaiswal:Cc01_g02610 Jaiswal:Cc00_g06430 Jaiswal:Cc00_g09200 Jaiswal:Cc06_g22080 Jaiswal:Cc00_g17260 Jaiswal:Cc11_g16380 Jaiswal:Cc05_g04040 Jaiswal:Cc00_g06370 Jaiswal:Cc00_g31730 Jaiswal:Cc03_g10940 Jaiswal:Cc05_g05080 Jaiswal:Cc01_g05630 Jaiswal:Cc03_g14110 Jaiswal:Cc03_g10960
A3BJI8	Jaiswal:Cc11_g14940
A3C4N5	Jaiswal:Cc01_g02510 Jaiswal:Cc02_g26810
A3C6G9	Jaiswal:Cc08_g02390
A4LBC0	Jaiswal:Cc06_g06260
B7E8M5	Jaiswal:Cc02_g37880
B7EA04	Jaiswal:Cc00_g22880
B7EJ81	Jaiswal:Cc11_g11510
B7F4K3	Jaiswal:Cc06_g05220 Jaiswal:Cc06_g05210 Jaiswal:Cc04_g00180
B7F7B9	Jaiswal:Cc06_g07910
B7F8T0	Jaiswal:Cc09_g02090
