Gene stable ID	Prunus persica gene stable ID	% identity	Prunus persica % identity	Orthology confidence [0 low, 1 high]
OS01G0100100	PRUPE_ppa002213mg	48	49	1
OS01G0100400	PRUPE_ppa003275mg	66	66	1
OS01G0100500	PRUPE_ppa003106mg	47	41	1
OS01G0100600	PRUPE_ppa010526mg	28	40	1
OS01G0100700	PRUPE_ppa011243mg	86	79	0
OS01G0100700	PRUPE_ppa011314mg	87	80	0
OS01G0100700	PRUPE_ppa011341mg	86	80	0
OS01G0100800	PRUPE_ppa012216mg	18	36	1
OS01G0100900	PRUPE_ppa003923mg	71	71	1
OS01G0101150	PRUPE_ppa024283mg	44	50	1
OS01G0101200	PRUPE_ppa004202mg	53	31	1
OS01G0101300	PRUPE_ppa006238mg	64	62	1
OS01G0101600	PRUPE_ppa020677mg	41	52	0
OS01G0101700	PRUPE_ppa011527mg	43	39	0
OS01G0101800	PRUPE_ppa004212mg	13	17	1
OS01G0102000	PRUPE_ppa006616mg	41	54	1
OS01G0102300	PRUPE_ppa012307mg	34	50	1
OS01G0102400	PRUPE_ppa026882mg	8	27	0
OS01G0102500	PRUPE_ppa007739mg	63	59	1
OS01G0102600	PRUPE_ppa009329mg	36	33	1
OS01G0102700	PRUPE_ppa010572mg	46	39	0
OS01G0102800	PRUPE_ppa000387mg	66	49	1
OS01G0102900	PRUPE_ppa013059mg	43	39	1
OS01G0103000	PRUPE_ppa010749mg	76	74	0
OS01G0103100	PRUPE_ppa017140mg	65	62	0
OS01G0103600	PRUPE_ppa011030mg	63	61	1
OS01G0103700	PRUPE_ppa000471mg	31	5	1
OS01G0103800	PRUPE_ppa006213mg	38	45	1
OS01G0103900	PRUPE_ppa026612mg	47	35	0
OS01G0104000	PRUPE_ppa003719mg	64	65	1
OS01G0104100	PRUPE_ppa007956mg	54	64	1
OS01G0104400	PRUPE_ppa008625mg	42	35	0
OS01G0104500	PRUPE_ppa005770mg	40	29	1
OS01G0104600	PRUPE_ppa004040mg	68	66	1
OS01G0104800	PRUPE_ppa003218mg	35	38	1
OS01G0104900	PRUPE_ppa017132mg	48	50	1
OS01G0105700	PRUPE_ppa005486mg	27	23	1
OS01G0105800	PRUPE_ppa013203mg	75	76	0
OS01G0105900	PRUPE_ppa006557mg	69	64	1
OS01G0106200	PRUPE_ppa011856mg	68	69	1
OS01G0106700	PRUPE_ppa000124mg	35	49	1
OS01G0106800	PRUPE_ppa013547mg	79	85	0
OS01G0106800	PRUPE_ppa013561mg	76	83	0
OS01G0106900	PRUPE_ppa020981mg	81	86	1
OS01G0107700	PRUPE_ppa003859mg	48	48	1
OS01G0107900	PRUPE_ppa002543mg	50	48	1
OS01G0108000	PRUPE_ppa001829mg	43	43	1
OS01G0108000	PRUPE_ppa022685mg	20	44	1
OS01G0108000	PRUPE_ppa027066mg	27	46	1
OS01G0108200	PRUPE_ppa001441mg	71	62	0
OS01G0108200	PRUPE_ppa001887m1g	53	67	0
OS01G0108200	PRUPE_ppa001887m2g	16	65	0
OS01G0108400	PRUPE_ppa020940mg	27	33	0
OS01G0108400	PRUPE_ppa026684mg	27	33	0
OS01G0108600	PRUPE_ppa020940mg	34	41	0
OS01G0108600	PRUPE_ppa026684mg	33	40	0
OS01G0108800	PRUPE_ppa015102mg	42	16	1
OS01G0109300	PRUPE_ppa019164mg	62	65	0
OS01G0109300	PRUPE_ppa022928mg	55	65	0
OS01G0109700	PRUPE_ppa000224mg	61	56	0
OS01G0109700	PRUPE_ppa000253mg	52	50	0
OS01G0110100	PRUPE_ppa001601mg	62	63	1
OS01G0110400	PRUPE_ppa006371mg	74	74	0
OS01G0110400	PRUPE_ppa006513mg	73	74	0
OS01G0110500	PRUPE_ppa002001mg	49	47	1
OS01G0110500	PRUPE_ppa002064mg	48	47	1
OS01G0110700	PRUPE_ppa000806mg	70	73	1
OS01G0110800	PRUPE_ppa018259mg	48	48	1
OS01G0110800	PRUPE_ppa026461mg	46	47	1
OS01G0111100	PRUPE_ppa015639mg	53	47	0
OS01G0111200	PRUPE_ppa006535mg	32	49	0
OS01G0111200	PRUPE_ppa026996mg	29	35	0
OS01G0111400	PRUPE_ppa002398mg	48	49	1
OS01G0111500	PRUPE_ppa025775mg	37	44	1
OS01G0111600	PRUPE_ppa012388mg	58	59	1
OS01G0111700	PRUPE_ppa021818mg	23	40	1
OS01G0112100	PRUPE_ppa007223mg	29	29	1
OS01G0112500	PRUPE_ppa007075mg	51	48	1
OS01G0113200	PRUPE_ppa002693mg	29	18	0
OS01G0113200	PRUPE_ppa003241mg	30	20	0
OS01G0113300	PRUPE_ppa014999mg	35	36	0
OS01G0113300	PRUPE_ppa016018mg	35	36	0
OS01G0113300	PRUPE_ppa017667mg	34	38	0
OS01G0113300	PRUPE_ppa020110mg	33	36	0
OS01G0113300	PRUPE_ppa020329mg	29	37	0
OS01G0113300	PRUPE_ppa023930mg	32	32	0
OS01G0113300	PRUPE_ppa025186mg	37	39	0
OS01G0113300	PRUPE_ppb021447mg	29	26	0
OS01G0113400	PRUPE_ppa014999mg	31	33	0
OS01G0113400	PRUPE_ppa016018mg	33	35	0
OS01G0113400	PRUPE_ppa017667mg	32	37	0
OS01G0113400	PRUPE_ppa020110mg	31	34	0
OS01G0113400	PRUPE_ppa020329mg	29	38	0
OS01G0113400	PRUPE_ppa023930mg	31	33	0
OS01G0113400	PRUPE_ppa025186mg	33	37	0
OS01G0113400	PRUPE_ppb021447mg	28	26	0
OS01G0113500	PRUPE_ppa002693mg	36	35	0
OS01G0113500	PRUPE_ppa003241mg	39	42	0
OS01G0113700	PRUPE_ppa014999mg	31	34	0
OS01G0113700	PRUPE_ppa016018mg	33	36	0
OS01G0113700	PRUPE_ppa017667mg	32	37	0
OS01G0113700	PRUPE_ppa020110mg	32	35	0
OS01G0113700	PRUPE_ppa020329mg	30	40	0
OS01G0113700	PRUPE_ppa023930mg	32	34	0
OS01G0113700	PRUPE_ppa025186mg	34	38	0
OS01G0113700	PRUPE_ppb021447mg	29	27	0
OS01G0113800	PRUPE_ppa002693mg	37	36	0
OS01G0113800	PRUPE_ppa003241mg	38	41	0
OS01G0114100	PRUPE_ppa014999mg	33	35	0
OS01G0114100	PRUPE_ppa016018mg	35	37	0
OS01G0114100	PRUPE_ppa017667mg	34	38	0
OS01G0114100	PRUPE_ppa020110mg	33	36	0
OS01G0114100	PRUPE_ppa020329mg	31	39	0
OS01G0114100	PRUPE_ppa023930mg	33	34	0
OS01G0114100	PRUPE_ppa025186mg	35	38	0
OS01G0114100	PRUPE_ppb021447mg	31	28	0
OS01G0114400	PRUPE_ppa014999mg	45	24	0
OS01G0114400	PRUPE_ppa016018mg	46	24	0
OS01G0114400	PRUPE_ppa017667mg	47	27	0
OS01G0114400	PRUPE_ppa020110mg	44	24	0
OS01G0114400	PRUPE_ppa020329mg	43	28	0
OS01G0114400	PRUPE_ppa023930mg	44	23	0
OS01G0114400	PRUPE_ppa025186mg	48	26	0
OS01G0114400	PRUPE_ppb021447mg	41	19	0
OS01G0114600	PRUPE_ppa014999mg	32	35	0
OS01G0114600	PRUPE_ppa016018mg	34	37	0
OS01G0114600	PRUPE_ppa017667mg	31	37	0
OS01G0114600	PRUPE_ppa020110mg	30	34	0
OS01G0114600	PRUPE_ppa020329mg	28	37	0
OS01G0114600	PRUPE_ppa023930mg	31	33	0
OS01G0114600	PRUPE_ppa025186mg	33	38	0
OS01G0114600	PRUPE_ppb021447mg	28	27	0
OS01G0114700	PRUPE_ppa002693mg	38	37	0
OS01G0114700	PRUPE_ppa003241mg	40	43	0
OS01G0114900	PRUPE_ppa002693mg	52	25	0
OS01G0114900	PRUPE_ppa003241mg	54	28	0
