Gene stable ID	Zea mays gene stable ID	% identity	Zea mays % identity	Orthology confidence [0 low, 1 high]
OS01G0100100	Zm00001d040234	70.9402	69.3593	1
OS01G0100400	Zm00001d029193	80.2698	68.8857	1
OS01G0100500	Zm00001d008386	76.145	72.9433	1
OS01G0100600	Zm00001d029189	47.0423	50.9146	1
OS01G0100600	Zm00001d047466	47.0423	51.0703	1
OS01G0100700	Zm00001d008387	87.5	87.9397	0
OS01G0100700	Zm00001d037929	86	86.4322	0
OS01G0100800	Zm00001d008388	57.8652	57.5419	1
OS01G0100900	Zm00001d008389	86.8275	84.9365	1
OS01G0101150	Zm00001d040222	70.1235	67.1395	1
OS01G0101200	Zm00001d040220	58.2524	58.6319	1
OS01G0101300	Zm00001d010915	83.2924	80.5226	1
OS01G0101600	Zm00001d008390	56.544	66.7069	1
OS01G0101600	Zm00001d040218	60.0205	63.5281	1
OS01G0101700	Zm00001d008392	61.1702	53.9906	1
OS01G0101700	Zm00001d040215	61.7021	56.3107	1
OS01G0101800	Zm00001d008393	42.6035	40.0556	1
OS01G0101800	Zm00001d040213	42.0118	41.2791	1
OS01G0101900	Zm00001d040211	73.6111	75.7143	1
OS01G0102000	Zm00001d040205	73.1061	72.8302	1
OS01G0102300	Zm00001d008394	46.3035	41.3194	1
OS01G0102400	Zm00001d023466	27.0784	25.9681	1
OS01G0102500	Zm00001d040204	81.9277	78.8406	1
OS01G0102600	Zm00001d030688	72.4907	68.4211	1
OS01G0102700	Zm00001d030690	60.9756	62.1891	1
OS01G0102700	Zm00001d041569	60.4878	64.2487	1
OS01G0102800	Zm00001d040203	86.0414	62.7685	1
OS01G0102900	Zm00001d003199	34.375	28.2051	1
OS01G0102900	Zm00001d041784	32.8125	20.6897	1
OS01G0102900	Zm00001d050774	39.0625	31.8471	1
OS01G0103000	Zm00001d040202	89.2241	90	1
OS01G0103100	Zm00001d040201	74.0924	67.9274	1
OS01G0103600	Zm00001d008395	80.3653	79.638	0
OS01G0103700	Zm00001d040193	57.1429	7.68	1
OS01G0103800	Zm00001d009548	76.6208	69.0266	1
OS01G0103800	Zm00001d038988	75.6385	69.6203	1
OS01G0103900	Zm00001d008398	68.6192	46.6572	1
OS01G0104000	Zm00001d040192	81.6216	81.6216	1
OS01G0104100	Zm00001d052080	6.69856	65.1163	1
OS01G0104200	Zm00001d008399	41.5929	35.4271	1
OS01G0104400	Zm00001d040190	66.791	58.3062	1
OS01G0104500	Zm00001d008403	38.125	37.8882	1
OS01G0104500	Zm00001d040189	46.875	38.3632	1
OS01G0104600	Zm00001d009288	76.3209	76.0234	1
OS01G0104600	Zm00001d020989	88.2583	83.829	1
OS01G0104600	Zm00001d024743	12.9159	56.8966	1
OS01G0104600	Zm00001d040485	18.0039	61.745	1
OS01G0104800	Zm00001d031326	57.5194	58.6098	1
OS01G0104900	Zm00001d040188	64.7436	63.7895	1
OS01G0105700	Zm00001d040186	51.2887	43.2609	1
OS01G0105800	Zm00001d008405	78.2609	49.3151	1
OS01G0105800	Zm00001d040185	76.087	80.7692	1
OS01G0105900	Zm00001d008406	82.8496	75.1196	1
OS01G0105900	Zm00001d040183	82.5858	83.4667	1
OS01G0106200	Zm00001d008407	87.7551	86.4322	1
OS01G0106200	Zm00001d040178	85.2041	83.0846	1
OS01G0106300	Zm00001d040173	63.8365	65.6958	1
OS01G0106400	Zm00001d040173	68.1529	69.2557	1
OS01G0106500	Zm00001d040172	44.3925	30.0633	1
OS01G0106600	Zm00001d008408	34.2466	28.9855	1
OS01G0106600	Zm00001d040171	36.3014	28.2667	1
OS01G0106700	Zm00001d040166	68.2338	52.2379	1
OS01G0106800	Zm00001d040164	88.8889	91.8033	0
OS01G0106900	Zm00001d008427	86.0465	71.0297	1
OS01G0106900	Zm00001d040163	86.8922	86.8922	1
OS01G0107000	Zm00001d040161	52.9933	51.3979	1
OS01G0107700	Zm00001d008425	73.4545	70.6294	1
OS01G0107900	Zm00001d008422	81.8182	77.027	1
OS01G0107900	Zm00001d014020	16.9059	92.9825	1
OS01G0107900	Zm00001d018376	31.8979	82.3045	1
OS01G0107900	Zm00001d023672	17.3844	93.1624	1
OS01G0107900	Zm00001d040155	80.2233	80.8682	1
OS01G0108000	Zm00001d040154	53.1662	65.8497	1
OS01G0108200	Zm00001d023749	85.8904	81.323	0
OS01G0108400	Zm00001d040152	44.9782	51.7588	1
OS01G0108600	Zm00001d040148	56.25	55.0218	1
OS01G0108800	Zm00001d040147	77.9221	29.9003	1
