A2X747	Ensembl:Sb04g025760
A2XPN8	Ensembl:Sb06g000880
A2Y626	Ensembl:Sb09g024210
A2Y8A8	Ensembl:Sb10g000470
A2ZRY8	Ensembl:Sb03g011680
A2ZW27	Ensembl:Sb03g029720
A2ZWY7	Ensembl:Sb03g032220
A3AAR2	Ensembl:Sb04g029820
A3AC56	Ensembl:Sb04g035560
A3AQC6	Ensembl:Sb02g039510
A3C4N5	Ensembl:Sb01g022230
A4LBC0	Ensembl:Sb03g032730
A9CM06	Ensembl:Sb02g003530 Ensembl:Sb02g003520
B1B534	Ensembl:Sb01g021480
B7E8M5	Ensembl:Sb01g049430
B7EA04	Ensembl:Sb06g028340
B7EJ81	Ensembl:Sb02g027460
B7EM10	Ensembl:Sb02g028520 Ensembl:Sb02g028510 Ensembl:Sb02g028530
B7F409	Ensembl:Sb09g021990
B7F4K3	Ensembl:Sb02g011460
B7F7B9	Ensembl:Sb04g005720
B7F8T0	Ensembl:Sb05g001630
B7F956	Ensembl:Sb03g001010 Ensembl:Sb03g001030
B7F9K3	Ensembl:Sb02g011460
B7FA24	Ensembl:Sb10g004820
B7FA34	Ensembl:Sb09g027360
B7FA90	Ensembl:Sb10g026190
B7FA99	Ensembl:Sb03g026220
B7FAE9	Ensembl:Sb10g005820
B7FAP2	Ensembl:Sb03g003760
B8ACC6	Ensembl:Sb03g029210
B8AG62	Ensembl:Sb04g035950
B8AHI9	Ensembl:Sb04g017490 Ensembl:Sb08g016480
B8AT82	Ensembl:Sb06g013930 Ensembl:Sb06g013940
B8AY22	Ensembl:Sb09g019700 Ensembl:Sb01g032260
B8AZ97	Ensembl:Sb09g023310
B8B8K7	Ensembl:Sb02g039340
B8BB38	Ensembl:Sb07g021680
B8BF84	Ensembl:Sb02g024140
B9EUK4	Ensembl:Sb03g000530
B9EZJ8	Ensembl:Sb03g033730
B9FRT6	Ensembl:Sb10g005100
B9FYX6	Ensembl:Sb07g002630
B9FZ46	Ensembl:Sb07g003590
B9G3A7	Ensembl:Sb02g023610
B9G4Z8	Ensembl:Sb02g032330
B9G6J6	Ensembl:Sb01g017580
C7IWK8	Ensembl:Sb03g037560
C7J0P3	Ensembl:Sb03g005110
C7J5F5	Ensembl:Sb07g022880 Ensembl:Sb07g022890 Ensembl:Sb07g022910 Ensembl:Sb07g022860
C7J6Z0	Ensembl:Sb02g022920
D5A7J1	Ensembl:Sb10g004430
H6TFZ4	Ensembl:Sb10g031040
I1QQP8	Ensembl:Sb02g030920
O04226	Ensembl:Sb09g022290 Ensembl:Sb09g022310
O04882	Ensembl:Sb03g032280
O22105	Ensembl:Sb01g004550
O22567	Ensembl:Sb09g020140
O24174	Ensembl:Sb06g019200
O24210	Ensembl:Sb01g000970
O64422	Ensembl:Sb01g039980
O64437	Ensembl:Sb01g044290
O82427	Ensembl:Sb01g047930
P0C128	Ensembl:Sb07g000990
P0C132	Ensembl:Sb08g020580
P0C587	Ensembl:Sb01g017860 Ensembl:Sb06g030160
P0C5A4	Ensembl:Sb09g027110
P0C5B2	Ensembl:Sb01g030570
P14654	Ensembl:Sb01g042450
P14655	Ensembl:Sb06g031460
P14656	Ensembl:Sb04g028690
P14717	Ensembl:Sb04g026510
P15280	Ensembl:Sb07g012320
P16081	Ensembl:Sb07g022750
P17784	Ensembl:Sb03g043140 Ensembl:Sb04g019020
P17814	Ensembl:Sb07g007810
P18566	Ensembl:Sb05g003480
P30298	Ensembl:Sb10g006330
P31924	Ensembl:Sb01g033060
P37833	Ensembl:Sb03g035220
P38419	Ensembl:Sb07g027760
P42862	Ensembl:Sb01g006480
P42863	Ensembl:Sb01g006480
P48642	Ensembl:Sb04g036870
P93438	Ensembl:Sb03g013170
P93844	Ensembl:Sb10g023630
Q01KF3	Ensembl:Sb06g019370
Q01M39	Ensembl:Sb09g023700 Ensembl:Sb10g009800
Q05JG2	Ensembl:Sb04g030660
Q0D3B6	Ensembl:Sb06g014570
Q0D3D2	Ensembl:Sb02g043900
Q0D3H8	Ensembl:Sb02g043620
Q0D3T5	Ensembl:Sb02g042230
Q0D4Z4	Ensembl:Sb02g038190
Q0D7I3	Ensembl:Sb02g007310
Q0D7J0	Ensembl:Sb02g007110
Q0D7W4	Ensembl:Sb02g006100
Q0D8I9	Ensembl:Sb03g001440
Q0D8J6	Ensembl:Sb02g003240 Ensembl:Sb02g003230
Q0DAA4	Ensembl:Sb10g026600
Q0DAE1	Ensembl:Sb10g026300
