A2X747	Ensembl:BRADI3G48530
A2XPN8	Ensembl:BRADI5G01950
A2Y626	Ensembl:BRADI2G21300
A2Y8A8	Ensembl:BRADI1G52200
A2ZRY8	Ensembl:BRADI2G11120
A2ZW27	Ensembl:BRADI2G45330
A2ZWY7	Ensembl:BRADI4G08970
A3AAR2	Ensembl:BRADI3G53450
A3AC56	Ensembl:BRADI3G53790
A3AQC6	Ensembl:BRADI5G27490
A4LBC0	Ensembl:BRADI2G48057
A9CM06	Ensembl:BRADI3G11430
B1B534	Ensembl:BRADI3G26910
B7E8M5	Ensembl:BRADI1G77370
B7EA04	Ensembl:BRADI5G21650
B7EJ81	Ensembl:BRADI4G32967
B7EM10	Ensembl:BRADI4G33860
B7ERE7	Ensembl:BRADI4G37540
B7F4K3	Ensembl:BRADI4G38370
B7F7B9	Ensembl:BRADI3G06217
B7F8P7	Ensembl:BRADI4G38930
B7F8T0	Ensembl:BRADI4G40310
B7F956	Ensembl:BRADI2G07590 Ensembl:BRADI2G07597
B7F9K3	Ensembl:BRADI4G38370
B7FA24	Ensembl:BRADI2G52690
B7FA34	Ensembl:BRADI2G17680
B7FA90	Ensembl:BRADI1G31380
B7FAE9	Ensembl:BRADI1G47140
B7FAP2	Ensembl:BRADI2G05042 Ensembl:BRADI2G05050
B8ACC6	Ensembl:BRADI2G44880
B8AHI9	Ensembl:BRADI3G43170
B8AT82	Ensembl:BRADI5G08230 Ensembl:BRADI5G08235
B8AY22	Ensembl:BRADI2G25930
B8AZ97	Ensembl:BRADI2G22410
B8B8K7	Ensembl:BRADI1G20995
B8BB38	Ensembl:BRADI3G36887
B8BF84	Ensembl:BRADI4G29730
B9EUK4	Ensembl:BRADI2G08120
B9EZJ8	Ensembl:BRADI2G48980
B9FRT6	Ensembl:BRADI1G47910
B9FYX6	Ensembl:BRADI3G14370
B9FZ46	Ensembl:BRADI3G16940
B9G4Z8	Ensembl:BRADI4G37450
C7IWK8	Ensembl:BRADI2G52860
C7J0P3	Ensembl:BRADI1G64560
C7J5F5	Ensembl:BRADI3G38260
C7J6Z0	Ensembl:BRADI4G28670
D5A7I6	Ensembl:BRADI4G26300
H6TFZ4	Ensembl:BRADI1G29570
I1QQP8	Ensembl:BRADI4G36200
O04226	Ensembl:BRADI2G23507
O04882	Ensembl:BRADI2G47610
O22105	Ensembl:BRADI1G04870 Ensembl:BRADI1G04900
O22567	Ensembl:BRADI2G25550
O24174	Ensembl:BRADI5G12617
O24210	Ensembl:BRADI1G01460
O64422	Ensembl:BRADI1G67020
O64437	Ensembl:BRADI1G71667
O82427	Ensembl:BRADI1G76020
P0C128	Ensembl:BRADI3G13370
P0C132	Ensembl:BRADI4G02600
P0C587	Ensembl:BRADI3G30160 Ensembl:BRADI3G11060
P0C5A4	Ensembl:BRADI2G18090 Ensembl:BRADI2G18100
P0C5B2	Ensembl:BRADI3G32090
P14654	Ensembl:BRADI1G69530
P14655	Ensembl:BRADI5G24550
P14656	Ensembl:BRADI3G59970
P14717	Ensembl:BRADI3G49250
P15280	Ensembl:BRADI3G22330
P16081	Ensembl:BRADI3G37940
P17814	Ensembl:BRADI3G18960
P18566	Ensembl:BRADI4G08500 Ensembl:BRADI3G26384 Ensembl:BRADI3G26391 Ensembl:BRADI4G08800 Ensembl:BRADI5G04080
P30298	Ensembl:BRADI1G46670
P31924	Ensembl:BRADI1G60320
P37833	Ensembl:BRADI2G50500
P38419	Ensembl:BRADI3G39980
P42862	Ensembl:BRADI2G37400
P42863	Ensembl:BRADI2G37400
P48642	Ensembl:BRADI3G55030
P93438	Ensembl:BRADI2G12150 Ensembl:BRADI2G12160
P93844	Ensembl:BRADI1G36580
Q01KF3	Ensembl:BRADI5G12810
Q05JG2	Ensembl:BRADI3G52660
Q06967	Ensembl:BRADI1G11290
Q0D3B6	Ensembl:BRADI1G16490
Q0D3D2	Ensembl:BRADI1G16660
Q0D3H8	Ensembl:BRADI1G17335
Q0D3T5	Ensembl:BRADI1G18407
Q0D4Z4	Ensembl:BRADI1G22810
Q0D7I3	Ensembl:BRADI1G53500
Q0D7J0	Ensembl:BRADI1G53527 Ensembl:BRADI4G41410
Q0D7W4	Ensembl:BRADI1G54390
Q0D8J6	Ensembl:BRADI1G58580
Q0D8N3	Ensembl:BRADI1G58230
Q0DAA4	Ensembl:BRADI1G31987
