A0A0P0X5U4	Ensembl:F775_32727
A2Y626	Ensembl:F775_21690 Ensembl:F775_27986
A2Y8A8	Ensembl:F775_28816
A3AAR2	Ensembl:F775_43203
A3AC56	Ensembl:F775_32769
A3AQC6	Ensembl:F775_07780
A3B9A0	Ensembl:F775_12532
A3C6G9	Ensembl:F775_29772
A4LBC0	Ensembl:F775_21818
A9CM06	Ensembl:F775_07564
B1B534	Ensembl:F775_15536
B7EM10	Ensembl:F775_05403
B7ERE7	Ensembl:F775_17205
B7F4K3	Ensembl:F775_19686
B7F7B9	Ensembl:F775_28809
B7F8T0	Ensembl:F775_11214 Ensembl:F775_26434
B7F956	Ensembl:F775_18145 Ensembl:F775_20759
B7F9K3	Ensembl:F775_19686
B7FA24	Ensembl:F775_25579 Ensembl:F775_52449
B7FA34	Ensembl:F775_17433 Ensembl:F775_30182 Ensembl:F775_30183
B7FA90	Ensembl:F775_32703
B7FA99	Ensembl:F775_13414 Ensembl:F775_43163
B7FAE9	Ensembl:F775_26193
B7FAP2	Ensembl:F775_13447
B8ACC6	Ensembl:F775_13485
B8AY22	Ensembl:F775_32381
B8AZ97	Ensembl:F775_05139
B8B8K7	Ensembl:F775_05356
B8BF84	Ensembl:F775_29479
B9EUK4	Ensembl:F775_21871
B9F3B6	Ensembl:F775_28976
B9F8T8	Ensembl:F775_12726
B9FDB8	Ensembl:F775_19126
B9FLB9	Ensembl:F775_07192
B9FRT6	Ensembl:F775_07950
B9FZ46	Ensembl:F775_27059
B9G4Z8	Ensembl:F775_28188
B9G6J6	Ensembl:F775_13402
C7IWK8	Ensembl:F775_14171
C7J5F5	Ensembl:F775_12711 Ensembl:F775_22186 Ensembl:F775_22185 Ensembl:F775_43115 Ensembl:F775_21084 Ensembl:F775_17515 Ensembl:F775_17514 Ensembl:F775_07245
D5A7I6	Ensembl:F775_21854
D5A7J1	Ensembl:F775_19690
H6TFZ4	Ensembl:F775_05690 Ensembl:F775_08926
I1QQP8	Ensembl:F775_08577
I3QK18	Ensembl:F775_07140
O04226	Ensembl:F775_30562
O04882	Ensembl:F775_32003
O22105	Ensembl:F775_25942
O22567	Ensembl:F775_17053
O64422	Ensembl:F775_27204
O64437	Ensembl:F775_32863
O82427	Ensembl:F775_27199
P0C128	Ensembl:F775_02351
P0C132	Ensembl:F775_26128
P0C587	Ensembl:F775_13123
P0C5A4	Ensembl:F775_14582 Ensembl:F775_16053 Ensembl:F775_11284 Ensembl:F775_31889 Ensembl:F775_28594
P14654	Ensembl:F775_29915
P14655	Ensembl:F775_26726
P14656	Ensembl:F775_28424
P14717	Ensembl:F775_10822 Ensembl:F775_15058 Ensembl:F775_18386 Ensembl:F775_32970
P15280	Ensembl:F775_30798
P16081	Ensembl:F775_10676 Ensembl:F775_18735
P17784	Ensembl:F775_27796 Ensembl:F775_32635 Ensembl:F775_26377
P18566	Ensembl:F775_29737 Ensembl:F775_43781 Ensembl:F775_27269 Ensembl:F775_27268 Ensembl:F775_29936 Ensembl:F775_27267 Ensembl:F775_06084 Ensembl:F775_27270
P30298	Ensembl:F775_26527
P31924	Ensembl:F775_30978
P37833	Ensembl:F775_32947
P38419	Ensembl:F775_13267 Ensembl:F775_18268
P42862	Ensembl:F775_28315
P42863	Ensembl:F775_28315
P48642	Ensembl:F775_31071
P93438	Ensembl:F775_10213 Ensembl:F775_32726 Ensembl:F775_32727 Ensembl:F775_11072
P93844	Ensembl:F775_12039 Ensembl:F775_30053
Q01KF3	Ensembl:F775_29992
Q05JG2	Ensembl:F775_16028
Q06967	Ensembl:F775_32025
Q0D3B6	Ensembl:F775_10532
Q0D3D2	Ensembl:F775_10544 Ensembl:F775_10545
Q0D3T5	Ensembl:F775_13911
Q0D4G3	Ensembl:F775_14542
Q0D5H9	Ensembl:F775_43252
Q0D7E4	Ensembl:F775_20488
Q0D7W4	Ensembl:F775_05493
Q0D8J6	Ensembl:F775_52691
Q0DAA4	Ensembl:F775_07243
Q0DAE1	Ensembl:F775_14721
Q0DAJ3	Ensembl:F775_19044
Q0DAZ7	Ensembl:F775_32775
Q0DBF4	Ensembl:F775_52245
Q0DBN4	Ensembl:F775_06033
Q0DDS1	Ensembl:F775_14954
Q0DG18	Ensembl:F775_09010
Q0DGS1	Ensembl:F775_06493
Q0DHT1	Ensembl:F775_06491
Q0DJJ9	Ensembl:F775_21941 Ensembl:F775_20090
Q0DJT2	Ensembl:F775_30136
Q0DKE8	Ensembl:F775_43322
Q0DKM0	Ensembl:F775_13171
Q0DN31	Ensembl:F775_00644 Ensembl:F775_01069
Q0DNU1	Ensembl:F775_32334
Q0DS41	Ensembl:F775_07376
Q0DS96	Ensembl:F775_28545
Q0DSM1	Ensembl:F775_27776
Q0DV32	Ensembl:F775_22333
Q0DWC7	Ensembl:F775_17422
Q0DWF2	Ensembl:F775_13779
Q0DWH1	Ensembl:F775_25874
Q0DXA9	Ensembl:F775_19552
Q0DY86	Ensembl:F775_03473
Q0DYK7	Ensembl:F775_08006
Q0E079	Ensembl:F775_29986
Q0E2P1	Ensembl:F775_10159
Q0E3F2	Ensembl:F775_13169 Ensembl:F775_30024
Q0E3J1	Ensembl:F775_05490
Q0E3L4	Ensembl:F775_26922
Q0E4H0	Ensembl:F775_32459
Q0E4N2	Ensembl:F775_03678
Q0ILR7	Ensembl:F775_26816
Q0IM00	Ensembl:F775_17713
Q0IMS8	Ensembl:F775_01253
Q0INY7	Ensembl:F775_29737 Ensembl:F775_43781 Ensembl:F775_27269 Ensembl:F775_27268 Ensembl:F775_29936 Ensembl:F775_27267 Ensembl:F775_06084 Ensembl:F775_27270
Q0IPE5	Ensembl:F775_30751
Q0IPF7	Ensembl:EPlATAG00000010037
Q0IQQ5	Ensembl:F775_05165
Q0IRE6	Ensembl:F775_27068
Q0ISY7	Ensembl:F775_24828 Ensembl:F775_08733
Q0ITU1	Ensembl:F775_32766
Q0ITW7	Ensembl:F775_08422 Ensembl:F775_25974 Ensembl:F775_25973 Ensembl:F775_14355 Ensembl:F775_31566
Q0IU28	Ensembl:F775_09760
Q0IUG8	Ensembl:F775_28548
Q0IZJ9	Ensembl:F775_14948
Q0IZR4	Ensembl:F775_28188
Q0IZS0	Ensembl:F775_32963
Q0J0L4	Ensembl:F775_29788
Q0J0M8	Ensembl:F775_32005
Q0J0N3	Ensembl:F775_21010
Q0J0P1	Ensembl:F775_17920
Q0J185	Ensembl:F775_52698
Q0J1C1	Ensembl:F775_27074 Ensembl:F775_43846
Q0J1E1	Ensembl:F775_06356
Q0J268	Ensembl:F775_11450 Ensembl:F775_05749
Q0J360	Ensembl:F775_52647 Ensembl:F775_30152 Ensembl:F775_12572 Ensembl:F775_06090
Q0J484	Ensembl:F775_12918
Q0J7P4	Ensembl:F775_04529
Q0J7U6	Ensembl:F775_05335
Q0J7W9	Ensembl:F775_26023
Q0J8A4	Ensembl:F775_07657
Q0J8X6	Ensembl:F775_05045
Q0J951	Ensembl:F775_00614
Q0J9H0	Ensembl:F775_31179
Q0J9K2	Ensembl:F775_05911
Q0J9Z0	Ensembl:F775_05914
Q0JAI1	Ensembl:F775_25467
Q0JAQ3	Ensembl:F775_31723
Q0JB49	Ensembl:F775_05616
Q0JB91	Ensembl:F775_20570
Q0JC10	Ensembl:F775_30677
Q0JCZ4	Ensembl:F775_27540
Q0JDD2	Ensembl:F775_21656
Q0JDN5	Ensembl:F775_27605
Q0JEK1	Ensembl:F775_27619 Ensembl:F775_32503
Q0JEX4	Ensembl:F775_14593 Ensembl:F775_12358
Q0JEZ8	Ensembl:F775_11875 Ensembl:F775_18908
Q0JF02	Ensembl:F775_11874 Ensembl:F775_16977 Ensembl:F775_17871 Ensembl:F775_17875
Q0JF30	Ensembl:F775_07415
Q0JGK4	Ensembl:F775_20568
Q0JHN3	Ensembl:F775_27999
Q0JI87	Ensembl:F775_06353
Q0JIJ8	Ensembl:F775_32548
Q0JIR8	Ensembl:F775_08071
Q0JJ01	Ensembl:F775_31940
Q0JJI1	Ensembl:F775_32497
Q0JKY8	Ensembl:F775_05768 Ensembl:F775_32232 Ensembl:F775_28630
Q0JP37	Ensembl:F775_27235
Q0JP90	Ensembl:F775_26406
Q0JPS3	Ensembl:F775_26926
Q0JPT4	Ensembl:F775_32777
Q0JQ41	Ensembl:F775_12153
Q0JR06	Ensembl:F775_02803
Q0JR55	Ensembl:F775_19758
Q0JRG4	Ensembl:F775_09939
Q109K4	Ensembl:F775_19000
Q10A30	Ensembl:F775_27796 Ensembl:F775_32635 Ensembl:F775_26377
Q10A97	Ensembl:F775_25471
Q10B63	Ensembl:F775_20353 Ensembl:F775_06568
Q10BA5	Ensembl:F775_28255
Q10BT5	Ensembl:F775_29091
Q10BX9	Ensembl:F775_26071
Q10CH5	Ensembl:F775_31861
Q10CS9	Ensembl:F775_15201
Q10CU7	Ensembl:F775_28826
Q10D34	Ensembl:F775_29089
Q10D68	Ensembl:F775_31254
Q10D87	Ensembl:F775_28695
Q10DK7	Ensembl:F775_11986
Q10DU0	Ensembl:F775_15473
Q10DZ5	Ensembl:F775_03503
Q10E50	Ensembl:F775_12186
Q10EG4	Ensembl:F775_01402
Q10F25	Ensembl:F775_05698
Q10G56	Ensembl:F775_26838
Q10HZ6	Ensembl:F775_20373
Q10J20	Ensembl:F775_28904
Q10L50	Ensembl:F775_14121
Q10L51	Ensembl:F775_07031
Q10LR5	Ensembl:F775_30744
Q10MB0	Ensembl:F775_28615
Q10MB4	Ensembl:F775_14949
Q10MI9	Ensembl:F775_30536
Q10MK5	Ensembl:F775_26979
Q10MQ2	Ensembl:F775_27775 Ensembl:F775_10979
Q10MW3	Ensembl:F775_43983
Q10MX3	Ensembl:F775_32558
Q10N17	Ensembl:F775_14453 Ensembl:F775_05979
Q10N34	Ensembl:F775_31746
Q10NY1	Ensembl:F775_25940
Q10NY2	Ensembl:F775_25939
Q10P01	Ensembl:F775_29548
Q10P67	Ensembl:F775_15735
Q10PE7	Ensembl:F775_06293
Q10PL0	Ensembl:F775_27785
Q10PY7	Ensembl:F775_06490
Q10QA5	Ensembl:F775_07019
