Gene stable ID	Hordeum vulgare gene stable ID	%id. target Hordeum vulgare gene identical to query gene	%id. query gene identical to target Hordeum vulgare gene
BAC19852	HORVU0Hr1G019930	31.6923	83.7398
BAC19852	HORVU2Hr1G004300	29.2308	93.1373
BAC19852	HORVU3Hr1G044940	14.7692	84.2105
BAC19852	HORVU4Hr1G052660	30.4615	97.0588
BAC19853	HORVU0Hr1G013430	27.5	92.7711
BAC19853	HORVU2Hr1G015530	29.2857	97.619
BAC19853	HORVU4Hr1G023950	28.9286	96.4286
BAC19854	HORVU2Hr1G096060	30.4569	63.8298
BAC19854	HORVU3Hr1G050700	90.3553	92.7083
BAC19857	HORVU1Hr1G025090	99.3243	99.3243
BAC19857	HORVU2Hr1G059770	95.2703	95.2703
BAC19857	HORVU2Hr1G086610	99.3243	99.3243
BAC19857	HORVU5Hr1G087190	97.973	97.973
BAC19857	HORVU5Hr1G124150	97.973	97.973
BAC19859	HORVU7Hr1G025430	21.7054	28.1407
BAC19860	HORVU6Hr1G039040	61.9355	76.1905
BAC19862	HORVU0Hr1G037060	90.2439	89.8058
BAC19863	HORVU0Hr1G037050	100	100
BAC19863	HORVU1Hr1G037970	97.0833	97.0833
BAC19863	HORVU3Hr1G044980	40	87.2727
BAC19863	HORVU6Hr1G020770	20.4167	98
BAC19863	HORVU6Hr1G039120	91.6667	92.827
BAC19863	HORVU7Hr1G020090	100	100
BAC19865	HORVU0Hr1G019940	95.1673	94.4649
BAC19865	HORVU1Hr1G039200	25.6506	73.4043
BAC19865	HORVU3Hr1G004560	60.223	75.3488
BAC19865	HORVU4Hr1G009460	15.6134	60.8696
BAC19865	HORVU4Hr1G052650	95.1673	94.4649
BAC19865	HORVU7Hr1G072400	33.4572	83.3333
BAC19868	HORVU0Hr1G011500	37.1134	96
BAC19868	HORVU1Hr1G033330	34.5361	89.3333
BAC19868	HORVU4Hr1G059570	35.0515	90.6667
BAC19868	HORVU6Hr1G038930	25.7732	40.3226
BAC19872	HORVU3Hr1G044580	49.6	62
BAC19875	HORVU7Hr1G058380	47.2727	95.5102
BAC19876	HORVU0Hr1G037700	30.7692	98.7654
BAC19876	HORVU1Hr1G037910	30	96.2963
BAC19876	HORVU3Hr1G004670	30	96.2963
BAC19876	HORVU7Hr1G074110	28.0769	90.1235
BAC19879	HORVU1Hr1G037930	52.4064	63.6364
BAC19879	HORVU1Hr1G037990	52.9412	64.2857
BAC19879	HORVU3Hr1G004650	45.4545	68.5484
BAC19879	HORVU3Hr1G115070	53.4759	64.9351
BAC19879	HORVU7Hr1G074130	26.738	54.3478
BAC19880	HORVU2Hr1G070220	17.9104	81.0811
BAC19880	HORVU3Hr1G045080	18.209	79.2208
BAC19882	HORVU2Hr1G086660	68.1034	100
BAC19883	HORVU0Hr1G011520	91.4773	90.1961
BAC19883	HORVU4Hr1G023940	46.3068	81.5
BAC19883	HORVU4Hr1G059510	20.7386	93.5897
BAC19885	HORVU7Hr1G089590	89.3333	59.292
BAC19887	HORVU4Hr1G044800	89.2473	92.2222
BAC19887	HORVU4Hr1G073300	50.5376	68.1159
BAC19888	HORVU4Hr1G070820	98	86.7257
BAC19888	HORVU7Hr1G086950	77	98.7179
BAC19890	HORVU0Hr1G034150	65.995	92.2535
BAC19890	HORVU1Hr1G009360	65.4912	87.5421
BAC19890	HORVU1Hr1G045710	17.8841	98.6111
BAC19890	HORVU3Hr1G040840	84.131	97.9472
BAC19890	HORVU5Hr1G072320	61.7128	96.8379
BAC19890	HORVU7Hr1G044370	63.728	85.1852
BAC19891	HORVU2Hr1G086560	58.7021	98.5149
BAC19891	HORVU3Hr1G055020	37.9056	93.7956
BAC19891	HORVU4Hr1G044850	35.5457	95.2569
BAC19891	HORVU6Hr1G039090	42.6254	86.5269
BAC19891	HORVU7Hr1G086900	48.2301	97.9042
BAC19893	HORVU2Hr1G070240	6.56566	88.6364
BAC19893	HORVU2Hr1G070250	12.1212	85.7143
BAC19894	HORVU0Hr1G010700	24.5413	65.6442
BAC19894	HORVU1Hr1G025080	33.2569	88.4146
BAC19894	HORVU2Hr1G086650	46.1009	56.6197
BAC19894	HORVU6Hr1G037060	21.789	93.1373
BAC19898	HORVU1Hr1G037900	93.617	92.6316
BAC19898	HORVU1Hr1G038020	92.0213	72.9958
BAC19898	HORVU2Hr1G039940	35.6383	78.8235
BAC19898	HORVU3Hr1G004690	92.5532	91.5789
BAC19898	HORVU4Hr1G059420	89.3617	88.4211
BAC19898	HORVU6Hr1G025640	37.766	94.6667
BAC19898	HORVU6Hr1G025650	30.8511	65.1685
BAC19898	HORVU7Hr1G020160	93.617	62.8571
BAC19899	HORVU0Hr1G019950	97.6424	94.6667
BAC19900	HORVU1Hr1G025100	99.4737	94.0299
BAC19900	HORVU1Hr1G037960	97.8947	97.8947
BAC19900	HORVU2Hr1G086590	99.4737	99.4737
BAC19900	HORVU3Hr1G115130	99.4737	99.4737
BAC19901	HORVU5Hr1G057720	42.7746	73.2673
BAC19903	HORVU2Hr1G122840	99.0291	94.4444
BAC19903	HORVU3Hr1G050690	82.5243	98.8372
CAA33908	HORVU0Hr1G033550	70.4545	93.9394
CAA33908	HORVU0Hr1G033990	70.4545	93.9394
CAA33908	HORVU0Hr1G034050	70.4545	93.9394
CAA33908	HORVU0Hr1G035270	70.4545	93.9394
CAA33908	HORVU0Hr1G037530	70.4545	93.9394
CAA33908	HORVU1Hr1G048110	95.4545	95.4545
CAA33908	HORVU2Hr1G044730	82.9545	83.4286
CAA33908	HORVU3Hr1G004800	35.7955	57.2727
CAA33908	HORVU4Hr1G035750	26.7045	87.037
CAA33908	HORVU4Hr1G068230	55.1136	85.8407
CAA33908	HORVU5Hr1G005460	94.8864	94.8864
CAA33908	HORVU5Hr1G064750	94.8864	94.8864
CAA33908	HORVU6Hr1G037360	95.4545	95.4545
CAA33908	HORVU6Hr1G087870	95.4545	95.4545
CAA33909	HORVU0Hr1G025040	46.6292	68.0328
CAA33909	HORVU1Hr1G048100	93.2584	92.2222
CAA33909	HORVU2Hr1G021310	41.573	94.8718
CAA33909	HORVU2Hr1G030360	51.1236	81.25
CAA33909	HORVU3Hr1G066350	93.2584	92.2222
CAA33909	HORVU5Hr1G064760	92.1348	91.1111
CAA33909	HORVU6Hr1G087860	69.1011	68.3333
CAA33909	HORVU7Hr1G107870	93.2584	92.2222
CAA33910	HORVU1Hr1G048090	96.4088	96.4088
CAA33910	HORVU4Hr1G027700	31.768	83.3333
CAA33910	HORVU5Hr1G064770	96.4088	96.4088
CAA33910	HORVU7Hr1G107860	75.4144	95.4545
CAA33911	HORVU1Hr1G065340	37.1501	59.1093
CAA33912	HORVU4Hr1G047310	50	56.25
CAA33912	HORVU5Hr1G119210	72.2222	72.2222
CAA33912	HORVU6Hr1G024300	33.3333	54.5455
CAA33915	HORVU0Hr1G036420	66.1654	65.6716
CAA33915	HORVU1Hr1G092370	66.1654	65.6716
CAA33915	HORVU2Hr1G062150	43.609	49.5727
CAA33915	HORVU5Hr1G064830	37.594	37.3134
CAA33915	HORVU6Hr1G046760	47.3684	49.2188
CAA33915	HORVU6Hr1G049560	66.1654	65.6716
CAA33915	HORVU7Hr1G076990	66.1654	65.6716
CAA33915	HORVU7Hr1G081960	66.1654	65.6716
CAA33915	HORVU7Hr1G107880	66.1654	65.6716
CAA33917	HORVU0Hr1G024840	63.3803	77.5862
CAA33917	HORVU0Hr1G027940	63.3803	76.2712
CAA33917	HORVU0Hr1G028040	63.3803	77.5862
CAA33917	HORVU0Hr1G032560	63.3803	77.5862
CAA33917	HORVU0Hr1G032670	63.3803	77.5862
CAA33917	HORVU0Hr1G033120	63.3803	77.5862
CAA33917	HORVU0Hr1G033940	63.3803	77.5862
CAA33917	HORVU0Hr1G034900	63.3803	77.5862
CAA33917	HORVU0Hr1G034910	63.3803	77.5862
CAA33917	HORVU0Hr1G035140	63.3803	77.5862
CAA33917	HORVU1Hr1G018870	63.3803	77.5862
CAA33917	HORVU2Hr1G062010	57.7465	71.9298
CAA33917	HORVU2Hr1G062180	57.7465	71.9298
CAA33917	HORVU3Hr1G071710	61.9718	75.8621
CAA33917	HORVU4Hr1G081780	46.4789	60
CAA33917	HORVU5Hr1G005370	61.9718	75.8621
CAA33917	HORVU5Hr1G064850	63.3803	77.5862
CAA33917	HORVU6Hr1G049540	63.3803	77.5862
CAA33917	HORVU6Hr1G075680	49.2958	92.1053
CAA33917	HORVU7Hr1G081970	63.3803	77.5862
CAA33917	HORVU7Hr1G087100	56.338	68.9655
CAA33918	HORVU0Hr1G024920	59.3023	100
CAA33918	HORVU1Hr1G014050	59.3023	100
CAA33918	HORVU2Hr1G030350	59.3023	100
CAA33918	HORVU2Hr1G121890	59.3023	100
CAA33918	HORVU6Hr1G049530	59.3023	100
CAA33919	HORVU4Hr1G048750	24.359	95
CAA33919	HORVU5Hr1G004530	98.0769	98.0769
CAA33919	HORVU5Hr1G064870	98.0769	98.0769
CAA33919	HORVU7Hr1G107890	99.359	99.359
CAA33920	HORVU0Hr1G034720	99.2157	99.2157
CAA33920	HORVU0Hr1G034780	42.9412	96.0526
CAA33920	HORVU5Hr1G064880	98.6274	98.6274
CAA33920	HORVU6Hr1G049510	99.2157	99.2157
CAA33920	HORVU7Hr1G076960	99.2157	99.2157
CAA33921	HORVU4Hr1G089550	7.22892	15.7895
CAA33923	HORVU0Hr1G024930	98.9247	98.9247
CAA33923	HORVU0Hr1G034740	97.8495	97.8495
CAA33923	HORVU2Hr1G121870	97.8495	97.8495
CAA33923	HORVU3Hr1G074860	69.8925	75.5814
CAA33923	HORVU5Hr1G004540	29.0323	90
CAA33923	HORVU5Hr1G064900	96.7742	96.7742
CAA33923	HORVU6Hr1G049270	96.7742	96.7742
CAA33924	HORVU5Hr1G032290	32.6007	66.9173
CAA33925	HORVU0Hr1G026910	63.5037	98.8636
CAA33925	HORVU0Hr1G034940	99.2701	99.2701
CAA33925	HORVU0Hr1G034950	63.5037	98.8636
CAA33925	HORVU2Hr1G070540	97.8102	97.8102
CAA33925	HORVU2Hr1G121370	99.2701	99.2701
