Gene stable ID	Brassica oleracea gene stable ID	% identity	Brassica oleracea % identity	Orthology confidence [0 low, 1 high]
OS01G0100100	Bo4g019830	42	44	1
OS01G0100100	Bo4g194370	41	40	1
OS01G0100100	Bo8g094330	43	43	1
OS01G0100400	Bo2g149950	63	63	1
OS01G0100500	Bo3g012080	43	36	1
OS01G0100700	Bo3g031660	85	82	0
OS01G0100700	Bo3g064690	75	78	0
OS01G0100700	Bo4g030710	85	82	0
OS01G0100700	Bo4g186790	85	82	0
OS01G0100700	Bo5g135030	84	81	0
OS01G0100800	Bo3g141390	30	31	1
OS01G0100800	Bo5g051890	26	26	1
OS01G0100800	Bo5g051900	29	31	1
OS01G0100900	Bo3g143000	68	67	1
OS01G0101150	Bo6g064550	47	37	1
OS01G0101200	Bo2g043400	54	33	1
OS01G0101200	Bo9g112780	52	30	1
OS01G0101300	Bo7g109820	62	60	1
OS01G0101600	Bo1g101230	24	44	0
OS01G0101600	Bo2g092700	5	44	0
OS01G0101600	Bo2g092710	9	54	0
OS01G0101600	Bo7g038830	41	46	0
OS01G0101700	Bo4g129610	39	37	0
OS01G0101700	Bo8g023080	39	37	0
OS01G0101800	Bo7g039100	18	19	1
OS01G0102000	Bo8g077160	55	53	1
OS01G0102300	Bo1g039440	36	39	1
OS01G0102500	Bo9g169050	61	58	1
OS01G0102600	Bo7g084000	29	29	1
OS01G0102700	Bo00285s560	41	44	0
OS01G0102700	Bo2g011640	43	38	0
OS01G0102700	Bo3g009560	41	43	0
OS01G0102700	Bo9g166220	42	38	0
OS01G0102800	Bo7g113190	65	51	1
OS01G0102900	Bo00285s430	35	32	1
OS01G0102900	Bo9g008010	36	33	1
OS01G0103000	Bo00798s060	24	51	0
OS01G0103000	Bo3g002990	72	70	0
OS01G0103000	Bo3g062780	70	69	0
OS01G0103000	Bo3g092120	27	41	0
OS01G0103000	Bo7g024260	26	25	0
OS01G0103000	Bo7g092950	36	28	0
OS01G0103000	Bo9g154840	24	32	0
OS01G0103000	Bo9g177660	72	69	0
OS01G0103100	Bo2g011250	65	63	0
OS01G0103600	Bo5g029120	43	59	1
OS01G0103700	Bo1g022170	23	3	1
OS01G0103800	Bo00816s030	36	44	1
OS01G0103800	Bo2g091090	36	49	1
OS01G0103800	Bo6g083770	40	52	1
OS01G0103800	Bo6g120760	38	52	1
OS01G0103900	Bo9g175440	40	30	0
OS01G0104000	Bo3g181060	59	59	1
OS01G0104100	Bo6g067990	50	53	1
OS01G0104100	Bo6g068020	50	53	1
OS01G0104100	Bo8g083610	51	52	1
OS01G0104400	Bo3g034100	41	35	0
OS01G0104500	Bo1g152230	39	36	1
OS01G0104500	Bo2g015440	41	39	1
OS01G0104500	Bo3g013050	39	37	1
OS01G0104500	Bo5g148430	39	36	1
OS01G0104500	Bo9g157320	39	31	1
OS01G0104600	Bo3g044580	66	63	1
OS01G0104800	Bo4g194480	14	31	1
OS01G0104900	Bo3g141730	46	48	1
OS01G0104900	Bo5g052150	28	45	1
OS01G0105700	Bo3g141780	29	25	1
OS01G0105800	Bo3g091500	66	67	0
OS01G0105800	Bo9g024200	64	58	0
OS01G0105900	Bo5g027630	65	69	1
OS01G0106200	Bo01042s020	68	68	1
OS01G0106200	Bo3g150070	69	61	1
OS01G0106200	Bo4g190780	43	64	1
OS01G0106200	Bo7g119300	59	65	1
OS01G0106200	Bo8g101630	67	42	1
OS01G0106700	Bo3g113660	29	33	1
OS01G0106800	Bo2g021930	76	81	0
OS01G0106800	Bo3g015230	79	84	0
OS01G0106800	Bo9g151780	78	83	0
OS01G0106900	Bo3g107120	83	81	1
OS01G0106900	Bo9g015200	83	83	1
OS01G0107700	Bo1g053280	47	48	1
OS01G0107700	Bo7g104710	15	64	1
OS01G0107900	Bo3g141640	45	44	1
OS01G0108000	Bo7g097620	40	41	1
OS01G0108000	Bo9g014090	39	40	1
OS01G0108200	Bo2g087660	69	64	0
OS01G0108200	Bo5g030250	66	66	0
OS01G0108400	Bo5g012060	23	30	1
OS01G0108400	Bo5g012080	17	25	1
OS01G0108400	Bo8g059190	11	15	1
OS01G0108400	Bo8g059520	22	28	1
OS01G0108400	Bo8g109410	17	28	1
OS01G0108400	Bo8g109420	22	31	1
OS01G0108600	Bo5g012060	23	29	1
OS01G0108600	Bo5g012080	18	26	1
OS01G0108600	Bo8g059190	14	20	1
OS01G0108600	Bo8g059520	25	31	1
OS01G0108600	Bo8g109410	17	26	1
OS01G0108600	Bo8g109420	23	32	1
OS01G0108800	Bo5g039820	40	18	1
OS01G0109300	Bo4g139920	63	66	0
OS01G0109700	Bo5g041240	2	26	1
OS01G0110100	Bo2g041910	19	46	1
OS01G0110100	Bo2g061160	59	61	1
OS01G0110100	Bo6g095920	58	59	1
OS01G0110100	Bo6g107200	60	61	1
OS01G0110400	Bo2g149790	38	69	0
OS01G0110400	Bo2g149800	32	59	0
OS01G0110400	Bo9g009320	72	74	0
OS01G0110400	Bo9g069740	71	73	0
OS01G0110500	Bo4g137340	47	49	1
OS01G0110500	Bo5g042970	46	42	1
OS01G0110500	Bo6g018430	24	65	1
OS01G0110500	Bo6g095970	45	41	1
OS01G0110500	Bo6g107170	47	44	1
OS01G0110700	Bo5g043080	70	64	1
OS01G0110700	Bo6g018460	28	57	1
OS01G0110700	Bo6g095900	69	69	1
OS01G0110800	Bo5g015250	42	45	1
OS01G0110800	Bo6g107220	42	44	1
OS01G0110800	Bo7g081950	42	40	1
OS01G0111100	Bo2g080890	52	48	0
OS01G0111200	Bo2g127070	24	29	0
OS01G0111200	Bo3g138470	43	45	0
OS01G0111200	Bo7g052840	44	45	0
OS01G0111200	Bo9g061340	25	28	0
OS01G0111400	Bo8g104310	46	47	1
OS01G0111500	Bo00835s050	35	33	1
OS01G0111500	Bo6g101000	35	35	1
OS01G0111600	Bo5g025100	56	56	1
OS01G0111600	Bo8g104520	59	59	1
OS01G0112100	Bo5g025920	33	29	1
OS01G0112400	Bo2g110350	26	25	0
OS01G0112400	Bo3g044690	24	30	0
OS01G0112400	Bo6g124270	26	24	0
OS01G0112500	Bo1g154750	50	45	1
