Gene stable ID	Medicago truncatula gene stable ID	%id. target Medicago truncatula gene identical to query gene	%id. query gene identical to target Medicago truncatula gene
BAC19853	MTR_6g032895	73.2143	86.8644
BAC19871	MTR_2g040140	35.4839	35.4839
BAC19872	MTR_0082s0040	88.8	30.663
BAC19875	MTR_0082s0090	57.7778	51.4389
BAC19883	MTR_0082s0030	77.8409	78.51
BAC19887	MTR_5g085270	55.914	41.2698
BAC19887	MTR_7g106780	56.9892	41.7323
BAC19887	MTR_8g466190	46.2366	43
BAC19889	MTR_3g096200	69.7095	8.70016
BAC19889	MTR_8g093630	71.7842	8.92212
BAC19892	MTR_6g012880	62.7907	52.9412
BAC19893	MTR_0212s0020	73.4007	61.4951
BAC19894	MTR_0024s0140	33.945	64.0693
BAC19899	MTR_0212s0040	90.5697	53.8551
BAC19903	MTR_0094s0120	50.9709	29.1667
BAC19903	MTR_0141s0020	84.9515	84.9515
CAA33908	MTR_4g006110	71.0227	44.6429
CAA33908	MTR_5g063410	67.6136	42.5
CAA33908	MTR_6g042220	70.4545	70.4545
CAA33908	MTR_7g021710	70.4545	44.2857
CAA33909	MTR_8g086030	29.2135	46.4286
CAA33910	MTR_3g113820	32.0442	73.4177
CAA33910	MTR_4g050810	34.5304	37.6506
CAA33910	MTR_4g451555	15.1934	59.7826
CAA33910	MTR_7g021700	74.0331	42.2047
CAA33911	MTR_0002s0150	79.1349	52.1812
CAA33912	MTR_0002s0210	93.3333	53.8462
CAA33918	MTR_0002s0280	86.0465	46.5409
CAA33918	MTR_0625s0020	86.0465	76.2887
CAA33918	MTR_7g055840	83.7209	77.4194
CAA33918	MTR_7g055910	83.7209	36.9231
CAA33919	MTR_0002s0300	83.3333	98.4848
CAA33920	MTR_0002s0310	74.7059	92.2518
CAA33923	MTR_0002s0350	87.0968	46.2857
CAA33924	MTR_3g035700	29.6703	66.3934
CAA33927	MTR_3g035720	63.4409	64.1304
CAA33927	MTR_4g051420	63.4409	64.1304
CAA33928	MTR_3g035700	29.6703	66.3934
CAA33930	MTR_0002s0770	92.5234	87.6106
CAA33931	MTR_4g034810	67.6471	60.1307
CAA33931	MTR_4g059910	61.7647	59.5745
CAA33932	MTR_0002s0780	89.4309	44
CAA33933	MTR_0002s0140	65.4412	35.1779
CAA33933	MTR_0702s0030	55.1471	78.9474
CAA33933	MTR_1779s0010	73.5294	84.0336
CAA33933	MTR_2g087560	38.9706	80.303
CAA33933	MTR_4g034750	73.5294	84.0336
CAA33933	MTR_8g081460	55.1471	78.9474
CAA33934	MTR_0002s0790	94.5607	94.5607
CAA33935	MTR_7g100410	38.255	28.7879
CAA33938	MTR_0002s0350	87.0968	46.2857
CAA33941	MTR_0002s0310	74.7059	92.2518
CAA33942	MTR_0002s0300	83.3333	98.4848
CAA33948	MTR_0002s0210	93.3333	53.8462
CAA33950	MTR_0002s0200	54.0872	84.2887
CAA33952	MTR_0002s0180	40.4984	37.3563
CAA33952	MTR_4g006180	27.1028	47.2826
CAA33953	MTR_0002s0170	63	74.1176
CAA33954	MTR_4g026420	49.3827	45.4545
CAA33954	MTR_4g050960	97.5309	97.5309
CAA33958	MTR_0002s0680	70.8108	92.9078
CAA33960	MTR_3g111320	16.087	42.0455
CAA33960	MTR_5g019520	43.0435	57.5581
CAA33961	MTR_0002s0690	97.1875	97.1875
CAA33961	MTR_5g058870	21.25	59.6491
CAA33965	MTR_0002s0700	100	100
CAA33965	MTR_6g007780	46.988	34.8214
CAA33966	MTR_5g061280	80.6452	41.6667
CAA33967	MTR_4g050840	94.5946	49.2958
CAA33967	MTR_8g045220	94.5946	20.5882
CAA33969	MTR_8g045210	66.6667	44.898
CAA33970	MTR_4g051350	40.4908	31.5789
CAA33971	MTR_4g034720	58.8235	58.8235
CAA33971	MTR_7g085940	47.0588	59.5745
CAA33972	MTR_0002s0730	96.2963	96.2963
CAA33973	MTR_0002s0740	97.0472	97.0472
CAA33973	MTR_5g041300	17.7165	50
CAA33975	MTR_2g062940	90.6977	52
CAA33976	MTR_2g062930	76.7123	47.0588
CAA33976	MTR_4g051375	61.6438	48.913
CAA33977	MTR_4g034790	60.9302	54.1322
CAA33977	MTR_7g100030	46.9767	73.7226
CAA33979	MTR_1g070860	23.1454	33.4764
CAA33980	MTR_2g025030	27.972	30.303
CAA33980	MTR_2g101550	49.6503	56.8
CAA33980	MTR_3g108030	57.3427	59.4203
CAA33986	MTR_0002s0510	93.3023	31.8615
CAA33987	MTR_4g009210	17.5953	54.0541
CAA33987	MTR_7g067760	6.74487	51.6854
CAA33988	MTR_4g051120	54.3291	60.0877
CAA33988	MTR_5g098620	8.46001	60.3774
CAA33988	MTR_7g069560	13.1527	51.4212
CAA33988	MTR_7g116700	15.0694	43.1818
CAA33989	MTR_4g051110	75.4237	75.4237
CAA33989	MTR_7g116690	62.7119	70.4762
CAA33990	MTR_0002s0530	96.7611	47.8958
CAA33991	MTR_4g051097	96.2963	96.2963
CAA33992	MTR_0002s0540	72.2222	72.6257
CAA33993	MTR_4g079170	19.5266	67.3469
CAA33994	MTR_3g035610	75.7282	78
CAA33994	MTR_5g063380	43.6893	28.3019
CAA33994	MTR_8g079770	33.9806	64.8148
CAA33995	MTR_3g035600	39.782	19.4278
CAA33995	MTR_4g051177	30.7902	37.6667
CAA33996	MTR_0002s0580	97.4667	50.8345
CAA33997	MTR_3g035590	27.8107	67.1429
CAA33997	MTR_4g051210	68.0473	94.2623
CAA33997	MTR_6g092730	28.4024	68.5714
CAA33998	MTR_0002s0590	87.5622	52.381
CAA33999	MTR_0002s0630	89.3082	44.6541
CAA34000	MTR_4g051225	74.3902	80.6167
CAA34000	MTR_7g021790	74.7967	81.0573
CAA34000	MTR_7g033745	37.3984	78.6325
CAA34001	MTR_3g035740	52.5	45.9854
CAA34002	MTR_1g095080	53.2847	49.3243
CAA34002	MTR_3g035733	33.5766	62.1622
CAA34002	MTR_3g117210	29.1971	40.8163
CAA34002	MTR_4g451265	66.4234	66.9118
CAA34002	MTR_5g090760	54.7445	40.107
CAA34003	MTR_0002s0650	95.1807	79.5302
CAA34004	MTR_3g035680	30.1887	81.3559
