Gene stable ID	Triticum urartu gene stable ID	% identity	Triticum urartu % identity	Orthology confidence [0 low, 1 high]
OS01G0100100	TRIUR3_10095	60	47	1
OS01G0100400	TRIUR3_21929	59	87	1
OS01G0100500	TRIUR3_04634	71	77	1
OS01G0100600	TRIUR3_04636	57	53	1
OS01G0100650	TRIUR3_04637	46	55	1
OS01G0100700	TRIUR3_34934	69	50	0
OS01G0100800	TRIUR3_09164	46	43	1
OS01G0100900	TRIUR3_09166	74	81	1
OS01G0101150	TRIUR3_03256	76	78	1
OS01G0101200	TRIUR3_16758	57	47	1
OS01G0101300	TRIUR3_16757	57	66	1
OS01G0101600	TRIUR3_22968	47	69	1
OS01G0101700	TRIUR3_22969	35	45	1
OS01G0101800	TRIUR3_06277	39	28	1
OS01G0102000	TRIUR3_06280	55	74	1
OS01G0102300	TRIUR3_06281	45	51	1
OS01G0102500	TRIUR3_05437	34	60	1
OS01G0102600	TRIUR3_05441	67	80	1
OS01G0102800	TRIUR3_16439	76	57	1
OS01G0103000	TRIUR3_08454	58	48	1
OS01G0103600	TRIUR3_10786	79	80	0
OS01G0103700	TRIUR3_06044	58	9	1
OS01G0103800	TRIUR3_16481	73	76	1
OS01G0103800	TRIUR3_30392	75	68	1
OS01G0104000	TRIUR3_06042	82	82	1
OS01G0104100	TRIUR3_16903	71	52	1
OS01G0104200	TRIUR3_16902	40	39	1
OS01G0104400	TRIUR3_20783	49	74	1
OS01G0104400	TRIUR3_29166	47	82	1
OS01G0104500	TRIUR3_00446	44	42	1
OS01G0104500	TRIUR3_00447	43	39	1
OS01G0104500	TRIUR3_01582	41	38	1
OS01G0104500	TRIUR3_11787	41	28	1
OS01G0104500	TRIUR3_23644	39	58	1
OS01G0104500	TRIUR3_25136	41	43	1
OS01G0104500	TRIUR3_25137	23	30	1
OS01G0104600	TRIUR3_27433	44	87	0
OS01G0104600	TRIUR3_35072	40	70	0
OS01G0104800	TRIUR3_13435	51	45	1
OS01G0105700	TRIUR3_23381	36	33	1
OS01G0105800	TRIUR3_14402	80	83	1
OS01G0105900	TRIUR3_14404	75	82	1
OS01G0106200	TRIUR3_34880	28	50	1
OS01G0106300	TRIUR3_30507	43	62	1
OS01G0106400	TRIUR3_30507	51	72	1
OS01G0106500	TRIUR3_02084	35	34	1
OS01G0106600	TRIUR3_02085	36	33	1
OS01G0106700	TRIUR3_17614	64	52	1
OS01G0106800	TRIUR3_02083	79	85	0
OS01G0106900	TRIUR3_02082	83	85	0
OS01G0107000	TRIUR3_16081	56	62	1
OS01G0107700	TRIUR3_01678	64	59	1
OS01G0107900	TRIUR3_01679	67	71	1
OS01G0108000	TRIUR3_28436	61	66	1
OS01G0108200	TRIUR3_22105	63	83	1
OS01G0108400	TRIUR3_14870	45	48	1
OS01G0108400	TRIUR3_26921	42	46	1
OS01G0108400	TRIUR3_27194	47	46	1
OS01G0108400	TRIUR3_32973	36	55	1
OS01G0108400	TRIUR3_34380	31	33	1
OS01G0108600	TRIUR3_01157	47	59	1
OS01G0108600	TRIUR3_01158	41	35	1
OS01G0108600	TRIUR3_14872	55	58	1
OS01G0108800	TRIUR3_01155	53	23	1
OS01G0109300	TRIUR3_16925	72	76	1
OS01G0109700	TRIUR3_25254	68	63	1
OS01G0109750	TRIUR3_25255	74	54	1
OS01G0110400	TRIUR3_04185	72	87	1
OS01G0110500	TRIUR3_04184	45	73	1
OS01G0110700	TRIUR3_03888	66	77	0
OS01G0110800	TRIUR3_03570	38	58	1
OS01G0110800	TRIUR3_18930	28	57	1
OS01G0110800	TRIUR3_28561	28	51	1
OS01G0111000	TRIUR3_02418	35	30	1
OS01G0111000	TRIUR3_03883	39	32	1
OS01G0111000	TRIUR3_03884	39	32	1
OS01G0111000	TRIUR3_03886	40	32	1
OS01G0111000	TRIUR3_03887	24	26	1
OS01G0111000	TRIUR3_04186	35	29	1
OS01G0111000	TRIUR3_17869	36	30	1
OS01G0111000	TRIUR3_17938	31	28	1
OS01G0111000	TRIUR3_30303	36	29	1
OS01G0111200	TRIUR3_11695	67	66	1
OS01G0111400	TRIUR3_11693	72	73	1
OS01G0111500	TRIUR3_11692	50	54	1
OS01G0112100	TRIUR3_01003	30	57	1
OS01G0112400	TRIUR3_01005	57	65	1
OS01G0112500	TRIUR3_01012	74	90	1
OS01G0113300	TRIUR3_00645	44	47	0
OS01G0113300	TRIUR3_27445	60	60	0
OS01G0113350	TRIUR3_35208	11	75	1
OS01G0113650	TRIUR3_35208	11	74	1
OS01G0114000	TRIUR3_03456	46	17	1
OS01G0114400	TRIUR3_02036	72	37	1
OS01G0114400	TRIUR3_03247	71	42	1
OS01G0114400	TRIUR3_11413	73	40	1
OS01G0114400	TRIUR3_18378	71	36	1
OS01G0114400	TRIUR3_18379	72	39	1
OS01G0114600	TRIUR3_01521	59	59	1
OS01G0114600	TRIUR3_08471	58	58	1
OS01G0114600	TRIUR3_09317	59	59	1
OS01G0114600	TRIUR3_13741	56	57	1
OS01G0115700	TRIUR3_02036	61	59	1
OS01G0115700	TRIUR3_03247	58	64	1
OS01G0115700	TRIUR3_11413	60	61	1
OS01G0115700	TRIUR3_18378	61	58	1
OS01G0115700	TRIUR3_18379	56	56	1
OS01G0116000	TRIUR3_02036	57	59	1
OS01G0116000	TRIUR3_03247	54	64	1
OS01G0116000	TRIUR3_11413	57	63	1
OS01G0116000	TRIUR3_18378	57	59	1
OS01G0116000	TRIUR3_18379	55	60	1
OS01G0116200	TRIUR3_02036	56	61	1
OS01G0116200	TRIUR3_03247	53	66	1
OS01G0116200	TRIUR3_11413	55	63	1
OS01G0116200	TRIUR3_18378	55	59	1
OS01G0116200	TRIUR3_18379	54	61	1
OS01G0116400	TRIUR3_01521	57	56	1
OS01G0116400	TRIUR3_08471	58	57	1
OS01G0116400	TRIUR3_09317	57	56	1
OS01G0116400	TRIUR3_13741	55	54	1
OS01G0116600	TRIUR3_10008	73	79	1
OS01G0116800	TRIUR3_01521	78	42	1
OS01G0116800	TRIUR3_08471	78	43	1
OS01G0116800	TRIUR3_09317	78	43	1
OS01G0116800	TRIUR3_13741	74	41	1
OS01G0116900	TRIUR3_01522	70	56	0
OS01G0116900	TRIUR3_03248	65	56	0
OS01G0116900	TRIUR3_08470	70	56	0
OS01G0116900	TRIUR3_11412	65	70	0
OS01G0116900	TRIUR3_18377	70	56	0
OS01G0116900	TRIUR3_27453	32	74	0
OS01G0117000	TRIUR3_01521	55	58	1
OS01G0117000	TRIUR3_08471	54	58	1
OS01G0117000	TRIUR3_09317	54	58	1
OS01G0117000	TRIUR3_13741	52	56	1
OS01G0117100	TRIUR3_01522	81	46	0
OS01G0117100	TRIUR3_03248	70	42	0
OS01G0117100	TRIUR3_08470	82	46	0
OS01G0117100	TRIUR3_11412	79	61	0
OS01G0117100	TRIUR3_18377	79	45	0
OS01G0117100	TRIUR3_27453	45	73	0
OS01G0117200	TRIUR3_02036	53	59	1
OS01G0117200	TRIUR3_03247	49	62	1
OS01G0117200	TRIUR3_11413	51	60	1
OS01G0117200	TRIUR3_18378	52	57	1
OS01G0117200	TRIUR3_18379	54	62	1
OS01G0117266	TRIUR3_33409	9	8	1
OS01G0117300	TRIUR3_01522	79	48	0
OS01G0117300	TRIUR3_03248	67	44	0
OS01G0117300	TRIUR3_08470	80	49	0
OS01G0117300	TRIUR3_11412	73	61	0
OS01G0117300	TRIUR3_18377	76	47	0
OS01G0117300	TRIUR3_27453	41	74	0
OS01G0117500	TRIUR3_01522	67	49	0
OS01G0117500	TRIUR3_03248	57	45	0
OS01G0117500	TRIUR3_08470	68	50	0
OS01G0117500	TRIUR3_11412	63	63	0
OS01G0117500	TRIUR3_18377	64	47	0
OS01G0117500	TRIUR3_27453	34	73	0
OS01G0117600	TRIUR3_01521	61	64	1
OS01G0117600	TRIUR3_08471	61	64	1
OS01G0117600	TRIUR3_09317	60	62	1
OS01G0117600	TRIUR3_13741	59	61	1
OS01G0117700	TRIUR3_01522	62	62	0
OS01G0117700	TRIUR3_03248	56	60	0
OS01G0117700	TRIUR3_08470	63	62	0
OS01G0117700	TRIUR3_11412	51	69	0
OS01G0117700	TRIUR3_18377	58	58	0
OS01G0117700	TRIUR3_27453	26	75	0
OS01G0117900	TRIUR3_11376	75	83	1
OS01G0118000	TRIUR3_00501	78	83	0
OS01G0118100	TRIUR3_08326	81	67	1
OS01G0118300	TRIUR3_08324	77	39	0
OS01G0118300	TRIUR3_34749	45	52	0
OS01G0118400	TRIUR3_09976	38	49	1
OS01G0118700	TRIUR3_07987	72	67	0
OS01G0119000	TRIUR3_17472	49	53	1
OS01G0119000	TRIUR3_17473	58	42	1
OS01G0119100	TRIUR3_07771	41	58	1
OS01G0119500	TRIUR3_10532	12	29	0
OS01G0119500	TRIUR3_10534	18	27	0
OS01G0119500	TRIUR3_15194	23	28	0
OS01G0119500	TRIUR3_20915	17	31	0
OS01G0119500	TRIUR3_23997	25	30	0
OS01G0119500	TRIUR3_27632	22	24	0
OS01G0119500	TRIUR3_29827	15	23	0
OS01G0119500	TRIUR3_30755	23	27	0
OS01G0119500	TRIUR3_32132	22	23	0
OS01G0119500	TRIUR3_32566	25	28	0
OS01G0120300	TRIUR3_05429	88	76	1
OS01G0120400	TRIUR3_05427	42	59	1
OS01G0120500	TRIUR3_05425	54	65	0
OS01G0120500	TRIUR3_05426	69	66	0
OS01G0120600	TRIUR3_15894	57	48	1
OS01G0120700	TRIUR3_01775	58	43	1
OS01G0120800	TRIUR3_08433	79	77	1
OS01G0120800	TRIUR3_16052	58	72	1
OS01G0120800	TRIUR3_16695	76	75	1
OS01G0121100	TRIUR3_08434	55	85	1
OS01G0121200	TRIUR3_08435	41	59	1
OS01G0121300	TRIUR3_33989	53	71	1
OS01G0121600	TRIUR3_01623	54	33	1
OS01G0121600	TRIUR3_01625	57	50	1
OS01G0121700	TRIUR3_01619	76	89	1
OS01G0121800	TRIUR3_01618	60	88	1
OS01G0121950	TRIUR3_02229	19	30	1
OS01G0121950	TRIUR3_07082	31	37	1
OS01G0121950	TRIUR3_15627	32	37	1
OS01G0122701	TRIUR3_05766	24	8	1
OS01G0123700	TRIUR3_03434	39	42	0
OS01G0123800	TRIUR3_04423	20	29	1
OS01G0123800	TRIUR3_07532	24	31	1
OS01G0124900	TRIUR3_31371	46	15	0
OS01G0125500	TRIUR3_00633	33	30	1
OS01G0125600	TRIUR3_22734	33	55	1
OS01G0125700	TRIUR3_22735	79	78	1
OS01G0125800	TRIUR3_11910	71	80	0
OS01G0125900	TRIUR3_11909	77	77	1
OS01G0126000	TRIUR3_05050	50	51	1
OS01G0126000	TRIUR3_21963	58	59	1
OS01G0126100	TRIUR3_21340	34	70	0
OS01G0126200	TRIUR3_05049	72	73	1
OS01G0126200	TRIUR3_21962	65	79	1
OS01G0126600	TRIUR3_32685	41	51	1
OS01G0127100	TRIUR3_21341	58	60	1
OS01G0127300	TRIUR3_30071	45	78	1
OS01G0127400	TRIUR3_20384	48	89	1
OS01G0127450	TRIUR3_20385	34	35	1
OS01G0127500	TRIUR3_07186	76	78	1
OS01G0127600	TRIUR3_00396	26	39	0
OS01G0127600	TRIUR3_00397	36	36	0
OS01G0127600	TRIUR3_00398	39	28	0
OS01G0127600	TRIUR3_07182	35	35	0
OS01G0127600	TRIUR3_07778	25	31	0
OS01G0127600	TRIUR3_08867	36	23	0
OS01G0127600	TRIUR3_28795	37	31	0
OS01G0127900	TRIUR3_09344	63	67	1
OS01G0128000	TRIUR3_09345	55	56	1
OS01G0128100	TRIUR3_13240	75	73	1
OS01G0128200	TRIUR3_10610	59	77	1
OS01G0128200	TRIUR3_10611	44	45	1
OS01G0128300	TRIUR3_10609	59	83	1
OS01G0128400	TRIUR3_10608	62	65	1
OS01G0128800	TRIUR3_16064	82	23	1
OS01G0129500	TRIUR3_24189	53	56	1
OS01G0130000	TRIUR3_16170	82	82	1
OS01G0130100	TRIUR3_13831	59	63	1
OS01G0130100	TRIUR3_16171	75	77	1
OS01G0130100	TRIUR3_18606	52	56	1
OS01G0130400	TRIUR3_19569	66	80	1
OS01G0131600	TRIUR3_21110	39	55	0
OS01G0131800	TRIUR3_01554	64	79	1
OS01G0131900	TRIUR3_06537	45	51	0
OS01G0131900	TRIUR3_06538	40	44	0
OS01G0131900	TRIUR3_06539	45	51	0
OS01G0131900	TRIUR3_06540	38	43	0
OS01G0131900	TRIUR3_15056	37	41	0
OS01G0131900	TRIUR3_15057	34	27	0
OS01G0131900	TRIUR3_15058	39	43	0
OS01G0132000	TRIUR3_06537	42	48	0
OS01G0132000	TRIUR3_06538	39	43	0
OS01G0132000	TRIUR3_06539	42	48	0
OS01G0132000	TRIUR3_06540	37	42	0
OS01G0132000	TRIUR3_15056	37	41	0
OS01G0132000	TRIUR3_15057	31	24	0
OS01G0132000	TRIUR3_15058	38	42	0
OS01G0132100	TRIUR3_04663	55	51	1
OS01G0132700	TRIUR3_20995	62	67	1
OS01G0132800	TRIUR3_20994	53	89	1
OS01G0133100	TRIUR3_03387	26	27	1
OS01G0133100	TRIUR3_27233	1	2	1
OS01G0133400	TRIUR3_03391	82	89	1
OS01G0133500	TRIUR3_03392	48	76	1
OS01G0133600	TRIUR3_03393	29	45	1
OS01G0133600	TRIUR3_28117	32	60	1
OS01G0133700	TRIUR3_03393	49	41	1
OS01G0133700	TRIUR3_28117	41	40	1
OS01G0134500	TRIUR3_22930	48	73	1
OS01G0134700	TRIUR3_22931	54	64	1
OS01G0134800	TRIUR3_35282	35	40	0
OS01G0134900	TRIUR3_25842	74	80	1
OS01G0135700	TRIUR3_25843	70	69	1
OS01G0135900	TRIUR3_34188	66	67	1
OS01G0136000	TRIUR3_03466	72	75	0
OS01G0136000	TRIUR3_03467	77	70	0
OS01G0136000	TRIUR3_03549	82	81	0
OS01G0136050	TRIUR3_03548	64	78	1
OS01G0136100	TRIUR3_03466	72	75	0
OS01G0136100	TRIUR3_03467	76	70	0
OS01G0136100	TRIUR3_03549	80	79	0
OS01G0136200	TRIUR3_03466	71	74	0
OS01G0136200	TRIUR3_03467	75	69	0
OS01G0136200	TRIUR3_03549	79	79	0
OS01G0136400	TRIUR3_00629	51	74	1
OS01G0136400	TRIUR3_03465	59	50	1
OS01G0136400	TRIUR3_03470	56	67	1
OS01G0136400	TRIUR3_03550	59	62	1
OS01G0136450	TRIUR3_00275	16	18	0
OS01G0136450	TRIUR3_03968	13	10	0
OS01G0136450	TRIUR3_11946	21	17	0
OS01G0136500	TRIUR3_00269	30	36	1
OS01G0136500	TRIUR3_00279	36	20	1
OS01G0136500	TRIUR3_00625	26	36	1
OS01G0136500	TRIUR3_00626	27	28	1
OS01G0136500	TRIUR3_00627	36	36	1
OS01G0136500	TRIUR3_00628	36	22	1
OS01G0136500	TRIUR3_02827	35	35	1
OS01G0136500	TRIUR3_03464	37	39	1
OS01G0136500	TRIUR3_03468	38	32	1
OS01G0136500	TRIUR3_03469	35	35	1
OS01G0136500	TRIUR3_03551	25	13	1
OS01G0136500	TRIUR3_03552	32	29	1
OS01G0136500	TRIUR3_20662	37	35	1
OS01G0136500	TRIUR3_32200	34	38	1
OS01G0136700	TRIUR3_02828	30	49	1
OS01G0136700	TRIUR3_02829	45	40	1
OS01G0136800	TRIUR3_00622	33	61	1
OS01G0136900	TRIUR3_24626	60	60	1
OS01G0137200	TRIUR3_00275	15	18	0
OS01G0137200	TRIUR3_03968	13	11	0
OS01G0137200	TRIUR3_11946	20	18	0
OS01G0137250	TRIUR3_02831	58	65	0
OS01G0137250	TRIUR3_11945	63	39	0
OS01G0137250	TRIUR3_15732	56	70	0
OS01G0137250	TRIUR3_24627	61	40	0
OS01G0137282	TRIUR3_00273	43	46	1
OS01G0137282	TRIUR3_05489	38	43	1
OS01G0137400	TRIUR3_00268	38	75	1
OS01G0137400	TRIUR3_00271	46	61	1
OS01G0137400	TRIUR3_00276	51	52	1
OS01G0137400	TRIUR3_02830	38	68	1
OS01G0137400	TRIUR3_05488	34	53	1
OS01G0137400	TRIUR3_05490	50	51	1
OS01G0137400	TRIUR3_11944	48	49	1
OS01G0137400	TRIUR3_29338	29	54	1
OS01G0137400	TRIUR3_33913	45	71	1
OS01G0137500	TRIUR3_02831	59	58	0
OS01G0137500	TRIUR3_11945	64	34	0
OS01G0137500	TRIUR3_15732	63	69	0
OS01G0137500	TRIUR3_24627	65	37	0
OS01G0137700	TRIUR3_02828	32	49	1
OS01G0137700	TRIUR3_02829	44	37	1
OS01G0137950	TRIUR3_00268	76	48	1
OS01G0137950	TRIUR3_00271	76	32	1
OS01G0137950	TRIUR3_00276	78	25	1
OS01G0137950	TRIUR3_02830	75	43	1
OS01G0137950	TRIUR3_05488	72	36	1
OS01G0137950	TRIUR3_05490	76	25	1
OS01G0137950	TRIUR3_11944	74	24	1
OS01G0137950	TRIUR3_29338	69	41	1
OS01G0137950	TRIUR3_33913	74	37	1
OS01G0138300	TRIUR3_00268	38	79	1
OS01G0138300	TRIUR3_00271	47	66	1
OS01G0138300	TRIUR3_00276	53	57	1
OS01G0138300	TRIUR3_02830	38	72	1
OS01G0138300	TRIUR3_05488	35	56	1
OS01G0138300	TRIUR3_05490	61	65	1
OS01G0138300	TRIUR3_11944	52	56	1
OS01G0138300	TRIUR3_29338	28	56	1
OS01G0138300	TRIUR3_33913	44	74	1
OS01G0138400	TRIUR3_00267	40	60	1
OS01G0138600	TRIUR3_21861	36	21	1
OS01G0138800	TRIUR3_24648	56	74	1
OS01G0138800	TRIUR3_24649	38	79	1
OS01G0138900	TRIUR3_24165	31	49	1
OS01G0138900	TRIUR3_26406	50	54	1
OS01G0138900	TRIUR3_26407	54	82	1
OS01G0139000	TRIUR3_16755	67	70	0
OS01G0139600	TRIUR3_25374	63	42	1
OS01G0140400	TRIUR3_27817	53	90	1
OS01G0140500	TRIUR3_25978	58	48	0
OS01G0141000	TRIUR3_24850	29	43	1
OS01G0141000	TRIUR3_24851	61	39	1
OS01G0141100	TRIUR3_34594	94	56	1
OS01G0141300	TRIUR3_34594	65	62	1
OS01G0141600	TRIUR3_09513	63	46	1
OS01G0141700	TRIUR3_09514	80	81	1
OS01G0142100	TRIUR3_00545	65	62	1
OS01G0142300	TRIUR3_00546	82	60	1
OS01G0142500	TRIUR3_09932	34	62	1
OS01G0142500	TRIUR3_18966	22	60	1
OS01G0142875	TRIUR3_13566	24	75	1
OS01G0143100	TRIUR3_10827	56	72	1
OS01G0143300	TRIUR3_35416	34	29	1
OS01G0143700	TRIUR3_35416	33	28	1
OS01G0143800	TRIUR3_05705	41	31	1
OS01G0144000	TRIUR3_04706	58	77	1
OS01G0144100	TRIUR3_04710	58	62	0
OS01G0144200	TRIUR3_05800	90	90	0
OS01G0144300	TRIUR3_05801	68	61	1
OS01G0144340	TRIUR3_21372	72	87	0
OS01G0144600	TRIUR3_11339	18	63	1
OS01G0144600	TRIUR3_29287	50	60	1
OS01G0144700	TRIUR3_06559	68	73	1
OS01G0147200	TRIUR3_12770	52	80	1
OS01G0147300	TRIUR3_12771	17	31	1
OS01G0147400	TRIUR3_01024	55	24	1
OS01G0147400	TRIUR3_05258	55	57	1
OS01G0147600	TRIUR3_01033	15	17	1
OS01G0147600	TRIUR3_01034	23	19	1
OS01G0147700	TRIUR3_35150	74	70	1
OS01G0147900	TRIUR3_22282	57	87	1
OS01G0148000	TRIUR3_19014	63	37	1
OS01G0148050	TRIUR3_19014	12	9	1
OS01G0148500	TRIUR3_20826	45	45	0
OS01G0149700	TRIUR3_02230	14	38	1
OS01G0149800	TRIUR3_02631	76	77	1
OS01G0149900	TRIUR3_25687	31	33	1
OS01G0150000	TRIUR3_25686	73	66	1
OS01G0150100	TRIUR3_23789	69	23	1
OS01G0150200	TRIUR3_19358	73	81	0
OS01G0150200	TRIUR3_24915	39	70	0
OS01G0150400	TRIUR3_25650	43	31	1
OS01G0150500	TRIUR3_25650	38	29	1
OS01G0150800	TRIUR3_25650	54	41	1
OS01G0151100	TRIUR3_25651	79	82	1
OS01G0151200	TRIUR3_11012	55	51	1
OS01G0151400	TRIUR3_17906	77	34	1
OS01G0151400	TRIUR3_33402	78	35	1
OS01G0151500	TRIUR3_17906	49	57	1
OS01G0151500	TRIUR3_33402	48	57	1
OS01G0151600	TRIUR3_15770	63	59	1
OS01G0151700	TRIUR3_17342	74	80	1
OS01G0151700	TRIUR3_33719	76	69	1
OS01G0151750	TRIUR3_17343	58	60	1
OS01G0151900	TRIUR3_08085	79	79	1
OS01G0151900	TRIUR3_23380	80	79	1
OS01G0152100	TRIUR3_01586	18	19	0
OS01G0152100	TRIUR3_02626	20	20	0
OS01G0152100	TRIUR3_02985	19	21	0
OS01G0152100	TRIUR3_03376	16	19	0
OS01G0152100	TRIUR3_03442	18	20	0
OS01G0152100	TRIUR3_03797	20	21	0
OS01G0152100	TRIUR3_06004	19	21	0
OS01G0152100	TRIUR3_06046	18	20	0
OS01G0152100	TRIUR3_07228	20	22	0
OS01G0152100	TRIUR3_07229	19	21	0
OS01G0152100	TRIUR3_07231	19	23	0
OS01G0152100	TRIUR3_07644	18	20	0
OS01G0152100	TRIUR3_09195	18	20	0
OS01G0152100	TRIUR3_11965	15	17	0
OS01G0152100	TRIUR3_11966	19	20	0
OS01G0152100	TRIUR3_13708	16	18	0
OS01G0152100	TRIUR3_16193	19	21	0
OS01G0152100	TRIUR3_17197	9	18	0
OS01G0152100	TRIUR3_17962	18	20	0
OS01G0152100	TRIUR3_18492	19	22	0
OS01G0152100	TRIUR3_18764	19	21	0
OS01G0152100	TRIUR3_22117	20	23	0
OS01G0152100	TRIUR3_22442	16	18	0
OS01G0152100	TRIUR3_22443	19	21	0
OS01G0152100	TRIUR3_24682	20	21	0
OS01G0152100	TRIUR3_25448	13	20	0
OS01G0152100	TRIUR3_26863	19	20	0
OS01G0152100	TRIUR3_27146	19	22	0
OS01G0152100	TRIUR3_27206	20	22	0
OS01G0152100	TRIUR3_27995	16	17	0
OS01G0152100	TRIUR3_28840	13	18	0
OS01G0152100	TRIUR3_30533	15	18	0
OS01G0152100	TRIUR3_30975	20	24	0
OS01G0152100	TRIUR3_33998	19	22	0
OS01G0152200	TRIUR3_01586	18	18	0
OS01G0152200	TRIUR3_02626	17	16	0
OS01G0152200	TRIUR3_02985	16	16	0
OS01G0152200	TRIUR3_03376	14	15	0
OS01G0152200	TRIUR3_03442	14	14	0
OS01G0152200	TRIUR3_03797	18	18	0
OS01G0152200	TRIUR3_06004	16	16	0
OS01G0152200	TRIUR3_06046	19	19	0
OS01G0152200	TRIUR3_07228	17	17	0
OS01G0152200	TRIUR3_07229	17	17	0
OS01G0152200	TRIUR3_07231	17	19	0
OS01G0152200	TRIUR3_07644	15	15	0
OS01G0152200	TRIUR3_09195	19	19	0
OS01G0152200	TRIUR3_11965	16	16	0
OS01G0152200	TRIUR3_11966	17	16	0
OS01G0152200	TRIUR3_13708	15	16	0
OS01G0152200	TRIUR3_16193	17	17	0
OS01G0152200	TRIUR3_17197	10	17	0
OS01G0152200	TRIUR3_17962	15	15	0
OS01G0152200	TRIUR3_18492	16	17	0
OS01G0152200	TRIUR3_18764	17	17	0
OS01G0152200	TRIUR3_22117	18	18	0
OS01G0152200	TRIUR3_22442	16	17	0
OS01G0152200	TRIUR3_22443	18	18	0
OS01G0152200	TRIUR3_24682	18	16	0
OS01G0152200	TRIUR3_25448	13	18	0
OS01G0152200	TRIUR3_26863	18	17	0
OS01G0152200	TRIUR3_27146	15	16	0
OS01G0152200	TRIUR3_27206	17	17	0
OS01G0152200	TRIUR3_27995	14	14	0
OS01G0152200	TRIUR3_28840	10	13	0
OS01G0152200	TRIUR3_30533	14	15	0
OS01G0152200	TRIUR3_30975	16	17	0
OS01G0152200	TRIUR3_33998	17	17	0
OS01G0152500	TRIUR3_14159	32	32	1
OS01G0152600	TRIUR3_06342	56	60	0
OS01G0152600	TRIUR3_07785	57	59	0
OS01G0152600	TRIUR3_10184	48	56	0
OS01G0152600	TRIUR3_15283	59	59	0
OS01G0152600	TRIUR3_15498	59	60	0
OS01G0152600	TRIUR3_16065	58	59	0
OS01G0152600	TRIUR3_17992	57	59	0
OS01G0152600	TRIUR3_30349	59	60	0
OS01G0152700	TRIUR3_25663	73	26	0
OS01G0152800	TRIUR3_06342	58	61	0
OS01G0152800	TRIUR3_07785	59	61	0
OS01G0152800	TRIUR3_10184	50	58	0
OS01G0152800	TRIUR3_15283	62	62	0
OS01G0152800	TRIUR3_15498	61	62	0
OS01G0152800	TRIUR3_16065	61	63	0
OS01G0152800	TRIUR3_17992	59	61	0
OS01G0152800	TRIUR3_30349	61	63	0
OS01G0152950	TRIUR3_01586	23	23	0
OS01G0152950	TRIUR3_02626	22	21	0
OS01G0152950	TRIUR3_02985	25	26	0
OS01G0152950	TRIUR3_03376	18	20	0
OS01G0152950	TRIUR3_03442	24	25	0
OS01G0152950	TRIUR3_03797	23	24	0
OS01G0152950	TRIUR3_06004	25	25	0
OS01G0152950	TRIUR3_06046	23	24	0
OS01G0152950	TRIUR3_07228	23	24	0
OS01G0152950	TRIUR3_07229	21	22	0
OS01G0152950	TRIUR3_07231	23	27	0
OS01G0152950	TRIUR3_07644	23	24	0
OS01G0152950	TRIUR3_09195	21	22	0
OS01G0152950	TRIUR3_11965	20	21	0
OS01G0152950	TRIUR3_11966	23	24	0
OS01G0152950	TRIUR3_13708	18	19	0
OS01G0152950	TRIUR3_16193	22	23	0
OS01G0152950	TRIUR3_17197	11	21	0
OS01G0152950	TRIUR3_17962	23	25	0
OS01G0152950	TRIUR3_18492	22	24	0
OS01G0152950	TRIUR3_18764	24	25	0
