A2XPN8	Ensembl:MLOC_15256
A2Y8A8	Ensembl:MLOC_53084
A2ZWY3	Ensembl:MLOC_14111
A3AAR2	Ensembl:MLOC_36567
A3AC56	Ensembl:MLOC_18725
A3AQC6	Ensembl:MLOC_74329
A4LBC0	Ensembl:MLOC_15725
A9CM06	Ensembl:MLOC_55380 Ensembl:MLOC_4361
B1B534	Ensembl:MLOC_1876
B7E8M5	Ensembl:MLOC_78794
B7EA04	Ensembl:MLOC_27582 Ensembl:MLOC_65216
B7EM10	Ensembl:MLOC_24846
B7ERE7	Ensembl:MLOC_58346
B7F4K3	Ensembl:MLOC_60643
B7F7B9	Ensembl:MLOC_56742
B7F8P7	Ensembl:MLOC_43207
B7F8T0	Ensembl:MLOC_81097
B7F956	Ensembl:MLOC_71543
B7F9K3	Ensembl:MLOC_60643
B7FA34	Ensembl:MLOC_66415
B7FA90	Ensembl:MLOC_37476
B7FA99	Ensembl:MLOC_45002
B8ACC6	Ensembl:MLOC_34940
B8AHI9	Ensembl:MLOC_14370 Ensembl:MLOC_62151
B8AT82	Ensembl:MLOC_25246
B8AY22	Ensembl:MLOC_45308
B8AZ97	Ensembl:MLOC_57145
B8B8K7	Ensembl:MLOC_52901
B8BF84	Ensembl:MLOC_11773
B9EUK4	Ensembl:MLOC_65945
B9EZJ8	Ensembl:MLOC_2703
B9FRT6	Ensembl:MLOC_71910
B9FYX6	Ensembl:MLOC_34889
B9FZ46	Ensembl:MLOC_59505
B9G4Z8	Ensembl:MLOC_50968
C7J5F5	Ensembl:MLOC_806
C7J6Z0	Ensembl:MLOC_64156
D5A7I6	Ensembl:MLOC_293
H6TFZ4	Ensembl:MLOC_36794 Ensembl:MLOC_10031
I1QJ08	Ensembl:MLOC_75312
O04226	Ensembl:MLOC_57545
O04882	Ensembl:MLOC_55580
O22105	Ensembl:MLOC_70471
O22567	Ensembl:MLOC_69805
O24174	Ensembl:MLOC_66224
O64422	Ensembl:MLOC_62317
O64437	Ensembl:MLOC_60842
O82117	Ensembl:MLOC_75092
O82427	Ensembl:MLOC_73342 Ensembl:MLOC_75615
P0C132	Ensembl:MLOC_73033
P0C587	Ensembl:MLOC_37319 Ensembl:MLOC_39270 Ensembl:MLOC_16293
P0C5A4	Ensembl:MLOC_6950 Ensembl:MLOC_77777 Ensembl:MLOC_19482
P14656	Ensembl:MLOC_11890
P14717	Ensembl:MLOC_64900
P15280	Ensembl:MLOC_36959
P16081	Ensembl:MLOC_60358
P17784	Ensembl:MLOC_14013
P18566	Ensembl:MLOC_21811 Ensembl:MLOC_64679 Ensembl:MLOC_44795
P30298	Ensembl:MLOC_11770
P31924	Ensembl:MLOC_50162
P37833	Ensembl:MLOC_13742
P38419	Ensembl:MLOC_67243
P42862	Ensembl:MLOC_61974
P42863	Ensembl:MLOC_61974
P48642	Ensembl:MLOC_61193
P93438	Ensembl:MLOC_70893 Ensembl:MLOC_17699 Ensembl:MLOC_61720
P93844	Ensembl:MLOC_71259
Q01KF3	Ensembl:MLOC_24740
Q01M39	Ensembl:MLOC_54420
Q05JG2	Ensembl:MLOC_4786
Q06967	Ensembl:MLOC_69312
Q0D3B6	Ensembl:MLOC_81154
Q0D3D2	Ensembl:MLOC_36515
Q0D4Z4	Ensembl:MLOC_52501
Q0D7J0	Ensembl:MLOC_34510
Q0DAA4	Ensembl:MLOC_30801
Q0DAE1	Ensembl:MLOC_65575
Q0DAJ3	Ensembl:MLOC_70190
Q0DBD3	Ensembl:MLOC_54260
Q0DBF4	Ensembl:MLOC_17178
Q0DBN4	Ensembl:MLOC_37080
Q0DDD2	Ensembl:MLOC_12686
Q0DDS1	Ensembl:MLOC_53933
Q0DEC8	Ensembl:MLOC_70501
Q0DGG8	Ensembl:MLOC_74532
Q0DGS1	Ensembl:MLOC_38232
Q0DHT1	Ensembl:MLOC_79223
Q0DJJ9	Ensembl:MLOC_18677
Q0DKE8	Ensembl:MLOC_7035
Q0DKM0	Ensembl:MLOC_1615
Q0DKP3	Ensembl:MLOC_9864
Q0DNU1	Ensembl:MLOC_57142
Q0DS76	Ensembl:MLOC_32790
Q0DS96	Ensembl:MLOC_14619
Q0DSM1	Ensembl:MLOC_25125
Q0DUI1	Ensembl:MLOC_59914
Q0DV32	Ensembl:MLOC_2815
Q0DWC7	Ensembl:MLOC_53881
Q0DWF2	Ensembl:MLOC_65332
Q0DXA9	Ensembl:MLOC_12844
Q0DXM9	Ensembl:MLOC_64867
Q0DY86	Ensembl:MLOC_38042
Q0DYK7	Ensembl:MLOC_68114
Q0DZE0	Ensembl:MLOC_4684
Q0E079	Ensembl:MLOC_59642
Q0E2P1	Ensembl:MLOC_55635
Q0E2P9	Ensembl:MLOC_71010
Q0E3F2	Ensembl:MLOC_30789
Q0E3J1	Ensembl:MLOC_4755
Q0E4F0	Ensembl:MLOC_72453
Q0E4H0	Ensembl:MLOC_19179
Q0E4N2	Ensembl:MLOC_62766 Ensembl:MLOC_51227
Q0ILP7	Ensembl:MLOC_76275
Q0IMS8	Ensembl:MLOC_65527
Q0INY7	Ensembl:MLOC_21811 Ensembl:MLOC_64679 Ensembl:MLOC_44795
Q0IPE5	Ensembl:MLOC_44325
Q0ISY7	Ensembl:MLOC_53299
Q0ITU1	Ensembl:MLOC_71132
Q0IU28	Ensembl:MLOC_1340
Q0IUG8	Ensembl:MLOC_62596
Q0IZJ9	Ensembl:MLOC_56414
Q0IZR4	Ensembl:MLOC_50968
Q0IZX5	Ensembl:MLOC_4380
Q0J0L4	Ensembl:MLOC_37443
Q0J0M8	Ensembl:MLOC_63505
Q0J0N3	Ensembl:MLOC_71845
Q0J0N7	Ensembl:MLOC_66526
Q0J0P1	Ensembl:MLOC_10823
Q0J185	Ensembl:MLOC_69371
Q0J1C1	Ensembl:MLOC_43332
Q0J1E1	Ensembl:MLOC_12614
Q0J1V2	Ensembl:MLOC_4614
Q0J268	Ensembl:MLOC_54751
Q0J2L7	Ensembl:MLOC_77966
Q0J7P4	Ensembl:MLOC_57782
Q0J7W9	Ensembl:MLOC_14118
Q0J8A4	Ensembl:MLOC_18233
Q0J8X6	Ensembl:MLOC_66166
Q0J951	Ensembl:MLOC_51932
Q0J9F2	Ensembl:MLOC_10729
Q0J9K2	Ensembl:MLOC_20784
Q0J9Z0	Ensembl:MLOC_54759
Q0JA83	Ensembl:MLOC_10563
Q0JAI1	Ensembl:MLOC_14305
Q0JAQ3	Ensembl:MLOC_71042
Q0JB49	Ensembl:MLOC_68517
Q0JB91	Ensembl:MLOC_64169
Q0JBA9	Ensembl:MLOC_66345
Q0JBF1	Ensembl:MLOC_20933
Q0JC10	Ensembl:MLOC_69140
Q0JCP1	Ensembl:MLOC_64400
Q0JCU7	Ensembl:MLOC_64943
Q0JCZ4	Ensembl:MLOC_64596
Q0JDD2	Ensembl:MLOC_78779
Q0JDF7	Ensembl:MLOC_60716 Ensembl:MLOC_65725
Q0JDT1	Ensembl:MLOC_61961
Q0JE53	Ensembl:MLOC_54420
Q0JEK1	Ensembl:MLOC_67347
Q0JEP5	Ensembl:MLOC_11990
Q0JEX4	Ensembl:MLOC_57002 Ensembl:MLOC_14136
Q0JEZ8	Ensembl:MLOC_13618
Q0JF25	Ensembl:MLOC_58632
Q0JF26	Ensembl:MLOC_58632
Q0JF30	Ensembl:MLOC_64196
Q0JHN3	Ensembl:MLOC_80547
Q0JI87	Ensembl:MLOC_11460
Q0JIG6	Ensembl:MLOC_38122
Q0JIJ8	Ensembl:MLOC_64653
Q0JJ01	Ensembl:MLOC_51588
Q0JJI1	Ensembl:MLOC_67140
Q0JJV0	Ensembl:MLOC_61956
Q0JKG7	Ensembl:MLOC_39661
Q0JKX2	Ensembl:MLOC_6128
Q0JKY8	Ensembl:MLOC_43331
Q0JLT2	Ensembl:MLOC_57518
Q0JP37	Ensembl:MLOC_68299
Q0JP90	Ensembl:MLOC_69470
Q0JPS3	Ensembl:MLOC_79033
Q0JPT4	Ensembl:MLOC_75068
Q0JQ41	Ensembl:MLOC_70434
Q0JQF9	Ensembl:MLOC_39610
Q0JRG4	Ensembl:MLOC_63808
Q109F2	Ensembl:MLOC_77998 Ensembl:MLOC_69571
Q109K4	Ensembl:MLOC_12680
Q10A30	Ensembl:MLOC_73299
Q10A97	Ensembl:MLOC_80197
Q10BT5	Ensembl:MLOC_4673
Q10CE4	Ensembl:MLOC_75010
Q10CS9	Ensembl:MLOC_66971
Q10D34	Ensembl:MLOC_54787
Q10D68	Ensembl:MLOC_59370
Q10D87	Ensembl:MLOC_75234
Q10DK7	Ensembl:MLOC_64689
Q10DU0	Ensembl:MLOC_81684
Q10DZ5	Ensembl:MLOC_10389
Q10E50	Ensembl:MLOC_71053
Q10EG4	Ensembl:MLOC_74303
Q10F25	Ensembl:MLOC_6017
Q10FE9	Ensembl:MLOC_67950
Q10G56	Ensembl:MLOC_35821
Q10HZ6	Ensembl:MLOC_5870
Q10J20	Ensembl:MLOC_70125
Q10J32	Ensembl:MLOC_56527
Q10L50	Ensembl:MLOC_14093
Q10L56	Ensembl:MLOC_19297
Q10LR5	Ensembl:MLOC_36687
Q10M55	Ensembl:MLOC_61490
Q10M76	Ensembl:MLOC_53125
Q10MB0	Ensembl:MLOC_16176
Q10MG9	Ensembl:MLOC_9834
Q10MK2	Ensembl:MLOC_58957 Ensembl:MLOC_54119
Q10MK5	Ensembl:MLOC_7062
Q10MQ2	Ensembl:MLOC_78015
Q10MS2	Ensembl:MLOC_71349
Q10MW3	Ensembl:MLOC_38762
Q10MX3	Ensembl:MLOC_44080
Q10MX9	Ensembl:MLOC_21559
Q10N34	Ensembl:MLOC_12732
Q10N92	Ensembl:MLOC_61200
Q10NY1	Ensembl:MLOC_66898
Q10NY2	Ensembl:MLOC_66422
Q10P02	Ensembl:MLOC_56054
Q10P67	Ensembl:MLOC_36706
Q10P71	Ensembl:MLOC_34872
Q10PL0	Ensembl:MLOC_72702
Q10PY7	Ensembl:MLOC_66238
Q10QH1	Ensembl:MLOC_59914
Q10QN3	Ensembl:MLOC_37738
Q10QR9	Ensembl:MLOC_59406
Q10S34	Ensembl:MLOC_36344
Q10S55	Ensembl:MLOC_76049
Q10S67	Ensembl:MLOC_71723
Q10S72	Ensembl:MLOC_64857
Q10SD6	Ensembl:MLOC_67678
Q10SL7	Ensembl:MLOC_7581
Q10SM6	Ensembl:MLOC_78794
Q10SM9	Ensembl:MLOC_7581
Q10SP1	Ensembl:MLOC_44908
Q10SU1	Ensembl:MLOC_10980
Q25AR2	Ensembl:MLOC_73690
Q2KNB4	Ensembl:MLOC_4352
Q2KNB5	Ensembl:MLOC_4926
Q2MJA7	Ensembl:MLOC_69982
Q2MJA8	Ensembl:MLOC_13622
Q2QLJ0	Ensembl:MLOC_57533
Q2QLY5	Ensembl:MLOC_76000
Q2QLY6	Ensembl:MLOC_68880
