Gene stable ID	Phaseolus vulgaris gene stable ID	%id. target Phaseolus vulgaris gene identical to query gene	%id. query gene identical to target Phaseolus vulgaris gene
BAC19860	PHAVU_011G125800g	29.6774	37.3984
BAC19863	PHAVU_007G104600g	16.6667	59.7015
BAC19865	PHAVU_005G124700g	42.0074	83.7037
BAC19865	PHAVU_011G1241000g	22.6766	58.0952
BAC19875	PHAVU_006G009700g	6.46465	40.5063
BAC19876	PHAVU_009G252600g	53.8462	36.6492
BAC19885	PHAVU_011G124000g	84	85.1351
BAC19887	PHAVU_001G167500g	56.9892	42.4
BAC19889	PHAVU_006G031800g	0.414938	0.128866
BAC19890	PHAVU_003G168500g	16.8766	79.7619
CAA33918	PHAVU_002G050200g	82.5581	77.1739
CAA33919	PHAVU_004G079700g	23.0769	44.4444
CAA33920	PHAVU_004G098800g	22.1569	81.8841
CAA33924	PHAVU_001G180400g	31.1355	63.9098
CAA33927	PHAVU_002G050400g	36.5591	69.3878
CAA33927	PHAVU_008G263200g	59.1398	58.5106
CAA33928	PHAVU_001G180400g	31.1355	63.9098
CAA33930	PHAVU_003G183400g	48.5981	37.4101
CAA33931	PHAVU_001G158000g	43.3824	57.2816
CAA33933	PHAVU_002G161100g	46.3235	86.3014
CAA33934	PHAVU_011G085700g	43.0962	60.5882
CAA33935	PHAVU_004G001400g	38.255	27.0142
CAA33941	PHAVU_004G098800g	22.1569	81.8841
CAA33942	PHAVU_004G079700g	23.0769	44.4444
CAA33950	PHAVU_004G089500g	11.1717	53.2468
CAA33952	PHAVU_002G050000g	39.5639	50.3968
CAA33953	PHAVU_002G050100g	34.2	71.5481
CAA33955	PHAVU_011G095700g	40.5941	51.25
CAA33960	PHAVU_003G093800g	31.7391	24.5791
CAA33961	PHAVU_001G117600g	25	81.6327
CAA33961	PHAVU_003G0939001g	47.1875	85.7955
CAA33962	PHAVU_002G236100g	67.5	40.2985
CAA33971	PHAVU_002G090500g	57.1429	58.6207
CAA33971	PHAVU_004G105000g	30.2521	43.9024
CAA33977	PHAVU_004G081500g	30.6977	46.1538
CAA33980	PHAVU_001G047500g	55.9441	44.1989
CAA33987	PHAVU_003G046800g	7.62463	69.3333
CAA33987	PHAVU_010G131000g	14.2229	72.3881
CAA33987	PHAVU_011G124400g	8.35777	59.375
