Gene stable ID	Cucumis sativus gene stable ID	%id. query gene identical to target Cucumis sativus gene	%id. target Cucumis sativus gene identical to query gene	Cucumis sativus orthology confidence [0 low, 1 high]
BAC19857	Csa_5G321430	79.7297	79.7297	
BAC19887	Csa_2G382770	59.5745	60.2151	
BAC19889	Csa_2G302170	16.2983	73.444	
BAC19889	Csa_2G302180	0.316957	0.829876	
BAC19889	Csa_2G302250	16.6981	73.444	
BAC19889	Csa_2G302260	0.475436	1.24481	
CAA33910	Csa_2G308355	75.2688	19.337	
CAA33918	Csa_1G044825	33.3333	33.7209	
CAA33919	Csa_3G128920	81.9355	81.4103	
CAA33924	Csa_2G025690	79.4872	22.7106	
CAA33928	Csa_2G025690	79.4872	22.7106	
CAA33930	Csa_4G637710	33.8028	44.8598	
CAA33933	Csa_1G540870	64.4628	57.3529	
CAA33934	Csa_4G154310	72.973	22.5941	
CAA33942	Csa_3G128920	81.9355	81.4103	
CAA33961	Csa_4G442580	34.0909	28.125	
CAA33967	Csa_5G576740	59.6491	91.8919	
CAA33977	Csa_4G056820	80.5556	67.4419	
CAA33993	Csa_3G856020	69.8113	14.5957	
CAA33994	Csa_6G364110	60.7143	49.5146	
CAA33998	Csa_2G079910	64.1975	25.8706	
CAA34000	Csa_4G645960	33.4906	28.8618	
CAA34001	Csa_1G650065	73.5849	32.5	
CAA34003	Csa_5G367180	80	15.261	
CAA34008	Csa_5G223075	47.8495	16.4207	
CAA34011	Csa_2G190790	27.3438	97.2222	
CAA34013	Csa_5G525610	72.5	16.4306	
CAA34014	Csa_2G037270	78.0303	21.7759	
Os01g0100100	Csa_4G010920	49.1979	39.3162	
Os01g0100400	Csa_3G175700	59.4595	59.3592	
Os01g0100400	Csa_5G160220	64.0203	63.9123	
Os01g0100400	Csa_5G174630	57.8415	57.8415	
Os01g0100400	Csa_7G374570	66.0504	66.2732	
Os01g0100500	Csa_2G074060	37.7813	44.8473	
Os01g0100600	Csa_2G074070	39.8058	34.6479	
Os01g0100700	Csa_1G168900	82.1256	85	
Os01g0100700	Csa_2G373440	59.507	84.5	
Os01g0100700	Csa_5G292230	82.6087	85.5	
Os01g0100700	Csa_7G232530	82.6087	85.5	
Os01g0100800	Csa_6G094740	27.8689	28.6517	
Os01g0100900	Csa_6G094720	70	70.1299	
Os01g0101150	Csa_3G560220	48.8971	49.2593	
Os01g0101300	Csa_1G002050	55.3419	63.6364	
Os01g0101600	Csa_3G129720	44.2308	42.3313	
Os01g0101700	Csa_3G129700	35.4839	40.9574	
Os01g0101800	Csa_6G109720	16.8224	18.6391	
Os01g0102000	Csa_1G001490	58.1888	57.197	
Os01g0102300	Csa_1G050570	39.2241	35.4086	
Os01g0102500	Csa_4G011850	57.6602	62.3494	
Os01g0102600	Csa_3G509960	29.6417	33.829	
Os01g0102700	Csa_3G597330	49.4737	45.8537	
Os01g0102800	Csa_3G375720	48.2251	60.7415	
Os01g0102900	Csa_3G598910	35.0318	42.9688	
Os01g0102900	Csa_6G091870	44.5255	47.6562	
Os01g0103000	Csa_5G613490	75.1055	76.7241	
Os01g0103100	Csa_4G007610	60.4396	63.5314	
Os01g0103600	Csa_4G007050	54.0179	55.2511	
Os01g0103700	Csa_5G083300	5.27426	29.7619	
Os01g0103700	Csa_5G083800	0.833333	1.19048	
Os01g0103800	Csa_4G665140	46.6951	43.0255	
Os01g0103900	Csa_5G284490	36.6667	11.5063	
Os01g0103900	Csa_5G284500	36.1582	13.3891	
Os01g0103900	Csa_5G284510	20.8459	14.4351	
Os01g0104000	Csa_1G056960	62.1185	62.3423	
Os01g0104100	Csa_5G581690	53.7129	51.9139	
Os01g0104400	Csa_4G193240	47.9087	47.0149	
Os01g0104500	Csa_4G193250	39.0909	40.3125	
Os01g0104600	Csa_3G126990	58.5603	58.9041	
Os01g0104800	Csa_6G087170	37.44	36.2791	
Os01g0104900	Csa_2G361880	44.6281	46.1538	
Os01g0104900	Csa_3G860290	42.0259	41.6667	
Os01g0105700	Csa_2G361860	23.9193	21.3918	
Os01g0105700	Csa_3G860270	21.8615	26.0309	
Os01g0105700	Csa_6G504510	23.0337	21.134	
Os01g0105800	Csa_5G614650	70.8029	70.2899	
Os01g0105900	Csa_2G361810	68.7671	66.2269	
Os01g0106200	Csa_2G248640	70.6186	69.898	
Os01g0106200	Csa_2G361720	74.7423	73.9796	
Os01g0106700	Csa_1G004905	50.4587	2.24857	
Os01g0106700	Csa_1G004907	31.338	3.63859	
Os01g0106700	Csa_1G004908	75.0853	17.9886	
Os01g0106900	Csa_1G004930	82.7292	82.0296	
Os01g0107700	Csa_5G165200	49.9076	49.0909	
Os01g0107900	Csa_1G004980	46.1187	48.3254	
Os01g0108000	Csa_2G336680	52.9412	22.5594	
Os01g0108000	Csa_2G336690	40.5229	24.5383	
Os01g0108200	Csa_4G652900	66.1558	70.9589	
Os01g0108800	Csa_2G348220	21.0247	51.5152	
Os01g0109300	Csa_3G836480	64.7558	61.4919	
Os01g0109700	Csa_5G603960	56.1331	61.086	
Os01g0110100	Csa_5G608190	58.7879	60.7009	
Os01g0110400	Csa_7G031640	71.6667	62.0192	
Os01g0110500	Csa_5G608140	48.6676	49.7135	
Os01g0110700	Csa_5G577360	74.4581	76.3285	
Os01g0110800	Csa_5G608240	45.3587	47.7778	
Os01g0111100	Csa_1G042130	44.6875	48.6395	
Os01g0111200	Csa_5G577410	45.6667	44.1936	
Os01g0111200	Csa_5G608250	46.3497	44.0323	
Os01g0111400	Csa_2G034510	51.5759	51.3552	
Os01g0111500	Csa_5G420280	33.8028	32.5424	
Os01g0111600	Csa_3G807330	54.5455	55.1724	
Os01g0111700	Csa_3G348940	33.1126	28.5714	
Os01g0112100	Csa_6G489910	28.2443	29.5213	
Os01g0112400	Csa_3G149960	26.4925	24.8252	
Os01g0112500	Csa_5G418780	58.0052	62.0787	
Os01g0115200	Csa_2G264020	12.4514	41.0256	
Os01g0115200	Csa_2G264040	12.4272	41.0256	
Os01g0115200	Csa_7G009780	12.9344	42.9487	
Os01g0116600	Csa_3G881720	42.5478	50.9924	
Os01g0117900	Csa_1G024800	59.3923	57.4866	
Os01g0118000	Csa_5G576660	85.1282	85.567	
Os01g0118100	Csa_1G024810	50.8642	75.5501	
Os01g0118100	Csa_5G611030	50.3413	72.1271	
Os01g0118300	Csa_5G576650	76.6355	77.1765	
Os01g0118300	Csa_5G611040	71.6776	77.4118	
Os01g0118400	Csa_3G074490	30	19.9659	
Os01g0118400	Csa_4G193230	28.3063	20.8191	
Os01g0118600	Csa_3G074490	35.1282	24.4643	
Os01g0118600	Csa_4G193230	33.8747	26.0714	
Os01g0118700	Csa_3G074490	29.7436	22.3938	
Os01g0118700	Csa_4G193230	29.0023	24.1313	
Os01g0119000	Csa_3G074490	28.9744	23.444	
Os01g0119000	Csa_4G193230	28.5383	25.5187	
Os01g0119100	Csa_3G074490	30.2564	20.3098	
Os01g0119100	Csa_4G193230	28.5383	21.1704	
Os01g0120300	Csa_6G513460	54.9575	73.2998	
Os01g0120500	Csa_1G024850	53.3333	56.6929	
Os01g0120600	Csa_5G611610	41.4474	44.6809	
Os01g0120700	Csa_5G611620	40.0673	41.7544	
Os01g0120800	Csa_1G537630	68.039	63.6917	
Os01g0120800	Csa_1G538140	68.039	63.6917	
Os01g0121000	Csa_1G025190	40.5882	34.3284	
Os01g0121100	Csa_3G187220	58.642	27.7778	
Os01g0121100	Csa_3G187230	45.4545	26.3158	
Os01g0121200	Csa_3G186720	47.5285	46.4684	
Os01g0121200	Csa_5G571450	47.4576	41.6357	
Os01g0121300	Csa_5G611690	41.5493	43.7037	
Os01g0121500	Csa_5G571480	30.8176	40.8333	
Os01g0121600	Csa_5G571480	31.4465	34.0136	
Os01g0121700	Csa_5G611710	60.0251	71.7066	
Os01g0121800	Csa_3G105970	59.0909	58.209	
Os01g0121800	Csa_5G611740	57.0707	56.2189	
Os01g0125600	Csa_3G185130	28.4314	13.8095	
Os01g0125600	Csa_5G571520	29.156	27.1429	
Os01g0125700	Csa_3G185140	65.0327	63.1746	
Os01g0125800	Csa_1G024940	69.0671	69.1803	
Os01g0125900	Csa_2G270870	45.7568	49.2004	
Os01g0126200	Csa_5G118190	55.5752	52.5084	
Os01g0127300	Csa_3G903500	43.75	45.0207	
Os01g0127400	Csa_5G571530	61.1111	59.6698	
Os01g0127500	Csa_5G609630	58.75	55.7864	
Os01g0127900	Csa_3G300600	53.5147	55.1402	
Os01g0127900	Csa_5G167200	50.3326	53.0374	
Os01g0128000	Csa_1G042350	35.0598	25.1429	
Os01g0128000	Csa_1G488750	65.6863	19.1429	
Os01g0128000	Csa_6G040640	40.5594	33.1429	
Os01g0128100	Csa_5G609770	57.9167	47.7663	
Os01g0128300	Csa_3G280950	28.9894	47.807	
Os01g0128400	Csa_5G031960	48.3926	48.8055	
Os01g0128800	Csa_1G023610	15.0358	54.0773	
Os01g0128800	Csa_1G042330	15.6511	56.2232	
Os01g0129200	Csa_5G372190	36.8421	37.2624	
Os01g0129500	Csa_1G023080	32.96	32.5434	
Os01g0129600	Csa_5G609680	34.4828	20.649	
Os01g0130000	Csa_6G136000	58.7302	56.7775	
Os01g0130400	Csa_5G609610	63.4801	63.412	
Os01g0130400	Csa_6G039020	65.3763	65.2361	
Os01g0131300	Csa_1G022530	31.3725	36.5714	
Os01g0131300	Csa_1G042270	22.1757	30.2857	
Os01g0131300	Csa_5G608610	34.8315	35.4286	
Os01g0131300	Csa_6G038510	33.7423	31.4286	
Os01g0132100	Csa_2G080190	27.3769	21.7668	
Os01g0132100	Csa_3G730950	32.9515	34.0619	
Os01g0132100	Csa_3G730960	35.7349	33.8798	
Os01g0132100	Csa_3G881780	29.1667	22.9508	
Os01g0132100	Csa_6G080300	26.1796	15.6648	
Os01g0132100	Csa_6G080320	27.1569	25.2277	
Os01g0132100	Csa_6G080330	30.9091	27.8689	
Os01g0132100	Csa_6G080340	28.125	27.0492	
Os01g0132100	Csa_6G080350	28.6814	27.1403	
Os01g0132100	Csa_6G080930	30.6165	26.6849	
Os01g0132100	Csa_6G081440	30.1498	29.326	
Os01g0132500	Csa_5G165250	21.1382	24.5283	
Os01g0132700	Csa_1G701970	59.3333	60.1351	
Os01g0132766	Csa_5G577350	47.4178	37.8277	
Os01g0132766	Csa_5G609820	43.2314	37.0787	
Os01g0132800	Csa_3G257600	62.249	59.8456	
Os01g0133100	Csa_3G258120	11.1228	16.0363	
