Gene stable ID	Theobroma cacao gene stable ID	%id. target Theobroma cacao gene identical to query gene	%id. query gene identical to target Theobroma cacao gene
BAC19858	TCM_025489	20.8163	28.1768
BAC19858	TCM_038247	27.9592	39.255
BAC19887	TCM_006056	61.2903	35.625
BAC19889	TCM_001476	74.6888	9.23551
CAA33908	TCM_035185	41.4773	74.4898
CAA33911	TCM_001193	21.374	45.6522
CAA33930	TCM_016377	41.1215	29.5302
CAA34000	TCM_037269	28.8618	33.4906
Os01g0100100	TCM_019958	55.1282	55.7637
Os01g0100400	TCM_002664	68.9713	68.8552
Os01g0100400	TCM_014937	58.516	58.714
Os01g0100400	TCM_016026	64.0809	64.2978
Os01g0100500	TCM_025345	46.1832	37.8125
Os01g0100600	TCM_025347	35.2113	37.2024
Os01g0100700	TCM_025037	88	83.8095
Os01g0100800	TCM_008646	28.6517	27.2
Os01g0100900	TCM_008631	71.7996	71.2707
Os01g0101150	TCM_017341	49.0123	48.533
Os01g0101300	TCM_014636	62.6536	60.4265
Os01g0101600	TCM_020243	43.865	44.456
Os01g0101700	TCM_020242	42.0213	41.7989
Os01g0101800	TCM_020199	19.3787	14.9886
Os01g0102000	TCM_014656	57.0076	57.7735
Os01g0102300	TCM_014654	35.0195	39.6476
Os01g0102400	TCM_019356	11.4014	19.917
Os01g0102500	TCM_008611	60.5422	58.7719
Os01g0102600	TCM_017289	35.6877	32.7645
Os01g0102700	TCM_017300	47.3171	49.7436
Os01g0102800	TCM_003990	69.7928	52.1173
Os01g0102900	TCM_008357	44.5312	41.3043
Os01g0102900	TCM_017342	38.2812	22.7907
Os01g0103000	TCM_044333	74.1379	72.8814
Os01g0103100	TCM_008311	64.1914	61.1635
Os01g0103600	TCM_003533	57.5342	58.0645
Os01g0103700	TCM_006006	27.9762	4.10122
Os01g0103800	TCM_034789	44.5972	47.4895
Os01g0103900	TCM_014790	48.7448	35.4642
Os01g0104000	TCM_006003	63.2432	65.3631
Os01g0104100	TCM_044553	54.3062	62.0219
Os01g0104400	TCM_026029	42.1642	28.25
Os01g0104500	TCM_026028	42.1875	34.8837
Os01g0104600	TCM_007636	66.9276	62.2951
Os01g0104800	TCM_025480	35.3488	33.4802
Os01g0104900	TCM_034101	47.2222	48.8938
Os01g0105700	TCM_000306	20.1031	19.4514
Os01g0105700	TCM_034098	27.5773	25.1765
Os01g0105800	TCM_022577	36.9565	54.2553
Os01g0105800	TCM_037848	71.0145	56.9767
Os01g0105900	TCM_034073	66.2269	66.2269
Os01g0106200	TCM_000348	67.3469	69.4737
Os01g0106200	TCM_006859	69.3878	70.1031
Os01g0106200	TCM_034071	70.9184	71.6495
Os01g0106700	TCM_012074	52.3303	42.1191
Os01g0106900	TCM_012070	77.8013	75.5647
Os01g0107700	TCM_015934	51.2727	50.9025
Os01g0107900	TCM_012049	49.4418	47.9134
Os01g0108000	TCM_001634	47.2296	47.9893
Os01g0108200	TCM_046888	68.7671	68.3924
Os01g0108200	TCM_046889	71.6438	66.2864
Os01g0108400	TCM_012044	23.1441	25.2381
Os01g0108600	TCM_012044	35.7143	38.0952
Os01g0108800	TCM_010315	54.5455	21.0702
Os01g0109300	TCM_016870	63.9113	51.7974
Os01g0109700	TCM_010128	61.9155	56.7773
Os01g0109700	TCM_017920	52.4887	50.0359
Os01g0110100	TCM_011897	63.5795	61.7254
Os01g0110400	TCM_002426	73.5577	75
Os01g0110500	TCM_011904	49.7135	48.0609
Os01g0110700	TCM_011892	76.5217	74.717
Os01g0110800	TCM_011886	52	49.0566
Os01g0110800	TCM_014483	47.5556	50.591
Os01g0111100	TCM_012238	48.9796	44.0367
Os01g0111200	TCM_011884	47.2581	43.5364
