Gene stable ID	Beta vulgaris subsp. vulgaris gene stable ID	% identity	Beta vulgaris subsp. vulgaris % identity	Orthology confidence [0 low, 1 high]
OS01G0100100	BVRB_3g057880	52.1368	52.8902	1
OS01G0100400	BVRB_5g118530	63.0691	62.2296	0
OS01G0100500	BVRB_2g024580	27.4809	34.6154	1
OS01G0100500	BVRB_4g080840	37.2137	39.3145	1
OS01G0100600	BVRB_4g075480	34.9296	42.4658	1
OS01G0100700	BVRB_3g050700	84	79.6208	1
OS01G0100800	BVRB_6g132660	27.809	27.1233	1
OS01G0100800	BVRB_6g150460	17.1348	26.1803	1
OS01G0100900	BVRB_6g150440	71.9852	72.119	1
OS01G0101150	BVRB_6g151940	44.8148	44.3223	1
OS01G0101300	BVRB_5g110300	61.1794	59.1449	1
OS01G0101600	BVRB_3g065620	44.683	44.3205	0
OS01G0101700	BVRB_3g065580	42.5532	40.6091	1
OS01G0101800	BVRB_3g065170	17.8994	16.9944	1
OS01G0102000	BVRB_5g124530	51.7045	58.4582	1
OS01G0102300	BVRB_5g124510	36.965	38.9344	1
OS01G0102400	BVRB_023860	5.22565	21.7822	0
OS01G0102500	BVRB_6g150390	60.8434	58.3815	1
OS01G0102600	BVRB_6g130930	34.2007	30.9764	1
OS01G0102700	BVRB_6g152120	44.3902	46.6667	1
OS01G0102700	BVRB_6g152130	44.3902	46.6667	1
OS01G0102800	BVRB_5g121290	70.6652	53.3333	1
OS01G0102900	BVRB_6g151890	35.9375	32.3944	1
OS01G0103000	BVRB_4g097630	74.569	74.2489	0
OS01G0103100	BVRB_6g149600	62.0462	59.4937	0
OS01G0103600	BVRB_8g193480	37.8995	38.6047	1
OS01G0103600	BVRB_8g193490	27.3973	40	1
OS01G0103600	BVRB_8g193500	15.0685	32.3529	1
OS01G0103600	BVRB_8g193510	23.7443	39.0977	1
OS01G0103600	BVRB_8g193520	30.137	42.0382	1
OS01G0103600	BVRB_8g193590	48.8584	49.7674	1
OS01G0103700	BVRB_2g029630	20.8333	3.0837	1
OS01G0103800	BVRB_014550	41.0609	45.5338	1
OS01G0103900	BVRB_5g126860	39.9582	26.3812	1
OS01G0104000	BVRB_1g012420	52.4324	71.1491	1
OS01G0104100	BVRB_9g209770	52.8708	60.8815	1
OS01G0104600	BVRB_3g069140	68.8845	65.6716	1
OS01G0104800	BVRB_9g217260	35.969	33.526	1
OS01G0104900	BVRB_1g006980	47.4359	47.3348	1
OS01G0105700	BVRB_1g007010	19.3299	30.3644	1
OS01G0105700	BVRB_6g129340	21.134	21.1886	1
OS01G0105800	BVRB_1g017530	70.2899	71.3235	1
OS01G0105800	BVRB_3g055060	71.0145	73.1343	1
OS01G0105900	BVRB_6g129120	59.6306	60.4278	1
OS01G0106200	BVRB_9g217230	69.898	71.3542	1
OS01G0106300	BVRB_9g217240	50.6289	52.2727	0
OS01G0106400	BVRB_9g217240	55.7325	56.8182	0
OS01G0106700	BVRB_5g117140	39.3295	41.5371	1
OS01G0106900	BVRB_5g117060	83.2981	83.2981	1
OS01G0107000	BVRB_5g117040	25.9424	22.0755	1
OS01G0107700	BVRB_006270	49.2727	51.9157	1
OS01G0107900	BVRB_5g116980	48.3254	46.0486	1
OS01G0108000	BVRB_7g166890	41.9525	45.4286	1
OS01G0108200	BVRB_008170	64.5205	64.5205	1
OS01G0108200	BVRB_008180	70.274	62.561	1
OS01G0108400	BVRB_5g116890	26.2009	32.0856	1
OS01G0108600	BVRB_5g116890	29.9107	35.8289	1
OS01G0108800	BVRB_6g148900	48.4848	18.7919	1
OS01G0109300	BVRB_4g096270	60.8871	63.9831	1
OS01G0109300	BVRB_6g148940	60.4839	63.6943	1
OS01G0109700	BVRB_2g026010	52.7903	51.8135	0
OS01G0109700	BVRB_6g155220	56.4103	54.1245	0
OS01G0110400	BVRB_9g206140	72.8365	74.8148	1
OS01G0110500	BVRB_2g026240	46.2751	49.0881	1
OS01G0110700	BVRB_6g141100	73.6232	73.6944	1
OS01G0110800	BVRB_6g141180	45.1111	41.5133	1
OS01G0111100	BVRB_5g125980	51.0204	46.2963	0
OS01G0111200	BVRB_2g026330	39.8387	41.5825	1
OS01G0111200	BVRB_6g141210	48.2258	50.4216	1
OS01G0111400	BVRB_1g000830	9.27247	41.9355	1
OS01G0111400	BVRB_5g126020	48.2168	49.6329	1
OS01G0111500	BVRB_2g027790	34.9153	30.9309	1
OS01G0111600	BVRB_8g181350	44.8276	45.614	0
OS01G0111600	BVRB_8g181360	55.7471	54.4944	0
OS01G0112100	BVRB_5g122170	31.9149	30.0752	1
OS01G0112400	BVRB_3g069870	26.2238	25.9516	1
OS01G0112500	BVRB_2g027780	61.5169	59.1892	1
OS01G0113200	BVRB_3g065150	23.6181	10.9175	1
OS01G0113300	BVRB_2g027160	24.5827	29.6703	0
OS01G0113350	BVRB_4g074270	28.8344	24.3523	1
OS01G0113350	BVRB_4g074280	21.6258	43.2515	1
OS01G0113350	BVRB_4g074290	4.1411	9.74729	1
OS01G0113400	BVRB_2g027160	23.1905	28.7546	0
OS01G0113500	BVRB_3g065150	27.8302	20.5575	1
OS01G0113650	BVRB_4g074270	29.7256	25.2591	1
OS01G0113650	BVRB_4g074280	21.3415	42.9448	1
OS01G0113650	BVRB_4g074290	4.72561	11.1913	1
OS01G0113700	BVRB_2g027160	22.6277	28.3883	0
OS01G0113800	BVRB_3g065150	27.9365	20.4413	1
OS01G0114100	BVRB_2g027160	23.5205	28.3883	0
OS01G0114400	BVRB_2g027160	28.1065	17.3993	0
OS01G0114600	BVRB_2g027160	22.7338	28.9377	0
OS01G0114700	BVRB_3g065150	30.1435	21.9512	1
OS01G0114900	BVRB_3g065150	37.5	13.2404	1
OS01G0115200	BVRB_4g082130	41.0256	12.5	1
OS01G0115500	BVRB_2g027160	29.7935	18.4982	0
OS01G0115600	BVRB_3g065150	30.2738	21.8351	1
OS01G0115700	BVRB_2g027160	24.8408	28.5714	0
OS01G0115750	BVRB_2g027160	23.4513	29.1209	0
OS01G0115800	BVRB_2g027160	15.7191	8.60806	0
OS01G0116000	BVRB_2g027160	22.6608	28.3883	0
OS01G0116200	BVRB_2g027160	21.9718	28.5714	0
OS01G0116400	BVRB_2g027160	21.7134	26.9231	0
OS01G0116600	BVRB_2g034750	53.789	48.6559	1
OS01G0116800	BVRB_2g027160	30.5851	21.0623	0
OS01G0116900	BVRB_3g065150	33.3981	19.9768	1
OS01G0117000	BVRB_2g027160	18.9189	25.641	0
OS01G0117100	BVRB_3g065150	37.9121	16.0279	1
OS01G0117200	BVRB_2g027160	22.4066	29.6703	0
OS01G0117300	BVRB_3g065150	36.272	16.7247	1
OS01G0117400	BVRB_2g027160	36.2319	13.7363	0
OS01G0117500	BVRB_3g065150	31.5678	17.3055	1
OS01G0117600	BVRB_2g027160	22.114	29.1209	0
OS01G0117700	BVRB_3g065150	26.9051	20.0929	1
OS01G0117900	BVRB_5g126140	57.2192	57.6819	1
OS01G0118000	BVRB_4g078150	81.9588	80.1008	0
OS01G0118000	BVRB_7g159930	84.2784	81.5461	0
OS01G0118100	BVRB_5g126350	74.9389	51.2971	1
OS01G0118100	BVRB_6g143010	73.5941	49.0228	1
OS01G0118300	BVRB_1g011180	72.619	28.7059	1
OS01G0118400	BVRB_4g083620	26.9625	34.6491	1
OS01G0118600	BVRB_4g083620	26.7857	32.8947	1
OS01G0118700	BVRB_4g083620	30.5019	34.6491	1
OS01G0119000	BVRB_4g083620	30.2905	32.0175	1
OS01G0119100	BVRB_4g083620	26.3339	33.5526	1
OS01G0120300	BVRB_8g185660	71.9144	57.7351	0
OS01G0120400	BVRB_008010	51.8939	53.1008	1
OS01G0120500	BVRB_5g112010	37.4016	44.6009	1
OS01G0120600	BVRB_6g142970	42.1986	42.6523	0
OS01G0120700	BVRB_4g079210	25.2632	43.6364	1
OS01G0120700	BVRB_6g142950	41.0526	34.1108	1
OS01G0120800	BVRB_4g076280	67.4442	68.1352	1
OS01G0121000	BVRB_1g015550	29.8507	36.5854	1
OS01G0121100	BVRB_2g027420	50.8772	49.7143	1
OS01G0121200	BVRB_2g027450	36.803	43.6123	1
OS01G0121300	BVRB_6g142770	40	37.9613	1
OS01G0121500	BVRB_2g027480	25.8333	38.75	1
OS01G0121600	BVRB_2g027480	21.0884	38.75	1
OS01G0121700	BVRB_6g142820	71.8563	64.9526	0
OS01G0121800	BVRB_6g142830	57.2139	56.7901	1
OS01G0125600	BVRB_2g027590	15.7143	24.4444	1
OS01G0125700	BVRB_2g027580	62.5397	59.8784	1
OS01G0125800	BVRB_6g142710	64.2623	64.2623	1
OS01G0125900	BVRB_9g213850	48.6359	45.1923	1
OS01G0126200	BVRB_014180	35.786	56.168	1
OS01G0126200	BVRB_6g156330	17.893	53.5	1
OS01G0126600	BVRB_2g024880	46.402	29.5419	0
OS01G0126600	BVRB_7g173780	40.1985	26.045	0
OS01G0127300	BVRB_008370	44.6058	43.3468	1
OS01G0127300	BVRB_5g106470	44.1909	42.9436	1
OS01G0127400	BVRB_007340	62.9717	64.8058	1
OS01G0127500	BVRB_6g141920	56.9733	56.4706	1
OS01G0127900	BVRB_2g026950	50.9346	45.5115	1
OS01G0128000	BVRB_6g141520	34.2857	43.6364	0
OS01G0128300	BVRB_2g026900	47.3684	48.6486	1
OS01G0128400	BVRB_6g156140	44.0273	43.9523	1
OS01G0128800	BVRB_5g111000	50.6438	14.5679	1
OS01G0129500	BVRB_5g110920	34.5972	34.1654	1
OS01G0129600	BVRB_016000	4.71976	21.6216	1
OS01G0130000	BVRB_1g021200	63.1714	65.3439	1
OS01G0130400	BVRB_6g142010	64.9142	63.6842	1
OS01G0131300	BVRB_6g142040	27.4286	26.6667	1
OS01G0132100	BVRB_5g103080	34.2441	33.6616	1
OS01G0132500	BVRB_5g104720	23.1132	22.4771	1
OS01G0132700	BVRB_5g102410	58.1081	56.9536	1
OS01G0132766	BVRB_6g141700	30.7116	33.1984	1
OS01G0132800	BVRB_2g027010	59.4595	62.8571	1
OS01G0133100	BVRB_2g026990	15.885	11.194	1
OS01G0133400	BVRB_2g027020	73.0627	71.8693	1
OS01G0133500	BVRB_6g142560	34.2205	61.8557	1
OS01G0133600	BVRB_9g202330	36.1244	37.1921	1
OS01G0133700	BVRB_9g202330	41.629	22.6601	1
