Gene stable ID	Oryza brachyantha gene stable ID	%id. target Oryza brachyantha gene identical to query gene	%id. query gene identical to target Oryza brachyantha gene
BAC19857	OB11G20560	55.4054	97.619
BAC19859	OB10G18960	22.093	20.8029
BAC19860	OB03G19770	30.3226	79.661
BAC19876	OB0167G10020	30.3846	97.5309
BAC19888	OB05G30310	49	58.3333
BAC19891	OB02G23830	34.6608	97.9167
BAC19899	OB02G23900	94.499	96.7807
BAC19903	OB02G23860	61.6505	92.7007
BAC19904	OB07G23370	77.5	46.4419
CAA33910	OB06G32570	42.5414	86.0335
CAA33913	OB0121G10020	73.0159	92
CAA33915	OB10G17510	25.5639	97.1429
CAA33916	OB03G32210	74.1176	95.4545
CAA33921	OB10G23050	22.0884	45.082
CAA33924	OB10G16100	53.1136	50.173
CAA33925	OB10G16110	96.3504	72.5275
CAA33928	OB10G16100	53.1136	50.173
CAA33931	OB04G14240	43.3824	85.5072
CAA33934	OB07G17880	19.6653	87.037
CAA33937	OB10G16110	96.3504	72.5275
CAA33940	OB10G23050	22.0884	45.082
CAA33944	OB03G32210	57.6923	45.4545
CAA33945	OB10G17510	25.5639	97.1429
CAA33947	OB0121G10020	73.0159	92
CAA33950	OB0038G10020	51.9074	92.7007
CAA33952	OB09G22990	22.7414	90.1235
CAA33960	OB06G24900	26.087	70.5882
CAA33962	OB02G27280	72.5	49.1525
CAA33972	OB05G31160	34.7222	82.4176
CAA33976	OB09G15620	63.0137	90.1961
CAA33977	OB01G41740	36.7442	96.3415
CAA33986	OB05G10020	99.4419	94.5181
CAA33989	OB02G29140	22.0339	98.1132
CAA33993	OB07G15620	24.2604	88.4892
CAA33994	OB06G33200	75.7282	81.25
CAA33995	OB02G20400	8.03815	42.1429
CAA33996	OB02G17180	18.6667	43.2099
CAA33997	OB04G11510	27.8107	90.3846
CAA33998	OB01G28650	59.204	94.4444
CAA33999	OB0133G10010	33.9623	98.1818
CAA34003	OB03G31900	71.2851	92.6893
CAA34004	OB07G24640	12.5786	76.9231
CAA34008	OB03G33090	34.3173	95.3846
CAA34013	OB01G28170	10.1983	66.6667
Os01g0100100	OB01G10010	90.4558	90.0709
Os01g0100200	OB02G44720	40.1408	55.8824
Os01g0100400	OB01G10020	92.7487	92.437
Os01g0100500	OB01G10030	92.1756	92
Os01g0100600	OB01G10040	78.0282	83.6858
Os01g0100700	OB11G20650	95.5	87.6147
Os01g0100800	OB01G10050	71.9101	71.9101
Os01g0100900	OB01G10060	93.321	94.0187
Os01g0101150	OB01G10070	81.9753	85.4569
Os01g0101150	OB01G27580	83.4568	79.0643
Os01g0101200	OB01G10080	72.8155	88.2353
Os01g0101300	OB01G10090	85.258	84.8411
Os01g0101600	OB01G10100	73.6196	87.5912
Os01g0101700	OB01G10110	46.8085	48.0874
Os01g0101800	OB01G10130	73.3728	72.9412
Os01g0101900	OB01G10140	88.8889	88.8889
Os01g0102000	OB01G10150	86.7424	74.4715
Os01g0102300	OB01G10160	32.6848	57.1429
Os01g0102400	OB01G10170	68.171	64.3498
Os01g0102500	OB01G10180	87.3494	88.1459
Os01g0102600	OB01G10190	84.0149	85.9316
Os01g0102800	OB01G10210	92.3664	72.0238
Os01g0102900	OB01G10220	76.5625	71.5328
Os01g0103000	OB01G10230	95.6897	95.6897
Os01g0103100	OB01G10240	75.9076	81.7052
Os01g0103600	OB06G24600	70.7763	71.4286
Os01g0103700	OB06G21870	78.5714	11.4484
Os01g0103800	OB02G25400	82.7112	83.3663
Os01g0103900	OB01G10260	89.5397	64.5551
Os01g0104000	OB01G10270	90.2703	91.9266
Os01g0104100	OB01G10280	73.6842	85.3186
Os01g0104400	OB01G10290	77.2388	66.3462
Os01g0104500	OB01G10300	72.8125	72.5857
Os01g0104600	OB01G10310	96.6732	96.6732
Os01g0104800	OB02G10010	75.0388	74.2331
Os01g0104800	OB09G27280	24.6512	56.9892
Os01g0104900	OB01G10320	76.0684	79.6421
Os01g0105700	OB01G10340	76.2887	75.3181
Os01g0105800	OB01G10350	81.1594	86.1538
Os01g0105900	OB01G10360	87.8628	89.2761
Os01g0106300	OB01G10390	80.5031	81.5287
Os01g0106400	OB01G10400	86.6242	78.8406
Os01g0106600	OB01G10420	51.0274	34.3318
