Gene stable ID	Aegilops tauschii gene stable ID	% identity	Aegilops tauschii % identity	Orthology confidence [0 low, 1 high]
OS01G0100100	F775_06225	59	45	1
OS01G0100400	F775_10558	62	44	1
OS01G0100600	F775_05093	48	51	1
OS01G0100700	F775_31857	89	89	0
OS01G0100800	F775_09470	35	42	1
OS01G0100900	F775_07964	72	80	1
OS01G0101150	F775_52486	77	57	1
OS01G0101200	F775_01702	56	29	1
OS01G0101300	F775_06259	65	74	1
OS01G0101600	F775_06444	56	71	1
OS01G0101700	F775_26072	24	15	0
OS01G0101700	F775_27800	26	32	0
OS01G0101800	F775_12074	40	33	1
OS01G0101900	F775_43007	65	65	1
OS01G0102000	F775_05792	75	71	1
OS01G0102300	F775_08108	40	53	1
OS01G0102500	F775_21280	49	81	1
OS01G0102600	F775_09939	69	72	1
OS01G0102700	F775_26137	62	66	0
OS01G0102800	F775_17740	77	56	1
OS01G0102900	F775_32959	36	63	1
OS01G0103000	F775_27414	86	73	1
OS01G0103000	F775_43646	15	43	1
OS01G0103100	F775_42548	30	58	1
OS01G0103600	F775_31575	79	80	0
OS01G0103700	F775_09826	58	9	1
OS01G0103800	F775_17309	70	65	1
OS01G0103800	F775_21900	74	75	1
OS01G0103900	F775_52275	68	49	1
OS01G0104000	F775_09825	83	83	1
OS01G0104100	F775_19089	67	52	1
OS01G0104200	F775_25701	13	22	1
OS01G0104400	F775_31157	50	73	1
OS01G0104400	F775_31408	48	77	1
OS01G0104500	F775_13622	38	51	1
OS01G0104500	F775_13809	26	36	1
OS01G0104500	F775_16032	44	43	1
OS01G0104500	F775_24687	38	53	1
OS01G0104500	F775_25866	43	40	1
OS01G0104500	F775_25867	42	38	1
OS01G0104500	F775_29497	45	41	1
OS01G0104500	F775_32919	41	37	1
OS01G0104600	F775_00256	19	25	0
OS01G0104600	F775_27857	43	76	0
OS01G0104600	F775_31395	50	84	0
OS01G0104800	F775_20095	19	68	1
OS01G0105700	F775_22944	36	32	1
OS01G0105800	F775_21222	48	86	0
OS01G0105900	F775_09916	75	77	1
OS01G0106200	F775_44064	11	35	1
OS01G0106200	F775_44078	20	63	1
OS01G0106600	F775_33145	29	29	1
OS01G0106700	F775_08474	61	58	1
OS01G0106900	F775_22548	88	87	0
OS01G0107000	F775_29183	44	64	1
OS01G0107700	F775_19745	64	61	1
OS01G0107900	F775_23580	70	76	1
OS01G0108000	F775_19746	61	60	1
OS01G0108200	F775_21910	57	78	1
OS01G0108400	F775_18644	45	50	1
OS01G0108400	F775_19747	48	35	1
OS01G0108400	F775_19748	46	50	1
OS01G0108400	F775_31597	46	49	1
OS01G0108400	F775_32312	44	35	1
OS01G0108600	F775_22744	41	44	1
OS01G0108600	F775_43517	42	38	1
OS01G0108800	F775_52397	52	21	1
OS01G0109300	F775_09546	64	76	1
OS01G0109700	F775_22460	68	60	1
OS01G0109750	F775_29130	73	47	1
OS01G0110400	F775_26594	85	78	1
OS01G0110500	F775_05544	49	79	1
OS01G0110700	F775_21741	56	70	0
OS01G0110800	F775_19640	32	56	1
OS01G0110800	F775_24546	18	47	1
OS01G0111000	F775_06617	40	33	1
OS01G0111000	F775_06951	18	23	1
OS01G0111000	F775_08401	35	28	1
OS01G0111000	F775_11472	27	26	1
OS01G0111000	F775_11473	39	32	1
OS01G0111000	F775_12751	32	24	1
OS01G0111000	F775_17048	35	33	1
OS01G0111000	F775_17862	40	32	1
OS01G0111200	F775_30230	67	66	1
OS01G0111500	F775_23458	47	57	1
OS01G0111600	F775_30231	61	73	0
OS01G0111700	F775_11485	47	49	1
OS01G0111900	F775_43951	31	68	1
OS01G0112100	F775_29442	30	64	1
OS01G0112400	F775_16207	59	58	1
OS01G0112500	F775_10348	75	91	1
OS01G0113300	F775_17143	55	53	1
OS01G0113350	F775_00387	57	66	0
OS01G0113350	F775_00388	62	63	0
OS01G0113350	F775_00391	65	67	0
OS01G0113350	F775_04580	58	46	0
OS01G0113350	F775_20720	44	35	0
OS01G0113350	F775_25343	60	62	0
OS01G0113350	F775_25344	44	60	0
OS01G0113350	F775_25803	65	66	0
OS01G0113650	F775_00387	57	66	0
OS01G0113650	F775_00388	63	64	0
OS01G0113650	F775_00391	65	68	0
OS01G0113650	F775_04580	59	47	0
OS01G0113650	F775_20720	46	36	0
OS01G0113650	F775_25343	63	64	0
OS01G0113650	F775_25344	45	62	0
OS01G0113650	F775_25803	64	66	0
OS01G0114000	F775_01519	45	26	1
OS01G0114400	F775_10294	70	38	1
OS01G0114400	F775_10321	72	51	1
OS01G0114400	F775_15497	74	38	1
OS01G0114400	F775_16515	50	29	1
OS01G0114400	F775_18109	39	44	1
OS01G0114400	F775_18869	65	34	1
OS01G0114400	F775_25323	75	36	1
OS01G0114600	F775_03236	57	58	1
OS01G0114600	F775_25634	58	57	1
OS01G0114700	F775_17144	61	62	1
OS01G0115566	F775_15121	20	17	0
OS01G0115600	F775_17144	65	65	1
OS01G0115700	F775_10294	60	61	1
OS01G0115700	F775_10321	47	63	1
OS01G0115700	F775_15497	59	57	1
OS01G0115700	F775_16515	51	56	1
OS01G0115700	F775_18109	30	63	1
OS01G0115700	F775_18869	61	59	1
OS01G0115700	F775_25323	61	55	1
OS01G0115800	F775_15121	21	22	0
OS01G0116000	F775_10294	57	63	1
OS01G0116000	F775_10321	45	65	1
OS01G0116000	F775_15497	56	58	1
OS01G0116000	F775_16515	48	58	1
OS01G0116000	F775_18109	28	63	1
OS01G0116000	F775_18869	56	59	1
OS01G0116000	F775_25323	56	55	1
OS01G0116200	F775_10294	56	64	1
OS01G0116200	F775_10321	43	65	1
OS01G0116200	F775_15497	55	60	1
OS01G0116200	F775_16515	46	57	1
OS01G0116200	F775_18109	27	64	1
OS01G0116200	F775_18869	54	59	1
OS01G0116200	F775_25323	57	58	1
OS01G0116300	F775_25385	18	39	1
OS01G0116400	F775_03236	56	55	1
OS01G0116400	F775_25634	57	54	1
OS01G0116600	F775_27884	79	79	1
OS01G0116800	F775_03236	78	43	1
OS01G0116800	F775_25634	78	41	1
OS01G0116900	F775_08868	30	81	0
OS01G0116900	F775_10279	74	59	0
OS01G0116900	F775_10295	65	55	0
OS01G0116900	F775_10322	69	54	0
OS01G0116900	F775_18619	68	40	0
OS01G0116900	F775_20881	35	73	0
