Gene stable ID	Setaria italica gene stable ID	% identity	Setaria italica % identity	Orthology confidence [0 low, 1 high]
OS01G0100100	Si000493m.g	77	77	1
OS01G0100400	Si034842m.g	80	81	1
OS01G0100500	Si000976m.g	81	80	1
OS01G0100600	Si036564m.g	50	53	1
OS01G0100700	Si026877m.g	89	89	1
OS01G0100800	Si001999m.g	69	69	1
OS01G0100900	Si000972m.g	80	81	1
OS01G0101150	Si004364m.g	75	75	1
OS01G0101200	Si001841m.g	52	43	1
OS01G0101300	Si001629m.g	86	85	1
OS01G0101600	Si000302m.g	60	70	1
OS01G0101700	Si002910m.g	69	62	1
OS01G0101800	Si000471m.g	37	35	1
OS01G0101900	Si005155m.g	75	77	1
OS01G0102000	Si005131m.g	74	73	1
OS01G0102300	Si002757m.g	49	54	1
OS01G0102400	Si012136m.g	31	30	1
OS01G0102400	Si022020m.g	33	31	1
OS01G0102500	Si002077m.g	83	80	1
OS01G0102600	Si022939m.g	74	73	1
OS01G0102700	Si025014m.g	55	57	0
OS01G0102800	Si000085m.g	80	61	1
OS01G0102900	Si003278m.g	52	47	1
OS01G0103000	Si002796m.g	91	92	1
OS01G0103100	Si000601m.g	75	70	1
OS01G0103600	Si002887m.g	84	86	1
OS01G0103700	Si000090m.g	60	8	1
OS01G0103800	Si021732m.g	78	75	1
OS01G0103900	Si003928m.g	73	52	0
OS01G0104000	Si000884m.g	82	82	1
OS01G0104100	Si026550m.g	67	78	1
OS01G0104500	Si002003m.g	40	36	1
OS01G0104500	Si002074m.g	42	39	1
OS01G0104500	Si030284m.g	42	37	1
OS01G0104600	Si001824m.g	68	91	1
OS01G0104800	Si029236m.g	56	58	1
OS01G0104900	Si001257m.g	65	64	1
OS01G0105700	Si001592m.g	37	35	1
OS01G0105800	Si003330m.g	83	88	1
OS01G0105900	Si001883m.g	82	83	1
OS01G0106200	Si002979m.g	86	85	1
OS01G0106300	Si002006m.g	58	52	1
OS01G0106300	Si002335m.g	59	61	1
OS01G0106300	Si002347m.g	62	63	1
OS01G0106300	Si002414m.g	58	62	1
OS01G0106300	Si004389m.g	36	54	1
OS01G0106300	Si004534m.g	62	64	1
OS01G0106400	Si002006m.g	60	53	1
OS01G0106400	Si002335m.g	66	67	1
OS01G0106400	Si002347m.g	68	70	1
OS01G0106400	Si002414m.g	61	65	1
OS01G0106400	Si004389m.g	38	57	1
OS01G0106400	Si004534m.g	68	69	1
OS01G0106500	Si002493m.g	48	37	1
OS01G0106700	Si000140m.g	36	82	1
OS01G0106700	Si004442m.g	25	46	1
OS01G0106800	Si003068m.g	83	57	1
OS01G0106900	Si001299m.g	92	93	1
OS01G0107000	Si001519m.g	53	55	1
OS01G0107700	Si004108m.g	65	69	1
OS01G0107900	Si000678m.g	84	84	0
OS01G0108000	Si000413m.g	70	70	1
OS01G0108200	Si029014m.g	86	81	1
OS01G0108400	Si002821m.g	55	56	1
OS01G0108400	Si002881m.g	48	51	1
OS01G0108600	Si002847m.g	53	54	1
OS01G0108800	Si000834m.g	59	24	1
OS01G0109300	Si001171m.g	82	83	1
OS01G0109700	Si000051m.g	84	79	1
OS01G0109750	Si003307m.g	82	82	1
OS01G0110100	Si000294m.g	72	68	1
OS01G0110400	Si001588m.g	87	86	1
OS01G0110500	Si000537m.g	65	66	1
OS01G0110700	Si004557m.g	81	81	0
OS01G0110800	Si001122m.g	69	61	1
OS01G0111100	Si004113m.g	76	45	1
OS01G0111200	Si000631m.g	79	76	1
OS01G0111400	Si000514m.g	76	77	1
OS01G0111500	Si004720m.g	49	49	1
OS01G0111600	Si004700m.g	80	82	1
OS01G0111800	Si003424m.g	53	54	1
OS01G0112100	Si005491m.g	22	70	1
OS01G0112400	Si002921m.g	40	54	1
OS01G0112500	Si002996m.g	51	93	1
OS01G0112800	Si016103m.g	55	37	1
OS01G0112800	Si016104m.g	55	36	1
OS01G0112800	Si020230m.g	55	36	1
OS01G0113000	Si032849m.g	1	17	1
OS01G0113150	Si016103m.g	56	25	1
OS01G0113150	Si016104m.g	55	25	1
OS01G0113150	Si020230m.g	55	25	1
OS01G0113300	Si000551m.g	61	59	0
OS01G0113350	Si003953m.g	48	66	0
OS01G0113350	Si004228m.g	40	66	0
OS01G0113350	Si004315m.g	44	59	0
OS01G0113400	Si004796m.g	57	57	1
OS01G0113650	Si003953m.g	50	70	0
OS01G0113650	Si004228m.g	42	70	0
OS01G0113650	Si004315m.g	45	61	0
OS01G0113700	Si004796m.g	57	58	1
OS01G0114000	Si008200m.g	38	8	1
OS01G0114000	Si015488m.g	31	24	1
OS01G0114000	Si019702m.g	55	33	1
OS01G0114000	Si019961m.g	46	18	1
OS01G0114000	Si025062m.g	31	16	1
OS01G0114000	Si028227m.g	50	33	1
OS01G0114000	Si032826m.g	44	12	1
OS01G0114100	Si004796m.g	58	56	1
OS01G0114600	Si000714m.g	57	64	0
OS01G0114600	Si005160m.g	60	63	0
OS01G0114700	Si004458m.g	70	72	1
OS01G0115500	Si004796m.g	70	35	1
OS01G0115600	Si004458m.g	72	72	1
OS01G0115750	Si004796m.g	56	56	1
OS01G0116400	Si000714m.g	58	63	0
OS01G0116400	Si005160m.g	59	61	0
OS01G0116600	Si035638m.g	50	74	1
OS01G0116800	Si000714m.g	76	46	0
OS01G0116800	Si005160m.g	76	43	0
OS01G0116900	Si000709m.g	71	59	0
OS01G0116900	Si000888m.g	58	54	0
OS01G0117000	Si000714m.g	46	56	0
OS01G0117000	Si005160m.g	48	54	0
OS01G0117100	Si000709m.g	82	49	0
OS01G0117100	Si000888m.g	69	45	0
OS01G0117300	Si000709m.g	78	50	0
OS01G0117300	Si000888m.g	64	46	0
OS01G0117400	Si005531m.g	21	59	1
OS01G0117500	Si000709m.g	67	51	0
OS01G0117500	Si000888m.g	55	46	0
OS01G0117600	Si000714m.g	53	62	0
OS01G0117600	Si005160m.g	54	59	0
OS01G0117700	Si000709m.g	64	67	0
OS01G0117700	Si000888m.g	53	61	0
OS01G0117900	Si001859m.g	90	88	1
OS01G0118000	Si001803m.g	94	94	1
OS01G0118100	Si000063m.g	93	57	1
OS01G0118300	Si001555m.g	88	35	1
OS01G0118400	Si000604m.g	70	63	1
OS01G0118600	Si000871m.g	60	60	1
OS01G0118700	Si000966m.g	77	74	1
OS01G0119000	Si001137m.g	64	61	1
OS01G0119100	Si000544m.g	71	60	1
OS01G0119100	Si000628m.g	62	56	1
OS01G0119500	Si012690m.g	36	41	1
OS01G0120300	Si000198m.g	88	73	1
OS01G0120400	Si002582m.g	76	76	1
OS01G0120500	Si002459m.g	80	71	1
OS01G0120600	Si005626m.g	24	81	1
OS01G0120700	Si002536m.g	72	75	1
OS01G0120700	Si015336m.g	22	49	1
OS01G0120700	Si026775m.g	66	75	1
OS01G0120800	Si000211m.g	77	80	1
OS01G0121100	Si002189m.g	81	84	1
OS01G0121200	Si002512m.g	82	79	1
OS01G0121300	Si001238m.g	69	76	1
OS01G0121500	Si003152m.g	63	45	1
OS01G0121600	Si004583m.g	56	55	1
OS01G0121600	Si004806m.g	60	58	1
OS01G0121700	Si000580m.g	88	89	1
OS01G0121800	Si002524m.g	62	91	1
OS01G0121950	Si002144m.g	41	45	1
OS01G0121950	Si003987m.g	35	40	1
OS01G0121950	Si004146m.g	30	40	1
OS01G0121950	Si005030m.g	30	35	1
OS01G0122701	Si004260m.g	29	10	0
OS01G0123700	Si004510m.g	38	36	1
OS01G0123900	Si011151m.g	30	31	1
OS01G0123900	Si011162m.g	33	36	1
OS01G0124000	Si011151m.g	37	38	1
OS01G0124000	Si011162m.g	39	41	1
OS01G0124100	Si011151m.g	26	37	1
OS01G0124100	Si011162m.g	25	37	1
OS01G0124200	Si011151m.g	27	38	1
OS01G0124200	Si011162m.g	24	34	1
OS01G0124401	Si011151m.g	28	39	1
OS01G0124401	Si011162m.g	26	38	1
OS01G0124600	Si011151m.g	35	36	1
OS01G0124600	Si011162m.g	38	41	1
OS01G0124650	Si011151m.g	36	37	1
OS01G0124650	Si011162m.g	35	36	1
OS01G0124900	Si036953m.g	50	35	1
OS01G0125500	Si004756m.g	25	33	1
OS01G0125600	Si001095m.g	80	65	1
OS01G0125700	Si002343m.g	82	84	1
OS01G0125800	Si000728m.g	92	92	1
OS01G0125900	Si000123m.g	82	79	1
OS01G0126100	Si004323m.g	77	76	0
OS01G0126200	Si005027m.g	75	77	1
OS01G0126600	Si000667m.g	75	48	1
OS01G0126900	Si005198m.g	73	78	1
OS01G0127300	Si001183m.g	73	72	1
OS01G0127400	Si001539m.g	83	82	1
OS01G0127500	Si002272m.g	78	82	1
OS01G0127600	Si002826m.g	41	33	0
OS01G0127600	Si018677m.g	25	33	0
OS01G0127900	Si001484m.g	80	78	0
OS01G0128000	Si003873m.g	40	47	1
OS01G0128100	Si002462m.g	79	80	1
OS01G0128200	Si002380m.g	77	78	1
OS01G0128300	Si002759m.g	71	69	1
OS01G0128400	Si000790m.g	74	74	1
OS01G0128800	Si000329m.g	80	23	1
OS01G0129200	Si004359m.g	61	63	1
OS01G0129500	Si000566m.g	62	58	1
OS01G0129600	Si002412m.g	37	43	1
OS01G0130000	Si001795m.g	81	82	1
OS01G0130400	Si000221m.g	86	87	1
OS01G0130900	Si003227m.g	48	55	1
OS01G0131300	Si003018m.g	66	60	1
OS01G0131600	Si002186m.g	65	61	1
OS01G0131600	Si002714m.g	55	70	1
OS01G0131800	Si002461m.g	84	49	1
OS01G0131900	Si003470m.g	76	79	1
OS01G0132000	Si003470m.g	84	86	1
OS01G0132100	Si014924m.g	38	42	1
OS01G0132400	Si005095m.g	31	31	1
OS01G0132700	Si003228m.g	82	81	1
OS01G0132800	Si002633m.g	78	79	1
OS01G0133100	Si000293m.g	52	40	1
OS01G0133200	Si002915m.g	69	64	1
OS01G0133400	Si000951m.g	85	85	1
OS01G0133500	Si002021m.g	53	78	1
OS01G0133500	Si005644m.g	24	82	1
OS01G0134500	Si001942m.g	82	61	1
OS01G0134700	Si001447m.g	70	69	1
OS01G0134700	Si026811m.g	28	53	1
OS01G0134800	Si000821m.g	82	52	0
OS01G0134900	Si000630m.g	84	73	1
OS01G0135700	Si002992m.g	73	67	1
OS01G0135800	Si003245m.g	75	76	1
OS01G0135900	Si003160m.g	74	75	1
OS01G0136000	Si002731m.g	85	52	1
OS01G0136000	Si003151m.g	64	58	1
OS01G0136100	Si002731m.g	87	54	1
OS01G0136100	Si003151m.g	67	61	1
OS01G0136200	Si002731m.g	87	54	1
OS01G0136200	Si003151m.g	67	61	1
OS01G0136400	Si000609m.g	61	63	1
OS01G0136450	Si004395m.g	45	25	1
OS01G0136500	Si004743m.g	15	19	1
OS01G0136700	Si003755m.g	37	47	1
OS01G0136800	Si000610m.g	59	60	1
OS01G0137200	Si004395m.g	40	24	1
OS01G0137282	Si003971m.g	42	36	0
OS01G0137282	Si004349m.g	25	23	0
OS01G0137400	Si000558m.g	50	47	1
OS01G0137400	Si000657m.g	55	55	1
OS01G0137400	Si004485m.g	33	68	1
OS01G0137400	Si004968m.g	50	52	1
OS01G0137700	Si003755m.g	40	48	1
OS01G0137950	Si000558m.g	75	23	1
OS01G0137950	Si000657m.g	75	24	1
OS01G0137950	Si004485m.g	66	43	1
OS01G0137950	Si004968m.g	73	25	1
OS01G0138300	Si000558m.g	54	53	1
OS01G0138300	Si000657m.g	49	52	1
OS01G0138300	Si004485m.g	32	70	1
OS01G0138300	Si004968m.g	51	57	1
OS01G0138400	Si001561m.g	41	66	1
OS01G0138500	Si005152m.g	65	67	1
OS01G0138600	Si002590m.g	43	28	1
OS01G0138800	Si001508m.g	77	77	1
OS01G0138900	Si001444m.g	78	78	1
OS01G0139000	Si002894m.g	69	69	0
OS01G0139200	Si000567m.g	84	84	1
OS01G0139600	Si002415m.g	70	74	1
OS01G0140100	Si001062m.g	84	82	1
OS01G0140400	Si000650m.g	88	89	1
OS01G0140500	Si003194m.g	57	46	1
OS01G0141000	Si001909m.g	64	63	1
OS01G0141100	Si001506m.g	98	68	1
OS01G0141300	Si001506m.g	69	76	1
OS01G0141600	Si001121m.g	67	42	1
OS01G0141700	Si000798m.g	84	84	1
OS01G0141900	Si000776m.g	79	81	1
OS01G0142100	Si000920m.g	78	79	1
OS01G0142200	Si004335m.g	89	89	1
OS01G0142300	Si001496m.g	94	93	1
OS01G0142500	Si002426m.g	71	71	1
OS01G0143100	Si002217m.g	87	86	1
OS01G0143300	Si002553m.g	70	69	1
OS01G0143400	Si012569m.g	22	25	0
OS01G0143700	Si002553m.g	51	50	1
OS01G0143800	Si002533m.g	66	67	1
OS01G0143900	Si003641m.g	63	69	1
OS01G0144000	Si004461m.g	70	91	1
OS01G0144100	Si002977m.g	83	83	1
OS01G0144200	Si002859m.g	91	91	1
OS01G0144300	Si004418m.g	66	65	1
OS01G0144340	Si000484m.g	88	88	0
OS01G0144500	Si003921m.g	48	36	1
OS01G0144600	Si003000m.g	73	75	1
OS01G0144700	Si003523m.g	87	87	1
OS01G0144800	Si003813m.g	41	38	1
OS01G0144800	Si004401m.g	39	35	1
OS01G0145000	Si003813m.g	45	41	1
OS01G0145000	Si004401m.g	44	39	1
OS01G0145200	Si003813m.g	33	38	1
OS01G0145200	Si004401m.g	32	36	1
OS01G0146200	Si003813m.g	45	41	1
OS01G0146200	Si004401m.g	46	41	1
OS01G0147200	Si001071m.g	87	90	1
OS01G0147300	Si001411m.g	85	38	1
OS01G0147400	Si004823m.g	47	25	1
OS01G0147700	Si000510m.g	73	73	1
OS01G0147800	Si000946m.g	62	54	1
OS01G0147900	Si002651m.g	91	91	1
OS01G0148000	Si000008m.g	77	30	1
OS01G0148050	Si000008m.g	79	36	1
OS01G0149350	Si000278m.g	62	72	1
OS01G0149500	Si000278m.g	71	49	1
OS01G0149800	Si003556m.g	82	79	1
OS01G0149900	Si000432m.g	61	61	1
OS01G0150000	Si001779m.g	93	73	1
OS01G0150100	Si002083m.g	71	31	1
OS01G0150200	Si002841m.g	85	85	1
OS01G0151100	Si000963m.g	86	88	1
OS01G0151200	Si001385m.g	81	82	1
OS01G0151400	Si000659m.g	77	26	1
OS01G0151500	Si000659m.g	67	58	1
OS01G0151600	Si002366m.g	73	86	1
OS01G0151700	Si002256m.g	88	88	1
OS01G0151900	Si000922m.g	73	72	1
OS01G0152000	Si016173m.g	59	59	0
OS01G0152100	Si019988m.g	38	40	1
OS01G0152300	Si004627m.g	90	90	0
OS01G0152300	Si014583m.g	90	91	0
OS01G0152300	Si014584m.g	90	91	0
OS01G0152300	Si018574m.g	90	90	0
OS01G0152500	Si004210m.g	8	23	0
OS01G0152500	Si004969m.g	8	22	0
OS01G0152500	Si012588m.g	11	25	0
OS01G0152600	Si028791m.g	61	62	0
OS01G0152800	Si028791m.g	62	63	0
OS01G0152900	Si004627m.g	90	90	0
OS01G0152900	Si014583m.g	90	91	0
OS01G0152900	Si014584m.g	90	91	0
OS01G0152900	Si018574m.g	90	90	0
OS01G0153000	Si028791m.g	60	60	0
OS01G0153100	Si004627m.g	91	91	0
OS01G0153100	Si014583m.g	91	92	0
OS01G0153100	Si014584m.g	91	92	0
OS01G0153100	Si018574m.g	92	91	0
OS01G0153250	Si000279m.g	72	77	1
OS01G0153300	Si004627m.g	90	92	0
OS01G0153300	Si014583m.g	90	93	0
OS01G0153300	Si014584m.g	90	93	0
OS01G0153300	Si018574m.g	91	92	0
OS01G0153400	Si004348m.g	78	42	1
OS01G0153400	Si029171m.g	90	53	1
OS01G0153500	Si003749m.g	44	47	0
OS01G0153500	Si004599m.g	59	60	0
OS01G0153700	Si004831m.g	2	5	1
OS01G0153700	Si012310m.g	17	13	1
OS01G0153700	Si038793m.g	17	12	1
OS01G0153700	Si038880m.g	12	17	1
OS01G0153800	Si002225m.g	60	68	1
OS01G0153900	Si003749m.g	35	39	0
OS01G0153900	Si004599m.g	48	51	0
OS01G0153950	Si003749m.g	36	21	0
OS01G0153950	Si004599m.g	44	24	0
OS01G0154200	Si005007m.g	51	48	1
OS01G0154500	Si003759m.g	58	58	1
OS01G0154600	Si003759m.g	65	67	1
OS01G0154950	Si030538m.g	39	36	1
OS01G0155300	Si002119m.g	64	64	1
OS01G0155400	Si000632m.g	73	51	1
OS01G0155500	Si000277m.g	62	67	1
OS01G0155600	Si002387m.g	56	61	1
OS01G0156000	Si002704m.g	58	72	1
OS01G0156300	Si004456m.g	34	37	1
OS01G0156300	Si004497m.g	32	32	1
OS01G0156300	Si004695m.g	32	32	1
OS01G0156300	Si004829m.g	31	35	1
