Gene stable ID	Oryza nivara gene stable ID	%id. target Oryza nivara gene identical to query gene	%id. query gene identical to target Oryza nivara gene
BAC19853	ONIVA12G07410	99.6429	63.5535
BAC19875	ONIVA12G14160	26.2626	69.8925
BAC19891	ONIVA02G03490	25.0737	96.0452
BAC19896	ONIVA05G11690	65.493	99.4652
BAC19899	ONIVA02G03520	98.8212	85.399
BAC19901	ONIVA05G12910	88.4393	90.5325
CAA33909	ONIVA06G12110	90.4494	57.2954
CAA33911	ONIVA05G02270	93.6387	67.6471
CAA33920	ONIVA04G08380	71.7647	90.8189
CAA33924	ONIVA10G19820	52.7473	60.5042
CAA33928	ONIVA10G19820	52.7473	60.5042
CAA33931	ONIVA03G28460	74.2647	38.1132
CAA33932	ONIVA05G16530	90.2439	49.5536
CAA33933	ONIVA07G09960	78.6765	71.8121
CAA33934	ONIVA09G06640	44.3515	70.6667
CAA33935	ONIVA09G06630	66.443	68.2759
CAA33941	ONIVA04G08380	71.7647	90.8189
CAA33950	ONIVA03G28720	5.72207	34.7107
CAA33952	ONIVA03G28710	84.4237	87.7023
CAA33958	ONIVA03G15490	92.973	38.565
CAA33958	ONIVA06G12170	92.4324	61.2903
CAA33961	ONIVA01G21550	96.25	52.8302
CAA33972	ONIVA06G12070	52.7778	99.1304
CAA33979	ONIVA01G06820	89.0208	100
CAA33979	ONIVA09G02760	86.9436	84.9275
CAA33992	ONIVA03G31520	71.1111	71.9101
CAA34000	ONIVA03G23330	8.94309	28.5714
CAA34000	ONIVA09G04160	12.1951	32.2581
CAA34007	ONIVA10G19810	98.8669	98.8669
CAA34013	ONIVA05G16870	78.187	100
Os01g0100100	ONIVA01G00100	95.1567	97.2344
Os01g0100200	ONIVA02G14150	59.8592	68.5484
Os01g0100300	ONIVA01G00110	83.6431	75
Os01g0100400	ONIVA01G00120	100	84.233
Os01g0100500	ONIVA01G00130	33.9695	100
Os01g0100600	ONIVA01G00140	96.0563	96.3277
Os01g0100700	ONIVA01G00150	100	100
Os01g0100800	ONIVA01G00160	59.5506	67.3016
Os01g0100900	ONIVA01G00170	100	100
Os01g0101150	ONIVA09G12830	99.8765	70.409
Os01g0101300	ONIVA09G12820	94.5946	100
Os01g0101600	ONIVA09G12790	99.591	99.591
Os01g0101700	ONIVA09G12770	96.2766	95.2632
Os01g0101800	ONIVA09G12760	99.5562	99.5562
Os01g0101900	ONIVA09G12750	100	100
Os01g0102000	ONIVA09G12740	99.4318	99.4318
Os01g0102300	ONIVA09G12730	100	100
Os01g0102400	ONIVA09G12720	99.0499	98.1176
Os01g0102500	ONIVA07G16830	27.7108	52.5714
Os01g0102500	ONIVA09G12710	93.3735	55.4562
Os01g0102700	ONIVA09G12700	76.5854	82.6316
Os01g0102800	ONIVA09G12690	99.6728	77.0008
Os01g0103000	ONIVA09G12680	99.569	99.569
Os01g0103100	ONIVA09G12670	100	100
Os01g0103600	ONIVA01G00190	99.5434	58.7601
Os01g0103700	ONIVA01G00180	20.2381	14.9123
