Gene stable ID	Selaginella moellendorffii gene stable ID	% identity	Selaginella moellendorffii % identity	Orthology confidence [0 low, 1 high]
OS01G0100100	SELMODRAFT_416728	21	26	1
OS01G0100100	SELMODRAFT_442016	26	29	1
OS01G0100400	SELMODRAFT_178788	49	54	0
OS01G0100400	SELMODRAFT_229918	50	55	0
OS01G0100400	SELMODRAFT_230488	45	47	0
OS01G0100400	SELMODRAFT_403803	45	47	0
OS01G0100400	SELMODRAFT_410532	49	54	0
OS01G0100400	SELMODRAFT_418427	50	51	0
OS01G0100400	SELMODRAFT_445960	51	51	0
OS01G0100400	SELMODRAFT_86988	50	55	0
OS01G0100600	SELMODRAFT_422523	25	30	1
OS01G0100700	SELMODRAFT_113426	83	82	1
OS01G0100700	SELMODRAFT_164593	83	82	1
OS01G0100700	SELMODRAFT_228853	85	83	1
OS01G0100700	SELMODRAFT_271466	85	83	1
OS01G0100800	SELMODRAFT_229533	24	28	1
OS01G0100800	SELMODRAFT_271950	24	27	1
OS01G0100900	SELMODRAFT_410502	58	58	1
OS01G0100900	SELMODRAFT_411607	58	58	1
OS01G0101200	SELMODRAFT_187281	47	29	0
OS01G0101200	SELMODRAFT_266773	47	29	0
OS01G0101200	SELMODRAFT_405839	18	20	0
OS01G0101200	SELMODRAFT_405846	21	22	0
OS01G0101200	SELMODRAFT_405850	14	28	0
OS01G0101200	SELMODRAFT_413766	47	54	0
OS01G0101200	SELMODRAFT_416499	47	55	0
OS01G0101200	SELMODRAFT_431271	19	20	0
OS01G0101200	SELMODRAFT_431278	17	23	0
OS01G0101300	SELMODRAFT_229997	51	53	1
OS01G0101300	SELMODRAFT_444654	50	52	1
OS01G0101700	SELMODRAFT_441708	32	34	1
OS01G0101700	SELMODRAFT_58895	29	43	1
OS01G0102000	SELMODRAFT_267716	49	51	1
OS01G0102000	SELMODRAFT_90880	49	50	1
OS01G0102300	SELMODRAFT_405808	25	34	1
OS01G0102300	SELMODRAFT_430257	25	34	1
OS01G0102500	SELMODRAFT_66188	44	50	1
OS01G0102500	SELMODRAFT_71087	44	50	1
OS01G0102700	SELMODRAFT_109700	37	39	1
OS01G0102700	SELMODRAFT_138003	37	39	1
OS01G0102800	SELMODRAFT_236903	51	45	1
OS01G0102800	SELMODRAFT_450679	51	45	1
OS01G0102900	SELMODRAFT_444139	31	29	1
OS01G0103000	SELMODRAFT_130659	68	67	0
OS01G0103000	SELMODRAFT_90273	67	67	0
OS01G0103100	SELMODRAFT_102834	35	39	0
OS01G0103100	SELMODRAFT_131637	41	41	0
OS01G0103100	SELMODRAFT_21315	42	46	0
OS01G0103100	SELMODRAFT_235660	33	39	0
OS01G0103600	SELMODRAFT_449563	50	50	1
OS01G0103600	SELMODRAFT_449597	47	45	1
OS01G0103600	SELMODRAFT_449598	47	44	1
OS01G0103600	SELMODRAFT_449599	50	50	1
OS01G0103700	SELMODRAFT_412413	21	4	1
OS01G0103800	SELMODRAFT_446486	25	23	1
OS01G0103800	SELMODRAFT_447750	25	26	1
OS01G0103900	SELMODRAFT_409610	31	27	1
OS01G0103900	SELMODRAFT_415953	31	25	1
OS01G0104000	SELMODRAFT_82185	47	47	1
OS01G0104000	SELMODRAFT_85984	46	49	1
OS01G0104100	SELMODRAFT_154638	39	48	1
OS01G0104200	SELMODRAFT_133982	30	57	1
OS01G0104200	SELMODRAFT_47266	32	48	1
OS01G0104400	SELMODRAFT_270227	2	2	1
OS01G0104400	SELMODRAFT_270761	2	2	1
OS01G0104600	SELMODRAFT_104399	53	50	1
OS01G0104600	SELMODRAFT_167525	53	36	1
OS01G0104800	SELMODRAFT_402703	22	30	1
OS01G0104800	SELMODRAFT_405212	31	33	1
OS01G0104800	SELMODRAFT_408169	20	23	1
OS01G0104800	SELMODRAFT_442615	31	30	1
OS01G0105800	SELMODRAFT_159176	58	62	1
OS01G0105800	SELMODRAFT_228144	58	62	1
