A2XPN8	Ensembl:KN539696.1_FG003
A2Y626	Ensembl:KN538687.1_FG132
A2Y8A8	Ensembl:KN540452.1_FG008
A2ZRY8	Ensembl:KN538954.1_FG007
A2ZW27	Ensembl:KN538735.1_FG051
A2ZWY7	Ensembl:KN540042.1_FG002
A3AAR2	Ensembl:KN539295.1_FG003
A3AC56	Ensembl:KN540764.1_FG001
A3AQC6	Ensembl:KN540169.1_FG007
A3B9A0	Ensembl:KN538926.1_FG012
A3BZ14	Ensembl:KN538881.1_FG044
A3C4N5	Ensembl:KN538851.1_FG009
A3C6G9	Ensembl:KN538900.1_FG009
A4LBC0	Ensembl:KN538897.1_FG016
A9CM06	Ensembl:KN539385.1_FG005
B7E8M5	Ensembl:KN539455.1_FG001
B7EA04	Ensembl:KN539034.1_FG003
B7EM10	Ensembl:KN539198.1_FG011
B7ERE7	Ensembl:KN539205.1_FG013
B7F4K3	Ensembl:KN541002.1_FG001
B7F7B9	Ensembl:KN539245.1_FG005
B7F8P7	Ensembl:KN539477.1_FG015
B7FA24	Ensembl:KN539528.1_FG012
B7FA34	Ensembl:KN545105.1_FG001
B7FA90	Ensembl:KN538767.1_FG034
B7FA99	Ensembl:KN540311.1_FG002
B7FAE9	Ensembl:KN538791.1_FG007
B8ACC6	Ensembl:KN539055.1_FG005
B8AY22	Ensembl:KN540640.1_FG001
B8AZ97	Ensembl:KN544865.1_FG001 Ensembl:KN542245.1_FG001
B8BB38	Ensembl:KN538705.1_FG047
B8BF84	Ensembl:KN539752.1_FG003
B9EUK4	Ensembl:KN539047.1_FG011
B9EXM2	Ensembl:KN539818.1_FG002
B9EZJ8	Ensembl:KN539349.1_FG010
B9F3B6	Ensembl:KN539531.1_FG008
B9F8T8	Ensembl:KN539226.1_FG012
B9FDB8	Ensembl:KN538681.1_FG132
B9FLB9	Ensembl:KN539820.1_FG007
B9FM98	Ensembl:KN540255.1_FG009
B9FRT6	Ensembl:KN539634.1_FG002
B9FZ46	Ensembl:KN538682.1_FG274
B9G3A7	Ensembl:KN540614.1_FG001
B9G4Z8	Ensembl:KN541057.1_FG005
C7J5F5	Ensembl:KN538716.1_FG004
C7J5T9	Ensembl:KN538716.1_FG061
C7J732	Ensembl:KN540120.1_FG001
D5A7J1	Ensembl:KN538814.1_FG049
E3WF37	Ensembl:KN538868.1_FG013
H6TFZ4	Ensembl:KN540735.1_FG002
I1QQP8	Ensembl:KN538773.1_FG042
I3QK18	Ensembl:KN539195.1_FG002
O04226	Ensembl:KN539052.1_FG009
O04882	Ensembl:KN538697.1_FG017
O22105	Ensembl:KN539392.1_FG014
O22567	Ensembl:KN538753.1_FG054
O24174	Ensembl:KN539546.1_FG001
