Gene stable ID	Oryza glaberrima gene stable ID	%id. target Oryza glaberrima gene identical to query gene	%id. query gene identical to target Oryza glaberrima gene
BAC19857	ORGLA06G0290700	85.8108	96.2121
BAC19859	ORGLA06G0290800	50	59.447
BAC19860	ORGLA12G0070200	93.5484	93.5484
BAC19864	ORGLA09G0023800	36.0656	89.1892
BAC19865	ORGLA07G0114600	43.4944	87.3134
BAC19868	ORGLA04G0021000	61.8557	81.0811
BAC19872	ORGLA07G0114700	57.6	90
BAC19873	ORGLA04G0020900	82.5893	87.6777
BAC19875	ORGLA06G0290900	92.3232	97.0276
BAC19875	ORGLA12G0189500	99.596	99.596
BAC19876	ORGLA12G0189400	99.2308	99.6139
BAC19877	ORGLA12G0189300	99.3789	99.3789
BAC19878	ORGLA04G0236000	75.6579	96.6387
BAC19878	ORGLA12G0189200	76.3158	76.3158
BAC19879	ORGLA04G0236100	97.861	97.861
BAC19879	ORGLA12G0189100	100	100
BAC19885	ORGLA11G0182900	100	59.0551
BAC19896	ORGLA10G0024200	98.9437	93.9799
BAC19899	ORGLA12G0070100	24.9509	52.9167
CAA33908	ORGLA03G0394300	100	100
CAA33908	ORGLA06G0249900	100	100
CAA33908	ORGLA06G0259200	84.6591	96.129
CAA33908	ORGLA06G0271500	100	100
CAA33908	ORGLA07G0094800	100	100
CAA33908	ORGLA08G0208400	100	100
CAA33908	ORGLA10G0159800	100	100
CAA33908	ORGLA11G0196900	100	100
CAA33909	ORGLA03G0394200	98.3146	97.2222
CAA33909	ORGLA06G0250000	98.3146	97.2222
CAA33909	ORGLA06G0259300	98.3146	97.2222
CAA33909	ORGLA06G0271600	98.3146	97.2222
CAA33909	ORGLA07G0094700	88.2022	91.2791
CAA33909	ORGLA08G0208500	98.3146	97.2222
CAA33909	ORGLA10G0159900	98.3146	97.2222
CAA33909	ORGLA11G0197000	98.3146	97.2222
CAA33910	ORGLA02G0128900	50.5525	97.861
CAA33910	ORGLA03G0394100	100	100
CAA33910	ORGLA06G0250100	56.3536	96.6825
CAA33910	ORGLA06G0261800	50.5525	97.861
CAA33910	ORGLA06G0271700	100	100
CAA33910	ORGLA07G0094600	100	100
CAA33910	ORGLA08G0208600	99.7238	99.7238
CAA33910	ORGLA10G0160000	100	100
CAA33911	ORGLA03G0394000	86.0051	99.705
CAA33911	ORGLA06G0261900	86.0051	100
CAA33911	ORGLA06G0271800	100	100
CAA33911	ORGLA07G0094500	99.2366	99.2366
CAA33912	ORGLA03G0175400	66.6667	66.6667
CAA33912	ORGLA03G0394800	100	100
CAA33912	ORGLA06G0249000	100	100
CAA33912	ORGLA06G0263800	100	100
CAA33912	ORGLA06G0271900	100	100
CAA33912	ORGLA07G0013800	83.3333	93.75
CAA33912	ORGLA07G0094400	100	100
CAA33912	ORGLA08G0207900	100	100
CAA33912	ORGLA10G0159200	100	100
CAA33912	ORGLA11G0196300	100	100
CAA33913	ORGLA02G0010300	100	100
CAA33913	ORGLA06G0263700	100	100
CAA33913	ORGLA08G0207800	100	100
CAA33913	ORGLA10G0159100	100	100
CAA33913	ORGLA10G0164500	100	100
CAA33913	ORGLA11G0196200	100	100
CAA33915	ORGLA03G0395100	100	100
CAA33915	ORGLA06G0245100	100	100
CAA33915	ORGLA06G0260500	100	100
CAA33915	ORGLA06G0267800	100	100
CAA33915	ORGLA07G0242500	100	100
CAA33915	ORGLA08G0207500	100	100
CAA33915	ORGLA10G0158800	100	100
CAA33915	ORGLA11G0195900	100	100
CAA33916	ORGLA02G0010200	77.6471	91.6667
CAA33916	ORGLA02G0201200	78.8235	93.0556
CAA33916	ORGLA03G0395200	78.8235	93.0556
CAA33916	ORGLA06G0206900	78.8235	93.0556
CAA33916	ORGLA06G0262000	78.8235	93.0556
CAA33916	ORGLA06G0267900	78.8235	93.0556
CAA33916	ORGLA08G0207400	78.8235	93.0556
CAA33916	ORGLA10G0089700	78.8235	93.0556
CAA33916	ORGLA10G0158700	78.8235	93.0556
CAA33916	ORGLA11G0195800	78.8235	93.0556
CAA33918	ORGLA07G0103700	91.8605	83.1579
CAA33919	ORGLA03G0395400	100	100
CAA33919	ORGLA06G0206700	100	100
CAA33919	ORGLA06G0262200	100	100
CAA33919	ORGLA06G0268100	100	100
CAA33919	ORGLA08G0207200	100	100
CAA33919	ORGLA10G0158500	100	100
CAA33919	ORGLA10G0164300	100	100
CAA33919	ORGLA11G0169800	100	100
CAA33919	ORGLA11G0195600	100	100
CAA33920	ORGLA08G0207100	100	100
CAA33920	ORGLA10G0158400	100	100
CAA33921	ORGLA03G0395600	99.5984	99.5984
CAA33921	ORGLA06G0206500	99.5984	99.5984
CAA33921	ORGLA06G0262400	99.5984	99.5984
CAA33921	ORGLA06G0268300	99.5984	99.5984
CAA33921	ORGLA07G0130000	95.5823	95.5823
CAA33921	ORGLA08G0207000	99.5984	99.5984
CAA33921	ORGLA10G0158300	99.5984	99.5984
CAA33921	ORGLA10G0163700	99.5984	99.5984
CAA33921	ORGLA11G0195400	99.5984	99.5984
CAA33923	ORGLA03G0395700	100	100
CAA33923	ORGLA06G0206400	100	100
CAA33923	ORGLA06G0262500	100	100
CAA33923	ORGLA08G0206900	100	100
CAA33923	ORGLA10G0158200	98.9247	100
CAA33923	ORGLA10G0163800	100	100
CAA33923	ORGLA11G0195300	100	100
CAA33924	ORGLA02G0120200	48.3517	85.1613
CAA33924	ORGLA10G0126000	44.3223	89.6296
CAA33924	ORGLA12G0125100	53.1136	87.8788
CAA33925	ORGLA02G0339200	82.4818	100
CAA33925	ORGLA06G0262600	100	100
CAA33925	ORGLA09G0055100	97.8102	97.8102
CAA33925	ORGLA11G0195200	100	100
CAA33927	ORGLA02G0120100	75.2688	98.5916
