Gene stable ID	Brassica rapa gene stable ID	% identity	Brassica rapa % identity	Orthology confidence [0 low, 1 high]
OS01G0100100	Bra004766	43	42	1
OS01G0100100	Bra007460	47	45	1
OS01G0100100	Bra037712	38	39	1
OS01G0100400	Bra020700	64	63	1
OS01G0100500	Bra006360	34	25	1
OS01G0100700	Bra001428	84	81	0
OS01G0100700	Bra005209	85	82	0
OS01G0100700	Bra017199	84	81	0
OS01G0100700	Bra023113	85	44	0
OS01G0100700	Bra034799	84	81	0
OS01G0100700	Bra038689	84	81	0
OS01G0100800	Bra010956	30	31	1
OS01G0100800	Bra032812	26	23	1
OS01G0100800	Bra032813	28	31	1
OS01G0100900	Bra010909	68	67	1
OS01G0101150	Bra028462	47	47	1
OS01G0101200	Bra003029	53	32	1
OS01G0101200	Bra022676	54	33	1
OS01G0101300	Bra019204	61	59	1
OS01G0101600	Bra014989	41	46	0
OS01G0101700	Bra013993	39	37	0
OS01G0101700	Bra032742	39	37	0
OS01G0101800	Bra014976	19	20	1
OS01G0102000	Bra018045	54	60	1
OS01G0102000	Bra029910	55	56	1
OS01G0102300	Bra013847	37	39	1
OS01G0102500	Bra006180	61	57	1
OS01G0102500	Bra008856	61	57	1
OS01G0102600	Bra025234	27	25	1
OS01G0102700	Bra006233	42	44	0
OS01G0102700	Bra008785	42	45	0
OS01G0102700	Bra023445	44	47	0
OS01G0102700	Bra032955	41	45	0
OS01G0102800	Bra024192	65	51	1
OS01G0102900	Bra032945	24	27	1
OS01G0103000	Bra001371	70	69	0
OS01G0103000	Bra005823	71	69	0
OS01G0103000	Bra009422	72	69	0
OS01G0103000	Bra022056	22	60	0
OS01G0103100	Bra023408	65	63	0
OS01G0103600	Bra012204	58	57	1
OS01G0103600	Bra025788	52	58	1
OS01G0103700	Bra013443	22	3	1
OS01G0103800	Bra003711	40	52	1
OS01G0103800	Bra008270	35	47	1
OS01G0103800	Bra014014	35	45	1
OS01G0103800	Bra015726	37	46	1
OS01G0103900	Bra009267	46	34	0
OS01G0104000	Bra014322	58	58	1
OS01G0104100	Bra003180	51	53	1
OS01G0104100	Bra007068	51	52	1
OS01G0104400	Bra000115	41	33	0
OS01G0104500	Bra002148	39	37	1
OS01G0104500	Bra006449	39	37	1
OS01G0104500	Bra023669	41	39	1
OS01G0104500	Bra031950	40	37	1
OS01G0104500	Bra040153	38	35	1
OS01G0104600	Bra000702	66	63	1
OS01G0104800	Bra000317	33	33	1
OS01G0104800	Bra037693	9	40	1
OS01G0104800	Bra037695	15	40	1
OS01G0104900	Bra010928	45	48	1
OS01G0104900	Bra032837	44	47	1
OS01G0105700	Bra010925	29	25	1
OS01G0105800	Bra013057	65	60	0
OS01G0105800	Bra037293	64	65	0
OS01G0105900	Bra025751	65	70	1
OS01G0106200	Bra010695	69	71	1
OS01G0106200	Bra030290	66	65	1
OS01G0106200	Bra031203	68	70	1
OS01G0106700	Bra019530	44	37	1
OS01G0106800	Bra002312	78	83	0
OS01G0106800	Bra006565	79	84	0
OS01G0106800	Bra020111	76	81	0
OS01G0106900	Bra010123	84	82	1
OS01G0106900	Bra035881	83	83	1
OS01G0107700	Bra038505	47	47	1
OS01G0107900	Bra010933	45	44	1
OS01G0108000	Bra009340	40	44	1
OS01G0108000	Bra009689	39	43	1
OS01G0108000	Bra026495	38	42	1
OS01G0108200	Bra008240	69	69	0
OS01G0108200	Bra015783	71	64	0
OS01G0108200	Bra025816	67	67	0
OS01G0108400	Bra019918	11	36	1
OS01G0108400	Bra031721	14	34	1
OS01G0108600	Bra019918	11	34	1
OS01G0108600	Bra031721	15	36	1
OS01G0108800	Bra016331	40	17	1
OS01G0108800	Bra024618	40	18	1
OS01G0109300	Bra025594	61	63	0
OS01G0109700	Bra012419	1	21	1
OS01G0109700	Bra024645	2	26	1
OS01G0110100	Bra004017	54	57	1
OS01G0110100	Bra004334	59	61	1
OS01G0110100	Bra038357	60	60	1
OS01G0110400	Bra017469	71	68	0
OS01G0110400	Bra020710	71	74	0
OS01G0110400	Bra022152	19	61	0
OS01G0110400	Bra036182	72	69	0
OS01G0110400	Bra037501	72	70	0
OS01G0110500	Bra004022	34	62	1
OS01G0110500	Bra004331	46	37	1
OS01G0110500	Bra024725	45	38	1
OS01G0110500	Bra028192	44	46	1
OS01G0110700	Bra004016	69	69	1
OS01G0110700	Bra024730	70	66	1
OS01G0110800	Bra004336	44	45	1
OS01G0110800	Bra019819	42	13	1
OS01G0110800	Bra025154	41	39	1
OS01G0111100	Bra008130	51	47	0
OS01G0111200	Bra011009	44	46	0
OS01G0111200	Bra021964	25	28	0
OS01G0111200	Bra027601	26	29	0
OS01G0111500	Bra004169	27	30	1
OS01G0111500	Bra019708	35	34	1
OS01G0111600	Bra025930	56	57	1
OS01G0111600	Bra031016	59	59	1
OS01G0112100	Bra025691	32	31	1
OS01G0112400	Bra000710	26	25	0
OS01G0112400	Bra008442	25	23	0
OS01G0112400	Bra033181	26	25	0
OS01G0112400	Bra035156	25	23	0
OS01G0112500	Bra021358	50	45	1
OS01G0112500	Bra031992	49	44	1
OS01G0116600	Bra006069	50	54	1
OS01G0116600	Bra028577	51	47	1
OS01G0117400	Bra024056	21	35	0
OS01G0117900	Bra001699	58	62	1
OS01G0117900	Bra018748	58	60	1
OS01G0117900	Bra021301	59	61	1
OS01G0118000	Bra014340	82	82	0
OS01G0118100	Bra018747	73	51	1
OS01G0118100	Bra024903	70	50	1
OS01G0118300	Bra026780	14	15	1
OS01G0118400	Bra017388	25	32	0
OS01G0118400	Bra024778	24	31	0
OS01G0118600	Bra017388	24	29	0
OS01G0118600	Bra024778	24	29	0
OS01G0118700	Bra021298	31	30	1
OS01G0118700	Bra022290	25	40	1
OS01G0118700	Bra022291	32	30	1
OS01G0119000	Bra021298	32	29	1
OS01G0119000	Bra022290	28	40	1
OS01G0119000	Bra022291	34	30	1
OS01G0119100	Bra021298	30	33	1
OS01G0119100	Bra022290	26	46	1
OS01G0119100	Bra022291	32	34	1
