Gene stable ID	Galdieria sulphuraria gene stable ID	%id. target Galdieria sulphuraria gene identical to query gene	%id. query gene identical to target Galdieria sulphuraria gene
BAC19857	Gasu_42020	25.6757	26.0274
BAC19872	Gasu_55470	52.8	52.381
BAC19900	Gasu_57480	52.6316	37.4532
CAA33909	Gasu_42050	24.7191	18.4874
CAA33918	Gasu_40310	83.7209	38.0952
CAA33919	Gasu_40300	44.8718	53.0303
CAA33924	Gasu_40380	38.4615	39.6226
CAA33928	Gasu_40380	38.4615	39.6226
CAA33930	Gasu_25250	36.4486	26.3514
CAA33932	Gasu_40360	60.9756	61.4754
CAA33934	Gasu_40370	34.3096	23.7681
CAA33942	Gasu_40300	44.8718	53.0303
CAA33952	Gasu_40070	40.4984	42.7632
CAA33958	Gasu_40680	33.5135	30.5419
CAA33960	Gasu_40660	30.4348	25.1799
CAA33961	Gasu_40530	38.75	30.0971
CAA33971	Gasu_35360	20.1681	24.2424
CAA33972	Gasu_32500	43.0556	35.4962
CAA33973	Gasu_40270	79.7244	79.5678
CAA33977	Gasu_40190	48.3721	37.9562
CAA33980	Gasu_40330	32.1678	8.51852
CAA33987	Gasu_40590	38.7097	8.42912
CAA33989	Gasu_40600	39.8305	42.7273
CAA33990	Gasu_40610	69.6356	41.1483
CAA33991	Gasu_40620	87.6543	85.5422
CAA33993	Gasu_40630	69.8225	35.9026
CAA33996	Gasu_40460	37.7333	38.5559
CAA33997	Gasu_40570	62.1302	62.8743
CAA33998	Gasu_39410	26.3682	29.4444
CAA34000	Gasu_21960	29.6748	35.4369
CAA34003	Gasu_40560	78.7149	65.4424
CAA34004	Gasu_40760	46.3312	44.8276
CAA34007	Gasu_40100	88.9518	87.2222
CAA34014	Gasu_40150	79.2812	48.5751
Os01g0100100	Gasu_43400	13.1054	14.3302
Os01g0100700	Gasu_44440	76	79.5812
Os01g0102600	Gasu_30830	11.8959	18.4971
Os01g0102600	Gasu_49560	13.3829	19.5652
Os01g0102800	Gasu_28100	41.6576	41.342
Os01g0103000	Gasu_32490	36.2069	38.5321
Os01g0103600	Gasu_59150	13.242	19.5946
Os01g0104100	Gasu_34240	19.6172	23.4286
Os01g0104600	Gasu_45670	27.593	21.1394
Os01g0105800	Gasu_63080	41.3043	43.8462
Os01g0106200	Gasu_10970	39.2857	31.4286
Os01g0106700	Gasu_12580	18.0294	15.6328
Os01g0106800	Gasu_48170	73.0159	82.1429
Os01g0106900	Gasu_57430	50.3171	49.7908
Os01g0109300	Gasu_02700	33.6694	34.5041
Os01g0109700	Gasu_37180	22.3982	22.8111
Os01g0110400	Gasu_26380	49.5192	48.8152
Os01g0110700	Gasu_26370	36.715	40.3826
Os01g0111200	Gasu_35960	22.2581	28.2209
Os01g0116600	Gasu_23880	26.4122	31.5693
Os01g0118000	Gasu_51810	56.1856	52.0286
Os01g0118000	Gasu_63700	56.701	52.506
Os01g0118300	Gasu_10430	29.4118	17.0999
Os01g0120300	Gasu_58970	50.8816	40.9736
Os01g0120600	Gasu_48210	28.7234	26.4706
Os01g0120800	Gasu_19990	26.9777	29.955
Os01g0121100	Gasu_10000	17.5439	28.9855
Os01g0121700	Gasu_10370	29.0419	28.9121
Os01g0121700	Gasu_16000	28.1437	29.1473
Os01g0121700	Gasu_36200	25.7485	25.71
Os01g0121700	Gasu_41970	28.5928	28.9833
Os01g0121700	Gasu_65030	23.503	21.6253
Os01g0121800	Gasu_08820	16.9154	18.6301
Os01g0121800	Gasu_25810	18.6567	15.8562
Os01g0121800	Gasu_29830	20.6468	15.9923
Os01g0121800	Gasu_48630	19.403	16.7024
Os01g0121800	Gasu_53640	21.1443	15.5963
Os01g0125900	Gasu_48230	14.7695	22.0196
Os01g0127300	Gasu_24480	20.9544	18.7037
Os01g0127400	Gasu_21940	38.9151	41.25
Os01g0127900	Gasu_38450	35.2804	34.9537
Os01g0132800	Gasu_43080	21.2355	26.0664
Os01g0134500	Gasu_09900	28.4672	26.8041
Os01g0138800	Gasu_49410	37.123	35.5556
Os01g0139600	Gasu_58240	22.3642	28.9256
Os01g0140500	Gasu_54520	26.3566	29.0598
Os01g0141700	Gasu_51510	32.247	32.9247
Os01g0142100	Gasu_34910	25.2747	21.9396
Os01g0142200	Gasu_65540	26.1628	26.1628
Os01g0142300	Gasu_23580	36.9266	28.6988
Os01g0142300	Gasu_35100	38.3028	38.4793
Os01g0142300	Gasu_62250	19.4954	27.5081
Os01g0144100	Gasu_43910	37.3737	34.1014
Os01g0144200	Gasu_22890	44.9541	47.5728
Os01g0144500	Gasu_43460	27.459	20
Os01g0147200	Gasu_59330	15.7598	20.4878
Os01g0147800	Gasu_42980	17.234	16.2325
Os01g0147900	Gasu_29840	52.1739	44.2953
Os01g0148000	Gasu_10510	18.8514	8.41226
Os01g0148050	Gasu_10510	12.8527	6.85237
Os01g0148400	Gasu_66130	3.67412	17.4242
Os01g0149600	Gasu_36540	56.8627	72.5
Os01g0149600	Gasu_59660	55.5556	70.8333
Os01g0149600	Gasu_63250	55.5556	71.4286
Os01g0151200	Gasu_30770	32.6797	33.0396
Os01g0151400	Gasu_04290	35.2381	9.36709
Os01g0151400	Gasu_45110	1.42857	0.649351
Os01g0151500	Gasu_04290	33.4545	23.2911
Os01g0151500	Gasu_45110	18.1818	21.645
Os01g0151700	Gasu_17830	38.3178	36.0704
Os01g0151700	Gasu_64050	17.4455	32.7485
Os01g0152300	Gasu_36540	56.2092	71.6667
Os01g0152300	Gasu_59660	54.902	70
Os01g0152300	Gasu_63250	55.5556	71.4286
Os01g0152700	Gasu_09440	85.3659	53.0303
Os01g0152900	Gasu_36540	56.8627	72.5
Os01g0152900	Gasu_59660	55.5556	70.8333
Os01g0152900	Gasu_63250	55.5556	71.4286
Os01g0153100	Gasu_36540	56.8627	72.5
Os01g0153100	Gasu_59660	57.5163	73.3333
Os01g0153100	Gasu_63250	57.5163	73.9496
Os01g0153200	Gasu_18680	28.0702	24.6154
Os01g0153300	Gasu_36540	55.4839	71.6667
Os01g0153300	Gasu_59660	55.4839	71.6667
Os01g0153300	Gasu_63250	55.4839	72.2689
Os01g0153400	Gasu_52130	39.8438	21.733
Os01g0155600	Gasu_33180	36.7284	46.124
Os01g0157800	Gasu_07840	45.5357	43.9655
Os01g0157800	Gasu_50740	46.4286	46.8468
Os01g0158000	Gasu_07780	15.5303	4.35475
Os01g0158500	Gasu_09430	40.6355	35.6828
Os01g0158500	Gasu_63260	12.5418	34.5622
Os01g0159400	Gasu_45590	32.7945	33.1776
Os01g0162101	Gasu_44330	26.3158	2.11864
Os01g0164600	Gasu_12560	26.5861	28.6645
Os01g0164600	Gasu_42380	25.0755	29.5374
Os01g0164800	Gasu_21050	13.834	3.72737
Os01g0164900	Gasu_21050	4.3659	2.23642
Os01g0167500	Gasu_43700	30.0562	31.1953
Os01g0168200	Gasu_13580	29.0076	35.1852
Os01g0168200	Gasu_45060	35.1145	11.0843
Os01g0172000	Gasu_08400	33.3333	13.0814
