Gene stable ID	Oryza sativa Indica gene stable ID	%id. target Oryza sativa Indica gene identical to query gene	%id. query gene identical to target Oryza sativa Indica gene
BAC19863	BGIOSGA038434	30.8333	20.7283
BAC19868	BGIOSGA036083	100	33.2762
BAC19874	BGIOSGA036082	78.4679	82.3913
BAC19874	BGIOSGA039660	84.058	96.2085
BAC19888	BGIOSGA027255	39	57.3529
BAC19892	BGIOSGA039223	80.2326	76.6667
CAA33910	BGIOSGA027254	32.0442	17.2363
CAA33911	BGIOSGA039281	40.9669	94.152
CAA33920	BGIOSGA038772	10	11.3839
CAA33923	BGIOSGA001205	100	100
CAA33924	BGIOSGA010580	52.7473	93.5065
CAA33924	BGIOSGA040154	52.7473	93.5065
CAA33926	BGIOSGA039200	85.3659	100
CAA33927	BGIOSGA031470	73.1183	95.7747
CAA33928	BGIOSGA010580	52.7473	93.5065
CAA33928	BGIOSGA040154	52.7473	93.5065
CAA33930	BGIOSGA034989	100	100
CAA33930	BGIOSGA039614	100	100
CAA33930	BGIOSGA039959	100	100
CAA33936	BGIOSGA039200	85.3659	100
CAA33941	BGIOSGA038772	10	11.3839
CAA33949	BGIOSGA040119	50	4.56026
CAA33952	BGIOSGA039173	24.2991	21.3699
CAA33953	BGIOSGA038386	23.4	12.7036
CAA33958	BGIOSGA039356	75.1351	90.8497
CAA33976	BGIOSGA039463	100	100
CAA33976	BGIOSGA039485	100	100
CAA33977	BGIOSGA039259	32.093	15.8621
CAA33980	BGIOSGA039855	9.09091	3.11751
CAA33987	BGIOSGA040648	82.8446	97.582
CAA33988	BGIOSGA040208	22.6702	99.7093
CAA33991	BGIOSGA040432	100	100
CAA33992	BGIOSGA031512	46.6667	96.5517
CAA33993	BGIOSGA015487	52.4655	13.4276
CAA33994	BGIOSGA040400	98.0583	98.0583
CAA34000	BGIOSGA039609	26.4228	11.5044
CAA34000	BGIOSGA040199	28.4553	38.0435
Os01g0100100	BGIOSGA002569	95.1567	97.6608
Os01g0100200	BGIOSGA002570	100	100
Os01g0100300	BGIOSGA002567	52.7881	64.5455
Os01g0100400	BGIOSGA002571	100	100
Os01g0100500	BGIOSGA002572	100	100
Os01g0100600	BGIOSGA002573	91.5493	95.5882
Os01g0100700	BGIOSGA002574	100	100
Os01g0100800	BGIOSGA002575	99.7191	99.7191
Os01g0100900	BGIOSGA002576	100	100
Os01g0101150	BGIOSGA002578	100	100
Os01g0101200	BGIOSGA002579	100	100
Os01g0101300	BGIOSGA002566	61.4251	86.8056
Os01g0101600	BGIOSGA002581	94.0695	100
Os01g0101700	BGIOSGA002582	96.2766	95.2632
Os01g0101800	BGIOSGA002583	100	100
Os01g0101900	BGIOSGA002565	100	100
Os01g0102000	BGIOSGA002564	100	100
Os01g0102300	BGIOSGA002584	100	100
Os01g0102400	BGIOSGA002585	100	100
Os01g0102500	BGIOSGA002586	100	100
Os01g0102600	BGIOSGA002587	100	100
Os01g0102700	BGIOSGA018981	56.5854	60.4167
Os01g0102800	BGIOSGA002588	100	67.6753
Os01g0102900	BGIOSGA002563	100	100
Os01g0103000	BGIOSGA002562	100	100
Os01g0103100	BGIOSGA002589	100	100
Os01g0103600	BGIOSGA002561	100	100
Os01g0103700	BGIOSGA002590	59.5238	13.947
Os01g0103800	BGIOSGA002591	99.8035	99.8035
Os01g0103900	BGIOSGA002592	80.3347	66.0929
Os01g0104000	BGIOSGA002560	69.3694	100
Os01g0104100	BGIOSGA002594	90.1914	92.176
Os01g0104200	BGIOSGA002593	100	100
Os01g0104200	BGIOSGA002595	97.0501	99.3958
Os01g0104400	BGIOSGA002596	95.8955	94.8339
