Gene stable ID	Manihot esculenta gene stable ID	%id. target Manihot esculenta gene identical to query gene	%id. query gene identical to target Manihot esculenta gene
BAC19863	MANES_09G076400	17.5	61.7647
BAC19872	MANES_04G056800	38.4	75
BAC19872	MANES_09G090700	44.8	53.3333
BAC19872	MANES_13G111000	43.2	81.8182
BAC19872	MANES_17G036700	36.8	76.6667
BAC19872	MANES_S006700	40	58.1395
BAC19885	MANES_S091000	89.3333	90.5405
BAC19887	MANES_07G029100	56.9892	26.3682
BAC19889	MANES_12G155300	76.7635	9.95159
CAA33909	MANES_17G012500	59.5506	76.259
CAA33910	MANES_01G010700	20.9945	67.8571
CAA33910	MANES_15G191700	9.11602	78.5714
CAA33918	MANES_06G021800	53.4884	79.3103
CAA33918	MANES_S095300	80.2326	49.6403
CAA33919	MANES_17G021700	67.3077	77.7778
CAA33923	MANES_07G045500	72.043	80.7229
CAA33923	MANES_11G088900	31.1828	78.3784
CAA33924	MANES_06G038900	2.1978	6.52174
CAA33927	MANES_13G056400	26.8817	44.6429
CAA33928	MANES_06G038900	2.1978	6.52174
CAA33930	MANES_07G025200	45.7944	34.7518
CAA33930	MANES_10G116800	45.7944	34.0278
CAA33931	MANES_06G023900	31.6176	53.75
CAA33932	MANES_03G087000	32.5203	65.5738
CAA33934	MANES_01G022200	14.6444	60.3448
CAA33934	MANES_13G116200	15.0628	55.3846
CAA33938	MANES_07G045500	72.043	80.7229
CAA33938	MANES_11G088900	31.1828	78.3784
CAA33942	MANES_17G021700	67.3077	77.7778
CAA33952	MANES_07G086000	16.5109	50.4762
CAA33955	MANES_16G062500	32.6733	60
CAA33955	MANES_S043900	39.604	53.3333
CAA33958	MANES_11G005200	43.2432	81.6327
CAA33962	MANES_12G091700	62.5	65.7895
CAA33976	MANES_07G109700	65.7534	65.7534
CAA33977	MANES_06G032000	37.2093	54.0541
CAA33979	MANES_09G008500	16.9139	49.5652
CAA33986	MANES_04G041100	45.3023	80.897
CAA33986	MANES_S045800	3.62791	69.6429
CAA33987	MANES_12G030400	17.1554	52.2321
CAA33988	MANES_01G046800	8.52611	74.1379
CAA33999	MANES_13G070000	14.4654	65.7143
CAA34000	MANES_03G046900	28.8618	33.1776
CAA34000	MANES_11G028300	29.6748	34.434
CAA34000	MANES_16G078900	29.2683	33.6449
CAA34007	MANES_S113100	45.3258	99.3789
CAA34008	MANES_S113500	33.7638	55.287
CAA34011	MANES_12G100800	86.1111	86.1111
CAA34013	MANES_14G009800	13.0312	85.1852
Os01g0100100	MANES_04G048100	29.4872	43.3054
Os01g0100100	MANES_11G126700	53.7037	53.2486
Os01g0100400	MANES_01G076400	63.4064	63.0872
Os01g0100400	MANES_02G035800	62.0573	63.7782
Os01g0100400	MANES_06G135600	56.661	56.661
Os01g0100400	MANES_12G059200	68.1282	68.2432
Os01g0100400	MANES_14G035200	57.1669	57.3604
Os01g0100500	MANES_09G184200	46.9466	38.4375
Os01g0100600	MANES_09G184300	33.5211	36.9565
Os01g0100700	MANES_08G039000	87	81.6901
Os01g0100700	MANES_09G041000	87	83.2536
Os01g0100800	MANES_12G008800	26.9663	27.6657
Os01g0100800	MANES_13G009200	27.809	28.125
Os01g0100900	MANES_12G008600	71.243	70.7182
Os01g0101150	MANES_04G092700	29.3827	43.1942
Os01g0101300	MANES_14G051500	66.3391	63.3803
Os01g0101600	MANES_03G144900	42.8425	48.2719
Os01g0101700	MANES_03G144800	40.4255	38.5787
Os01g0101700	MANES_12G049000	37.766	33.9713
Os01g0101700	MANES_12G049100	35.6383	33.1683
Os01g0101700	MANES_13G050600	37.234	33.6538
Os01g0101700	MANES_13G050700	36.1702	32.6923
Os01g0101700	MANES_13G050800	29.7872	32.5581
Os01g0101700	MANES_15G056300	39.8936	37.6884
Os01g0101800	MANES_01G054400	19.2308	15.1869
Os01g0102000	MANES_06G120500	56.0606	57.5875
Os01g0102000	MANES_14G050300	56.0606	57.2534
Os01g0102300	MANES_14G050500	35.7977	40.1747
Os01g0102400	MANES_01G113300	10.4513	21.8905
Os01g0102500	MANES_12G008200	63.5542	60.114
Os01g0102500	MANES_13G008600	62.0482	59.1954
