Gene stable ID	Oryza barthii gene stable ID	% identity	Oryza barthii % identity	Orthology confidence [0 low, 1 high]
OS01G0100100	OBART01G00010	78	88	0
OS01G0100200	OBART01G00030	42	58	0
OS01G0100300	OBART01G00020	53	60	0
OS01G0100400	OBART01G00040	100	93	1
OS01G0100500	OBART01G00050	100	100	1
OS01G0100600	OBART01G00060	97	81	0
OS01G0100700	OBART01G00070	100	100	1
OS01G0100800	OBART01G00080	61	66	0
OS01G0100900	OBART01G00090	98	98	1
OS01G0101150	OBART01G00110	100	71	1
OS01G0101300	OBART01G00120	76	79	1
OS01G0101600	OBART01G00140	95	99	1
OS01G0101700	OBART01G00150	94	93	1
OS01G0101800	OBART01G00160	100	99	1
OS01G0101900	OBART01G00170	100	100	1
OS01G0102000	OBART01G00180	88	100	1
OS01G0102300	OBART01G00190	100	100	1
OS01G0102400	OBART01G00200	97	96	1
OS01G0102500	OBART01G00210	100	96	1
OS01G0102600	OBART01G00220	100	91	1
OS01G0102700	OBART05G00190	56	61	0
OS01G0102800	OBART01G00230	91	71	0
OS01G0102900	OBART01G00240	100	100	1
OS01G0103000	OBART01G00250	100	100	1
OS01G0103100	OBART01G00260	100	69	1
OS01G0103600	OBART01G00270	100	59	0
OS01G0103700	OBART01G00280	87	13	0
OS01G0103800	OBART01G00290	100	100	1
OS01G0103900	OBART01G00300	100	72	0
OS01G0104000	OBART01G00310	99	99	1
OS01G0104100	OBART01G00320	86	99	1
OS01G0104200	OBART01G00330	59	81	0
OS01G0104400	OBART01G00350	100	91	1
OS01G0104500	OBART01G00360	84	83	0
OS01G0104600	OBART01G00370	99	90	1
OS01G0104800	OBART01G00380	97	98	0
OS01G0104900	OBART01G00390	96	96	0
OS01G0105700	OBART01G00400	86	86	1
OS01G0105800	OBART01G00410	97	99	1
OS01G0105900	OBART01G00420	98	98	0
OS01G0106200	OBART01G00430	97	98	0
OS01G0106300	OBART01G00440	100	100	1
OS01G0106400	OBART01G00450	100	100	1
OS01G0106500	OBART01G00460	96	93	0
OS01G0106600	OBART01G00470	98	99	1
OS01G0106700	OBART01G00480	90	82	0
OS01G0106800	OBART01G00490	100	100	1
OS01G0106900	OBART01G00500	100	100	1
OS01G0107000	OBART01G00510	99	99	1
OS01G0107700	OBART01G00560	94	93	0
OS01G0107900	OBART01G00570	93	100	1
OS01G0108000	OBART01G00580	98	99	1
OS01G0108200	OBART01G00590	94	98	0
OS01G0108400	OBART01G00600	85	85	0
OS01G0108600	OBART01G00620	92	90	1
OS01G0108800	OBART01G00630	63	51	0
OS01G0109300	OBART01G00650	99	87	1
OS01G0109500	OBART01G00670	97	47	0
OS01G0109700	OBART01G00690	99	86	1
OS01G0109750	OBART01G00700	99	99	1
OS01G0110100	OBART01G00740	98	99	1
OS01G0110400	OBART01G00760	99	99	1
OS01G0110500	OBART01G00770	67	87	1
OS01G0110700	OBART01G00790	95	96	0
OS01G0110800	OBART01G00800	91	91	1
OS01G0111000	OBART01G00810	84	69	0
OS01G0111100	OBART01G00820	56	95	0
OS01G0111200	OBART01G00830	86	94	0
OS01G0111500	OBART01G00850	97	100	1
OS01G0111600	OBART01G00860	99	99	0
OS01G0111700	OBART01G00870	98	97	0
OS01G0111800	OBART01G00890	88	88	0
OS01G0112100	OBART01G00910	46	81	0
OS01G0112400	OBART01G00930	88	88	1
OS01G0112500	OBART01G00940	96	92	0
OS01G0112800	OBART01G00960	97	63	1
OS01G0113150	OBART01G00960	99	44	1
OS01G0113200	OBART01G00990	93	62	0
OS01G0113300	OBART01G00980	92	49	0
OS01G0113350	OBART01G06670	41	32	0
OS01G0113400	OBART01G01000	84	96	0
OS01G0113650	OBART01G06670	40	32	0
OS01G0113900	OBART01G01050	38	4	0
OS01G0114100	OBART01G01030	91	42	0
OS01G0114800	OBART10G15150	34	41	0
OS01G0114900	OBART01G01080	92	19	0
