Gene stable ID	Zea mays gene stable ID	%id. target Zea mays gene identical to query gene	%id. query gene identical to target Zea mays gene
BAC19852	Zm00001d046083	30.7692	62.1118
BAC19853	GRMZM5G884538	99.6429	99.6429
BAC19854	GRMZM5G884912	89.3401	80.3653
BAC19857	GRMZM5G890451	99.3243	99.3243
BAC19860	GRMZM5G816772	94.1936	95.4248
BAC19862	GRMZM5G897755	89.2683	83.1818
BAC19863	GRMZM5G898647	99.5833	99.5833
BAC19865	GRMZM5G821527	99.2565	98.524
BAC19867	GRMZM5G889036	46.875	66.5025
BAC19871	GRMZM5G876913	72.9032	95.7627
BAC19872	GRMZM5G877040	58.4	45.9119
BAC19874	GRMZM5G851130	34.9896	31.8267
BAC19875	GRMZM5G804358	98.7879	98.7879
BAC19876	GRMZM5G862955	99.6154	56.674
BAC19882	GRMZM5G887290	97.4138	97.4138
BAC19883	GRMZM5G849223	94.8864	93.2961
BAC19883	Zm00001d004058	90.3409	73.6111
BAC19887	Zm00001d007583	70.9677	47.1429
BAC19887	Zm00001d013779	73.1183	47.2222
BAC19887	Zm00001d033105	75.2688	48.6111
BAC19888	GRMZM5G851708	90	100
BAC19890	GRMZM5G884707	96.7254	98.9691
BAC19891	GRMZM5G851769	94.3953	98.0092
BAC19898	Zm00001d018755	73.4043	53.2819
BAC19899	Zm00001d040880	97.446	97.6378
BAC19900	GRMZM5G839924	99.4737	99.4737
BAC19901	GRMZM5G816274	73.9884	81.0127
BAC19901	GRMZM5G898772	73.9884	81.0127
BAC19901	Zm00001d044884	63.5838	71.4286
BAC19901	Zm00001d044889	63.5838	71.4286
BAC19903	GRMZM5G889905	98.0583	98.0583
CAA33908	GRMZM5G864407	95.4545	95.4545
CAA33908	Zm00001d019605	89.2045	45.9064
CAA33909	GRMZM5G866223	97.191	96.1111
CAA33910	GRMZM5G874448	95.8564	95.8564
CAA33911	GRMZM5G853723	96.1832	96.1832
CAA33912	GRMZM5G844074	83.3333	96.1538
CAA33920	GRMZM5G800101	99.2157	99.2157
CAA33920	GRMZM5G810298	99.2157	99.2157
CAA33920	GRMZM5G876106	99.2157	99.2157
CAA33921	GRMZM5G826672	51.004	96.9466
CAA33921	GRMZM5G872747	69.0763	99.422
CAA33921	GRMZM5G885905	69.0763	99.422
CAA33924	GRMZM5G818111	52.7473	87.2727
CAA33924	GRMZM5G827951	52.7473	58.2996
CAA33925	GRMZM5G861353	98.5401	98.5401
CAA33925	GRMZM5G899836	98.5401	98.5401
CAA33926	GRMZM5G866064	85.3659	94.5946
CAA33927	GRMZM5G855343	74.1936	97.1831
CAA33928	GRMZM5G818111	52.7473	87.2727
CAA33928	GRMZM5G827951	52.7473	58.2996
CAA33930	GRMZM5G830210	95.3271	95.3271
CAA33931	GRMZM5G845244	99.2647	99.2647
CAA33933	GRMZM5G853305	83.8235	95
CAA33934	GRMZM5G838396	90.3766	96.4286
CAA33936	GRMZM5G866064	85.3659	94.5946
CAA33937	GRMZM5G861353	98.5401	98.5401
CAA33937	GRMZM5G899836	98.5401	98.5401
CAA33940	GRMZM5G826672	51.004	96.9466
CAA33940	GRMZM5G872747	69.0763	99.422
CAA33940	GRMZM5G885905	69.0763	99.422
CAA33941	GRMZM5G800101	99.2157	99.2157
CAA33941	GRMZM5G810298	99.2157	99.2157
CAA33941	GRMZM5G876106	99.2157	99.2157
CAA33948	GRMZM5G844074	83.3333	96.1538
CAA33950	GRMZM5G894515	90.7357	90.2439
CAA33953	GRMZM5G800096	83	80.5825
CAA33954	GRMZM5G815553	98.7654	98.7654
CAA33955	GRMZM5G835775	99.0099	99.0099
CAA33960	GRMZM5G831540	93.0435	93.0435
CAA33961	Zm00001d006401	44.6875	75.2632
CAA33961	Zm00001d049985	43.75	90.9091
CAA33969	GRMZM5G801074	89.3939	89.3939
CAA33970	GRMZM5G815606	90.1841	86.4706
CAA33972	GRMZM5G804708	96.7593	96.7593
CAA33976	GRMZM5G831399	89.0411	89.0411
CAA33977	GRMZM5G800780	98.1395	90.9483
CAA33978	GRMZM5G884960	97.5	89.6552
CAA33979	GRMZM5G879235	89.911	89.3805
CAA33980	GRMZM5G858556	98.6014	98.6014
CAA33982	GRMZM5G813608	42.6966	55.0725
CAA33986	GRMZM5G877454	97.7674	97.7674
CAA33986	Zm00001d000270	97.7674	44.7806
CAA33987	GRMZM5G899366	96.3343	96.1933
CAA33987	Zm00001d036307	54.2522	32.8014
CAA33988	GRMZM5G892247	83.6087	82.8422
CAA33989	GRMZM5G809869	96.6102	96.6102
CAA33990	GRMZM5G875287	99.1903	99.1903
CAA33996	Zm00001d000272	72.8	98.0251
CAA34000	GRMZM5G800980	94.3089	90.9804
CAA34002	Zm00001d050678	42.3358	80.5556
CAA34003	GRMZM5G808402	97.3896	97.3896
CAA34003	Zm00001d006403	97.3896	97.3896
CAA34004	Zm00001d045698	19.9161	89.6226
CAA34007	Zm00001d034153	32.5779	44.2308
CAA34008	GRMZM5G836994	87.0849	86.7647
CAA34009	GRMZM5G811749	80.6452	58.8235
CAA34009	Zm00001d035969	80.6452	43.8596
CAA34013	Zm00001d000260	99.7167	99.7167
Os01g0100100	Zm00001d040234	71.0826	69.4986
Os01g0100400	Zm00001d029193	80.2698	68.8857
Os01g0100500	Zm00001d008386	75.3817	72.2121
