Gene stable ID	Brachypodium distachyon gene stable ID	%id. target Brachypodium distachyon gene identical to query gene	%id. query gene identical to target Brachypodium distachyon gene
BAC19854	BRADI1G47515	89.8477	88.9447
BAC19859	BRADI1G63620	35.2713	24.7956
BAC19867	BRADI1G17540	36.4583	38.8889
BAC19898	BRADI4G10447	77.1277	60.6695
CAA33911	BRADI3G27266	97.7099	97.7099
CAA33912	BRADI3G27272	94.4444	94.4444
CAA33919	BRADI1G05710	98.7179	98.7179
CAA33919	BRADI4G17870	92.9487	92.9487
CAA33919	BRADI4G23940	87.1795	95.1049
CAA33920	BRADI4G37052	48.8235	94.6768
CAA33923	BRADI1G05787	98.9247	98.9247
CAA33923	BRADI2G30947	94.6237	94.6237
CAA33923	BRADI3G18426	98.9247	98.9247
CAA33923	BRADI4G19725	98.9247	98.9247
CAA33923	BRADI5G05656	96.7742	96.7742
CAA33923	BRADI5G10958	98.9247	98.9247
CAA33924	BRADI1G05800	52.381	86.6667
CAA33924	BRADI3G18424	52.381	86.6667
CAA33924	BRADI5G05662	42.4908	78.9116
CAA33925	BRADI1G71467	97.0803	97.0803
CAA33925	BRADI4G08053	63.5037	98.8636
CAA33927	BRADI1G05803	74.1936	97.1831
CAA33927	BRADI1G71472	51.6129	94.1176
CAA33927	BRADI3G18422	74.1936	97.1831
CAA33927	BRADI5G10962	73.1183	95.7747
CAA33928	BRADI1G05800	52.381	86.6667
CAA33928	BRADI3G18424	52.381	86.6667
CAA33928	BRADI5G05662	42.4908	78.9116
CAA33930	BRADI3G11867	64.486	90.7895
CAA33931	BRADI3G27305	96.3235	96.3235
CAA33932	BRADI3G27300	97.561	97.561
CAA33933	BRADI3G27295	83.8235	95
CAA33937	BRADI1G71467	97.0803	97.0803
CAA33937	BRADI4G08053	63.5037	98.8636
CAA33938	BRADI1G05787	98.9247	98.9247
CAA33938	BRADI2G30947	94.6237	94.6237
CAA33938	BRADI3G18426	98.9247	98.9247
CAA33938	BRADI4G19725	98.9247	98.9247
CAA33938	BRADI5G05656	96.7742	96.7742
CAA33938	BRADI5G10958	98.9247	98.9247
CAA33941	BRADI4G37052	48.8235	94.6768
CAA33942	BRADI1G05710	98.7179	98.7179
CAA33942	BRADI4G17870	92.9487	92.9487
CAA33942	BRADI4G23940	87.1795	95.1049
CAA33948	BRADI3G27272	94.4444	94.4444
CAA33954	BRADI1G05756	98.7654	98.7654
CAA33958	BRADI2G13078	60	92.5
CAA33958	BRADI2G20997	89.7297	89.7297
CAA33958	BRADI3G27327	53.5135	89.1892
CAA33961	BRADI1G05770	97.5	97.5
CAA33961	BRADI2G13074	97.1875	97.1875
