A2XPN8	Ensembl:TRIUR3_05247
A2Y626	Ensembl:TRIUR3_08668 Ensembl:TRIUR3_23576
A3AAR2	Ensembl:TRIUR3_18350
A3AC56	Ensembl:TRIUR3_29315
A3AQC6	Ensembl:TRIUR3_02000
A3B9A0	Ensembl:TRIUR3_33045
A3C6G9	Ensembl:TRIUR3_12946
A4LBC0	Ensembl:TRIUR3_32813
A9CM06	Ensembl:TRIUR3_15235 Ensembl:TRIUR3_14816
B1B534	Ensembl:TRIUR3_13488
B7E8M5	Ensembl:TRIUR3_08175 Ensembl:TRIUR3_29893
B7EA04	Ensembl:TRIUR3_03368
B7EM10	Ensembl:TRIUR3_00891
B7F4K3	Ensembl:TRIUR3_25353
B7F7B9	Ensembl:TRIUR3_13973
B7F8P7	Ensembl:TRIUR3_16508
B7F8T0	Ensembl:TRIUR3_14688 Ensembl:TRIUR3_14687
B7F956	Ensembl:TRIUR3_30179
B7F9K3	Ensembl:TRIUR3_25353
B7FA99	Ensembl:TRIUR3_22248
B7FAE9	Ensembl:TRIUR3_07828
B8ACC6	Ensembl:TRIUR3_15297
B8AHI9	Ensembl:TRIUR3_03830 Ensembl:TRIUR3_33023
B8B8K7	Ensembl:TRIUR3_22979
B8BF84	Ensembl:TRIUR3_16030
B9EUK4	Ensembl:TRIUR3_28704
B9EZJ8	Ensembl:TRIUR3_19199
B9F8T8	Ensembl:TRIUR3_05292
B9FLB9	Ensembl:TRIUR3_01981
B9FRT6	Ensembl:TRIUR3_11564
B9FYX6	Ensembl:TRIUR3_34493
B9FZ46	Ensembl:TRIUR3_15289
B9G4Z8	Ensembl:TRIUR3_33431
B9G6J6	Ensembl:TRIUR3_29573
C7IWK8	Ensembl:TRIUR3_09546
C7J5F5	Ensembl:TRIUR3_33908 Ensembl:TRIUR3_29868 Ensembl:TRIUR3_30762 Ensembl:TRIUR3_05988 Ensembl:TRIUR3_28892
D5A7J1	Ensembl:TRIUR3_01867
E3WF37	Ensembl:TRIUR3_08929
H6TFZ4	Ensembl:TRIUR3_06271
I1QQP8	Ensembl:TRIUR3_03966
I3QK18	Ensembl:TRIUR3_13655
O04226	Ensembl:TRIUR3_14890
O04882	Ensembl:TRIUR3_17185
O22105	Ensembl:TRIUR3_02845
O24174	Ensembl:TRIUR3_05640
O64422	Ensembl:TRIUR3_12456
O64437	Ensembl:TRIUR3_05680
O82427	Ensembl:TRIUR3_18363 Ensembl:TRIUR3_33628
P0C132	Ensembl:TRIUR3_13985
P0C587	Ensembl:TRIUR3_13813 Ensembl:TRIUR3_15644 Ensembl:TRIUR3_07368
P0C5A4	Ensembl:TRIUR3_11095 Ensembl:TRIUR3_11094 Ensembl:TRIUR3_28535
P0C5B2	Ensembl:TRIUR3_32699
P14654	Ensembl:TRIUR3_08990
P14655	Ensembl:TRIUR3_15255
P14656	Ensembl:TRIUR3_15479
P14717	Ensembl:TRIUR3_07084 Ensembl:TRIUR3_25002 Ensembl:TRIUR3_15626
