Gene stable ID	Glycine max gene stable ID	%id. target Glycine max gene identical to query gene	%id. query gene identical to target Glycine max gene
BAC19853	GLYMA_12G155300	89.2857	94.3396
BAC19860	GLYMA_04G145900	43.871	53.9683
BAC19862	GLYMA_08G301000	86.8293	81.2785
BAC19863	GLYMA_19G075000	29.1667	92.1053
BAC19865	GLYMA_U026900	35.6877	31.2704
BAC19867	GLYMA_17G186200	22.9167	38.3721
BAC19871	GLYMA_11G235100	45.8064	53.3835
BAC19875	GLYMA_U008600	32.7273	66.1225
BAC19876	GLYMA_04G162500	44.2308	76.6667
BAC19876	GLYMA_09G040100	57.3077	39.6277
BAC19876	GLYMA_15G145300	28.0769	47.0968
BAC19880	GLYMA_16G133700	18.209	83.5616
BAC19887	GLYMA_05G150000	55.914	40.9449
BAC19887	GLYMA_08G106800	55.914	40.9449
BAC19888	GLYMA_17G186100	84	61.7647
BAC19889	GLYMA_04G213100	69.2946	8.55971
BAC19889	GLYMA_05G191600	71.3693	8.78447
BAC19889	GLYMA_06G153100	67.2199	19.8044
BAC19889	GLYMA_08G156800	72.1992	9.13866
BAC19890	GLYMA_05G092000	79.8489	86.612
BAC19898	GLYMA_05G091900	53.1915	54.3478
CAA33908	GLYMA_18G100900	25	66.6667
CAA33908	GLYMA_19G081000	54.5455	57.485
CAA33908	GLYMA_19G083500	43.1818	60.3175
CAA33909	GLYMA_20G042300	20.7865	37
CAA33910	GLYMA_18G146300	26.7956	50.5208
CAA33910	GLYMA_18G155600	30.1105	63.7427
CAA33911	GLYMA_18G262700	15.2672	65.9341
CAA33911	GLYMA_20G084200	15.7761	53.913
CAA33915	GLYMA_15G274900	17.2932	30.2632
CAA33918	GLYMA_01G057000	53.4884	56.7901
CAA33918	GLYMA_03G141300	37.2093	45.0704
CAA33918	GLYMA_09G058100	79.0698	32.2275
CAA33919	GLYMA_13G245200	23.0769	47.3684
CAA33923	GLYMA_U009000	81.7204	81.7204
CAA33924	GLYMA_19G051900	26.7399	67.5926
CAA33925	GLYMA_13G039100	35.7664	59.0361
CAA33927	GLYMA_18G078500	36.5591	69.3878
CAA33928	GLYMA_19G051900	26.7399	67.5926
CAA33930	GLYMA_05G019600	47.6636	35.6643
CAA33930	GLYMA_17G080200	46.729	36.2319
CAA33933	GLYMA_09G111600	28.6765	45.3488
CAA33933	GLYMA_19G053400	27.9412	35.1852
CAA33934	GLYMA_05G078200	12.9707	40.2597
CAA33934	GLYMA_U009100	30.9623	54.0146
CAA33935	GLYMA_05G001100	38.255	27.2727
CAA33935	GLYMA_19G001100	37.5839	28.2828
CAA33937	GLYMA_13G039100	35.7664	59.0361
CAA33938	GLYMA_U009000	81.7204	81.7204
CAA33942	GLYMA_13G245200	23.0769	47.3684
CAA33945	GLYMA_15G274900	17.2932	30.2632
CAA33954	GLYMA_13G088500	60.4938	62.0253
CAA33954	GLYMA_18G155300	82.716	82.716
CAA33955	GLYMA_08G367600	50.495	62.963
CAA33955	GLYMA_18G155400	45.5446	67.6471
CAA33957	GLYMA_10G208900	72.2222	76.4706
CAA33957	GLYMA_15G003800	75	79.4118
CAA33957	GLYMA_17G173700	72.2222	76.4706
CAA33960	GLYMA_04G135900	19.5652	41.2844
CAA33960	GLYMA_07G028100	27.8261	59.2593
CAA33960	GLYMA_07G028200	20.4348	54.6512
CAA33960	GLYMA_14G104700	22.1739	31.2883
CAA33961	GLYMA_05G124400	13.75	44
CAA33962	GLYMA_12G232800	92.5	92.5
CAA33965	GLYMA_12G232700	92.7711	54.2254
CAA33965	GLYMA_15G238700	90.3614	90.3614
CAA33966	GLYMA_12G081600	70.9677	70.9677
CAA33966	GLYMA_12G232600	77.4194	77.4194
CAA33967	GLYMA_12G232500	100	100
CAA33968	GLYMA_12G232400	90.9091	90.9091
CAA33968	GLYMA_15G126100	90.9091	90.9091
CAA33968	GLYMA_15G238800	88.6364	50
CAA33969	GLYMA_12G232300	69.697	69.697
CAA33969	GLYMA_15G239000	68.1818	68.1818
CAA33970	GLYMA_12G232200	36.1963	61.4583
CAA33970	GLYMA_15G238900	39.2638	55.6522
CAA33971	GLYMA_01G201700	45.3782	45.7627
CAA33971	GLYMA_12G232100	58.8235	53.8462
CAA33971	GLYMA_16G111000	31.0924	38.5417
CAA33974	GLYMA_15G262700	71.4286	73.5294
CAA33975	GLYMA_15G188400	95.3488	95.3488
CAA33976	GLYMA_05G092100	50.6849	51.3889
CAA33976	GLYMA_17G186400	65.7534	70.5882
CAA33977	GLYMA_01G058600	49.7674	92.2414
CAA33980	GLYMA_14G149900	25.1748	40.9091
CAA33984	GLYMA_09G171400	88.2353	88.2353
CAA33984	GLYMA_15G208300	97.0588	97.0588
CAA33984	GLYMA_18G250200	91.1765	91.1765
CAA33985	GLYMA_09G171300	82.7586	82.7586
CAA33987	GLYMA_01G076000	8.35777	80.2817
CAA33989	GLYMA_02G221500	35.5932	56.3758
CAA33989	GLYMA_03G031100	36.4407	60.5634
CAA33990	GLYMA_12G096200	36.0324	84.7619
CAA33991	GLYMA_05G099200	74.0741	72.2892
CAA33991	GLYMA_06G229000	69.1358	87.5
CAA33991	GLYMA_19G109600	71.6049	81.6901
CAA33992	GLYMA_12G231900	47.2222	66.9291
CAA33992	GLYMA_16G115200	39.4444	57.7236
CAA33993	GLYMA_09G171500	18.5404	79.661
CAA33995	GLYMA_09G090100	21.6621	85.9459
CAA33996	GLYMA_06G224500	11.2	91.3043
CAA33997	GLYMA_01G201600	58.5799	81.8182
CAA33998	GLYMA_01G153400	66.1692	71.8919
CAA33998	GLYMA_13G155500	47.2637	74.2188
CAA33998	GLYMA_18G203700	27.3632	67.0732
CAA33999	GLYMA_16G089600	42.1384	61.4679
CAA33999	GLYMA_16G089800	43.3962	54.7619
CAA34000	GLYMA_08G050600	20.3252	73.5294
CAA34001	GLYMA_13G068600	87.5	87.5
CAA34002	GLYMA_02G184000	56.9343	63.4146
CAA34002	GLYMA_10G174800	32.8467	59.2105
CAA34002	GLYMA_12G056400	29.927	61.194
CAA34004	GLYMA_12G061600	19.7065	66.1972
CAA34007	GLYMA_05G073600	17.2805	55.4545
CAA34008	GLYMA_07G227300	9.7786	50.9615
CAA34008	GLYMA_14G132100	12.7306	39.4286
CAA34009	GLYMA_02G056500	41.9355	19.403
CAA34009	GLYMA_16G088900	54.8387	44.7368
CAA34010	GLYMA_12G095600	49.1803	58.8235
CAA34011	GLYMA_15G248600	97.2222	30.9735
CAA34013	GLYMA_04G095000	39.6601	93.9597
CAA34013	GLYMA_06G217900	41.9263	88.0952
CAA34014	GLYMA_05G074900	10.7822	79.6875
CAA34015	GLYMA_01G095900	85.4839	85.4839
CAA34015	GLYMA_08G363500	80.6452	80.6452
Os01g0100100	GLYMA_13G346200	50.9972	46.4935
Os01g0100100	GLYMA_15G028000	50.8547	51.073
Os01g0100400	GLYMA_04G119600	57.6729	57.7703
Os01g0100400	GLYMA_05G056100	62.3946	61.9766
Os01g0100400	GLYMA_06G318800	58.3474	58.5448
Os01g0100400	GLYMA_08G343500	69.14	64.3642
Os01g0100400	GLYMA_17G138300	62.7319	62.8378
Os01g0100500	GLYMA_09G252300	44.8473	38.3987
Os01g0100500	GLYMA_18G240300	45.8015	38.8979
Os01g0100600	GLYMA_10G170300	35.2113	39.185
Os01g0100600	GLYMA_20G219700	35.493	37.8378
Os01g0100700	GLYMA_02G167900	88	86.2745
Os01g0100700	GLYMA_09G103400	87.5	85.7843
Os01g0100700	GLYMA_11G206800	30.5	63.5417
Os01g0100700	GLYMA_12G201900	87	85.2941
Os01g0100700	GLYMA_13G300300	85	83.3333
Os01g0100800	GLYMA_08G259700	30.0562	30.4843
Os01g0100800	GLYMA_18G283800	30.0562	30.659
Os01g0100900	GLYMA_02G097200	71.9852	72.3881
Os01g0100900	GLYMA_12G127800	14.1002	65.5172
Os01g0100900	GLYMA_18G284300	72.3562	72.8972
Os01g0101150	GLYMA_16G049100	44.5679	47.1895
Os01g0101150	GLYMA_19G102300	49.5062	49.2025
Os01g0101300	GLYMA_04G195500	62.4079	62.8713
Os01g0101300	GLYMA_06G170500	62.4079	61.5012
Os01g0101600	GLYMA_05G152900	43.047	43.4469
Os01g0101600	GLYMA_08G109600	43.865	44
Os01g0101700	GLYMA_05G152800	36.1702	36.9565
Os01g0101700	GLYMA_08G109700	37.234	37.6344
Os01g0101800	GLYMA_05G150500	18.4911	12.1477
Os01g0101800	GLYMA_08G107400	19.0828	12.2159
Os01g0102000	GLYMA_04G196700	57.197	58.6408
Os01g0102000	GLYMA_06G169100	57.3864	58.3815
Os01g0102300	GLYMA_04G196500	38.1323	44.3439
Os01g0102300	GLYMA_06G169300	38.9105	44.843
Os01g0102400	GLYMA_02G089600	7.83848	22.7586
Os01g0102500	GLYMA_02G097000	64.4578	59.7765
Os01g0102500	GLYMA_18G284500	64.759	60.3933
Os01g0102600	GLYMA_02G073000	34.9442	33.5714
Os01g0102600	GLYMA_16G154300	34.9442	32.3024
Os01g0102700	GLYMA_16G050800	44.878	47.4227
Os01g0102700	GLYMA_19G099900	45.8537	48.4536
Os01g0102800	GLYMA_10G038300	24.8637	82.6087
Os01g0102800	GLYMA_13G124600	69.9019	52.3265
Os01g0102900	GLYMA_16G049000	41.4062	38.6861
Os01g0102900	GLYMA_19G102400	40.625	37.9562
Os01g0103000	GLYMA_10G195600	76.2931	74.6835
Os01g0103000	GLYMA_20G194500	75.8621	74.2616
Os01g0103100	GLYMA_18G299200	65.3465	62.7575
Os01g0103600	GLYMA_09G186700	58.4475	58.4475
Os01g0103600	GLYMA_09G186800	54.7945	56.0748
Os01g0103600	GLYMA_09G186900	52.5114	44.2308
Os01g0103600	GLYMA_13G078900	52.0548	31.405
Os01g0103700	GLYMA_13G054500	23.2143	3.45438
Os01g0103700	GLYMA_19G032700	22.0238	3.29768
Os01g0103800	GLYMA_14G224200	41.8468	45.0317
Os01g0103800	GLYMA_17G262500	43.0255	46.3002
Os01g0103900	GLYMA_05G198800	29.7071	29.8319
Os01g0103900	GLYMA_08G006100	45.1883	33.2308
Os01g0104000	GLYMA_09G072500	60.3604	61.4679
Os01g0104000	GLYMA_15G181400	60.3604	61.2431
Os01g0104100	GLYMA_04G125600	55.9809	63.7602
Os01g0104100	GLYMA_06G313000	55.2632	62.9428
Os01g0104400	GLYMA_16G043100	45.1493	46.0076
Os01g0104400	GLYMA_19G109000	45.1493	37.1166
Os01g0104500	GLYMA_02G070600	39.375	30.7317
Os01g0104500	GLYMA_16G042900	42.1875	33.1695
Os01g0104500	GLYMA_16G152100	40	31.2195
Os01g0104500	GLYMA_19G109100	41.875	33.0864
Os01g0104600	GLYMA_01G231700	67.319	64.1791
