A0A0P0VEU3	Phytozome_Eg:Eucgr.B02538.1
A0A0P0WKK9	Phytozome_Eg:Eucgr.G03169.1
A0A0P0XBM6	Phytozome_Eg:Eucgr.I00009.1
A2X747	Phytozome_Eg:Eucgr.F03973.1 Phytozome_Eg:Eucgr.F03974.1 Phytozome_Eg:Eucgr.F03972.1 Phytozome_Eg:Eucgr.F03978.1 Phytozome_Eg:Eucgr.J03126.1
A2Y626	Phytozome_Eg:Eucgr.A02190.1 Phytozome_Eg:Eucgr.G03199.1 Phytozome_Eg:Eucgr.A02185.1 Phytozome_Eg:Eucgr.A02188.1
A2Y8A8	Phytozome_Eg:Eucgr.K00156.1 Phytozome_Eg:Eucgr.E00461.1
A2ZRY8	Phytozome_Eg:Eucgr.H04141.1
A2ZW27	Phytozome_Eg:Eucgr.K01105.1
A2ZWY7	Phytozome_Eg:Eucgr.C00665.1
A3AAR2	Phytozome_Eg:Eucgr.K02040.1
A3AC56	Phytozome_Eg:Eucgr.C00201.1
A3AQC6	Phytozome_Eg:Eucgr.L03224.1 Phytozome_Eg:Eucgr.B01996.1 Phytozome_Eg:Eucgr.B01994.1
A3AZW5	Phytozome_Eg:Eucgr.A02547.1
A3BIR7	Phytozome_Eg:Eucgr.B03253.1 Phytozome_Eg:Eucgr.B03248.1
B7E8M5	Phytozome_Eg:Eucgr.D02284.1 Phytozome_Eg:Eucgr.D00187.1
B7EA04	Phytozome_Eg:Eucgr.E04308.1
B7EJ81	Phytozome_Eg:Eucgr.B00645.1
B7ERE7	Phytozome_Eg:Eucgr.B02626.1
B7F4K3	Phytozome_Eg:Eucgr.A01551.1 Phytozome_Eg:Eucgr.E00489.1
B7F8T0	Phytozome_Eg:Eucgr.A02509.1
B7F956	Phytozome_Eg:Eucgr.L00981.1 Phytozome_Eg:Eucgr.B01015.1 Phytozome_Eg:Eucgr.B00199.1 Phytozome_Eg:Eucgr.B00204.1
B7F9K3	Phytozome_Eg:Eucgr.A01551.1 Phytozome_Eg:Eucgr.E00489.1
B7FA34	Phytozome_Eg:Eucgr.B00946.1
B7FA90	Phytozome_Eg:Eucgr.C02385.1
B7FAE9	Phytozome_Eg:Eucgr.C02602.1
B7FAP2	Phytozome_Eg:Eucgr.L01047.1 Phytozome_Eg:Eucgr.H00503.1 Phytozome_Eg:Eucgr.L01046.1 Phytozome_Eg:Eucgr.H02643.1 Phytozome_Eg:Eucgr.L00635.1 Phytozome_Eg:Eucgr.H00001.1 Phytozome_Eg:Eucgr.H00004.1 Phytozome_Eg:Eucgr.L00634.1 Phytozome_Eg:Eucgr.L00631.1 Phytozome_Eg:Eucgr.H02644.1 Phytozome_Eg:Eucgr.H02640.1 Phytozome_Eg:Eucgr.H02642.1 Phytozome_Eg:Eucgr.H02641.1 Phytozome_Eg:Eucgr.D01218.1 Phytozome_Eg:Eucgr.L00636.1 Phytozome_Eg:Eucgr.L00632.1
B8ACC6	Phytozome_Eg:Eucgr.D02098.1
B8AHI9	Phytozome_Eg:Eucgr.H04472.1
B8AZ97	Phytozome_Eg:Eucgr.K01268.1
