Gene stable ID	Cyanidioschyzon merolae gene stable ID	%id. target Cyanidioschyzon merolae gene identical to query gene	%id. query gene identical to target Cyanidioschyzon merolae gene
BAC19852	CMW021C	62.7692	61.8182
BAC19853	CMW011C	55.3571	56.9853
BAC19857	CMT485C	29.0541	29.8611
BAC19862	CMW005C	32.1951	32.3529
BAC19863	CMW061C	32.0833	32.906
BAC19871	CMW020C	33.5484	44.0678
BAC19872	CMW053C	55.2	56.0976
BAC19875	CMW023C	51.7172	52.0325
BAC19876	CMW010C	42.3077	42.1456
BAC19880	CMW027C	31.9403	41.9608
BAC19885	CMW047C	61.3333	60.5263
BAC19888	CMW060C	51	50.495
BAC19890	CMW007C	57.9345	60.2094
BAC19900	CMQ200C	48.4211	29.2063
CAA33909	CMS223C	21.3483	15.4472
CAA33910	CMW021C	37.2928	40.9091
CAA33918	CMV189C	82.5581	58.1967
CAA33919	CMV190C	41.6667	43.9189
CAA33920	CMW022C	17.451	17.8
CAA33924	CMV167C	33.6996	37.551
CAA33927	CMV168C	51.6129	51.0638
CAA33928	CMV167C	33.6996	37.551
CAA33930	CMD084C	35.514	23.75
CAA33931	CMV177C	36.0294	41.8803
CAA33932	CMV174C	53.6585	55.4622
CAA33933	CMV171C	58.0882	55.2448
CAA33934	CMV170C	31.7992	37.0732
CAA33935	CMV169C	22.8188	35.7895
CAA33941	CMW022C	17.451	17.8
CAA33942	CMV190C	41.6667	43.9189
CAA33950	CMW025C	28.0654	30.9309
CAA33952	CMV053C	36.1371	43.4457
CAA33954	CMV059C	85.1852	85.1852
CAA33958	CMV233C	31.3514	35.3659
CAA33960	CMV237C	29.5652	24.6377
CAA33961	CMV155C	47.8125	51
CAA33962	CMV228C	67.5	69.2308
CAA33963	CMV229C	78.9474	78.9474
CAA33964	CMV230C	71.7949	70
CAA33965	CMV231C	72.2892	74.0741
CAA33969	CMV214C	48.4848	51.6129
CAA33971	CMV151C	27.7311	28.4483
CAA33972	CML155C	41.6667	35.2941
CAA33973	CMV124C	77.5591	77.4067
CAA33974	CMV125C	68.5714	75
CAA33975	CMV126C	44.186	44.186
CAA33976	CMV127C	52.0548	59.375
CAA33977	CMV096C	86.5116	86.5116
CAA33978	CMV097C	72.5	72.5
CAA33980	CMV184C	38.4615	45.4545
CAA33981	CMV182C	70.2703	70.2703
CAA33986	CMV216C	39.0698	40.5405
CAA33987	CMV217C	38.8563	15.8115
CAA33989	CMV218C	40.2542	42.9864
CAA33990	CMV220C	62.753	67.3913
CAA33991	CMV221C	82.716	82.716
CAA33993	CMV225C	67.2584	68.8889
CAA33994	CMV137C	44.6602	46
CAA33995	CMV135C	39.6458	38.9037
CAA33996	CMV136C	38.5333	39.4809
CAA33997	CMV197C	53.2544	56.962
CAA33998	CMV009C	40.2985	42.6316
CAA34000	CMI095C	28.4553	30.4348
CAA34001	CMW020C	30	30.5085
CAA34002	CMV195C	34.3066	35.8779
CAA34003	CMV196C	77.1084	82.227
CAA34004	CMV013C	45.283	44.2623
CAA34007	CMV047C	88.9518	87.2222
CAA34009	CMV084C	27.4194	22.6667
CAA34010	CMV140C	44.2623	62.7907
CAA34011	CMV240C	80.5556	76.3158
CAA34013	CMV081C	86.4023	86.8946
CAA34014	CMV082C	78.0127	80.5677
Os01g0100100	CMK029C	12.6781	12.3955
Os01g0100700	CMT627C	75	76.1421
Os01g0100900	CMT631C	41.0019	34.6395
Os01g0102600	CMT093C	14.8699	13.9373
Os01g0102800	CMO092C	35.1145	35.1145
Os01g0103000	CML153C	30.6034	27.2031
Os01g0103600	CMT530C	19.6347	18.9427
Os01g0105800	CMT264C	43.4783	52.6316
Os01g0106200	CMI263C	44.898	26.1128
Os01g0106800	CMQ353C	53.1746	57.265
Os01g0106900	CMG148C	53.9112	51.5152
Os01g0109300	CMD049C	33.6694	32.681
Os01g0109700	CMQ125C	25.1131	21.47
Os01g0110400	CME087C	45.4327	32.363
Os01g0110700	CME095C	37.3913	41.2141
Os01g0111200	CMT375C	20.1613	22.6449
Os01g0116600	CMC147C	24.1221	33.0544
Os01g0116600	CML259C	24.1221	33.0544
Os01g0118000	CMI049C	56.4433	53.8084
Os01g0118100	CMC171C	23.5941	9.65966
Os01g0120300	CMP205C	55.5416	42.0802
Os01g0120600	CMC076C	33.3333	22.381
Os01g0120800	CMH060C	23.7323	17.7139
Os01g0121100	CML028C	19.883	24.3728
Os01g0121700	CMO130C	40.7186	40.3561
Os01g0127300	CMH006C	15.1452	12.1464
Os01g0127400	CMA099C	35.3774	29.5276
Os01g0127500	CMN284C	29.6736	27.4725
Os01g0127900	CMQ359C	35.9813	37.3786
Os01g0130000	CMC075C	32.4808	30.2381
Os01g0131800	CMO086C	26.1905	25.2874
Os01g0132800	CMQ022C	25.8687	24.6324
Os01g0134500	CMC055C	27.7372	22.8228
Os01g0138800	CMO078C	36.6589	30.9804
Os01g0139600	CMR488C	19.8083	20.5298
Os01g0140500	CMG157C	36.4341	32.8671
Os01g0141600	CMM174C	25.387	15.8301
Os01g0141600	CMP326C	25.0774	13.5
Os01g0142100	CMQ013C	22.5275	19.7115
Os01g0142300	CMR015C	41.2844	34.8162
