Gene stable ID	Chlamydomonas reinhardtii gene stable ID	% identity	Chlamydomonas reinhardtii % identity	Orthology confidence [0 low, 1 high]
OS01G0100400	CHLREDRAFT_146556	22	13	1
OS01G0100700	CHLREDRAFT_191776	81	83	1
OS01G0100900	CHLREDRAFT_175809	24	28	0
OS01G0101300	CHLREDRAFT_153740	34	33	1
OS01G0101600	CHLREDRAFT_191512	5	31	1
OS01G0102300	CHLREDRAFT_206051	17	27	1
OS01G0102600	CHLREDRAFT_196593	17	14	1
OS01G0102800	CHLREDRAFT_7539	24	12	1
OS01G0103000	CHLREDRAFT_143567	34	48	1
OS01G0103600	CHLREDRAFT_160258	37	38	1
OS01G0104600	CHLREDRAFT_143449	15	19	1
OS01G0104800	CHLREDRAFT_148918	9	28	0
OS01G0105800	CHLREDRAFT_196772	60	64	1
OS01G0105900	CHLREDRAFT_169453	28	32	1
OS01G0106200	CHLREDRAFT_190919	53	57	1
OS01G0106800	CHLREDRAFT_79815	44	43	0
OS01G0106900	CHLREDRAFT_196606	55	62	1
OS01G0107900	CHLREDRAFT_205932	24	20	1
OS01G0109300	CHLREDRAFT_145491	33	26	1
OS01G0109300	CHLREDRAFT_175359	32	36	1
OS01G0109700	CHLREDRAFT_140464	17	41	0
OS01G0110400	CHLREDRAFT_118204	54	54	1
OS01G0111100	CHLREDRAFT_30719	37	35	1
OS01G0111200	CHLREDRAFT_118061	8	63	1
OS01G0112400	CHLREDRAFT_145108	14	16	1
OS01G0112400	CHLREDRAFT_190851	20	19	1
OS01G0116600	CHLREDRAFT_99082	29	44	1
OS01G0118000	CHLREDRAFT_24459	68	70	1
OS01G0120500	CHLREDRAFT_184532	27	29	1
OS01G0120600	CHLREDRAFT_153076	32	28	1
OS01G0120800	CHLREDRAFT_187852	38	44	1
OS01G0121200	CHLREDRAFT_95634	16	35	1
OS01G0121700	CHLREDRAFT_79831	46	44	1
OS01G0125900	CHLREDRAFT_188669	7	34	0
OS01G0126100	CHLREDRAFT_169463	23	10	1
OS01G0126100	CHLREDRAFT_188467	23	10	1
OS01G0126200	CHLREDRAFT_169463	22	10	1
OS01G0126200	CHLREDRAFT_188467	20	9	1
OS01G0126900	CHLREDRAFT_169463	22	10	1
OS01G0126900	CHLREDRAFT_188467	23	10	1
OS01G0127000	CHLREDRAFT_169463	23	8	1
OS01G0127000	CHLREDRAFT_188467	24	8	1
OS01G0127200	CHLREDRAFT_169463	20	9	1
OS01G0127200	CHLREDRAFT_188467	20	10	1
OS01G0127300	CHLREDRAFT_196775	31	31	1
OS01G0127900	CHLREDRAFT_196572	43	50	1
OS01G0128300	CHLREDRAFT_183917	28	24	1
OS01G0128300	CHLREDRAFT_187252	27	11	1
OS01G0130000	CHLREDRAFT_150292	28	19	0
OS01G0130000	CHLREDRAFT_150298	23	30	0
OS01G0130000	CHLREDRAFT_195957	27	23	0
OS01G0130400	CHLREDRAFT_196947	31	27	1
OS01G0131800	CHLREDRAFT_190234	38	38	1
OS01G0132800	CHLREDRAFT_97157	27	41	1
OS01G0133400	CHLREDRAFT_196325	41	39	1
OS01G0134500	CHLREDRAFT_59933	51	40	1
OS01G0135900	CHLREDRAFT_134508	27	28	1
OS01G0135900	CHLREDRAFT_142751	25	23	1
OS01G0139600	CHLREDRAFT_108112	8	13	1
OS01G0140500	CHLREDRAFT_136811	42	37	1
OS01G0141100	CHLREDRAFT_181992	69	48	1
OS01G0141300	CHLREDRAFT_181992	51	56	1
OS01G0141600	CHLREDRAFT_115526	31	46	1
OS01G0141700	CHLREDRAFT_168655	17	52	1
OS01G0142100	CHLREDRAFT_146875	26	34	1
OS01G0142200	CHLREDRAFT_56408	41	40	1
OS01G0142300	CHLREDRAFT_23032	4	5	1
OS01G0142800	CHLREDRAFT_136180	9	22	1
OS01G0143100	CHLREDRAFT_148004	24	34	1
OS01G0143300	CHLREDRAFT_113438	15	32	1
OS01G0143300	CHLREDRAFT_183418	23	24	1
OS01G0143700	CHLREDRAFT_113438	15	30	1
OS01G0143700	CHLREDRAFT_183418	20	20	1
OS01G0143800	CHLREDRAFT_113438	12	26	1
OS01G0143800	CHLREDRAFT_183418	20	22	1
OS01G0144100	CHLREDRAFT_115715	25	40	1
OS01G0144500	CHLREDRAFT_106366	30	31	1
OS01G0147200	CHLREDRAFT_144201	23	23	1
OS01G0147300	CHLREDRAFT_149870	22	12	1
OS01G0148400	CHLREDRAFT_112251	8	17	1
OS01G0150000	CHLREDRAFT_602	47	49	1
OS01G0151200	CHLREDRAFT_187295	39	36	1
OS01G0152700	CHLREDRAFT_100005	95	26	1
OS01G0152700	CHLREDRAFT_100008	95	25	1
OS01G0152700	CHLREDRAFT_100162	95	25	1
OS01G0152700	CHLREDRAFT_100236	95	25	1
OS01G0152700	CHLREDRAFT_100672	95	25	1
OS01G0152700	CHLREDRAFT_100722	95	25	1
OS01G0152700	CHLREDRAFT_102205	95	25	1
OS01G0152700	CHLREDRAFT_107058	95	25	1
OS01G0152700	CHLREDRAFT_107697	95	25	1
OS01G0152700	CHLREDRAFT_108915	95	25	1
OS01G0152700	CHLREDRAFT_109462	49	27	1
OS01G0152700	CHLREDRAFT_109944	71	20	1
OS01G0152700	CHLREDRAFT_112444	95	25	1
OS01G0152700	CHLREDRAFT_112576	95	25	1
OS01G0152700	CHLREDRAFT_112705	95	25	1
OS01G0152700	CHLREDRAFT_112775	95	25	1
OS01G0152700	CHLREDRAFT_115268	95	25	1
OS01G0152700	CHLREDRAFT_121856	95	25	1
OS01G0152700	CHLREDRAFT_121902	95	32	1
OS01G0152700	CHLREDRAFT_123644	95	25	1
OS01G0152700	CHLREDRAFT_124679	95	25	1
