Gene stable ID	Oryza rufipogon gene stable ID	% identity	Oryza rufipogon % identity	Orthology confidence [0 low, 1 high]
OS01G0100100	ORUFI01G00040	96	98	1
OS01G0100300	ORUFI01G00030	60	50	0
OS01G0100300	ORUFI02G13240	6	12	0
OS01G0100400	ORUFI01G00050	100	81	0
OS01G0100600	ORUFI01G00060	100	100	1
OS01G0100800	ORUFI01G00070	80	93	0
OS01G0100900	ORUFI01G00080	100	100	1
OS01G0101150	ORUFI01G00090	100	70	0
OS01G0101300	ORUFI01G00100	100	99	0
OS01G0101600	ORUFI01G00120	99	99	1
OS01G0101700	ORUFI03G16230	26	30	0
OS01G0101700	ORUFI09G08350	27	25	0
OS01G0101800	ORUFI01G00130	100	100	0
OS01G0101900	ORUFI01G00140	100	100	1
OS01G0102000	ORUFI01G00150	98	98	1
OS01G0102300	ORUFI01G00160	99	99	1
OS01G0102400	ORUFI01G00170	99	97	0
OS01G0102500	ORUFI01G00180	94	56	0
OS01G0102800	ORUFI01G00190	91	62	0
OS01G0102900	ORUFI01G00200	98	98	1
OS01G0103000	ORUFI01G00210	100	86	1
OS01G0103100	ORUFI01G00220	99	99	1
OS01G0103600	ORUFI01G00230	100	58	0
OS01G0103700	ORUFI01G00240	87	14	1
OS01G0103800	ORUFI01G00250	100	100	1
OS01G0103900	ORUFI01G00260	100	72	0
OS01G0104000	ORUFI01G00270	100	100	1
OS01G0104100	ORUFI01G00280	83	97	0
OS01G0104200	ORUFI01G00290	80	80	0
OS01G0104400	ORUFI01G00310	88	87	1
OS01G0104500	ORUFI01G00320	84	83	0
OS01G0104600	ORUFI01G00330	96	99	1
OS01G0104800	ORUFI01G00340	100	100	0
OS01G0104900	ORUFI01G00350	100	100	1
OS01G0105400	ORUFI01G00360	13	10	0
OS01G0105700	ORUFI01G00370	100	100	1
OS01G0105800	ORUFI01G00390	100	84	1
OS01G0105900	ORUFI01G00400	100	100	0
OS01G0106200	ORUFI01G00410	100	100	1
OS01G0106300	ORUFI01G00420	100	100	1
OS01G0106400	ORUFI01G00430	100	100	1
OS01G0106500	ORUFI01G00440	100	98	1
OS01G0106600	ORUFI01G00450	99	100	1
OS01G0106700	ORUFI01G00460	92	82	0
OS01G0106800	ORUFI01G00470	100	100	1
OS01G0106900	ORUFI01G00480	99	99	1
OS01G0107000	ORUFI01G00490	100	100	1
OS01G0107700	ORUFI01G00550	100	100	1
OS01G0107900	ORUFI01G00560	100	100	1
OS01G0108000	ORUFI01G00570	94	99	1
OS01G0108200	ORUFI01G00590	94	99	0
OS01G0108400	ORUFI02G09720	26	32	0
OS01G0108500	ORUFI01G00600	66	26	1
OS01G0108600	ORUFI02G09720	24	28	0
