Gene stable ID	Glycine max gene stable ID	% identity	Glycine max % identity	Orthology confidence [0 low, 1 high]
OS01G0100100	GLYMA13G42150	49	49	1
OS01G0100100	GLYMA15G03240	49	49	1
OS01G0100400	GLYMA08G45730	69	65	1
OS01G0100500	GLYMA09G38770	44	38	1
OS01G0100500	GLYMA18G47560	45	38	1
OS01G0100600	GLYMA10G31320	36	40	1
OS01G0100600	GLYMA20G36190	36	38	1
OS01G0100700	GLYMA02G26840	88	86	0
OS01G0100700	GLYMA09G15680	87	85	0
OS01G0100700	GLYMA11G32411	30	63	0
OS01G0100700	GLYMA12G32850	87	85	0
OS01G0100700	GLYMA13G37610	85	83	0
OS01G0100800	GLYMA08G29150	31	32	1
OS01G0100800	GLYMA18G52020	31	32	1
OS01G0100900	GLYMA02G10750	69	70	1
OS01G0100900	GLYMA12G15203	14	66	1
OS01G0100900	GLYMA18G52070	71	71	1
OS01G0101150	GLYMA16G05360	45	49	1
OS01G0101150	GLYMA19G27520	50	49	1
OS01G0101200	GLYMA06G36620	52	31	1
OS01G0101200	GLYMA12G24221	12	21	1
OS01G0101200	GLYMA12G35390	54	32	1
OS01G0101200	GLYMA13G35120	53	32	1
OS01G0101300	GLYMA04G37160	61	61	1
OS01G0101300	GLYMA06G17890	61	60	1
OS01G0101600	GLYMA05G28570	46	46	0
OS01G0101600	GLYMA08G11590	46	46	0
OS01G0101700	GLYMA05G28560	40	41	0
OS01G0101700	GLYMA08G11580	40	40	0
OS01G0101800	GLYMA05G28321	21	14	1
OS01G0101800	GLYMA08G11315	21	13	1
OS01G0102000	GLYMA04G37360	57	58	1
OS01G0102000	GLYMA06G17730	57	58	1
OS01G0102300	GLYMA04G37330	39	45	1
OS01G0102300	GLYMA06G17750	38	44	1
OS01G0102400	GLYMA02G09867	7	28	1
OS01G0102500	GLYMA02G10730	64	59	1
OS01G0102500	GLYMA18G52095	64	60	1
OS01G0102600	GLYMA02G08050	34	33	1
OS01G0102600	GLYMA16G27060	35	33	1
OS01G0102700	GLYMA16G05530	47	49	0
OS01G0102700	GLYMA19G27250	47	50	0
OS01G0102800	GLYMA10G04403	24	81	1
OS01G0102800	GLYMA13G18650	67	50	1
OS01G0102900	GLYMA16G05350	41	38	1
OS01G0102900	GLYMA19G27530	41	39	1
OS01G0103000	GLYMA10G33960	77	76	0
OS01G0103000	GLYMA20G33630	77	75	0
OS01G0103100	GLYMA18G53710	66	63	0
OS01G0103600	GLYMA09G31870	61	61	1
OS01G0103600	GLYMA09G31880	58	59	1
OS01G0103600	GLYMA09G31890	55	46	1
OS01G0103600	GLYMA13G03385	53	32	1
OS01G0103700	GLYMA13G06481	25	4	1
OS01G0103700	GLYMA19G04030	23	3	1
OS01G0103800	GLYMA14G39740	43	46	1
OS01G0103800	GLYMA17G38230	44	48	1
OS01G0103900	GLYMA08G00890	45	33	0
OS01G0104000	GLYMA09G08380	60	61	1
OS01G0104000	GLYMA15G20020	60	61	1
OS01G0104100	GLYMA04G15130	56	63	1
OS01G0104100	GLYMA06G47010	55	63	1
OS01G0104400	GLYMA16G04725	4	4	0
OS01G0104400	GLYMA16G04731	21	51	0
OS01G0104400	GLYMA19G28500	41	34	0
OS01G0104500	GLYMA02G07760	38	30	1
OS01G0104500	GLYMA16G04720	39	31	1
OS01G0104500	GLYMA16G26810	39	30	1
OS01G0104500	GLYMA19G28515	39	31	1
