A2X747	Ensembl:OMERI02G23430
A2Y626	Ensembl:OMERI05G19260
A2Y8A8	Ensembl:OMERI06G00240
A2ZW27	Ensembl:OMERI01G22640
A3AAR2	Ensembl:OMERI02G29160
A3AC56	Ensembl:OMERI02G33300
A3B7R7	Ensembl:OMERI01G32430
A3C4N5	Ensembl:OMERI10G06910
A3CDR8	Ensembl:OMERI11G18240
A4LBC0	Ensembl:OMERI01G26210
A9CM06	Ensembl:OMERI02G14260
B1B534	Ensembl:OMERI10G07530
B7EA04	Ensembl:OMERI04G20810
B7EJ81	Ensembl:OMERI09G10560
B7EM10	Ensembl:OMERI09G11560
B7ERE7	Ensembl:OMERI09G14420
B7F409	Ensembl:OMERI05G16090
B7F4K3	Ensembl:OMERI01G13570
B7F7B9	Ensembl:OMERI02G07270
B7F924	Ensembl:OMERI08G13810
B7F956	Ensembl:OMERI01G08070 Ensembl:OMERI01G08040
B7FA34	Ensembl:OMERI05G22040
B7FA90	Ensembl:OMERI06G23380
B7FA99	Ensembl:OMERI02G14110
B7FAP2	Ensembl:OMERI01G05380
B8ACC6	Ensembl:OMERI01G22200
B8AHI9	Ensembl:OMERI02G15810
B8AT82	Ensembl:OMERI09G08000
B8AZ97	Ensembl:OMERI05G17620
B8B8K7	Ensembl:OMERI07G18650
B8BB38	Ensembl:OMERI08G13440
B9EUK4	Ensembl:OMERI01G08660
B9EZJ8	Ensembl:OMERI01G27380
B9F8T8	Ensembl:OMERI03G18270
B9FRT6	Ensembl:OMERI06G06040
B9FYX6	Ensembl:OMERI08G02070
B9FZ46	Ensembl:OMERI08G03210
B9G3A7	Ensembl:OMERI09G06670
B9G4Z8	Ensembl:OMERI09G14340
B9G6J6	Ensembl:OMERI10G11930
B9G942	Ensembl:OMERI04G08450
C7IWK8	Ensembl:OMERI01G31730
C7IXG8	Ensembl:OMERI01G30840
C7J0P3	Ensembl:OMERI03G13340
C7J6Z0	Ensembl:OMERI09G05850
C7J732	Ensembl:OMERI09G06010
D5A7I6	Ensembl:OMERI11G02590
