Gene stable ID	Solanum tuberosum gene stable ID	%id. target Solanum tuberosum gene identical to query gene	%id. query gene identical to target Solanum tuberosum gene
BAC19854	PGSC0003DMG400026520	57.3604	46.1224
BAC19854	PGSC0003DMG400030942	45.6853	57.3248
BAC19858	PGSC0003DMG400010287	44.898	24.6361
BAC19860	PGSC0003DMG400011350	72.9032	72.4359
BAC19860	PGSC0003DMG400013141	23.871	66.0714
BAC19863	PGSC0003DMG400042571	17.0833	60.2941
BAC19867	PGSC0003DMG400010573	30.5556	28.9474
BAC19867	PGSC0003DMG400015866	9.375	18.1208
BAC19867	PGSC0003DMG400040498	18.0556	25.8706
BAC19872	PGSC0003DMG400021744	81.6	69.863
BAC19876	PGSC0003DMG400013864	39.2308	47.6636
BAC19876	PGSC0003DMG400020450	15	52
BAC19876	PGSC0003DMG401031302	39.6154	50
BAC19883	PGSC0003DMG400033608	36.6477	72.4719
BAC19885	PGSC0003DMG400002202	84	90
BAC19887	PGSC0003DMG400021035	78.4946	77.6596
BAC19889	PGSC0003DMG400028665	70.9544	15.7169
BAC19892	PGSC0003DMG400020779	72.093	44.2857
BAC19894	PGSC0003DMG400037371	45.4128	49.2537
BAC19898	PGSC0003DMG400033612	31.9149	82.1918
BAC19899	PGSC0003DMG400013849	16.3065	97.6471
BAC19899	PGSC0003DMG401022238	40.8644	78.1955
CAA33910	PGSC0003DMG402008783	28.7293	75.9124
CAA33911	PGSC0003DMG401008783	45.0382	76.9565
CAA33912	PGSC0003DMG400029905	65.5556	67.8161
CAA33919	PGSC0003DMG400011820	76.9231	82.7586
CAA33919	PGSC0003DMG400038200	69.8718	83.2061
CAA33926	PGSC0003DMG400003165	42.6829	50.7246
CAA33930	PGSC0003DMG400007705	49.5327	34.1936
CAA33932	PGSC0003DMG400014076	66.6667	78.0952
CAA33933	PGSC0003DMG400030936	42.6471	39.4558
CAA33933	PGSC0003DMG400042640	35.2941	43.6364
CAA33934	PGSC0003DMG400003499	17.5732	64.6154
CAA33936	PGSC0003DMG400003165	42.6829	50.7246
CAA33942	PGSC0003DMG400011820	76.9231	82.7586
CAA33942	PGSC0003DMG400038200	69.8718	83.2061
CAA33948	PGSC0003DMG400029905	65.5556	67.8161
CAA33952	PGSC0003DMG400029012	36.1371	67.4419
CAA33953	PGSC0003DMG400020539	39.2	80
CAA33953	PGSC0003DMG401011339	61.8	81.3158
CAA33955	PGSC0003DMG400026713	49.505	78.125
CAA33955	PGSC0003DMG402011339	83.1683	83.1683
CAA33961	PGSC0003DMG400002905	45.9375	84.4828
CAA33965	PGSC0003DMG400005310	96.3855	96.3855
CAA33970	PGSC0003DMG400044817	41.1043	66.3366
CAA33970	PGSC0003DMG400045454	41.1043	66.3366
CAA33970	PGSC0003DMG401022617	41.1043	66.3366
CAA33972	PGSC0003DMG400021571	20.3704	63.7681
CAA33972	PGSC0003DMG401005300	29.1667	60
CAA33977	PGSC0003DMG400019419	26.5116	65.5172
CAA33979	PGSC0003DMG400014075	67.9525	67.9525
CAA33980	PGSC0003DMG400015059	32.8671	34.3066
CAA33986	PGSC0003DMG401017663	31.0698	81.2652
CAA33986	PGSC0003DMG402017663	45.3953	82.2934
CAA33987	PGSC0003DMG402029613	47.5073	77.512
CAA33988	PGSC0003DMG400017664	16.7217	57.7626
CAA33988	PGSC0003DMG400020296	25.9749	81.5353
CAA33988	PGSC0003DMG400020297	5.3536	68.0672
CAA33989	PGSC0003DMG403017663	38.1356	51.1364
CAA33996	PGSC0003DMG400005372	26.4	85.7143
CAA33998	PGSC0003DMG400024039	66.1692	73.8889
CAA33999	PGSC0003DMG400002651	47.1698	71.4286
CAA33999	PGSC0003DMG400019224	38.3648	64.2105
CAA34000	PGSC0003DMG400006986	71.5447	83.0189
CAA34001	PGSC0003DMG400015304	55	94.2857
CAA34002	PGSC0003DMG400025106	70.073	72.1805
CAA34003	PGSC0003DMG400001014	58.2329	71.0784
CAA34007	PGSC0003DMG400004211	92.068	41.4541
CAA34008	PGSC0003DMG400041047	28.9668	67.6724
CAA34013	PGSC0003DMG400006291	17.2805	50.8333
Os01g0100400	PGSC0003DMG400004789	60.8769	60.3679
Os01g0100400	PGSC0003DMG400013855	61.7201	61.7201
Os01g0100400	PGSC0003DMG400028883	66.6105	67.753
Os01g0100500	PGSC0003DMG401016935	9.73282	19.2453
Os01g0100500	PGSC0003DMG402016935	27.2901	55
Os01g0100600	PGSC0003DMG400023471	32.3944	36.9775
Os01g0100700	PGSC0003DMG400008351	74	94.8718
Os01g0100700	PGSC0003DMG400017812	82.5	78.5714
Os01g0100900	PGSC0003DMG400019810	68.2746	67.3993
Os01g0101150	PGSC0003DMG401010181	44.5679	48.262
Os01g0101300	PGSC0003DMG400012114	62.1622	59.8109
Os01g0101600	PGSC0003DMG400024356	42.0245	45.6667
Os01g0101700	PGSC0003DMG400015755	37.234	35.8974
Os01g0101700	PGSC0003DMG400024357	35.6383	37.8531
Os01g0101800	PGSC0003DMG400021869	19.2308	14.8571
Os01g0102000	PGSC0003DMG400015265	56.4394	56.7619
Os01g0102300	PGSC0003DMG400015264	36.1868	40.9692
Os01g0102500	PGSC0003DMG400010801	62.0482	61.3095
Os01g0102600	PGSC0003DMG401020240	36.0595	37.3077
Os01g0102700	PGSC0003DMG400019852	33.6585	43.949
Os01g0102700	PGSC0003DMG400020198	41.4634	44.7368
Os01g0102800	PGSC0003DMG400010292	69.4657	52.5144
Os01g0102900	PGSC0003DMG400026417	46.875	44.4444
Os01g0103000	PGSC0003DMG400023399	75	74.6781
Os01g0103000	PGSC0003DMG402001984	72.4138	72.4138
Os01g0103100	PGSC0003DMG400028026	63.3663	58.8055
Os01g0103600	PGSC0003DMG400027684	55.7078	55.2036
Os01g0103700	PGSC0003DMG400003329	29.1667	4.2461
Os01g0103800	PGSC0003DMG400029308	40.275	46.8037
Os01g0103900	PGSC0003DMG400014227	21.9665	28.4553
Os01g0104000	PGSC0003DMG400009417	60.7207	61.4963
Os01g0104100	PGSC0003DMG400023670	52.6316	53.012
Os01g0104400	PGSC0003DMG401000859	45.5224	38.8535
Os01g0104600	PGSC0003DMG400031459	37.7691	64.9832
Os01g0104900	PGSC0003DMG400003747	43.8034	44.6623
Os01g0105700	PGSC0003DMG400003609	6.70103	9.66543
Os01g0105700	PGSC0003DMG400003746	25.5155	24.3842
Os01g0105800	PGSC0003DMG400023972	61.5942	69.1057
Os01g0105800	PGSC0003DMG400023988	22.4638	59.6154
Os01g0105800	PGSC0003DMG401002701	29.7101	50
Os01g0105800	PGSC0003DMG402002701	40.5797	44.4444
Os01g0105900	PGSC0003DMG400003693	66.4908	67.0213
Os01g0106200	PGSC0003DMG400000734	69.3878	70.1031
Os01g0106900	PGSC0003DMG400024503	79.704	77.572
Os01g0107700	PGSC0003DMG400004769	46.5455	48.3019
Os01g0107700	PGSC0003DMG400012501	49.0909	50.8475
Os01g0107900	PGSC0003DMG400027093	47.3684	45.8333
Os01g0108200	PGSC0003DMG400009892	66.1644	65.8038
Os01g0108200	PGSC0003DMG400028869	68.4931	68.3995
Os01g0108400	PGSC0003DMG400024597	18.3406	30.8824
Os01g0108400	PGSC0003DMG400024598	12.2271	35
Os01g0108600	PGSC0003DMG400024597	24.1071	39.7059
Os01g0108600	PGSC0003DMG400024598	16.9643	47.5
Os01g0108800	PGSC0003DMG400030993	52.8139	20.4698
Os01g0109300	PGSC0003DMG401000497	17.9435	41.5888
Os01g0109300	PGSC0003DMG402000497	59.6774	49.8316
Os01g0109700	PGSC0003DMG400001397	50.5279	49.3736
Os01g0109700	PGSC0003DMG400001399	13.8763	35.9375
Os01g0109700	PGSC0003DMG400022606	51.9608	50.4762
Os01g0110100	PGSC0003DMG400025127	43.6796	52.3238
Os01g0110400	PGSC0003DMG400010900	71.3942	73.5149
Os01g0110400	PGSC0003DMG401017380	71.6346	73.7624
Os01g0110500	PGSC0003DMG400007455	44.5559	44.6839
Os01g0110500	PGSC0003DMG400016012	47.2779	44.6549
Os01g0110500	PGSC0003DMG400025102	49.5702	46.443
Os01g0110700	PGSC0003DMG400007466	74.7826	73.7143
Os01g0110800	PGSC0003DMG400000819	48.4444	46.6809
Os01g0110800	PGSC0003DMG400004056	43.7778	43.2967
Os01g0111100	PGSC0003DMG400005701	47.9592	44.9045
Os01g0111200	PGSC0003DMG400000802	44.6774	46.3211
Os01g0111200	PGSC0003DMG400004074	32.7419	29.4203
Os01g0111400	PGSC0003DMG400005619	45.6491	48.048
Os01g0111500	PGSC0003DMG400030650	31.5254	29.3375
Os01g0111600	PGSC0003DMG400005654	54.023	54.3353
Os01g0111700	PGSC0003DMG400016702	18.8571	37.5
Os01g0111700	PGSC0003DMG400030645	23.4286	39.8058
Os01g0112100	PGSC0003DMG400033071	30.0532	28.25
Os01g0112400	PGSC0003DMG400034503	29.7203	29.6167
Os01g0112500	PGSC0003DMG400010393	58.427	55.1724
Os01g0112500	PGSC0003DMG400016679	57.3034	56.5097
Os01g0112500	PGSC0003DMG400030649	61.236	56.0411
Os01g0113300	PGSC0003DMG400033718	5.46282	32.1429
Os01g0113350	PGSC0003DMG400017277	34.0491	26.9091
Os01g0113350	PGSC0003DMG400017278	31.135	37.5231
Os01g0113350	PGSC0003DMG400017282	35.7362	27.9042
Os01g0113350	PGSC0003DMG400017284	34.3558	30.7692
Os01g0113350	PGSC0003DMG400017286	35.5828	27.4232
Os01g0113350	PGSC0003DMG400017315	35.5828	27.5862
Os01g0113350	PGSC0003DMG400017318	29.2945	37.0874
Os01g0113350	PGSC0003DMG400017327	35.8896	27.791
Os01g0113350	PGSC0003DMG400017330	37.1166	29.0865
Os01g0113350	PGSC0003DMG400017358	15.184	56.25
Os01g0113350	PGSC0003DMG400028461	36.1963	28.3313
Os01g0113350	PGSC0003DMG400046324	35.5828	27.8511
Os01g0113400	PGSC0003DMG400033718	5.02216	30.3571
Os01g0113650	PGSC0003DMG400017277	34.1463	27.1515
Os01g0113650	PGSC0003DMG400017278	30.7927	37.3383
Os01g0113650	PGSC0003DMG400017282	36.128	28.3832
Os01g0113650	PGSC0003DMG400017284	33.2317	29.9451
Os01g0113650	PGSC0003DMG400017286	34.4512	26.7139
Os01g0113650	PGSC0003DMG400017315	34.2988	26.7539
Os01g0113650	PGSC0003DMG400017318	29.1159	37.0874
Os01g0113650	PGSC0003DMG400017327	35.8232	27.9097
Os01g0113650	PGSC0003DMG400017330	36.7378	28.9663
Os01g0113650	PGSC0003DMG400017358	15.3963	57.3864
Os01g0113650	PGSC0003DMG400028461	37.0427	29.1717
Os01g0113650	PGSC0003DMG400046324	36.5854	28.8115
Os01g0113700	PGSC0003DMG400033718	5.25547	32.1429
Os01g0114100	PGSC0003DMG400033718	5.15933	30.3571
Os01g0114400	PGSC0003DMG400033718	11.2426	33.9286
Os01g0114600	PGSC0003DMG400033718	5.7554	35.7143
Os01g0115200	PGSC0003DMG400001625	41.6667	11.9485
Os01g0115200	PGSC0003DMG400002019	28.8462	10.6132
Os01g0115200	PGSC0003DMG400018706	34.6154	10.6931
Os01g0115500	PGSC0003DMG400033718	11.2094	33.9286
Os01g0115700	PGSC0003DMG400033718	6.36943	35.7143
Os01g0115750	PGSC0003DMG400033718	5.16224	31.25
Os01g0116000	PGSC0003DMG400033718	5.40936	33.0357
Os01g0116200	PGSC0003DMG400033718	5.21127	33.0357
Os01g0116400	PGSC0003DMG400033718	5.46529	33.0357
Os01g0116600	PGSC0003DMG400005728	14.3511	56.9697
Os01g0116800	PGSC0003DMG400033718	9.84043	33.0357
Os01g0117000	PGSC0003DMG400033718	4.72973	31.25
Os01g0117200	PGSC0003DMG400033718	5.67082	36.6071
Os01g0117400	PGSC0003DMG400033718	18.8406	34.8214
Os01g0117600	PGSC0003DMG400033718	5.4242	34.8214
Os01g0117900	PGSC0003DMG400005740	58.2888	60.7242
Os01g0118000	PGSC0003DMG400030565	83.2474	81.7721
Os01g0118100	PGSC0003DMG400005739	19.8044	72.3214
Os01g0118300	PGSC0003DMG400030564	75.5294	75.3521
Os01g0118400	PGSC0003DMG400005663	25.5973	31.9829
Os01g0118400	PGSC0003DMG400005664	28.157	35.5603
Os01g0118600	PGSC0003DMG400005663	26.7857	31.9829
Os01g0118600	PGSC0003DMG400005664	29.1071	35.1293
Os01g0118700	PGSC0003DMG400005663	31.0811	34.3284
Os01g0118700	PGSC0003DMG400005664	31.6602	35.3448
Os01g0119000	PGSC0003DMG400005663	30.2905	31.1301
Os01g0119000	PGSC0003DMG400005664	33.4025	34.6983
Os01g0119100	PGSC0003DMG400005663	25.6454	31.7697
Os01g0119100	PGSC0003DMG400005664	28.9157	36.2069
Os01g0120500	PGSC0003DMG400028793	50.3937	50.7937
Os01g0120600	PGSC0003DMG400030559	44.6809	41.7219
Os01g0120700	PGSC0003DMG400030513	42.807	36.6366
Os01g0120800	PGSC0003DMG400008926	63.5903	62.3881
Os01g0120800	PGSC0003DMG400010999	63.5903	66.8444
Os01g0121100	PGSC0003DMG400016698	50	51.6616
Os01g0121100	PGSC0003DMG400030596	50.2924	51.497
Os01g0121200	PGSC0003DMG400005991	45.3532	46.7433
Os01g0121200	PGSC0003DMG400030557	50.1859	51.1364
Os01g0121200	PGSC0003DMG400030638	33.829	40.0881
Os01g0121300	PGSC0003DMG400030510	43.1481	41.6071
Os01g0121500	PGSC0003DMG400005990	40.8333	33.1081
Os01g0121500	PGSC0003DMG400030508	34.1667	29.078
Os01g0121500	PGSC0003DMG400030640	30	24.8276
Os01g0121500	PGSC0003DMG400030672	34.1667	29.078
Os01g0121600	PGSC0003DMG400005990	33.3333	33.1081
Os01g0121600	PGSC0003DMG400030508	31.2925	32.6241
Os01g0121600	PGSC0003DMG400030640	25.8503	26.2069
Os01g0121600	PGSC0003DMG400030672	30.6122	31.9149
Os01g0121700	PGSC0003DMG400030507	72.1557	66.6667
Os01g0121800	PGSC0003DMG400030555	54.4776	54.4776
Os01g0125600	PGSC0003DMG400030552	33.8095	34.2995
Os01g0125600	PGSC0003DMG400030602	19.5238	23.0337
Os01g0125700	PGSC0003DMG400030642	60.3175	59.9369
Os01g0125800	PGSC0003DMG400005655	69.8361	69.9507
Os01g0125900	PGSC0003DMG400006168	50.1411	45.9483
Os01g0126200	PGSC0003DMG400030551	50.5017	54.4144
Os01g0127300	PGSC0003DMG400020501	43.5685	43.0328
Os01g0127400	PGSC0003DMG400030550	61.7925	61.7925
Os01g0127500	PGSC0003DMG400005197	55.7864	58.75
Os01g0127900	PGSC0003DMG400010399	53.972	53.1034
Os01g0127900	PGSC0003DMG400011772	52.1028	53.3493
Os01g0127900	PGSC0003DMG400026392	53.7383	53.3643
Os01g0128000	PGSC0003DMG400014550	36.2857	46.5201
Os01g0128100	PGSC0003DMG400014560	62.1993	62.6298
Os01g0128300	PGSC0003DMG400024184	50	48.7179
Os01g0128300	PGSC0003DMG401026407	49.5614	45.3815
Os01g0128300	PGSC0003DMG402019589	42.1053	42.4779
Os01g0128400	PGSC0003DMG400015690	43.1741	42.0965
Os01g0128400	PGSC0003DMG400015904	48.6348	48.8851
Os01g0128800	PGSC0003DMG400005722	51.5021	13.59
Os01g0129500	PGSC0003DMG400020985	23.6967	29.9401
Os01g0129600	PGSC0003DMG400014547	24.4838	32.8063
Os01g0130000	PGSC0003DMG400009656	49.1049	54.5455
Os01g0130000	PGSC0003DMG400011247	66.4962	57.9065
Os01g0130400	PGSC0003DMG400014540	62.4464	62.7155
Os01g0130400	PGSC0003DMG400015881	64.8069	64.9462
Os01g0131300	PGSC0003DMG400005716	33.1429	23.2
Os01g0131300	PGSC0003DMG400012967	34.2857	33.8983
Os01g0131300	PGSC0003DMG400015874	34.2857	32.6087
Os01g0131300	PGSC0003DMG400021770	27.4286	28.5714
Os01g0131300	PGSC0003DMG400028789	29.1429	20.8163
Os01g0132100	PGSC0003DMG400001829	27.1403	31.0417
Os01g0132100	PGSC0003DMG400001831	26.5027	30.9245
Os01g0132100	PGSC0003DMG400002885	25.1366	30.6326
Os01g0132100	PGSC0003DMG400002910	24.3169	30.0337
Os01g0132100	PGSC0003DMG400002937	26.0474	33.5681
Os01g0132100	PGSC0003DMG400003195	28.051	36.0234
Os01g0132100	PGSC0003DMG400004284	28.2332	31.3765
Os01g0132100	PGSC0003DMG400005226	22.7687	29.7974
Os01g0132100	PGSC0003DMG400005539	18.3971	40.5622
Os01g0132100	PGSC0003DMG400006268	33.5155	32.3374
Os01g0132100	PGSC0003DMG400010700	19.2168	30.2726
Os01g0132100	PGSC0003DMG400015347	28.6885	35.7143
Os01g0132100	PGSC0003DMG400015351	28.4153	34.3991
Os01g0132100	PGSC0003DMG400015824	26.5027	31.2903
Os01g0132100	PGSC0003DMG400017966	24.4991	35.3947
Os01g0132100	PGSC0003DMG400020330	22.1311	31.8898
Os01g0132100	PGSC0003DMG400021051	24.0437	30.2752
Os01g0132100	PGSC0003DMG400022067	30.8743	20.471
Os01g0132100	PGSC0003DMG400022068	28.2332	34.292
Os01g0132100	PGSC0003DMG400022452	27.5956	30.3607
Os01g0132100	PGSC0003DMG400023863	24.0437	36.4641
Os01g0132100	PGSC0003DMG400026231	23.8616	33.1646
Os01g0132100	PGSC0003DMG400028575	29.4171	35.262
Os01g0132100	PGSC0003DMG400028576	29.5993	34.7222
Os01g0132100	PGSC0003DMG400028591	26.4117	30.4622
Os01g0132100	PGSC0003DMG400029572	26.0474	29.1242
Os01g0132100	PGSC0003DMG400036994	24.7723	30.874
Os01g0132100	PGSC0003DMG400038495	25.7741	36.051
Os01g0132100	PGSC0003DMG401001828	22.2222	25.8201
Os01g0132100	PGSC0003DMG401002869	27.0492	34.375
Os01g0132100	PGSC0003DMG401002888	28.6885	31.8826
Os01g0132100	PGSC0003DMG401004726	27.1403	31.7359
Os01g0132100	PGSC0003DMG401021049	21.3115	29.2135
Os01g0132100	PGSC0003DMG402015894	25.7741	33.8112
Os01g0132100	PGSC0003DMG402021049	21.1293	28.8917
Os01g0132500	PGSC0003DMG400025699	19.8113	10.1205
Os01g0132500	PGSC0003DMG400026238	21.6981	20.9091
Os01g0132700	PGSC0003DMG400009083	64.1892	60.5096
Os01g0132766	PGSC0003DMG400014553	37.4532	46.5116
Os01g0132766	PGSC0003DMG400014574	36.3296	45.7547
Os01g0132800	PGSC0003DMG401026390	56.7568	60.4938
